Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,49.87,50.36,49.40,49.74,258000,49.74
2014-12-30,49.72,50.29,49.55,49.81,121300,49.81
2014-12-29,50.26,50.62,49.80,50.06,163400,50.06
2014-12-26,50.01,50.66,49.83,50.44,98000,50.29
2014-12-24,50.07,50.43,48.84,50.00,119100,49.85
2014-12-23,49.68,50.63,48.64,49.13,189800,48.98
2014-12-22,48.67,49.69,48.39,49.50,218500,49.35
2014-12-19,48.71,48.85,47.94,48.73,588400,48.59
2014-12-18,48.76,49.37,48.22,48.81,166700,48.66
2014-12-17,47.45,48.03,46.46,47.77,448600,47.63
2014-12-16,48.00,48.34,46.95,47.46,250900,47.32
2014-12-15,48.71,49.77,47.67,48.03,217900,47.89
2014-12-12,48.49,49.20,48.04,48.56,139500,48.42
2014-12-11,49.17,49.74,48.94,49.14,274200,48.99
2014-12-10,49.47,49.90,48.75,49.00,246900,48.85
2014-12-09,47.76,49.81,47.29,49.71,224300,49.56
2014-12-08,49.41,50.00,47.98,48.50,212100,48.36
2014-12-05,49.18,49.80,48.87,49.67,176300,49.52
2014-12-04,49.54,49.65,48.52,49.16,283100,49.01
2014-12-03,48.00,49.47,48.00,49.15,213400,49.00
2014-12-02,47.22,48.17,46.75,48.11,197200,47.97
2014-12-01,47.82,48.26,46.63,47.12,254800,46.98
2014-11-28,48.31,48.49,47.73,48.13,157600,47.99
2014-11-26,46.99,48.50,46.73,48.21,183600,48.07
2014-11-25,47.20,47.55,46.68,47.11,211700,46.97
2014-11-24,46.64,47.48,46.60,47.19,218200,47.05
2014-11-21,46.92,47.00,46.19,46.63,268300,46.49
2014-11-20,45.49,46.23,45.12,46.19,250300,46.05
2014-11-19,46.41,46.41,45.51,45.86,263300,45.72
2014-11-18,44.10,46.76,44.10,46.41,425900,46.27
2014-11-17,45.24,45.72,44.68,44.98,302500,44.85
2014-11-14,44.96,45.70,44.26,45.46,263200,45.32
2014-11-13,45.31,45.65,44.60,44.87,188800,44.74
2014-11-12,44.93,45.66,44.92,45.38,283400,45.25
2014-11-11,44.78,45.00,44.37,44.89,164600,44.76
2014-11-10,44.46,44.99,44.41,44.86,193400,44.73
2014-11-07,44.67,44.88,43.86,44.69,320700,44.56
2014-11-06,44.26,45.09,44.20,44.82,477300,44.69
2014-11-05,43.81,44.48,43.58,44.41,236600,44.28
2014-11-04,43.70,44.71,43.62,43.74,321700,43.61
2014-11-03,44.48,45.37,43.80,44.10,271000,43.97
2014-10-31,43.37,44.53,43.37,44.19,550100,44.06
2014-10-30,41.73,42.22,40.81,42.17,461600,42.04
2014-10-29,42.32,42.60,41.37,41.98,555300,41.86
2014-10-28,45.55,46.00,41.37,42.51,954600,42.38
2014-10-27,40.47,40.94,39.89,40.00,569400,39.88
2014-10-24,39.70,40.63,39.23,40.47,418900,40.35
2014-10-23,39.65,39.96,39.37,39.59,415400,39.47
2014-10-22,39.63,39.90,39.13,39.21,445800,39.09
2014-10-21,38.57,39.61,38.45,39.39,732700,39.27
