Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.27,18.61,18.23,18.52,41500,18.52
2014-12-30,19.04,19.04,18.28,18.32,1100,18.32
2014-12-29,19.35,19.67,19.00,19.23,45500,19.23
2014-12-26,19.12,19.69,19.05,19.38,16500,19.38
2014-12-24,19.25,19.52,19.08,19.41,10700,19.41
2014-12-23,19.25,19.90,19.00,19.38,77000,19.38
2014-12-22,18.75,19.53,18.64,19.53,90100,19.53
2014-12-19,19.00,19.21,18.00,18.84,108400,18.84
2014-12-18,17.47,19.70,17.47,19.09,66700,19.09
2014-12-17,16.50,17.52,16.26,17.48,48500,17.48
2014-12-16,15.50,16.74,15.50,16.62,45500,16.62
2014-12-15,15.92,15.92,15.45,15.65,36300,15.65
2014-12-12,15.14,15.93,15.14,15.67,19500,15.67
2014-12-11,15.45,15.71,15.13,15.37,23400,15.37
2014-12-10,15.70,16.11,15.48,15.49,44200,15.49
2014-12-09,14.92,15.96,14.90,15.73,79100,15.73
2014-12-08,15.00,15.47,14.98,15.06,83400,15.06
2014-12-05,14.62,15.44,14.56,15.00,23400,15.00
2014-12-04,14.67,15.08,14.60,14.61,7600,14.61
2014-12-03,14.24,15.05,14.24,14.69,24300,14.69
2014-12-02,15.12,15.12,14.20,14.32,16700,14.32
2014-12-01,14.80,14.82,13.69,14.20,41300,14.20
2014-11-28,15.10,15.68,14.81,14.82,24800,14.82
2014-11-26,14.98,15.30,14.91,15.29,31400,15.29
2014-11-25,15.33,15.51,14.78,14.93,51200,14.93
2014-11-24,15.85,16.00,14.89,15.51,92500,15.51
2014-11-21,16.22,16.22,15.90,16.01,17800,16.01
2014-11-20,15.82,16.09,15.75,15.91,18200,15.91
2014-11-19,16.02,16.14,15.76,15.80,22900,15.80
2014-11-18,16.42,16.60,15.94,16.18,33700,16.18
2014-11-17,15.94,16.47,15.94,16.30,14700,16.30
2014-11-14,16.68,16.68,15.99,16.00,45500,16.00
2014-11-13,16.43,16.92,16.35,16.67,16400,16.67
2014-11-12,16.46,16.80,16.34,16.46,22700,16.46
2014-11-11,16.82,16.82,16.36,16.63,26900,16.63
2014-11-10,16.45,16.96,16.45,16.67,28000,16.67
2014-11-07,16.88,17.00,16.29,16.38,15000,16.38
2014-11-06,16.80,17.00,16.43,16.99,23000,16.99
2014-11-05,17.28,17.29,16.70,16.84,26600,16.84
2014-11-04,17.25,17.39,16.80,17.00,15600,17.00
2014-11-03,16.66,17.72,16.64,17.01,20700,17.01
2014-10-31,17.68,18.43,16.42,16.77,41100,16.77
2014-10-30,17.02,17.50,16.85,17.23,18100,17.23
2014-10-29,16.93,17.11,16.75,17.00,19000,17.00
2014-10-28,17.00,17.00,16.78,17.00,27500,17.00
2014-10-27,17.16,17.87,16.76,17.00,9300,17.00
2014-10-24,17.93,17.93,16.66,17.26,32400,17.26
