Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,159.10,164.72,159.10,162.40,76500,162.40
2014-12-30,162.18,162.84,158.69,159.07,4500,159.07
2014-12-29,163.33,164.79,161.09,161.69,41000,161.69
2014-12-26,163.28,165.85,163.28,163.78,49500,163.78
2014-12-24,164.63,165.49,161.96,163.53,31700,163.53
2014-12-23,165.36,166.76,163.51,164.10,30000,164.10
2014-12-22,164.22,168.64,163.28,165.09,81200,165.09
2014-12-19,165.27,166.53,164.06,164.06,79300,164.06
2014-12-18,162.19,170.40,159.76,166.10,84500,166.10
2014-12-17,153.63,160.00,153.02,159.22,160700,159.22
2014-12-16,154.99,156.45,152.82,154.03,128900,154.03
2014-12-15,159.43,160.39,155.11,157.09,82500,157.09
2014-12-12,165.16,165.52,157.27,158.24,149200,158.24
2014-12-11,165.40,170.29,165.40,167.41,78600,167.41
2014-12-10,168.80,169.76,164.03,165.75,57100,165.75
2014-12-09,166.60,170.75,166.47,170.27,52500,170.27
2014-12-08,169.18,171.07,167.28,167.50,71300,167.50
2014-12-05,168.59,170.67,167.00,169.76,74300,169.76
2014-12-04,169.25,169.75,167.09,168.84,50400,168.84
2014-12-03,170.26,171.96,167.84,169.58,76800,169.58
2014-12-02,170.79,174.44,168.47,170.51,104300,170.51
2014-12-01,170.94,173.59,168.48,171.25,129900,171.25
2014-11-28,173.83,176.96,170.48,171.74,29400,171.74
2014-11-26,170.64,174.60,167.76,173.87,95400,173.87
2014-11-25,174.07,176.42,169.56,171.07,96200,171.07
2014-11-24,167.00,174.74,167.00,173.89,223400,173.89
2014-11-21,170.00,170.00,164.61,165.78,91700,165.78
2014-11-20,166.07,169.27,165.56,167.00,111100,167.00
2014-11-19,169.11,170.81,163.74,167.02,102200,167.02
2014-11-18,164.14,170.40,164.02,168.82,186500,168.82
2014-11-17,166.20,169.27,163.46,164.19,95400,164.19
2014-11-14,161.00,168.96,161.00,166.75,205100,166.75
2014-11-13,160.36,160.99,158.95,159.98,89100,159.98
2014-11-12,159.42,160.00,158.51,159.98,42400,159.98
2014-11-11,158.60,160.64,158.01,160.21,131400,160.21
2014-11-10,157.51,159.13,156.40,158.52,72300,158.52
2014-11-07,157.91,157.96,155.10,157.44,80900,157.44
2014-11-06,158.62,159.41,156.96,158.38,91700,158.38
2014-11-05,159.18,160.26,155.97,158.75,120600,158.75
2014-11-04,159.21,160.00,157.12,158.41,63700,158.41
2014-11-03,160.57,162.60,158.11,159.39,78000,159.39
2014-10-31,163.55,163.99,159.99,160.88,102700,160.88
2014-10-30,163.08,165.73,158.90,160.00,110000,160.00
2014-10-29,158.98,161.03,158.02,160.00,188300,160.00
2014-10-28,160.00,165.00,149.04,158.11,321100,158.11
2014-10-27,156.49,157.71,153.26,154.20,82300,154.20
2014-10-24,154.72,158.53,153.00,157.50,107200,157.50
2014-10-23,150.22,154.74,147.48,154.26,90000,154.26
2014-10-22,151.38,152.50,147.83,148.65,40000,148.65
2014-10-21,151.28,151.66,149.00,151.34,31800,151.34
2014-10-20,145.02,149.99,144.15,149.88,143100,149.88
2014-10-17,147.12,148.69,144.73,145.30,51300,145.30
2014-10-16,143.00,145.70,142.69,144.92,63700,144.92
2014-10-15,144.04,147.11,143.00,144.53,90700,144.53
2014-10-14,147.88,148.79,143.13,145.41,69100,145.41
2014-10-13,146.47,149.76,145.25,147.03,149300,147.03
2014-10-10,135.65,148.22,133.53,147.56,232100,147.56
2014-10-09,137.16,137.95,135.00,135.62,52800,135.62
2014-10-08,135.00,137.85,134.50,137.19,42300,137.19
2014-10-07,135.50,137.93,134.38,135.69,59900,135.69
2014-10-06,136.79,137.74,135.14,136.54,47300,136.54
2014-10-03,135.01,137.79,133.23,136.79,67800,136.79
2014-10-02,129.10,135.59,129.10,133.74,61100,133.74
2014-10-01,130.33,131.33,127.46,128.59,55200,128.59
2014-09-30,133.88,135.17,130.83,130.84,52300,130.84
2014-09-29,130.25,133.94,130.25,133.60,45400,133.60
2014-09-26,130.10,131.95,129.95,131.22,42500,131.22
2014-09-25,134.83,134.83,129.48,130.30,45300,130.30
2014-09-24,132.31,135.44,131.89,134.73,28200,134.73
2014-09-23,133.75,133.85,131.44,131.75,37400,131.75
2014-09-22,136.74,136.74,133.33,133.88,46400,133.88
2014-09-19,139.90,140.67,136.70,137.29,88400,137.29
2014-09-18,139.75,140.27,139.00,139.63,34500,139.63
2014-09-17,138.50,140.00,138.50,139.28,38300,139.28
2014-09-16,135.87,139.86,135.11,139.01,46200,139.01
2014-09-15,138.20,138.20,136.42,136.66,35700,136.66
2014-09-12,141.97,141.97,138.06,139.26,38400,139.26
2014-09-11,139.60,142.45,138.80,141.62,29400,141.62
2014-09-10,139.00,141.20,139.00,140.37,17400,140.37
2014-09-09,142.35,142.40,139.59,139.99,54300,139.99
2014-09-08,137.69,143.45,137.69,142.91,86900,142.91
2014-09-05,137.61,139.17,135.94,138.21,55500,138.21
2014-09-04,140.95,142.51,137.27,137.77,37100,137.77
2014-09-03,139.40,141.65,139.20,140.83,69600,140.83
2014-09-02,139.68,140.13,136.68,139.11,58100,139.11
2014-08-29,137.99,139.60,137.25,138.93,25300,138.93
2014-08-28,137.93,138.99,137.31,137.73,26500,137.73
2014-08-27,139.56,140.05,137.39,138.67,43900,138.67
2014-08-26,136.49,140.00,135.66,139.58,76200,139.58
2014-08-25,137.62,137.99,135.26,135.90,41100,135.90
2014-08-22,138.00,138.00,135.25,136.74,40600,136.74
2014-08-21,136.75,137.64,135.77,137.04,52200,137.04
2014-08-20,137.79,138.33,136.34,137.33,44900,137.33
2014-08-19,137.70,139.95,137.20,138.68,78000,138.68
2014-08-18,136.00,138.50,135.99,137.96,51000,137.96
2014-08-15,137.01,137.41,133.02,134.86,101000,134.86
2014-08-14,137.71,138.82,134.75,135.52,84700,135.52
2014-08-13,138.25,139.35,136.35,137.01,49100,137.01
2014-08-12,139.85,141.07,136.77,137.79,83000,137.79
2014-08-11,141.44,141.48,139.10,140.51,91900,140.51
2014-08-08,142.81,144.10,141.43,142.86,37100,142.86
2014-08-07,145.29,146.61,142.03,142.90,36900,142.90
2014-08-06,143.04,145.59,143.00,144.20,32900,144.20
2014-08-05,143.00,145.00,142.15,144.32,35700,144.32
2014-08-04,140.36,144.18,138.83,143.88,59900,143.88
2014-08-01,143.54,143.54,138.79,140.21,54300,140.21
2014-07-31,147.77,147.77,143.02,143.13,73900,143.13
2014-07-30,150.65,151.46,149.00,149.74,137200,149.74
2014-07-29,148.00,155.86,147.83,150.37,470100,150.37
2014-07-28,138.92,139.17,136.93,137.53,87200,137.53
2014-07-25,141.47,141.47,138.10,138.65,71800,138.65
2014-07-24,140.84,141.69,139.39,141.45,73400,141.45
2014-07-23,140.04,141.00,137.52,138.37,41100,138.37
2014-07-22,138.85,140.59,138.67,139.90,37300,139.90
2014-07-21,138.76,138.76,136.17,138.06,33400,138.06
2014-07-18,138.92,140.70,138.92,139.55,39200,139.55
2014-07-17,138.42,140.17,138.42,139.36,43700,139.36
2014-07-16,140.77,140.85,138.36,139.27,40100,139.27
2014-07-15,142.62,144.52,139.25,139.90,60800,139.90
2014-07-14,141.89,143.68,140.05,142.14,47800,142.14
2014-07-11,136.92,141.18,136.92,140.55,63400,140.55
2014-07-10,136.13,138.85,135.65,136.60,34700,136.60
2014-07-09,138.91,140.80,138.19,138.88,46400,138.88
2014-07-08,139.00,139.39,136.76,138.95,117500,138.95
2014-07-07,143.48,143.48,139.16,139.80,56300,139.80
2014-07-03,143.02,144.49,142.38,143.60,75900,143.60
2014-07-02,142.38,143.27,141.82,142.24,40200,142.24
2014-07-01,140.79,144.35,140.68,142.39,169800,142.39
2014-06-30,140.53,141.07,139.11,140.62,50500,140.62
2014-06-27,138.48,141.10,137.75,140.75,86600,140.75
2014-06-26,139.78,140.80,139.04,139.44,35800,139.44
2014-06-25,139.53,141.49,138.60,139.93,111400,139.93
2014-06-24,143.44,144.46,139.69,139.87,127900,139.87
2014-06-23,144.20,144.85,143.36,144.08,57400,144.08
2014-06-20,143.98,144.99,142.67,144.60,103800,144.60
2014-06-19,143.91,144.47,141.00,143.98,115400,143.98
2014-06-18,143.97,143.97,141.47,143.20,43100,143.20
2014-06-17,144.16,144.91,141.30,143.43,137400,143.43
2014-06-16,143.84,144.92,141.70,144.22,57000,144.22
2014-06-13,143.30,143.85,140.47,143.28,51500,143.28
2014-06-12,141.28,144.15,140.00,142.74,72100,142.74
2014-06-11,140.91,141.71,139.24,141.28,102600,141.28
2014-06-10,141.87,142.47,139.34,142.09,91700,142.09
2014-06-09,140.14,144.78,140.14,143.32,65000,143.32
2014-06-06,142.87,143.46,140.51,143.04,115600,143.04
2014-06-05,140.39,142.64,139.14,142.20,96500,142.20
2014-06-04,140.48,141.57,138.90,140.20,69200,140.20
2014-06-03,139.10,144.15,138.22,141.84,77600,141.84
2014-06-02,141.13,141.58,137.60,140.07,76900,140.07
2014-05-30,143.06,143.23,138.58,141.12,52300,141.12
