Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.30,5.35,5.29,5.35,12700,5.35
2014-12-30,5.30,5.30,5.30,5.30,000,5.30
2014-12-29,5.30,5.30,5.29,5.29,1900,5.29
2014-12-26,5.35,5.35,5.26,5.26,7700,5.26
2014-12-24,5.30,5.30,5.30,5.30,300,5.30
2014-12-23,5.31,5.31,5.31,5.31,100,5.31
2014-12-22,5.31,5.34,5.30,5.34,2100,5.34
2014-12-19,5.32,5.35,5.29,5.35,5900,5.35
2014-12-18,5.16,5.35,5.16,5.32,2200,5.32
2014-12-17,5.04,5.24,5.00,5.15,18900,5.15
2014-12-16,5.02,5.18,5.00,5.07,20800,5.07
2014-12-15,5.10,5.14,5.02,5.03,22500,5.03
2014-12-12,5.28,5.28,5.02,5.10,13400,5.10
2014-12-11,5.14,5.30,5.14,5.30,2800,5.30
2014-12-10,5.36,5.36,5.12,5.15,56700,5.15
2014-12-09,5.42,5.45,5.28,5.35,10700,5.35
2014-12-08,5.28,5.42,5.28,5.38,10500,5.38
2014-12-05,5.36,5.50,5.34,5.36,20200,5.36
2014-12-04,5.40,5.58,5.31,5.49,21400,5.49
2014-12-03,5.45,5.50,5.31,5.46,38200,5.46
2014-12-02,5.50,5.50,5.42,5.43,13800,5.43
2014-12-01,5.43,5.61,5.43,5.49,13200,5.49
2014-11-28,5.50,5.50,5.45,5.48,500,5.48
2014-11-26,5.43,5.50,5.42,5.43,8100,5.43
2014-11-25,5.43,5.58,5.42,5.43,12100,5.43
2014-11-24,5.55,5.94,5.43,5.45,20600,5.45
2014-11-21,5.66,5.85,5.59,5.60,22100,5.60
2014-11-20,5.51,5.67,5.29,5.67,19000,5.67
2014-11-19,5.70,5.70,5.51,5.51,9700,5.51
2014-11-18,5.75,5.75,5.53,5.66,14000,5.66
2014-11-17,5.75,5.75,5.62,5.70,22400,5.70
2014-11-14,5.62,5.74,5.62,5.68,16100,5.68
2014-11-13,6.21,6.21,5.61,5.64,66600,5.64
