Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.73,31.80,31.08,31.09,226100,31.09
2014-12-30,31.65,31.96,31.38,31.55,200600,31.55
2014-12-29,31.70,32.28,31.64,31.73,245500,31.73
2014-12-26,31.98,31.98,31.66,31.69,123100,31.69
2014-12-24,31.79,32.12,31.68,31.84,128800,31.84
2014-12-23,31.50,31.82,31.22,31.65,206900,31.65
2014-12-22,31.32,31.60,31.22,31.50,190200,31.50
2014-12-19,31.74,31.74,31.16,31.20,592500,31.20
2014-12-18,31.56,31.88,31.16,31.65,313400,31.65
2014-12-17,30.59,30.92,29.96,30.88,197000,30.88
2014-12-16,30.44,30.89,30.06,30.42,356500,30.42
2014-12-15,31.33,31.50,30.52,30.54,331200,30.54
2014-12-12,31.19,31.50,31.04,31.07,165900,31.07
2014-12-11,31.41,32.02,31.41,31.50,154300,31.50
2014-12-10,32.15,32.15,31.11,31.22,201800,31.22
2014-12-09,31.12,32.35,31.09,32.14,494500,32.14
2014-12-08,32.21,32.30,31.18,31.47,385000,31.47
2014-12-05,32.49,32.54,32.15,32.33,225900,32.33
2014-12-04,32.48,32.67,32.28,32.39,288800,32.39
2014-12-03,32.37,32.76,32.11,32.52,227800,32.52
2014-12-02,32.09,32.60,31.88,32.31,237200,32.31
2014-12-01,32.02,32.45,31.84,32.15,337700,32.15
2014-11-28,32.41,32.64,32.15,32.19,143700,32.19
2014-11-26,32.11,32.50,32.11,32.34,139500,32.34
2014-11-25,32.48,32.48,31.98,32.00,401900,32.00
2014-11-24,32.26,32.50,31.93,32.47,280700,32.47
2014-11-21,31.98,32.37,31.68,32.28,513200,32.28
2014-11-20,30.96,31.71,30.96,31.57,304900,31.57
2014-11-19,31.84,31.85,31.22,31.23,277400,31.23
2014-11-18,31.79,32.25,31.79,31.82,562100,31.82
2014-11-17,32.05,32.45,31.85,31.94,550300,31.94
2014-11-14,31.55,32.07,31.38,32.03,1285200,32.03
2014-11-13,33.16,33.46,32.54,32.64,343000,32.64
2014-11-12,32.98,33.32,32.98,33.24,220800,33.09
2014-11-11,32.82,33.26,32.72,33.18,272400,33.03
2014-11-10,32.50,33.00,32.44,32.98,250200,32.83
2014-11-07,32.45,32.60,32.21,32.58,253400,32.43
2014-11-06,32.23,32.53,32.23,32.52,212700,32.37
2014-11-05,32.26,32.49,31.92,32.30,165700,32.15
2014-11-04,31.94,32.43,31.84,32.12,282000,31.98
2014-11-03,31.71,32.39,31.44,32.31,479200,32.16
2014-10-31,31.60,32.00,30.61,31.68,574600,31.54
2014-10-30,30.74,30.87,30.48,30.80,306600,30.66
2014-10-29,31.00,31.00,30.43,30.80,332800,30.66
2014-10-28,30.40,30.91,30.25,30.89,234700,30.75
2014-10-27,30.11,30.30,30.00,30.17,157000,30.03
2014-10-24,30.19,30.52,30.13,30.33,293800,30.19
2014-10-23,29.53,30.38,29.46,30.20,315000,30.06
2014-10-22,29.73,29.83,29.14,29.15,243100,29.02
2014-10-21,28.89,29.71,28.61,29.68,306600,29.55
2014-10-20,28.50,28.77,28.28,28.66,258500,28.53
2014-10-17,27.93,28.82,27.84,28.52,420400,28.39
2014-10-16,26.64,27.58,26.63,27.53,558200,27.41
2014-10-15,26.70,27.36,26.51,27.06,415900,26.94
2014-10-14,27.35,27.41,26.93,27.18,654100,27.06
2014-10-13,27.83,28.05,27.07,27.12,667000,27.00
2014-10-10,29.30,29.47,27.70,27.71,771300,27.58
2014-10-09,30.02,30.21,29.31,29.33,147700,29.20
2014-10-08,29.67,30.15,29.38,30.09,157600,29.95
2014-10-07,30.25,30.25,29.60,29.64,217700,29.51
2014-10-06,30.56,30.77,30.29,30.37,162700,30.23
2014-10-03,30.58,30.72,30.38,30.42,138100,30.28
2014-10-02,30.36,30.54,29.94,30.33,174500,30.19
2014-10-01,30.95,30.95,30.32,30.33,477000,30.19
2014-09-30,31.23,31.23,30.88,30.93,249300,30.79
2014-09-29,30.82,31.26,30.64,31.16,245200,31.02
2014-09-26,31.24,31.46,30.95,31.19,188000,31.05
2014-09-25,31.60,31.83,31.09,31.10,247100,30.96
2014-09-24,31.23,31.67,31.10,31.66,174700,31.52
2014-09-23,31.44,31.63,31.15,31.20,273600,31.06
2014-09-22,31.55,31.72,31.34,31.59,195600,31.45
2014-09-19,32.11,32.18,31.37,31.73,881600,31.59
2014-09-18,32.41,32.41,32.15,32.20,274300,32.05
2014-09-17,32.45,32.60,32.10,32.21,213000,32.06
2014-09-16,32.12,32.50,31.95,32.40,362900,32.25
2014-09-15,32.13,32.79,30.27,32.23,265900,32.08
2014-09-12,32.98,33.02,32.58,32.79,169300,32.64
2014-09-11,32.75,33.05,32.63,32.92,179800,32.77
2014-09-10,32.69,32.97,32.68,32.91,153200,32.76
2014-09-09,32.81,32.86,32.57,32.61,133700,32.46
2014-09-08,32.71,33.09,32.64,32.91,200800,32.76
