Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.80,14.88,14.76,14.80,180300,14.80
2014-12-30,14.73,14.86,14.66,14.81,137100,14.81
2014-12-29,14.65,14.85,14.64,14.77,209600,14.77
2014-12-26,14.68,14.70,14.59,14.66,86300,14.66
2014-12-24,14.62,14.67,14.48,14.61,62000,14.61
2014-12-23,14.53,14.70,14.49,14.58,253100,14.58
2014-12-22,14.47,14.52,14.32,14.51,149300,14.51
2014-12-19,14.35,14.74,14.03,14.50,802700,14.50
2014-12-18,14.45,14.45,14.24,14.39,258000,14.39
2014-12-17,14.26,14.41,14.09,14.40,161800,14.40
2014-12-16,13.93,14.43,13.93,14.23,216700,14.23
2014-12-15,14.21,14.29,14.01,14.06,194400,14.06
2014-12-12,14.13,14.35,14.12,14.12,194400,14.12
2014-12-11,14.32,14.45,14.21,14.30,134300,14.30
2014-12-10,14.44,14.50,14.25,14.27,158200,14.27
2014-12-09,14.11,14.51,14.11,14.49,192200,14.49
2014-12-08,14.41,14.45,14.26,14.26,183000,14.26
2014-12-05,14.23,14.46,14.21,14.42,373600,14.42
2014-12-04,14.17,14.28,14.07,14.23,140600,14.23
2014-12-03,14.17,14.28,14.14,14.18,276400,14.18
2014-12-02,14.06,14.26,14.05,14.19,261600,14.19
2014-12-01,14.01,14.22,13.95,14.01,229300,14.01
2014-11-28,14.26,14.28,14.06,14.09,129500,14.09
2014-11-26,14.23,15.15,14.10,14.24,192200,14.24
2014-11-25,14.11,14.30,14.09,14.20,222600,14.20
2014-11-24,13.96,14.15,13.96,14.15,209000,14.15
2014-11-21,14.14,14.14,13.88,13.94,237000,13.94
2014-11-20,13.85,14.00,13.82,14.00,99300,14.00
2014-11-19,14.15,14.15,13.89,13.91,128900,13.91
2014-11-18,14.18,14.27,14.12,14.13,150700,14.13
2014-11-17,14.28,14.28,14.11,14.16,160400,14.16
2014-11-14,14.28,14.31,14.20,14.29,214300,14.29
2014-11-13,14.38,14.38,14.25,14.27,224900,14.27
2014-11-12,13.94,14.38,13.94,14.36,308000,14.36
2014-11-11,14.30,14.30,14.20,14.28,106600,14.28
2014-11-10,14.15,14.30,14.09,14.29,145700,14.29
2014-11-07,14.16,14.19,14.03,14.15,147000,14.15
2014-11-06,14.17,14.26,14.00,14.18,123600,14.18
2014-11-05,14.30,14.30,14.11,14.18,177600,14.18
2014-11-04,14.10,14.27,14.09,14.26,158200,14.26
2014-11-03,14.17,14.24,14.08,14.16,200600,14.16
2014-10-31,14.33,14.33,13.90,14.24,534300,14.17
2014-10-30,13.99,14.15,13.81,14.13,220900,14.06
2014-10-29,14.03,14.12,13.62,14.00,276600,13.93
2014-10-28,13.90,14.21,13.85,14.16,237200,14.09
2014-10-27,13.90,13.91,13.70,13.85,466300,13.78
2014-10-24,13.80,13.92,13.67,13.91,699400,13.84
2014-10-23,13.70,13.81,13.31,13.79,206100,13.72
2014-10-22,13.61,13.72,13.44,13.50,237000,13.43
2014-10-21,13.43,13.60,13.35,13.58,246600,13.51
2014-10-20,13.24,13.49,13.21,13.39,297400,13.32
2014-10-17,13.51,13.51,13.21,13.28,281600,13.21
2014-10-16,12.92,13.38,12.65,13.32,474000,13.25
2014-10-15,13.55,13.59,13.00,13.04,776000,12.98
2014-10-14,13.99,14.10,13.84,13.97,340400,13.90
2014-10-13,13.79,14.00,13.63,13.92,293300,13.85
2014-10-10,13.60,13.90,13.58,13.76,282100,13.69
2014-10-09,13.92,13.93,13.67,13.67,214600,13.60
2014-10-08,13.62,13.96,13.62,13.95,209900,13.88
2014-10-07,13.60,13.71,13.55,13.64,244600,13.57
2014-10-06,13.78,13.94,13.64,13.64,327100,13.57
2014-10-03,13.69,13.94,13.69,13.77,228300,13.70
2014-10-02,13.56,13.77,13.56,13.69,205100,13.62
2014-10-01,13.57,13.77,13.51,13.60,254900,13.53
2014-09-30,13.75,13.80,13.62,13.62,346000,13.55
2014-09-29,13.59,13.75,13.50,13.73,236000,13.66
2014-09-26,13.50,13.71,13.42,13.68,233900,13.61
2014-09-25,13.48,13.57,13.31,13.51,219200,13.44
2014-09-24,13.64,13.71,13.47,13.52,271400,13.45
2014-09-23,13.66,13.68,13.54,13.61,431500,13.54
2014-09-22,13.46,13.73,13.42,13.65,296600,13.58
2014-09-19,13.77,13.88,13.44,13.49,1483800,13.42
2014-09-18,13.64,13.77,13.64,13.74,245100,13.67
2014-09-17,13.54,13.72,13.50,13.61,156900,13.54
2014-09-16,13.53,13.69,13.50,13.54,135500,13.47
2014-09-15,13.66,13.73,13.52,13.54,131000,13.47
2014-09-12,13.70,13.75,13.55,13.67,215300,13.60
2014-09-11,13.65,13.74,13.54,13.68,177900,13.61
2014-09-10,13.50,13.72,13.42,13.72,265800,13.65
2014-09-09,13.53,13.53,13.35,13.48,197700,13.41
2014-09-08,13.20,13.57,13.15,13.56,431600,13.49
2014-09-05,13.03,13.19,13.00,13.17,121400,13.11
2014-09-04,13.19,13.24,13.08,13.09,124200,13.03
2014-09-03,13.26,13.26,13.13,13.14,157900,13.08
2014-09-02,13.18,13.26,13.06,13.22,200300,13.16
2014-08-29,13.03,13.12,13.03,13.11,159700,13.05
2014-08-28,12.99,13.08,12.95,13.02,145600,12.96
2014-08-27,13.16,13.18,13.05,13.07,87900,13.01
2014-08-26,13.13,13.20,13.12,13.15,132200,13.09
2014-08-25,13.08,13.17,13.04,13.10,85400,13.04
2014-08-22,13.06,13.14,13.05,13.09,86900,13.03
2014-08-21,13.06,13.12,12.95,13.07,105300,13.01
2014-08-20,13.07,13.10,12.94,13.04,183800,12.98
2014-08-19,13.05,13.10,12.99,13.08,164400,13.02
2014-08-18,13.02,13.05,12.93,13.05,120000,12.99
2014-08-15,13.05,13.05,12.83,12.91,187300,12.85
2014-08-14,13.00,13.05,12.98,12.99,97000,12.93
2014-08-13,13.01,13.04,12.98,13.01,132200,12.95
2014-08-12,13.00,13.05,12.97,13.00,131900,12.94
2014-08-11,13.07,13.09,13.00,13.04,84200,12.98
2014-08-08,12.92,13.05,12.81,13.01,149600,12.95
2014-08-07,12.97,13.01,12.85,12.93,132600,12.87
2014-08-06,12.79,13.04,12.79,12.97,548200,12.91
2014-08-05,12.67,12.89,12.65,12.84,188000,12.78
2014-08-04,12.71,12.88,12.65,12.76,156400,12.70
2014-08-01,12.77,12.89,12.69,12.78,199200,12.65
2014-07-31,12.90,12.91,12.74,12.76,408500,12.63
2014-07-30,13.03,13.05,12.91,12.98,203700,12.85
2014-07-29,13.01,13.05,12.96,12.96,153900,12.83
2014-07-28,12.94,13.06,12.89,12.98,214300,12.85
2014-07-25,12.91,13.00,12.90,12.97,222800,12.84
2014-07-24,12.92,13.05,12.89,13.02,252800,12.89
2014-07-23,12.77,12.84,12.76,12.79,145200,12.66
2014-07-22,12.82,12.84,12.73,12.77,148000,12.64
2014-07-21,12.70,12.82,12.64,12.79,150700,12.66
2014-07-18,12.64,12.90,12.64,12.80,244800,12.67
2014-07-17,12.70,12.78,12.66,12.68,208700,12.55
2014-07-16,12.92,12.92,12.73,12.76,176300,12.63
2014-07-15,12.92,12.99,12.77,12.84,189300,12.71
2014-07-14,12.93,12.95,12.80,12.88,169900,12.75
2014-07-11,12.89,12.95,12.80,12.84,156300,12.71
2014-07-10,12.77,12.96,12.75,12.86,213000,12.73
2014-07-09,13.03,13.08,12.94,12.97,86000,12.84
2014-07-08,12.93,13.04,12.93,12.99,222700,12.86
2014-07-07,13.16,13.16,12.98,13.00,178900,12.87
2014-07-03,13.06,13.24,13.06,13.19,62800,13.05
2014-07-02,13.15,13.23,13.02,13.03,172900,12.89
2014-07-01,13.11,13.31,13.04,13.16,309000,13.02
2014-06-30,13.05,13.18,12.97,13.11,148900,12.97
2014-06-27,12.92,13.12,12.92,13.05,585800,12.91
2014-06-26,13.02,13.06,12.98,13.01,112900,12.88
2014-06-25,12.95,13.09,12.85,13.05,153400,12.91
2014-06-24,13.05,13.23,13.00,13.03,171600,12.89
2014-06-23,13.08,13.11,13.00,13.09,170700,12.95
2014-06-20,13.05,13.10,13.00,13.08,509300,12.94
2014-06-19,13.11,13.15,13.03,13.07,128700,12.93
2014-06-18,13.05,13.15,13.00,13.10,357700,12.96
2014-06-17,12.95,13.20,12.95,13.08,137400,12.94
2014-06-16,13.06,13.11,12.90,12.99,207100,12.86
2014-06-13,13.04,13.12,12.91,13.02,157800,12.89
2014-06-12,13.06,13.15,12.92,13.05,195000,12.91
2014-06-11,13.22,13.24,13.08,13.13,158600,12.99
2014-06-10,13.33,13.37,13.22,13.31,167200,13.17
2014-06-09,13.45,13.51,13.35,13.39,315900,13.25
2014-06-06,13.45,13.52,13.34,13.48,284200,13.34
2014-06-05,13.20,13.40,13.16,13.40,300900,13.26
2014-06-04,13.13,13.19,13.12,13.17,172300,13.03
2014-06-03,13.19,13.26,13.05,13.13,237300,12.99
2014-06-02,13.05,13.19,12.87,13.19,415900,13.05
2014-05-30,13.01,13.10,12.86,13.01,908200,12.88
2014-05-29,12.92,13.02,12.87,12.98,181300,12.85
2014-05-28,13.06,13.06,12.89,12.91,218500,12.78
2014-05-27,13.13,13.22,12.78,13.05,220700,12.91
2014-05-23,13.00,13.05,12.94,13.05,221700,12.91
2014-05-22,12.93,13.00,12.80,12.98,227700,12.85
2014-05-21,12.93,13.02,12.76,12.86,209400,12.73
2014-05-20,12.94,12.95,12.69,12.85,307900,12.72
2014-05-19,12.79,12.95,12.70,12.94,204200,12.81
2014-05-16,12.69,12.82,12.57,12.82,205200,12.69
2014-05-15,12.56,12.77,12.48,12.73,309100,12.60
2014-05-14,12.88,12.88,12.57,12.59,202800,12.46
2014-05-13,13.05,13.05,12.86,12.86,364500,12.73
2014-05-12,13.05,13.19,13.03,13.12,257500,12.98
2014-05-09,12.79,13.05,12.79,13.05,247000,12.91
2014-05-08,12.83,12.96,12.78,12.87,311600,12.74
2014-05-07,12.59,12.91,12.51,12.89,265300,12.76
2014-05-06,12.69,12.93,12.57,12.59,250200,12.46
2014-05-05,12.85,12.97,12.66,12.75,235700,12.62
2014-05-02,12.87,13.05,12.81,12.99,213300,12.80
2014-05-01,12.93,13.03,12.75,12.89,322100,12.70
2014-04-30,12.92,13.03,12.72,12.97,344900,12.78
2014-04-29,12.96,12.99,12.87,12.92,334000,12.73
2014-04-28,12.77,12.96,12.65,12.89,332100,12.70
2014-04-25,12.88,12.95,12.70,12.74,220700,12.55
2014-04-24,12.90,12.99,12.82,12.96,192600,12.77
2014-04-23,12.76,12.93,12.75,12.83,309800,12.64
2014-04-22,12.67,12.84,12.65,12.79,263200,12.60
2014-04-21,12.69,12.75,12.61,12.69,149400,12.50
2014-04-17,12.59,12.74,12.55,12.72,169800,12.53
2014-04-16,12.63,12.65,12.54,12.62,201000,12.43
2014-04-15,12.57,12.61,12.40,12.58,233700,12.39
2014-04-14,12.52,12.62,12.45,12.55,221100,12.36
2014-04-11,12.43,12.55,12.42,12.44,206400,12.25
2014-04-10,12.60,12.78,12.42,12.49,336600,12.30
2014-04-09,12.66,12.69,12.57,12.61,237000,12.42
2014-04-08,12.62,12.74,12.62,12.65,208700,12.46
2014-04-07,12.59,12.72,12.51,12.61,246200,12.42
2014-04-04,12.83,12.83,12.54,12.62,254900,12.43
2014-04-03,12.84,12.84,12.76,12.77,228600,12.58
2014-04-02,12.95,12.98,12.80,12.85,235100,12.66
2014-04-01,12.86,12.98,12.84,12.97,305000,12.78
2014-03-31,12.70,12.90,12.67,12.86,295200,12.67
2014-03-28,12.62,12.80,12.60,12.66,167800,12.47
2014-03-27,12.78,12.81,12.63,12.64,174100,12.45
2014-03-26,13.01,13.01,12.74,12.74,226400,12.55
2014-03-25,12.98,13.00,12.93,12.97,227800,12.78
2014-03-24,13.01,13.03,12.82,12.95,199100,12.76
2014-03-21,13.00,13.04,12.91,12.99,504300,12.80
2014-03-20,12.86,12.99,12.86,12.98,226600,12.79
2014-03-19,12.87,12.95,12.78,12.91,254900,12.72
2014-03-18,12.88,12.93,12.79,12.90,211800,12.71
2014-03-17,12.88,12.94,12.87,12.90,231100,12.71
2014-03-14,12.82,12.90,12.80,12.87,199600,12.68
2014-03-13,12.90,12.95,12.82,12.88,151900,12.69
2014-03-12,12.85,12.91,12.78,12.90,291800,12.71
2014-03-11,12.88,12.93,12.80,12.90,381300,12.71
2014-03-10,12.80,12.90,12.75,12.88,414700,12.69
2014-03-07,12.80,12.85,12.77,12.80,204200,12.61
2014-03-06,12.78,12.86,12.74,12.80,175600,12.61
2014-03-05,12.75,12.80,12.66,12.79,184900,12.60
2014-03-04,12.75,12.89,12.63,12.79,1169600,12.60
2014-03-03,12.52,12.66,12.50,12.64,235200,12.45
2014-02-28,12.67,12.74,12.59,12.66,362600,12.47
2014-02-27,12.61,12.65,12.59,12.65,165900,12.46
2014-02-26,12.68,12.68,12.60,12.65,253900,12.46
2014-02-25,12.67,12.70,12.58,12.63,128700,12.44
2014-02-24,12.64,12.70,12.55,12.64,821000,12.45
2014-02-21,12.50,12.64,12.45,12.58,225300,12.39
2014-02-20,12.44,12.56,12.39,12.47,288800,12.28
2014-02-19,12.66,12.69,12.40,12.43,207200,12.24
2014-02-18,12.47,12.73,12.45,12.72,237300,12.53
2014-02-14,12.51,12.52,12.40,12.51,196500,12.32
2014-02-13,12.41,12.52,12.35,12.50,237900,12.31
2014-02-12,12.56,12.69,12.40,12.48,196600,12.29
2014-02-11,12.35,12.62,12.35,12.56,167100,12.37
2014-02-10,12.37,12.41,12.29,12.38,185100,12.20
2014-02-07,12.46,12.71,12.35,12.43,211700,12.19
2014-02-06,12.80,12.80,12.46,12.47,273200,12.22
2014-02-05,12.87,12.99,12.52,12.74,371500,12.49
2014-02-04,12.31,12.49,12.27,12.43,203700,12.19
2014-02-03,12.46,12.62,12.28,12.28,406600,12.04
2014-01-31,12.42,12.67,12.42,12.43,266600,12.19
2014-01-30,12.75,12.75,12.56,12.57,186000,12.32
2014-01-29,12.70,12.78,12.60,12.64,186500,12.39
2014-01-28,12.80,12.86,12.70,12.78,185900,12.53
2014-01-27,13.05,13.05,12.81,12.81,133700,12.56
2014-01-24,12.93,13.02,12.77,12.99,125000,12.73
2014-01-23,13.10,13.10,12.81,12.98,124600,12.72
2014-01-22,13.12,13.15,13.06,13.12,101900,12.86
2014-01-21,13.15,13.16,13.02,13.13,166900,12.87
2014-01-17,12.88,13.00,12.88,12.91,69600,12.66
2014-01-16,12.98,13.01,12.79,12.88,66900,12.63
2014-01-15,12.93,13.03,12.92,12.93,92800,12.68
2014-01-14,12.90,12.97,12.89,12.94,59400,12.69
2014-01-13,12.93,13.03,12.77,12.87,143600,12.62
2014-01-10,13.12,13.12,12.90,12.99,93900,12.73
2014-01-09,13.09,13.12,12.95,13.08,102900,12.82
2014-01-08,13.15,13.15,13.00,13.03,60000,12.77
2014-01-07,13.02,13.15,12.98,13.15,213500,12.89
2014-01-06,13.00,13.03,12.90,13.01,251500,12.75
2014-01-03,13.08,13.26,12.93,12.96,143700,12.70
2014-01-02,13.19,13.28,13.04,13.09,132400,12.83
2013-12-31,13.37,13.43,13.18,13.20,139500,12.94
2013-12-30,13.34,13.39,13.24,13.31,111900,13.05
2013-12-27,13.16,13.31,13.10,13.30,134400,13.04
2013-12-26,13.09,13.15,13.04,13.11,167000,12.85
2013-12-24,13.08,13.15,12.97,13.07,47800,12.81
2013-12-23,13.14,13.16,12.99,13.10,127200,12.84
2013-12-20,12.85,13.25,12.78,13.08,467400,12.82
2013-12-19,12.92,12.97,12.76,12.80,100600,12.55
2013-12-18,12.89,12.98,12.71,12.97,113200,12.71
2013-12-17,12.87,12.87,12.74,12.84,74800,12.59
2013-12-16,12.80,12.91,12.75,12.83,145100,12.58
2013-12-13,12.84,12.89,12.74,12.78,138000,12.53
2013-12-12,12.72,12.89,12.66,12.80,98600,12.55
2013-12-11,12.80,12.85,12.65,12.75,124700,12.50
2013-12-10,13.10,13.15,12.80,12.82,178400,12.57
2013-12-09,13.13,13.15,13.03,13.15,324300,12.89
2013-12-06,12.96,13.01,12.65,12.99,182800,12.73
2013-12-05,12.72,12.85,12.67,12.85,192400,12.60
2013-12-04,12.81,12.87,12.65,12.72,91300,12.47
2013-12-03,12.90,13.00,12.77,12.85,195200,12.60
2013-12-02,13.00,13.01,12.85,12.95,299600,12.69
2013-11-29,13.00,13.13,12.95,13.00,84900,12.74
2013-11-27,12.95,12.98,12.88,12.95,173000,12.69
2013-11-26,12.90,12.93,12.82,12.92,169100,12.67
2013-11-25,12.85,12.99,12.83,12.87,186400,12.62
2013-11-22,12.88,12.88,12.80,12.86,160500,12.61
2013-11-21,12.73,12.87,12.71,12.84,135400,12.59
2013-11-20,12.77,12.79,12.64,12.72,86900,12.47
2013-11-19,12.62,12.74,12.60,12.72,89300,12.47
2013-11-18,12.59,12.65,12.53,12.64,230600,12.39
2013-11-15,12.55,12.58,12.43,12.53,154900,12.28
2013-11-14,12.67,12.71,12.55,12.57,60000,12.32
2013-11-13,12.50,12.63,12.50,12.63,129700,12.38
2013-11-12,12.56,12.58,12.44,12.55,51700,12.30
2013-11-11,12.72,12.72,12.56,12.59,55900,12.34
2013-11-08,12.60,12.77,12.58,12.73,279100,12.48
2013-11-07,12.77,12.79,12.55,12.62,114300,12.37
2013-11-06,12.78,12.78,12.64,12.72,99500,12.47
2013-11-05,12.80,12.89,12.71,12.71,246100,12.46
2013-11-04,12.85,12.92,12.77,12.88,247000,12.63
2013-11-01,12.89,12.93,12.74,12.84,282300,12.53
2013-10-31,12.96,13.04,12.92,12.93,204400,12.62
2013-10-30,12.97,13.05,12.89,12.98,152500,12.66
2013-10-29,12.96,13.00,12.89,12.95,146500,12.64
2013-10-28,12.88,12.97,12.84,12.95,136900,12.64
2013-10-25,12.82,12.89,12.74,12.89,124000,12.58
2013-10-24,12.60,12.79,12.60,12.78,132900,12.47
