Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.00,35.98,34.55,35.97,2700,35.97
2014-12-30,34.70,34.70,34.64,34.67,500,34.67
2014-12-29,35.51,35.51,35.51,35.51,000,35.51
2014-12-26,35.35,35.81,35.35,35.51,1400,35.15
2014-12-24,35.90,35.90,35.90,35.90,300,35.54
2014-12-23,35.60,35.60,35.60,35.60,000,35.24
2014-12-22,35.60,35.75,35.50,35.60,1400,35.24
2014-12-19,36.19,37.25,33.80,33.80,6500,33.46
2014-12-18,37.10,37.25,36.00,37.25,11100,36.87
2014-12-17,37.23,37.23,36.27,36.27,800,35.90
2014-12-16,36.66,37.52,36.36,36.51,1200,36.14
2014-12-15,35.55,38.39,34.73,38.39,1900,38.00
2014-12-12,36.28,38.50,34.06,38.50,900,38.11
2014-12-11,38.05,38.92,38.00,38.53,1200,38.14
2014-12-10,38.58,39.20,37.86,38.00,22300,37.61
2014-12-09,34.00,39.30,34.00,39.29,20700,38.89
2014-12-08,33.71,33.71,33.71,33.71,400,33.37
2014-12-05,33.50,33.50,32.70,33.47,1500,33.13
2014-12-04,33.15,33.15,33.15,33.15,100,32.81
2014-12-03,35.38,35.38,33.16,34.08,2700,33.73
2014-12-02,33.91,35.04,33.91,34.95,2300,34.60
2014-12-01,34.41,34.50,34.41,34.50,2000,34.15
2014-11-28,33.81,33.81,33.81,33.81,000,33.47
2014-11-26,33.70,33.81,33.70,33.81,300,33.47
2014-11-25,32.70,34.50,32.70,34.50,2600,34.15
2014-11-24,34.41,34.41,34.41,34.41,200,34.06
2014-11-21,35.05,35.05,33.35,33.45,1200,33.11
2014-11-20,32.15,32.70,32.15,32.70,1400,32.37
2014-11-19,32.65,35.45,32.65,32.70,2000,32.37
2014-11-18,34.48,34.95,32.65,33.15,5900,32.81
2014-11-17,34.74,34.74,32.65,34.40,4200,34.05
2014-11-14,35.00,35.00,34.10,34.10,1600,33.75
2014-11-13,34.48,35.40,34.10,34.14,3600,33.79
2014-11-12,35.24,35.24,34.24,34.24,400,33.89
2014-11-11,34.63,35.45,34.63,35.30,1500,34.94
2014-11-10,34.75,35.35,34.07,34.07,2900,33.72
2014-11-07,34.50,34.80,34.05,34.50,1200,34.15
2014-11-06,34.53,34.95,34.09,34.09,4800,33.74
2014-11-05,34.70,34.70,34.37,34.37,400,34.02
2014-11-04,32.12,33.95,31.51,33.95,1700,33.61
2014-11-03,32.21,33.50,32.20,33.50,1600,33.16
2014-10-31,34.40,34.57,32.50,32.72,6900,32.39
2014-10-30,32.11,35.55,32.11,34.42,3600,34.07
2014-10-29,32.64,33.00,30.51,32.15,6500,31.82
2014-10-28,32.52,32.52,31.42,32.14,8800,31.81
2014-10-27,31.00,31.98,31.00,31.90,500,31.58
2014-10-24,30.60,32.25,30.60,31.85,4300,31.53
2014-10-23,32.76,32.76,31.00,32.00,6600,31.68
2014-10-22,31.12,31.97,30.75,30.75,4900,30.44
2014-10-21,32.40,33.99,30.80,31.28,10400,30.96
2014-10-20,31.02,33.91,30.93,30.93,4200,30.62
2014-10-17,33.06,33.28,31.00,31.00,11300,30.69
2014-10-16,34.48,36.39,30.20,31.46,30900,31.14
2014-10-15,32.74,34.95,32.74,34.95,2700,34.60
2014-10-14,35.48,35.50,33.01,33.90,6000,33.56
2014-10-13,35.25,36.00,35.00,35.54,2100,35.18
2014-10-10,35.39,36.10,33.59,35.08,13100,34.72
2014-10-09,36.17,36.17,36.10,36.15,3800,35.78
2014-10-08,36.67,36.67,36.55,36.65,800,36.28
2014-10-07,36.11,36.82,36.11,36.82,4000,36.45
2014-10-06,37.50,37.95,36.50,37.90,2100,37.52
2014-10-03,37.01,37.95,36.08,36.08,2000,35.71
2014-10-02,37.03,37.59,37.00,37.28,1900,36.90
2014-10-01,37.00,37.05,37.00,37.05,600,36.67
2014-09-30,37.10,37.15,37.10,37.10,700,36.72
2014-09-29,37.97,37.97,36.83,36.83,2000,36.46
2014-09-26,36.83,38.25,36.77,38.25,1200,37.86
2014-09-25,37.77,38.17,36.77,36.77,13200,36.40
2014-09-24,38.50,38.50,37.22,37.77,8800,37.39
2014-09-23,36.51,38.47,36.01,37.13,1900,36.75
2014-09-22,36.78,38.15,36.70,38.00,3100,37.61
2014-09-19,37.23,38.33,36.15,38.33,5600,37.94
2014-09-18,37.52,37.52,37.16,37.16,1500,36.78
2014-09-17,37.63,38.80,37.51,37.58,2700,37.20
2014-09-16,37.55,38.73,37.55,38.73,1300,38.34
2014-09-15,37.50,38.65,37.15,37.15,1800,36.77
2014-09-12,37.65,37.90,37.50,37.51,2800,37.13
2014-09-11,38.04,38.04,37.72,37.80,1000,37.42
2014-09-10,37.75,38.40,37.70,37.70,2200,37.32
2014-09-09,39.48,39.95,39.03,39.06,1600,38.66
2014-09-08,37.64,40.10,37.64,40.10,4800,39.69
2014-09-05,37.72,38.29,37.72,38.29,3600,37.90
2014-09-04,37.72,38.03,37.70,37.70,1800,37.32
2014-09-03,39.01,39.01,38.22,38.49,4100,38.10
2014-09-02,38.98,39.00,37.90,39.00,6500,38.60
2014-08-29,37.75,38.80,37.75,38.50,4900,38.11
2014-08-28,37.75,37.75,37.75,37.75,100,37.37
2014-08-27,37.64,37.84,37.64,37.84,500,37.46
2014-08-26,37.96,37.99,37.64,37.64,2200,37.26
2014-08-25,37.64,38.50,37.64,38.49,2900,38.10
2014-08-22,38.45,38.45,38.45,38.45,000,38.06
2014-08-21,38.06,38.45,38.06,38.45,400,38.06
2014-08-20,38.47,38.47,38.01,38.01,600,37.62
2014-08-19,38.70,38.70,38.37,38.50,1100,38.11
2014-08-18,38.97,39.00,38.52,39.00,1200,38.60
2014-08-15,37.65,37.67,37.64,37.64,1900,37.26
2014-08-14,38.51,38.51,37.70,38.01,600,37.62
2014-08-13,39.95,39.95,37.99,38.21,2600,37.82
2014-08-12,38.50,38.50,38.50,38.50,000,38.11
2014-08-11,39.05,39.05,38.12,38.50,4000,38.11
2014-08-08,39.00,39.50,38.94,39.34,1100,38.94
2014-08-07,39.05,39.05,38.53,38.71,1400,38.32
2014-08-06,37.41,38.20,36.64,37.96,3000,37.58
2014-08-05,38.80,39.24,37.11,37.11,5000,36.73
2014-08-04,40.08,40.08,38.75,38.80,2600,38.41
2014-08-01,40.00,40.00,40.00,40.00,000,39.59
2014-07-31,40.44,40.44,40.00,40.00,700,39.59
2014-07-30,40.62,40.62,40.00,40.00,600,39.59
2014-07-29,41.06,41.06,41.06,41.06,000,40.64
2014-07-28,41.06,41.06,41.06,41.06,3100,40.64
2014-07-25,40.03,41.57,40.03,41.57,700,41.15
2014-07-24,40.42,41.27,39.81,40.27,1100,39.86
2014-07-23,41.65,41.79,40.51,41.48,800,41.06
2014-07-22,41.70,41.70,40.44,40.44,600,40.03
2014-07-21,41.91,41.91,40.20,40.20,300,39.79
2014-07-18,40.13,41.00,40.13,40.50,800,40.09
2014-07-17,38.86,41.95,38.86,40.21,25400,39.80
2014-07-16,40.40,40.60,39.30,40.50,1700,40.09
2014-07-15,38.73,40.30,38.73,40.30,3700,39.89
2014-07-14,41.53,41.53,39.66,39.98,5100,39.57
2014-07-11,39.78,41.91,39.30,41.91,9800,41.49
2014-07-10,38.92,39.55,38.92,39.55,3800,39.15
2014-07-09,38.05,39.60,38.05,39.60,1600,39.20
2014-07-08,39.85,40.00,38.10,38.10,5100,37.71
2014-07-07,38.05,39.60,38.05,39.32,2900,38.92
2014-07-03,37.74,38.10,37.74,38.10,1500,37.71
2014-07-02,38.96,39.01,38.46,38.47,2200,38.08
2014-07-01,38.97,39.95,38.85,38.85,1500,38.46
2014-06-30,39.04,40.00,39.00,39.11,2000,38.71
2014-06-27,40.62,40.62,38.95,38.95,12600,38.56
2014-06-26,40.39,40.39,40.39,40.39,400,39.98
2014-06-25,42.94,42.94,40.91,40.91,2100,40.50
2014-06-24,42.42,43.00,41.32,42.73,16100,42.30
2014-06-23,42.69,42.69,42.10,42.10,1500,41.67
2014-06-20,42.00,43.00,42.00,42.56,18900,42.13
2014-06-19,39.97,43.00,39.97,42.02,13700,41.59
2014-06-18,39.25,40.74,39.25,40.05,4000,39.64
2014-06-17,38.88,39.95,38.81,39.50,9100,39.10
2014-06-16,37.78,39.08,37.20,38.72,8400,38.33
2014-06-13,36.89,38.39,36.68,37.49,6800,37.11
2014-06-12,37.00,37.01,36.17,36.24,2100,35.87
2014-06-11,37.30,38.19,36.50,36.59,6800,36.22
2014-06-10,36.05,37.52,36.05,37.42,9100,37.04
2014-06-09,38.00,39.04,36.56,36.75,9600,36.38
2014-06-06,38.80,39.00,38.40,38.40,3400,38.01
2014-06-05,39.58,39.70,38.70,39.10,4400,38.70
2014-06-04,39.50,40.20,39.25,39.80,12000,39.40
2014-06-03,41.03,41.03,39.00,40.40,4000,39.99
2014-06-02,41.03,41.89,40.76,41.00,3700,40.58
2014-05-30,40.88,41.57,40.88,41.57,400,41.15
2014-05-29,41.00,41.57,40.72,41.57,1700,41.15
2014-05-28,40.80,41.85,40.65,40.89,3100,40.48
2014-05-27,40.58,43.60,40.58,41.10,6200,40.68
2014-05-23,40.52,40.98,40.51,40.51,4400,40.10
2014-05-22,41.59,42.44,40.02,40.51,19500,40.10
2014-05-21,43.68,43.79,41.50,42.34,14400,41.91
2014-05-20,43.34,43.41,43.00,43.25,600,42.81
2014-05-19,43.52,44.00,43.52,44.00,1900,43.55
2014-05-16,43.22,43.30,43.00,43.20,1300,42.76
2014-05-15,43.21,43.45,43.21,43.41,600,42.97
2014-05-14,44.94,44.94,43.51,43.95,900,43.50
2014-05-13,44.95,44.95,43.54,44.20,1600,43.75
2014-05-12,44.33,44.77,43.31,44.55,2600,44.10
2014-05-09,43.99,43.99,43.99,43.99,200,43.54
2014-05-08,43.98,44.06,43.23,43.91,2500,43.46
2014-05-07,44.00,44.00,43.00,43.99,1500,43.54
2014-05-06,44.49,44.50,43.28,44.00,3600,43.55
2014-05-05,43.04,43.04,43.04,43.04,000,42.60
2014-05-02,43.59,43.59,43.04,43.04,2400,42.60
2014-05-01,43.69,44.00,42.05,43.39,19100,42.95
2014-04-30,43.15,43.97,41.40,43.97,4400,43.52
2014-04-29,41.50,43.61,41.50,43.61,2500,43.17
2014-04-28,40.76,43.66,40.76,43.66,3700,43.22
2014-04-25,41.91,43.39,41.41,43.39,3700,42.95
2014-04-24,42.24,42.48,41.96,42.48,1700,42.05
2014-04-23,41.94,42.10,41.20,41.92,26800,41.50
2014-04-22,41.44,41.98,41.00,41.50,3800,41.08
2014-04-21,40.68,41.92,40.68,41.52,1400,41.10
2014-04-17,40.15,40.15,40.15,40.15,900,39.74
2014-04-16,40.32,40.75,40.17,40.17,2200,39.76
2014-04-15,40.99,41.11,40.29,40.50,2400,40.09
2014-04-14,40.71,41.36,40.71,41.36,1300,40.94
2014-04-11,41.21,41.83,40.43,40.66,9500,40.25
2014-04-10,40.80,41.60,40.40,41.60,2600,41.18
2014-04-09,40.50,41.60,40.50,40.72,4100,40.31
2014-04-08,42.36,42.38,40.50,40.50,6100,40.09
2014-04-07,41.73,42.45,41.00,42.45,2200,42.02
2014-04-04,42.65,42.67,41.54,42.13,4300,41.70
2014-04-03,42.85,43.13,41.29,42.35,4400,41.92
2014-04-02,43.01,43.31,41.37,43.11,3100,42.67
2014-04-01,43.05,44.00,43.05,43.50,15000,43.06
2014-03-31,42.95,43.88,42.61,43.88,6200,43.44
2014-03-28,41.85,42.95,41.25,42.95,6000,42.51
2014-03-27,40.70,41.80,40.70,41.00,5400,40.58
2014-03-26,40.07,40.54,40.07,40.25,800,39.84
2014-03-25,40.00,40.10,39.60,40.00,2200,39.59
2014-03-24,39.50,40.00,39.20,40.00,3300,39.59
2014-03-21,38.97,39.48,38.97,39.48,2700,39.08
2014-03-20,40.19,40.60,39.29,39.40,3500,39.00
2014-03-19,40.76,41.43,40.24,40.32,6600,39.91
2014-03-18,40.11,41.41,40.08,41.26,10200,40.84
2014-03-17,42.01,42.01,40.73,41.15,7900,40.73
2014-03-14,40.13,42.99,39.75,41.91,14900,41.49
2014-03-13,41.17,41.34,40.20,40.49,1500,40.08
2014-03-12,40.50,40.80,40.03,40.68,2300,40.27
2014-03-11,40.98,40.99,40.52,40.53,1500,40.12
2014-03-10,42.33,42.33,41.33,41.33,2400,40.91
2014-03-07,41.31,42.82,40.52,42.82,4600,42.39
2014-03-06,40.50,41.54,40.50,41.54,16600,41.12
2014-03-05,40.40,40.75,40.30,40.50,2100,40.09
2014-03-04,39.99,40.79,39.67,40.50,10200,40.09
2014-03-03,39.60,40.03,39.51,39.66,4600,39.26
2014-02-28,39.81,40.40,39.80,40.04,4500,39.63
2014-02-27,40.00,40.38,39.65,39.89,2200,39.49
2014-02-26,39.50,40.98,39.28,39.94,5200,39.54
2014-02-25,40.00,40.14,39.14,39.20,7800,38.80
2014-02-24,40.00,40.35,39.41,39.51,5200,39.11
2014-02-21,39.26,40.61,39.17,39.80,4900,39.40
2014-02-20,39.48,39.68,38.71,39.29,6200,38.89
2014-02-19,38.00,40.00,38.00,39.14,13300,38.74
2014-02-18,37.36,38.49,37.36,38.10,3800,37.71
2014-02-14,39.45,40.00,37.56,37.58,5400,37.20
2014-02-13,38.00,39.99,38.00,39.99,3400,39.58
2014-02-12,40.34,40.73,38.30,38.30,3200,37.91
2014-02-11,39.50,40.54,39.24,40.54,12000,40.13
2014-02-10,38.50,39.57,36.70,39.14,3700,38.74
2014-02-07,39.30,39.52,37.07,38.20,6600,37.81
2014-02-06,39.60,39.65,38.50,39.55,11100,39.15
2014-02-05,39.54,39.70,39.40,39.70,1500,39.30
2014-02-04,39.44,39.79,39.40,39.73,2300,39.33
2014-02-03,39.80,40.25,39.01,39.90,20700,39.50
2014-01-31,38.49,39.98,38.29,39.60,5100,39.20
2014-01-30,38.06,39.30,38.00,38.85,4900,38.46
2014-01-29,37.99,38.25,37.42,38.25,3000,37.86
2014-01-28,36.50,38.25,36.18,38.25,10000,37.86
2014-01-27,36.51,36.85,36.25,36.69,3100,36.32
2014-01-24,35.93,36.65,35.47,36.51,7400,36.14
2014-01-23,35.44,36.83,35.44,36.39,6700,36.02
2014-01-22,34.25,35.70,34.25,35.56,11000,35.20
2014-01-21,33.37,34.49,33.32,34.08,10200,33.73
2014-01-17,33.60,34.00,33.31,33.31,4500,32.97
2014-01-16,33.51,33.61,33.50,33.58,1300,33.24
2014-01-15,33.81,33.89,33.50,33.53,2300,33.19
2014-01-14,33.95,34.31,33.95,34.31,300,33.96
2014-01-13,34.22,34.22,33.64,33.90,3300,33.56
2014-01-10,34.01,34.75,34.01,34.45,15700,34.10
2014-01-09,34.25,34.35,33.56,34.09,5200,33.74
2014-01-08,34.30,34.70,33.81,34.07,9500,33.72
2014-01-07,34.20,34.60,34.00,34.50,14600,34.15
2014-01-06,34.54,34.54,33.80,34.15,2500,33.80
2014-01-03,34.75,34.75,34.11,34.69,400,34.34
2014-01-02,34.78,34.93,33.94,34.50,12100,34.15
2013-12-31,34.20,35.00,34.20,34.71,11300,34.36
2013-12-30,34.37,35.00,33.46,34.50,13100,34.15
2013-12-27,33.60,34.25,33.60,34.09,4700,33.74
2013-12-26,34.08,34.94,34.08,34.20,3200,33.85
2013-12-24,34.36,34.36,33.73,33.73,300,33.39
2013-12-23,34.21,34.99,33.23,34.75,3700,34.40
2013-12-20,33.68,34.78,33.68,34.31,12700,33.96
