Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.45,13.45,13.44,13.45,1100,13.41
2014-12-30,13.45,13.45,13.45,13.45,100,13.41
2014-12-29,13.45,13.45,13.45,13.45,300,13.41
2014-12-26,13.05,13.05,13.05,13.05,000,13.01
2014-12-24,13.05,13.05,13.05,13.05,000,13.01
2014-12-23,13.05,13.05,13.05,13.05,100,13.01
2014-12-22,14.25,14.25,14.25,14.25,200,14.21
2014-12-19,13.08,13.30,13.08,13.30,2100,13.26
2014-12-18,13.56,13.58,13.20,13.20,4100,13.16
2014-12-17,13.56,13.56,13.56,13.56,600,13.52
2014-12-16,14.25,14.25,14.25,14.25,000,14.21
2014-12-15,14.25,14.25,14.25,14.25,300,14.21
2014-12-12,13.50,13.56,13.50,13.56,2500,13.52
2014-12-11,14.25,14.25,14.25,14.25,000,14.21
2014-12-10,14.25,14.25,14.25,14.25,300,14.21
2014-12-09,14.20,14.20,14.20,14.20,200,14.16
2014-12-08,14.25,14.25,14.25,14.25,200,14.21
2014-12-05,14.67,14.67,14.67,14.67,000,14.63
2014-12-04,14.22,14.67,14.20,14.67,800,14.63
2014-12-03,14.00,14.40,13.96,14.00,4100,13.96
2014-12-02,13.74,14.23,13.74,13.81,800,13.77
2014-12-01,13.30,13.30,13.30,13.30,200,13.26
2014-11-28,14.00,14.00,13.30,13.48,1200,13.44
2014-11-26,14.39,14.45,14.00,14.00,900,13.96
2014-11-25,13.50,13.50,13.48,13.50,2100,13.46
2014-11-24,14.75,14.75,13.55,13.75,800,13.71
2014-11-21,14.00,14.00,14.00,14.00,300,13.96
2014-11-20,14.75,14.75,13.08,13.89,5300,13.85
2014-11-19,14.78,14.78,14.78,14.78,100,14.73
2014-11-18,14.99,14.99,14.99,14.99,000,14.94
2014-11-17,15.15,15.24,14.99,14.99,1000,14.94
2014-11-14,15.03,15.25,14.60,15.25,3700,15.20
2014-11-13,14.80,15.22,14.60,15.00,4200,14.95
2014-11-12,14.70,15.00,14.67,14.72,3100,14.67
2014-11-11,14.97,15.85,14.60,14.65,4900,14.61
2014-11-10,14.15,14.75,14.15,14.51,1500,14.47
2014-11-07,14.00,14.00,14.00,14.00,000,13.96
2014-11-06,13.57,14.00,13.55,14.00,5100,13.96
2014-11-05,13.60,13.60,13.60,13.60,200,13.53
2014-11-04,13.35,13.60,13.28,13.31,2200,13.24
2014-11-03,13.35,13.35,13.16,13.35,3100,13.28
2014-10-31,13.57,13.61,13.00,13.35,4600,13.28
2014-10-30,14.20,14.20,13.00,13.61,3200,13.54
2014-10-29,14.00,14.00,14.00,14.00,000,13.93
2014-10-28,14.00,14.00,14.00,14.00,1800,13.93
2014-10-27,14.13,14.13,13.20,14.00,700,13.93
2014-10-24,14.00,14.02,14.00,14.00,3900,13.93
2014-10-23,14.18,14.18,13.00,13.87,1400,13.80
