Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.20,10.40,10.20,10.39,73700,10.39
2014-12-30,10.12,10.12,10.03,10.03,1900,10.03
2014-12-29,9.90,10.00,9.88,9.99,56500,9.99
2014-12-26,9.99,10.05,9.94,10.00,70000,10.00
2014-12-24,9.99,10.04,9.96,10.02,21800,10.02
2014-12-23,9.87,10.14,9.84,10.07,44000,10.07
2014-12-22,9.90,9.99,9.78,9.98,24900,9.98
2014-12-19,9.99,10.09,9.95,10.01,15500,10.01
2014-12-18,10.13,10.13,9.97,10.04,28600,10.04
2014-12-17,10.06,10.17,10.00,10.08,19400,10.08
2014-12-16,9.94,10.28,9.93,10.16,26200,10.16
2014-12-15,10.12,10.23,10.05,10.13,31800,10.13
2014-12-12,9.85,10.14,9.78,10.01,25300,10.01
2014-12-11,10.01,10.09,9.86,9.87,20300,9.87
2014-12-10,10.18,10.18,9.85,9.91,26100,9.91
2014-12-09,10.13,10.27,9.96,10.19,39000,10.19
2014-12-08,10.37,10.51,10.18,10.21,18300,10.21
2014-12-05,10.63,10.64,10.46,10.51,23800,10.51
2014-12-04,10.37,10.57,10.29,10.54,19900,10.54
2014-12-03,10.34,10.47,10.28,10.43,37000,10.43
2014-12-02,10.20,10.30,10.08,10.28,33600,10.28
2014-12-01,10.50,10.56,10.26,10.32,29500,10.32
2014-11-28,10.70,10.75,10.55,10.61,23500,10.61
2014-11-26,10.53,10.75,10.52,10.75,22700,10.75
2014-11-25,10.48,10.71,10.48,10.65,27900,10.65
2014-11-24,10.30,10.59,10.30,10.51,31700,10.51
2014-11-21,10.52,10.53,10.36,10.39,30100,10.39
2014-11-20,10.46,10.57,10.39,10.44,29200,10.44
2014-11-19,10.74,10.74,10.41,10.42,22200,10.42
2014-11-18,10.67,10.71,10.61,10.69,29400,10.69
2014-11-17,10.65,10.70,10.55,10.58,23000,10.58
2014-11-14,10.59,10.69,10.52,10.55,6900,10.55
2014-11-13,10.60,10.61,10.44,10.50,33300,10.50
2014-11-12,10.59,10.60,10.44,10.53,23200,10.53
