Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.34,24.64,24.20,24.64,13300,24.64
2014-12-30,24.20,24.30,24.20,24.30,2800,24.30
2014-12-29,24.40,24.40,24.06,24.24,8400,24.24
2014-12-26,24.55,24.65,24.54,24.60,10300,24.12
2014-12-24,24.49,24.60,24.49,24.60,8300,24.12
2014-12-23,24.43,24.54,24.40,24.54,8400,24.06
2014-12-22,24.35,24.54,24.28,24.54,5700,24.06
2014-12-19,24.26,24.40,24.25,24.39,12000,23.91
2014-12-18,24.31,24.33,23.92,24.25,24800,23.77
2014-12-17,23.94,24.33,23.94,24.31,13200,23.83
2014-12-16,24.33,24.33,23.99,24.09,10200,23.62
2014-12-15,24.03,24.12,24.00,24.10,4500,23.63
2014-12-12,24.20,24.22,24.00,24.10,8500,23.63
2014-12-11,24.12,24.25,23.98,24.18,27500,23.70
2014-12-10,24.13,24.19,24.00,24.13,143700,23.66
2014-12-09,24.15,24.26,24.08,24.16,6500,23.68
2014-12-08,24.16,24.60,23.91,24.25,2200,23.77
2014-12-05,24.28,24.28,24.05,24.20,3000,23.72
2014-12-04,24.21,24.56,24.21,24.39,3200,23.91
2014-12-03,24.20,24.39,23.95,24.19,8200,23.71
2014-12-02,24.38,24.54,24.16,24.34,7500,23.86
2014-12-01,24.18,24.24,24.01,24.24,4000,23.76
2014-11-28,24.14,24.24,23.90,24.19,8800,23.71
2014-11-26,24.08,24.14,23.88,23.99,5000,23.52
2014-11-25,23.95,24.07,23.81,23.98,17400,23.51
2014-11-24,23.80,23.92,23.77,23.91,11200,23.44
2014-11-21,23.72,23.84,23.70,23.78,10800,23.31
2014-11-20,23.86,23.86,23.70,23.82,7200,23.35
2014-11-19,23.96,23.96,23.70,23.77,35500,23.30
2014-11-18,23.99,24.08,23.62,23.82,44000,23.35
2014-11-17,24.08,24.08,23.98,24.08,4100,23.61
2014-11-14,24.23,24.23,23.93,24.07,8700,23.60
2014-11-13,24.07,24.28,24.07,24.15,11600,23.67
2014-11-12,24.20,24.28,24.20,24.28,400,23.80
2014-11-11,24.21,24.26,24.08,24.14,8400,23.67
2014-11-10,24.07,24.30,24.07,24.18,2400,23.70
2014-11-07,24.20,24.20,24.15,24.20,9700,23.72
2014-11-06,24.21,24.25,24.06,24.11,3900,23.64
2014-11-05,24.19,24.35,24.19,24.21,2700,23.73
2014-11-04,24.39,24.39,24.34,24.34,1600,23.86
2014-11-03,24.28,24.39,24.28,24.39,700,23.91
2014-10-31,24.29,24.62,24.19,24.45,28200,23.97
2014-10-30,23.99,24.50,23.99,24.48,55600,24.00
2014-10-29,24.28,24.28,23.82,24.00,8200,23.53
2014-10-28,23.90,24.28,23.83,24.16,10100,23.68
2014-10-27,24.00,24.00,23.81,23.98,25900,23.51
2014-10-24,23.94,23.98,23.88,23.98,8300,23.51
2014-10-23,24.00,24.00,23.81,23.94,8000,23.47
2014-10-22,23.95,23.95,23.82,23.89,3300,23.42
2014-10-21,23.70,23.94,23.69,23.88,4600,23.41
2014-10-20,23.73,23.75,23.65,23.73,4000,23.26
2014-10-17,23.64,23.73,23.53,23.71,5800,23.24
2014-10-16,23.68,23.74,23.60,23.72,8000,23.25
2014-10-15,23.52,23.72,23.52,23.69,20900,23.22
2014-10-14,23.65,23.75,23.52,23.66,11700,23.19
2014-10-13,23.73,23.88,23.62,23.75,6200,23.28
2014-10-10,23.95,23.95,23.72,23.86,10800,23.39
2014-10-09,23.82,23.94,23.77,23.88,5500,23.41
2014-10-08,23.67,23.97,23.60,23.89,4200,23.42
2014-10-07,23.98,23.98,23.70,23.89,4300,23.42
2014-10-06,23.90,23.99,23.85,23.95,15100,23.48
2014-10-03,23.80,23.94,23.73,23.93,7200,23.46
2014-10-02,23.87,23.94,23.81,23.93,8200,23.46
2014-10-01,23.84,23.93,23.73,23.87,11000,23.40
2014-09-30,23.80,23.94,23.64,23.88,7200,23.41
2014-09-29,23.85,23.93,23.77,23.85,10500,23.38
2014-09-26,24.42,24.42,24.20,24.25,7600,23.30
2014-09-25,24.10,24.42,24.10,24.27,7700,23.32
2014-09-24,24.38,24.38,24.05,24.19,20800,23.24
2014-09-23,24.36,24.36,24.18,24.35,8300,23.39
2014-09-22,24.30,24.42,24.08,24.22,16200,23.27
2014-09-19,24.10,24.33,24.09,24.23,23600,23.28
2014-09-18,24.05,24.22,24.05,24.07,5900,23.13
2014-09-17,24.40,24.40,24.00,24.11,27900,23.16
2014-09-16,24.10,24.42,24.01,24.37,63600,23.41
2014-09-15,24.00,24.18,24.00,24.11,29000,23.16
2014-09-12,24.14,24.14,23.90,23.95,31100,23.01
2014-09-11,24.20,24.20,24.05,24.09,2900,23.14
2014-09-10,24.07,24.22,23.95,23.97,33500,23.03
2014-09-09,24.08,24.15,24.07,24.07,7300,23.13
2014-09-08,24.24,24.24,24.06,24.07,14600,23.13
2014-09-05,24.11,24.24,24.04,24.06,7800,23.12
2014-09-04,24.23,24.24,24.11,24.14,7700,23.19
2014-09-03,23.98,24.22,23.98,24.04,8900,23.10
2014-09-02,24.14,24.23,23.82,24.10,26400,23.15
2014-08-29,24.00,24.17,23.85,24.15,28000,23.20
2014-08-28,24.04,24.05,23.89,24.04,13500,23.10
2014-08-27,24.05,24.05,23.99,24.03,3000,23.09
2014-08-26,23.95,24.16,23.95,24.01,7800,23.07
2014-08-25,24.02,24.19,23.95,24.02,9400,23.08
2014-08-22,24.24,24.24,23.95,24.02,18100,23.08
2014-08-21,24.07,24.24,24.04,24.22,6500,23.27
2014-08-20,24.25,24.25,23.97,24.07,4300,23.13
2014-08-19,24.27,24.27,23.95,23.95,14800,23.01
2014-08-18,24.14,24.30,24.10,24.10,25600,23.15
2014-08-15,24.11,24.24,24.11,24.15,7400,23.20
2014-08-14,24.10,24.17,23.77,24.15,8200,23.20
2014-08-13,24.14,24.14,24.06,24.12,6500,23.17
2014-08-12,24.15,24.15,23.96,23.99,14200,23.05
2014-08-11,23.96,24.28,23.96,24.14,9700,23.19
2014-08-08,24.09,24.09,23.96,24.05,13100,23.11
2014-08-07,24.01,24.01,23.87,24.01,5400,23.07
2014-08-06,23.93,24.01,23.85,24.01,16000,23.07
2014-08-05,24.10,24.10,23.96,23.99,4300,23.05
2014-08-04,23.93,24.05,23.83,24.00,22000,23.06
2014-08-01,24.00,24.00,23.85,23.93,4100,22.99
2014-07-31,24.00,24.00,23.58,23.96,10800,23.02
2014-07-30,24.07,24.07,23.81,23.84,9200,22.90
2014-07-29,24.02,24.32,23.85,23.94,10500,23.00
