Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.61,8.71,8.57,8.57,5078300,8.57
2014-12-30,8.74,8.87,8.59,8.61,677800,8.61
2014-12-29,8.81,8.91,8.71,8.75,6113800,8.75
2014-12-26,8.74,8.90,8.71,8.84,2786600,8.84
2014-12-24,8.65,8.80,8.63,8.75,2520600,8.75
2014-12-23,8.57,8.85,8.49,8.69,9855200,8.69
2014-12-22,8.65,8.70,8.42,8.54,8189400,8.54
2014-12-19,8.36,8.70,8.15,8.65,18493400,8.65
2014-12-18,8.11,8.79,8.11,8.39,20807000,8.39
2014-12-17,7.92,8.05,7.77,8.04,12368500,8.04
2014-12-16,7.96,8.06,7.84,7.92,13093800,7.92
2014-12-15,7.82,8.05,7.75,7.84,11245300,7.84
2014-12-12,7.48,7.98,7.45,7.79,16322700,7.79
2014-12-11,7.44,7.74,7.17,7.54,39124500,7.54
2014-12-10,6.51,7.01,6.41,6.73,22865200,6.73
2014-12-09,6.25,6.58,6.23,6.55,5652700,6.55
2014-12-08,6.30,6.43,6.23,6.35,4950500,6.35
2014-12-05,6.29,6.39,6.24,6.32,6753300,6.32
2014-12-04,6.55,6.60,6.22,6.28,9235800,6.28
2014-12-03,6.41,6.67,6.37,6.57,6159400,6.57
2014-12-02,6.36,6.48,6.22,6.36,10940400,6.36
2014-12-01,6.62,6.64,6.33,6.35,5959800,6.35
2014-11-28,6.75,6.75,6.62,6.63,2465100,6.63
2014-11-26,6.65,6.73,6.54,6.63,4399800,6.63
2014-11-25,6.75,6.80,6.59,6.63,6258600,6.63
2014-11-24,6.84,6.90,6.66,6.73,10563700,6.73
2014-11-21,6.95,7.00,6.80,6.84,7729300,6.84
2014-11-20,6.69,6.88,6.68,6.87,5444400,6.87
2014-11-19,6.73,6.78,6.56,6.71,7250300,6.71
2014-11-18,6.68,6.80,6.66,6.69,5476700,6.69
2014-11-17,6.58,6.72,6.53,6.69,7130700,6.69
2014-11-14,6.71,6.86,6.68,6.79,9249700,6.79
2014-11-13,6.85,6.87,6.67,6.72,12369700,6.72
2014-11-12,6.58,6.96,6.54,6.84,16029200,6.84
2014-11-11,6.50,6.68,6.48,6.66,13966200,6.66
2014-11-10,6.49,6.57,6.45,6.49,8131600,6.49
2014-11-07,6.25,6.51,6.21,6.50,19985400,6.50
2014-11-06,6.43,6.68,6.30,6.37,18787100,6.37
2014-11-05,6.31,6.56,6.10,6.48,24946400,6.48
2014-11-04,5.95,6.35,5.76,6.33,54169400,6.33
2014-11-03,5.21,5.25,5.03,5.07,9314700,5.07
2014-10-31,5.19,5.28,5.07,5.22,7184300,5.22
2014-10-30,5.10,5.18,5.04,5.09,6078300,5.09
2014-10-29,5.26,5.32,5.05,5.13,6988600,5.13
2014-10-28,5.07,5.26,5.01,5.26,6432800,5.26
2014-10-27,5.06,5.09,4.89,5.06,4774700,5.06
2014-10-24,5.09,5.14,5.01,5.05,3408800,5.05
2014-10-23,5.09,5.20,5.04,5.11,5944200,5.11
2014-10-22,5.17,5.20,5.00,5.02,8505100,5.02
2014-10-21,5.04,5.19,5.03,5.17,5742600,5.17
2014-10-20,4.79,5.16,4.74,5.02,13574200,5.02
2014-10-17,4.98,4.98,4.76,4.82,9513800,4.82
2014-10-16,4.59,4.93,4.56,4.91,11162400,4.91
2014-10-15,4.38,4.73,4.26,4.68,19354400,4.68
2014-10-14,4.53,4.64,4.40,4.46,11483500,4.46
2014-10-13,4.58,4.69,4.43,4.43,8380100,4.43
2014-10-10,4.63,4.80,4.58,4.59,7388500,4.59
2014-10-09,4.93,4.95,4.68,4.68,8856600,4.68
2014-10-08,4.92,5.02,4.84,4.95,11491400,4.95
2014-10-07,5.10,5.10,4.89,4.90,9853500,4.90
2014-10-06,5.19,5.30,5.07,5.13,6257700,5.13
2014-10-03,5.08,5.26,5.08,5.19,8583100,5.19
2014-10-02,5.03,5.14,4.88,5.06,8851300,5.06
2014-10-01,5.15,5.18,4.92,5.01,21517600,5.01
2014-09-30,5.28,5.32,5.13,5.14,10591400,5.14
2014-09-29,5.26,5.39,5.23,5.31,5089400,5.31
2014-09-26,5.34,5.42,5.31,5.31,5864300,5.31
2014-09-25,5.43,5.47,5.28,5.31,7564000,5.31
2014-09-24,5.38,5.48,5.35,5.45,5115900,5.45
2014-09-23,5.49,5.52,5.35,5.36,5889700,5.36
2014-09-22,5.65,5.65,5.43,5.53,7833300,5.53
2014-09-19,5.73,5.80,5.57,5.61,7615400,5.61
2014-09-18,5.80,5.80,5.66,5.70,4956400,5.70
