Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.69,5.90,5.67,5.87,11500,5.87
2014-12-30,6.00,6.00,5.72,5.76,3500,5.76
2014-12-29,5.75,5.99,5.65,5.99,900,5.99
2014-12-26,5.90,5.90,5.60,5.65,6600,5.65
2014-12-24,5.57,5.57,5.57,5.57,000,5.57
2014-12-23,5.78,5.88,5.53,5.57,7000,5.57
2014-12-22,6.15,6.15,5.49,5.77,16000,5.77
2014-12-19,5.82,6.08,5.75,5.77,9900,5.77
2014-12-18,5.81,5.94,5.69,5.91,8000,5.91
2014-12-17,5.76,5.85,5.76,5.85,1500,5.85
2014-12-16,5.76,5.99,5.69,5.69,17000,5.69
2014-12-15,5.85,6.00,5.70,5.70,18400,5.70
2014-12-12,5.86,5.88,5.79,5.87,3400,5.87
2014-12-11,6.20,6.49,5.76,5.76,10900,5.76
2014-12-10,6.18,6.26,6.01,6.22,19700,6.22
2014-12-09,6.19,6.19,6.01,6.07,3200,6.07
2014-12-08,6.00,6.20,5.99,6.00,6900,6.00
2014-12-05,6.21,6.22,5.68,6.00,51000,6.00
2014-12-04,6.25,6.52,5.96,6.06,21500,6.06
2014-12-03,6.35,6.60,6.10,6.19,39800,6.19
2014-12-02,6.05,6.79,5.82,6.39,83200,6.39
2014-12-01,6.50,6.69,6.06,6.58,41500,6.58
2014-11-28,6.49,6.49,6.49,6.49,500,6.49
2014-11-26,6.50,6.50,6.37,6.50,19000,6.50
2014-11-25,6.80,6.80,6.45,6.50,13300,6.50
2014-11-24,7.01,7.01,6.90,6.90,600,6.90
2014-11-21,6.98,6.98,6.75,6.97,6700,6.97
2014-11-20,7.01,7.04,6.75,6.79,16100,6.79
2014-11-19,7.02,7.33,6.78,7.33,18500,7.33
2014-11-18,7.09,7.40,7.09,7.40,3800,7.40
2014-11-17,7.35,7.35,7.35,7.35,300,7.35
2014-11-14,7.17,7.17,7.05,7.05,1100,7.05
2014-11-13,7.40,7.40,7.05,7.05,2200,7.05
2014-11-12,7.71,7.71,7.44,7.44,9200,7.32
2014-11-11,7.64,7.80,7.64,7.77,4200,7.64
2014-11-10,7.85,7.85,7.61,7.61,4100,7.49
2014-11-07,7.76,7.85,7.69,7.85,6400,7.72
2014-11-06,7.74,7.76,7.68,7.76,11400,7.63
2014-11-05,7.45,7.76,7.45,7.62,17300,7.50
2014-11-04,7.58,7.76,7.44,7.46,6200,7.22
2014-11-03,7.35,7.75,7.35,7.36,23400,7.12
2014-10-31,7.52,7.56,7.36,7.49,15500,7.25
2014-10-30,7.41,7.70,7.41,7.56,31100,7.32
2014-10-29,7.30,7.45,7.25,7.45,13100,7.21
2014-10-28,6.93,7.30,6.93,7.10,24000,6.87
2014-10-27,7.20,7.30,7.18,7.30,8100,7.07
2014-10-24,7.01,7.20,6.80,7.20,15500,6.97
2014-10-23,7.05,7.19,6.99,7.01,10600,6.79
2014-10-22,7.00,7.09,6.75,7.09,6900,6.86
2014-10-21,6.60,7.00,6.60,7.00,19400,6.78
2014-10-20,6.73,6.80,6.44,6.79,14300,6.57
2014-10-17,6.40,6.75,6.40,6.73,6400,6.51
2014-10-16,6.40,6.77,6.40,6.52,6200,6.31
2014-10-15,6.44,6.80,6.40,6.62,9400,6.41
2014-10-14,6.45,6.55,6.45,6.55,5000,6.34
2014-10-13,6.31,6.50,6.29,6.47,6600,6.26
2014-10-10,6.35,6.55,6.29,6.55,9900,6.34
2014-10-09,6.65,6.65,6.35,6.65,4600,6.44
2014-10-08,6.50,6.55,6.49,6.50,3200,6.29
2014-10-07,6.45,6.50,6.37,6.37,12600,6.17
2014-10-06,6.55,6.70,6.41,6.43,4900,6.22
