Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.00,15.19,14.94,14.95,102500,14.95
2014-12-30,14.64,15.11,14.60,14.92,85100,14.92
2014-12-29,14.54,14.77,14.50,14.55,82300,14.55
2014-12-26,14.50,14.87,14.50,14.85,82000,14.85
2014-12-24,14.63,14.63,14.52,14.52,38700,14.52
2014-12-23,14.77,14.86,14.54,14.66,88700,14.66
2014-12-22,15.00,15.09,14.62,14.62,86200,14.62
2014-12-19,15.06,15.25,14.94,15.05,69700,15.05
2014-12-18,14.85,15.08,14.56,14.97,68900,14.97
2014-12-17,14.20,14.75,14.18,14.56,155600,14.56
2014-12-16,14.60,14.61,13.02,14.02,376400,14.02
2014-12-15,15.36,15.62,14.74,14.83,151100,14.83
2014-12-12,15.93,16.00,15.81,15.92,89700,15.32
2014-12-11,15.81,16.00,15.80,15.93,62900,15.33
2014-12-10,15.98,16.02,15.80,15.85,53400,15.25
2014-12-09,16.03,16.06,15.81,15.93,93600,15.33
2014-12-08,16.29,16.30,16.01,16.13,76300,15.52
2014-12-05,16.30,16.30,16.16,16.24,33900,15.63
2014-12-04,16.30,16.35,16.17,16.22,89800,15.61
2014-12-03,16.28,16.31,16.20,16.30,37600,15.69
2014-12-02,16.10,16.25,16.00,16.20,64900,15.59
2014-12-01,16.35,16.35,16.00,16.10,62100,15.49
2014-11-28,16.39,16.39,16.30,16.31,88100,15.70
2014-11-26,16.37,16.44,16.31,16.39,79300,15.77
2014-11-25,16.43,16.46,16.36,16.37,33600,15.75
2014-11-24,16.43,16.43,16.39,16.40,47700,15.78
2014-11-21,16.35,16.50,16.32,16.39,62900,15.77
2014-11-20,16.40,16.48,16.26,16.44,37000,15.82
2014-11-19,16.49,16.49,16.40,16.44,18900,15.82
2014-11-18,16.40,16.45,16.40,16.45,39100,15.83
2014-11-17,16.29,16.46,16.20,16.41,44700,15.79
2014-11-14,16.24,16.34,16.17,16.29,48800,15.68
2014-11-13,16.41,16.45,16.06,16.25,88500,15.64
2014-11-12,16.39,16.41,16.31,16.40,67500,15.78
2014-11-11,16.15,16.45,16.15,16.39,71600,15.77
2014-11-10,16.30,16.45,16.15,16.23,66500,15.62
2014-11-07,16.10,16.37,16.03,16.05,33500,15.45
2014-11-06,16.07,16.19,15.90,16.00,51800,15.40
2014-11-05,16.00,16.27,15.89,16.13,30900,15.52
2014-11-04,15.87,15.92,15.80,15.89,39400,15.29
2014-11-03,15.85,15.90,15.85,15.85,39600,15.25
2014-10-31,15.82,15.95,15.82,15.85,42000,15.25
2014-10-30,15.75,15.88,15.71,15.87,24000,15.27
2014-10-29,15.75,15.75,15.70,15.75,37100,15.16
2014-10-28,15.75,15.75,15.63,15.69,21900,15.10
2014-10-27,15.61,15.68,15.60,15.67,19500,15.08
2014-10-24,15.78,15.78,15.55,15.70,43700,15.11
2014-10-23,15.75,15.81,15.56,15.72,71800,15.13
2014-10-22,15.60,15.89,15.51,15.71,138100,15.12
2014-10-21,15.39,15.56,15.33,15.56,59700,14.97
2014-10-20,15.55,15.77,15.22,15.22,46200,14.65
2014-10-17,15.70,15.76,15.50,15.57,43000,14.98
2014-10-16,14.90,15.67,14.77,15.67,93500,15.08
2014-10-15,15.32,15.34,14.75,14.90,162600,14.34
2014-10-14,15.00,15.47,15.00,15.33,145900,14.75
2014-10-13,15.16,15.16,14.96,15.01,108100,14.44
2014-10-10,15.15,15.24,14.66,15.00,182000,14.43
