Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.00,9.72,9.00,9.52,11400,9.52
2014-12-30,9.65,9.65,9.65,9.65,200,9.65
2014-12-29,9.81,9.90,9.51,9.89,19800,9.89
2014-12-26,9.70,9.99,9.68,9.90,4300,9.90
2014-12-24,9.89,9.89,9.51,9.51,10100,9.51
2014-12-23,9.55,9.99,9.45,9.89,4400,9.89
2014-12-22,9.37,9.64,9.37,9.44,6300,9.44
2014-12-19,9.20,9.48,9.06,9.37,18000,9.37
2014-12-18,9.01,9.48,9.00,9.46,9400,9.46
2014-12-17,9.00,9.19,8.87,9.01,15800,9.01
2014-12-16,9.05,9.23,9.05,9.11,17100,9.11
2014-12-15,9.04,9.10,9.04,9.05,9800,9.05
2014-12-12,9.19,9.20,9.10,9.17,10100,9.17
2014-12-11,9.01,9.18,9.01,9.10,4100,9.10
2014-12-10,9.04,9.23,9.00,9.02,19300,9.02
2014-12-09,9.03,9.20,9.00,9.00,6200,9.00
2014-12-08,9.33,9.45,9.00,9.05,15400,9.05
2014-12-05,9.49,9.50,9.02,9.31,11600,9.31
2014-12-04,8.65,9.44,8.65,9.28,17900,9.28
2014-12-03,8.62,9.29,8.62,9.00,22800,9.00
2014-12-02,8.62,9.48,8.50,9.47,14000,9.47
2014-12-01,9.60,9.60,8.77,9.03,21400,9.03
2014-11-28,9.56,9.65,9.52,9.64,8500,9.64
2014-11-26,9.65,9.77,9.53,9.53,9900,9.53
2014-11-25,9.56,9.60,9.53,9.54,4100,9.54
2014-11-24,9.57,9.74,9.54,9.54,8100,9.54
2014-11-21,9.50,9.77,9.44,9.59,11200,9.59
2014-11-20,9.24,9.58,9.24,9.51,12300,9.51
2014-11-19,8.85,9.28,8.75,9.12,20100,9.12
2014-11-18,8.86,9.04,8.71,8.79,17200,8.79
2014-11-17,9.08,9.08,8.70,8.82,8700,8.82
2014-11-14,8.94,9.20,8.77,9.07,24900,9.07
2014-11-13,8.80,8.95,8.78,8.94,12500,8.94
2014-11-12,8.69,8.92,8.60,8.80,14100,8.80
2014-11-11,8.71,8.95,8.40,8.90,15500,8.90
2014-11-10,8.23,8.80,7.92,8.80,85500,8.80
2014-11-07,9.87,9.87,7.42,7.45,69300,7.45
2014-11-06,10.05,10.60,10.05,10.60,22000,10.60
2014-11-05,9.87,10.12,9.82,10.10,12700,10.10
2014-11-04,9.81,10.05,9.81,9.87,7400,9.87
2014-11-03,9.66,9.85,9.57,9.83,8600,9.83
2014-10-31,9.62,9.85,9.61,9.66,15000,9.66
2014-10-30,9.70,9.88,9.65,9.65,15200,9.65
2014-10-29,9.60,9.94,9.54,9.75,16400,9.75
2014-10-28,10.25,10.38,9.40,9.51,20600,9.51
2014-10-27,10.27,10.33,10.09,10.31,8000,10.31
2014-10-24,10.22,10.40,10.05,10.25,20500,10.25
2014-10-23,9.99,10.20,9.98,10.17,6100,10.17
2014-10-22,9.59,9.99,9.59,9.92,18900,9.92
2014-10-21,9.44,9.83,9.43,9.57,8200,9.57
2014-10-20,9.13,9.24,9.01,9.23,9000,9.23
2014-10-17,8.86,9.10,8.85,9.00,10300,9.00
2014-10-16,8.75,9.10,8.42,8.76,33800,8.76
2014-10-15,9.00,9.18,9.00,9.00,10000,9.00
2014-10-14,9.10,9.15,9.10,9.14,4700,9.14
2014-10-13,9.16,9.23,9.10,9.12,3600,9.12
2014-10-10,9.23,9.23,9.10,9.23,1800,9.23
2014-10-09,9.16,9.25,9.09,9.15,10600,9.15
2014-10-08,9.11,9.26,9.07,9.24,5300,9.24
2014-10-07,9.11,9.28,9.10,9.13,9100,9.13
2014-10-06,9.31,9.38,9.03,9.20,20500,9.20
2014-10-03,9.55,9.57,8.95,9.16,19200,9.16
2014-10-02,9.85,9.90,9.51,9.63,16800,9.63
2014-10-01,9.75,9.89,9.67,9.86,8500,9.86
2014-09-30,10.01,10.07,9.75,9.77,37700,9.77
2014-09-29,10.14,10.28,10.01,10.05,4900,10.05
2014-09-26,10.06,10.42,10.06,10.40,3600,10.40
2014-09-25,10.01,10.15,10.01,10.14,1700,10.14
2014-09-24,10.36,10.36,10.00,10.07,2600,10.07
2014-09-23,10.32,10.40,10.03,10.26,11900,10.26
2014-09-22,10.17,10.60,10.17,10.37,11200,10.37
2014-09-19,10.10,10.57,10.00,10.51,21000,10.51
2014-09-18,10.05,10.12,10.01,10.01,11000,10.01
2014-09-17,10.09,10.12,10.04,10.12,4600,10.12
2014-09-16,10.10,10.16,10.01,10.15,7600,10.15
2014-09-15,10.34,10.49,10.04,10.16,13600,10.16
2014-09-12,10.11,10.28,10.01,10.28,9000,10.28
2014-09-11,10.07,10.26,10.00,10.03,14300,10.03
2014-09-10,10.01,10.10,10.00,10.07,7500,10.07
2014-09-09,10.55,10.60,10.07,10.10,23000,10.10
2014-09-08,10.59,10.74,10.46,10.46,7300,10.46
2014-09-05,10.78,10.99,10.71,10.85,8400,10.85
2014-09-04,10.98,11.20,10.83,10.85,10900,10.85
2014-09-03,10.99,10.99,10.62,10.98,7700,10.98
2014-09-02,10.42,11.00,10.40,10.98,24400,10.98
2014-08-29,10.39,10.44,10.27,10.44,6100,10.44
2014-08-28,10.39,10.44,10.28,10.36,12000,10.36
2014-08-27,10.23,10.49,10.01,10.49,12200,10.49
2014-08-26,9.92,10.50,9.92,10.48,15400,10.48
2014-08-25,10.16,10.49,10.13,10.49,13100,10.49
2014-08-22,9.93,10.17,9.85,10.17,10400,10.17
2014-08-21,10.07,10.17,9.65,10.03,12400,10.03
2014-08-20,10.13,10.17,10.00,10.17,13700,10.17
2014-08-19,9.83,10.19,9.82,10.12,11100,10.12
2014-08-18,9.88,10.20,9.82,10.11,22400,10.11
2014-08-15,9.65,9.89,9.60,9.88,29600,9.88
2014-08-14,9.36,9.74,9.25,9.68,24200,9.68
2014-08-13,9.30,9.50,9.25,9.37,25300,9.37
2014-08-12,9.38,9.50,9.20,9.32,7900,9.32
2014-08-11,9.15,9.49,9.06,9.47,18500,9.47
2014-08-08,9.30,9.51,8.95,8.99,44200,8.99
2014-08-07,9.75,9.75,9.56,9.65,46100,9.65
2014-08-06,9.67,9.75,9.61,9.74,12100,9.74
2014-08-05,9.62,9.72,9.62,9.65,4400,9.65
2014-08-04,9.80,9.82,9.57,9.70,22100,9.70
2014-08-01,9.89,9.90,9.53,9.61,13500,9.61
2014-07-31,9.85,9.99,9.82,9.90,17000,9.90
2014-07-30,9.91,9.94,9.85,9.90,11400,9.90
2014-07-29,10.15,10.19,9.92,9.92,6100,9.92
2014-07-28,10.40,10.40,10.20,10.24,7600,10.24
2014-07-25,10.34,10.36,10.30,10.34,3500,10.34
2014-07-24,10.27,10.56,10.27,10.38,50300,10.38
2014-07-23,10.04,10.38,9.97,10.19,44500,10.19
2014-07-22,9.90,10.13,9.90,10.05,21200,10.05
2014-07-21,10.07,10.21,9.95,9.95,14600,9.95
2014-07-18,10.23,10.40,10.07,10.13,10000,10.13
2014-07-17,10.40,10.49,10.29,10.29,16600,10.29
2014-07-16,10.45,10.55,10.40,10.40,22300,10.40
2014-07-15,10.33,10.54,10.31,10.35,5900,10.35
2014-07-14,10.71,10.71,10.42,10.42,14300,10.42
2014-07-11,10.96,11.15,10.40,10.68,4700,10.68
2014-07-10,11.24,11.24,10.91,11.03,10400,11.03
2014-07-09,11.15,11.50,11.15,11.45,8200,11.45
2014-07-08,11.55,11.55,11.13,11.40,21400,11.40
2014-07-07,11.73,11.73,11.51,11.58,21200,11.58
2014-07-03,10.80,11.82,10.78,11.82,15700,11.82
2014-07-02,10.68,10.80,10.37,10.73,16700,10.73
2014-07-01,10.30,10.79,10.30,10.63,6900,10.63
2014-06-30,10.49,10.79,10.45,10.66,13700,10.66
2014-06-27,10.33,10.53,10.23,10.30,14700,10.30
2014-06-26,10.09,10.37,10.09,10.33,5500,10.33
2014-06-25,10.12,10.39,10.00,10.27,7100,10.27
2014-06-24,10.19,10.28,9.89,10.09,21900,10.09
2014-06-23,10.04,10.35,10.03,10.28,11900,10.28
2014-06-20,10.10,10.11,9.86,10.11,36100,10.11
2014-06-19,9.89,10.32,9.89,10.18,17100,10.18
2014-06-18,9.89,10.00,9.85,9.88,12900,9.88
2014-06-17,9.94,9.96,9.86,9.90,2800,9.90
2014-06-16,9.87,10.05,9.80,9.97,24600,9.97
2014-06-13,9.83,9.84,9.81,9.84,4900,9.84
2014-06-12,9.82,9.84,9.80,9.83,16000,9.83
2014-06-11,9.84,9.85,9.71,9.81,19200,9.81
2014-06-10,9.85,9.85,9.80,9.84,15900,9.84
2014-06-09,9.80,9.84,9.75,9.82,11400,9.82
2014-06-06,9.85,9.85,9.81,9.81,6300,9.81
2014-06-05,9.80,9.84,9.80,9.80,5400,9.80
2014-06-04,9.80,9.85,9.80,9.83,11400,9.83
2014-06-03,9.73,9.93,9.73,9.81,6300,9.81
2014-06-02,9.88,9.89,9.79,9.89,11300,9.89
2014-05-30,9.85,10.04,9.80,9.96,6900,9.96
2014-05-29,9.86,9.91,9.80,9.90,17100,9.90
2014-05-28,9.99,10.14,9.80,9.89,11700,9.89
2014-05-27,9.94,10.02,9.82,10.02,9900,10.02
2014-05-23,9.81,9.99,9.81,9.99,2500,9.99
2014-05-22,9.90,10.04,9.80,9.85,21800,9.85
2014-05-21,9.89,10.02,9.89,9.95,5300,9.95
2014-05-20,10.00,10.10,9.95,10.05,7700,10.05
2014-05-19,9.86,10.03,9.71,10.00,16300,10.00
2014-05-16,9.86,9.95,9.80,9.80,18200,9.80
2014-05-15,9.88,9.91,9.70,9.80,9600,9.80
2014-05-14,10.15,10.16,9.84,9.88,7000,9.88
2014-05-13,10.20,10.25,10.10,10.24,6800,10.24
2014-05-12,10.03,10.27,10.03,10.15,10200,10.15
2014-05-09,9.88,10.12,9.86,10.07,22200,10.07
2014-05-08,9.86,9.95,9.80,9.82,27400,9.82
2014-05-07,10.02,10.11,9.85,9.89,19500,9.89
2014-05-06,10.11,10.23,10.00,10.06,10000,10.06
2014-05-05,10.30,10.33,10.21,10.23,6900,10.23
2014-05-02,10.40,10.42,10.30,10.41,22600,10.41
2014-05-01,10.43,10.43,10.40,10.42,29800,10.42
2014-04-30,10.45,10.50,10.31,10.42,16100,10.42
2014-04-29,10.04,10.54,10.04,10.41,46400,10.41
2014-04-28,9.99,10.05,9.92,10.04,10100,10.04
2014-04-25,10.00,10.19,9.84,9.91,8800,9.91
2014-04-24,10.15,10.23,9.90,10.21,5500,10.21
2014-04-23,10.21,10.24,10.05,10.14,3100,10.14
2014-04-22,9.98,10.35,9.94,10.17,20500,10.17
2014-04-21,9.81,9.99,9.81,9.92,8300,9.92
2014-04-17,9.77,9.90,9.77,9.84,8600,9.84
2014-04-16,9.84,9.91,9.80,9.84,10200,9.84
2014-04-15,9.77,9.84,9.66,9.78,14900,9.78
2014-04-14,9.91,9.91,9.80,9.80,11100,9.80
2014-04-11,9.80,9.86,9.71,9.83,14600,9.83
2014-04-10,9.83,9.90,9.77,9.87,6000,9.87
2014-04-09,9.78,9.89,9.78,9.88,31800,9.88
2014-04-08,9.83,9.86,9.71,9.84,15900,9.84
2014-04-07,9.75,9.88,9.67,9.88,38300,9.88
2014-04-04,9.88,9.90,9.80,9.83,15500,9.83
2014-04-03,9.80,9.90,9.80,9.88,10300,9.88
2014-04-02,9.70,9.83,9.69,9.78,30400,9.78
2014-04-01,9.75,9.83,9.72,9.74,9900,9.74
2014-03-31,9.83,9.83,9.71,9.78,10300,9.78
2014-03-28,9.91,9.91,9.80,9.80,6400,9.80
2014-03-27,9.77,9.91,9.71,9.86,11400,9.86
2014-03-26,9.75,9.84,9.65,9.72,16600,9.72
2014-03-25,9.83,9.93,9.69,9.73,21300,9.73
2014-03-24,9.79,9.95,9.66,9.80,26600,9.80
2014-03-21,9.80,9.95,9.61,9.80,83900,9.80
2014-03-20,9.80,9.87,9.75,9.75,22200,9.75
2014-03-19,9.84,9.99,9.80,9.80,16400,9.80
2014-03-18,9.84,9.99,9.80,9.88,35100,9.88
2014-03-17,9.80,9.99,9.80,9.92,23400,9.92
2014-03-14,9.86,9.89,9.78,9.80,6200,9.80
2014-03-13,9.81,9.90,9.75,9.83,46600,9.83
2014-03-12,9.77,9.90,9.70,9.89,22900,9.89
2014-03-11,9.99,9.99,9.80,9.89,28200,9.89
2014-03-10,9.61,9.99,9.60,9.96,32800,9.96
2014-03-07,9.77,9.80,9.61,9.69,21200,9.69
2014-03-06,9.68,9.80,9.60,9.68,21700,9.68
2014-03-05,9.55,9.78,9.55,9.73,18000,9.73
