Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.30,4.30,3.92,4.00,196300,4.00
2014-12-30,4.45,4.51,4.34,4.34,1300,4.34
2014-12-29,4.51,4.53,4.38,4.43,35600,4.43
2014-12-26,4.57,4.61,4.47,4.55,13500,4.55
2014-12-24,4.50,4.64,4.50,4.63,6100,4.63
2014-12-23,4.93,4.93,4.39,4.52,61100,4.52
2014-12-22,4.58,4.83,4.57,4.69,48000,4.69
2014-12-19,4.70,4.70,4.45,4.60,124200,4.60
2014-12-18,4.45,4.75,4.45,4.75,52600,4.75
2014-12-17,4.29,4.41,4.07,4.41,18200,4.41
2014-12-16,4.22,4.34,4.17,4.28,23200,4.28
2014-12-15,4.20,4.25,4.02,4.21,37400,4.21
2014-12-12,4.09,4.20,4.02,4.16,28200,4.16
2014-12-11,4.11,4.19,4.04,4.09,77600,4.09
2014-12-10,4.30,4.34,4.08,4.08,124900,4.08
2014-12-09,4.24,4.49,4.23,4.46,25700,4.46
2014-12-08,4.40,4.41,4.28,4.28,23900,4.28
2014-12-05,4.44,4.62,4.39,4.44,86900,4.44
2014-12-04,4.35,4.63,4.34,4.51,38400,4.51
2014-12-03,4.40,4.40,4.32,4.40,457500,4.40
2014-12-02,4.42,4.54,4.36,4.45,38500,4.45
2014-12-01,5.26,5.26,4.27,4.42,193300,4.42
2014-11-28,5.37,5.46,5.28,5.28,1600,5.28
2014-11-26,5.28,5.44,5.20,5.33,19800,5.33
2014-11-25,5.49,5.49,5.20,5.35,22400,5.35
2014-11-24,5.50,5.57,5.45,5.52,20700,5.52
2014-11-21,5.43,5.53,5.36,5.45,24200,5.45
2014-11-20,5.36,5.36,5.25,5.36,3600,5.36
2014-11-19,5.35,5.37,5.21,5.34,30600,5.34
2014-11-18,5.31,5.67,5.31,5.39,36200,5.39
2014-11-17,5.04,5.37,4.94,5.35,97600,5.35
2014-11-14,5.06,5.14,4.95,5.00,44000,5.00
2014-11-13,5.23,5.28,5.09,5.12,25500,5.12
2014-11-12,5.45,5.45,5.24,5.25,51400,5.25
2014-11-11,5.66,5.66,5.28,5.32,105300,5.32
2014-11-10,5.94,5.94,5.58,5.65,81600,5.65
2014-11-07,5.95,6.01,5.86,5.94,179000,5.94
2014-11-06,6.18,6.18,5.70,5.99,148700,5.99
2014-11-05,6.25,6.27,6.10,6.16,22100,6.16
2014-11-04,6.10,6.28,6.10,6.26,37800,6.26
2014-11-03,5.95,6.26,5.95,6.17,47000,6.17
2014-10-31,6.10,6.10,5.80,6.00,31000,6.00
2014-10-30,6.03,6.15,6.03,6.09,11300,6.09
2014-10-29,6.07,6.09,5.96,6.05,13300,6.05
2014-10-28,6.02,6.11,6.02,6.10,31700,6.10
2014-10-27,6.07,6.16,5.95,5.99,20600,5.99
2014-10-24,6.13,6.20,6.05,6.10,13300,6.10
2014-10-23,6.06,6.27,6.06,6.08,20100,6.08
2014-10-22,6.07,6.17,6.01,6.01,12400,6.01
2014-10-21,6.09,6.20,6.04,6.10,37600,6.10
2014-10-20,5.95,6.22,5.95,6.13,39300,6.13
2014-10-17,6.08,6.08,5.93,6.03,30200,6.03
2014-10-16,5.91,6.05,5.91,5.99,66300,5.99
2014-10-15,5.85,6.08,5.80,5.98,31000,5.98
2014-10-14,5.88,6.02,5.80,5.91,51200,5.91
2014-10-13,5.86,5.98,5.75,5.89,50200,5.89
2014-10-10,6.14,6.20,5.83,5.92,35100,5.92
2014-10-09,6.27,6.32,6.05,6.11,25200,6.11
2014-10-08,6.23,6.30,6.14,6.28,19200,6.28
2014-10-07,6.30,6.34,6.20,6.27,11100,6.27
2014-10-06,6.42,6.42,6.23,6.28,10900,6.28
2014-10-03,6.30,6.41,6.26,6.37,2900,6.37
2014-10-02,6.31,6.38,6.11,6.29,39400,6.29
2014-10-01,6.46,6.46,6.21,6.27,27400,6.27
2014-09-30,6.34,6.55,6.25,6.47,51500,6.47
2014-09-29,6.12,6.36,6.12,6.31,10500,6.31
