Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.68,25.12,24.13,24.66,471100,24.66
2014-12-30,24.67,24.99,24.39,24.54,485300,24.54
2014-12-29,24.94,25.44,24.75,24.88,355300,24.88
2014-12-26,25.23,25.30,25.05,25.16,290400,24.82
2014-12-24,25.84,25.86,25.23,25.23,202900,24.89
2014-12-23,25.54,25.94,24.92,25.76,240400,25.42
2014-12-22,25.25,25.84,24.70,25.26,300300,24.92
2014-12-19,25.25,26.08,25.01,25.17,1073100,24.83
2014-12-18,25.40,26.12,24.57,25.11,436500,24.78
2014-12-17,23.96,24.91,23.76,24.57,508200,24.24
2014-12-16,23.48,24.63,23.46,23.96,614400,23.64
2014-12-15,23.93,24.67,22.68,23.47,941700,23.16
2014-12-12,24.18,24.74,23.62,23.74,540900,23.42
2014-12-11,23.93,25.01,23.83,24.35,461500,24.03
2014-12-10,24.45,25.25,23.67,23.76,568100,23.44
2014-12-09,24.20,24.76,23.88,24.50,961100,24.17
2014-12-08,25.80,26.64,23.88,24.33,561800,24.01
2014-12-05,25.58,25.85,25.32,25.79,357500,25.45
2014-12-04,26.33,26.93,25.50,25.64,429300,25.30
2014-12-03,26.38,27.28,26.25,26.43,527600,26.08
2014-12-02,25.60,26.74,25.32,26.47,711400,26.12
2014-12-01,26.60,26.60,25.33,25.60,618000,25.26
2014-11-28,26.87,26.92,26.22,26.53,162500,26.18
2014-11-26,26.96,27.27,26.61,26.93,251400,26.57
2014-11-25,25.98,26.86,25.90,26.86,502100,26.50
2014-11-24,26.09,26.45,25.57,25.83,388100,25.49
2014-11-21,26.43,26.49,25.74,25.87,460700,25.53
2014-11-20,25.78,26.01,25.41,25.97,304800,25.62
2014-11-19,26.88,27.13,25.67,25.78,546800,25.44
2014-11-18,26.53,27.19,26.51,26.80,415800,26.44
2014-11-17,27.16,27.85,26.40,26.42,287300,26.07
2014-11-14,28.01,28.16,26.90,27.21,246200,26.85
2014-11-13,28.76,28.93,27.93,28.07,267300,27.70
2014-11-12,27.89,28.84,27.76,28.76,234200,28.38
2014-11-11,28.40,28.95,27.58,28.12,225400,27.75
2014-11-10,28.09,28.66,27.35,27.65,160700,27.28
2014-11-07,26.71,28.19,26.68,28.17,537000,27.79
2014-11-06,27.01,27.28,26.65,26.75,496800,26.39
2014-11-05,27.26,27.87,26.66,26.98,550900,26.62
2014-11-04,28.71,28.99,27.02,27.13,312200,26.77
2014-11-03,28.65,29.02,28.01,28.74,294800,28.36
2014-10-31,30.57,31.11,28.15,28.78,337500,28.40
2014-10-30,28.58,29.41,28.24,29.12,254000,28.73
2014-10-29,28.71,29.00,28.26,28.58,226400,28.20
2014-10-28,28.14,28.54,27.81,28.53,269700,28.15
2014-10-27,28.34,28.34,27.53,27.98,164000,27.61
2014-10-24,28.20,28.86,28.01,28.25,338500,27.87
2014-10-23,28.54,29.00,28.11,28.15,209800,27.78
2014-10-22,26.96,28.74,26.96,28.29,362400,27.91
2014-10-21,28.32,28.79,28.09,28.70,244200,28.32
2014-10-20,28.49,28.87,27.52,28.19,280200,27.81
2014-10-17,27.66,28.87,27.30,28.57,1018300,28.19
2014-10-16,25.83,27.80,25.81,27.21,593700,26.85
2014-10-15,26.27,26.64,25.32,26.17,925900,25.82
2014-10-14,28.05,28.35,25.60,26.68,803200,26.32
2014-10-13,28.70,28.95,27.84,27.97,284200,27.60
2014-10-10,28.78,29.46,28.68,28.79,365300,28.41
2014-10-09,30.68,31.22,28.74,29.01,498700,28.62
2014-10-08,31.00,31.24,30.22,30.51,333200,30.10
2014-10-07,30.92,31.59,30.67,30.98,301900,30.57
2014-10-06,31.70,31.91,30.94,30.99,172000,30.58
2014-10-03,31.20,31.69,31.01,31.68,188600,31.26
2014-10-02,31.52,31.74,30.70,30.87,397100,30.46
2014-10-01,31.01,32.03,30.50,31.61,632000,31.19
2014-09-30,31.62,32.11,30.62,30.92,780500,30.51
2014-09-29,30.32,30.77,30.06,30.76,272700,30.35
2014-09-26,30.22,30.67,30.02,30.53,209600,30.12
2014-09-25,30.58,30.75,30.45,30.68,272700,29.95
2014-09-24,30.64,30.85,30.12,30.72,284000,29.99
2014-09-23,30.26,30.60,30.11,30.56,460900,29.83
2014-09-22,30.79,30.95,30.28,30.35,708700,29.63
2014-09-19,30.84,31.15,30.56,30.91,455000,30.17
2014-09-18,30.84,31.03,30.50,30.81,257600,30.07
2014-09-17,30.91,31.30,30.83,30.88,323900,30.14
2014-09-16,30.90,31.27,30.85,30.95,196900,30.21
2014-09-15,31.37,31.81,30.86,30.92,351400,30.18
2014-09-12,32.07,32.42,30.50,31.30,372400,30.55
2014-09-11,32.02,32.42,31.61,32.26,154500,31.49
2014-09-10,32.54,32.80,32.08,32.15,278500,31.38
2014-09-09,32.72,32.99,32.27,32.59,355400,31.81
2014-09-08,32.41,33.10,32.40,32.75,855900,31.97
2014-09-05,31.57,32.65,31.56,32.36,419600,31.59
2014-09-04,31.89,32.23,31.57,31.69,255500,30.93
2014-09-03,31.71,32.01,31.70,31.85,128400,31.09
2014-09-02,32.23,33.15,31.61,31.71,358300,30.95
2014-08-29,31.89,32.33,31.58,32.24,217500,31.47
2014-08-28,31.64,31.99,31.31,31.85,151200,31.09
2014-08-27,31.42,31.86,31.11,31.70,214500,30.94
2014-08-26,31.19,31.42,30.88,31.27,267400,30.52
2014-08-25,31.46,31.46,30.92,31.05,484300,30.31
2014-08-22,31.18,31.51,31.06,31.24,111400,30.49
2014-08-21,31.19,31.52,30.95,31.17,211300,30.43
2014-08-20,30.90,31.26,30.74,31.22,223500,30.47
2014-08-19,31.33,31.50,30.78,30.99,380500,30.25
2014-08-18,30.97,31.25,30.94,31.18,243000,30.44
2014-08-15,30.75,30.90,30.40,30.84,315100,30.10
2014-08-14,30.38,30.83,30.29,30.77,199200,30.04
2014-08-13,29.97,30.90,29.92,30.50,463700,29.77
2014-08-12,30.21,30.25,29.94,29.95,264800,29.24
2014-08-11,30.36,30.65,30.15,30.38,240500,29.66
2014-08-08,29.98,30.43,29.61,30.35,349300,29.63
2014-08-07,30.69,30.99,30.01,30.09,420600,29.37
2014-08-06,30.59,31.37,30.32,30.70,710700,29.97
2014-08-05,31.37,32.04,31.00,31.70,709300,30.94
2014-08-04,30.67,31.86,30.31,31.58,480300,30.83
2014-08-01,31.14,31.35,30.49,30.67,503600,29.94
2014-07-31,31.20,31.54,30.84,30.99,430200,30.25
2014-07-30,31.89,32.30,31.15,31.43,419500,30.68
2014-07-29,31.96,32.34,31.31,31.73,504400,30.97
2014-07-28,31.77,32.37,31.42,31.96,252900,31.20
2014-07-25,32.75,33.01,31.66,31.86,552900,31.10
2014-07-24,33.42,33.63,32.96,32.96,283500,32.17
2014-07-23,34.16,34.27,33.13,33.67,336100,32.87
2014-07-22,34.03,34.51,33.90,34.19,209600,33.37
2014-07-21,33.50,34.18,33.49,33.87,383900,33.06
2014-07-18,32.90,33.70,32.84,33.70,215900,32.90
2014-07-17,33.06,33.33,33.00,33.01,165900,32.22
2014-07-16,33.45,33.90,33.06,33.16,216800,32.37
2014-07-15,33.25,33.27,33.01,33.21,124400,32.42
2014-07-14,33.39,33.64,33.09,33.20,170200,32.41
2014-07-11,32.96,33.36,32.84,33.16,240800,32.37
2014-07-10,33.00,33.27,32.84,32.96,234900,32.17
2014-07-09,32.92,33.61,32.80,33.26,531400,32.47
2014-07-08,33.73,34.06,33.40,33.43,557200,32.63
2014-07-07,33.23,33.68,32.88,33.64,442300,32.84
