Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,26.13,26.31,25.90,25.93,142000,25.93
2014-12-30,25.72,26.22,25.72,26.07,5100,26.07
2014-12-29,25.82,26.09,25.72,25.93,77300,25.93
2014-12-26,25.78,25.96,25.48,25.82,83800,25.82
2014-12-24,25.39,25.73,25.30,25.66,70900,25.66
2014-12-23,25.66,25.85,25.46,25.49,81800,25.49
2014-12-22,24.83,25.90,24.50,25.54,211700,25.54
2014-12-19,25.15,25.34,24.75,24.82,350600,24.82
2014-12-18,25.50,25.50,24.89,25.14,135800,25.14
2014-12-17,24.54,25.30,24.38,25.22,212200,25.22
2014-12-16,24.90,25.42,24.44,24.54,183300,24.54
2014-12-15,24.30,25.16,24.11,25.00,176900,25.00
2014-12-12,23.78,24.45,23.78,24.26,183200,24.26
2014-12-11,24.44,24.88,24.00,24.02,160600,24.02
2014-12-10,25.37,25.37,24.17,24.33,129300,24.33
2014-12-09,24.27,25.46,23.87,25.38,147600,25.38
2014-12-08,24.43,24.95,24.37,24.59,114700,24.59
2014-12-05,25.57,25.70,24.45,24.58,251800,24.58
2014-12-04,26.00,26.14,25.45,25.58,139600,25.58
2014-12-03,26.09,26.68,25.98,26.17,173600,26.17
2014-12-02,26.64,26.82,26.22,26.24,108100,26.24
2014-12-01,26.24,26.86,26.20,26.50,179800,26.50
2014-11-28,26.10,26.59,25.96,26.39,127300,26.39
2014-11-26,25.85,26.36,25.65,25.98,151900,25.98
2014-11-25,25.67,25.93,25.28,25.87,168000,25.87
2014-11-24,25.00,25.74,24.88,25.53,233700,25.53
2014-11-21,24.95,25.20,24.39,25.01,206500,25.01
2014-11-20,25.00,25.77,23.78,24.49,299500,24.49
2014-11-19,23.62,24.22,23.55,23.96,176300,23.96
2014-11-18,23.87,24.54,23.39,23.44,120300,23.44
2014-11-17,23.55,24.05,23.45,23.89,120900,23.89
2014-11-14,23.00,24.37,22.63,23.58,631700,23.58
2014-11-13,23.05,23.28,22.91,22.95,112000,22.95
2014-11-12,22.49,23.00,22.49,23.00,98400,23.00
2014-11-11,21.95,22.59,21.80,22.44,349400,22.44
2014-11-10,21.89,22.28,21.83,21.95,87700,21.95
2014-11-07,21.75,22.19,21.62,22.00,144200,22.00
2014-11-06,20.48,21.98,20.40,21.83,249300,21.83
2014-11-05,20.41,20.67,20.35,20.52,40600,20.52
2014-11-04,20.17,20.37,20.00,20.34,108700,20.34
2014-11-03,20.45,20.49,20.11,20.21,84000,20.21
2014-10-31,20.64,20.70,19.75,20.45,178100,20.45
2014-10-30,20.31,20.45,20.08,20.26,84600,20.26
2014-10-29,20.33,20.71,20.25,20.37,72000,20.37
2014-10-28,20.46,20.67,20.01,20.38,155600,20.38
2014-10-27,20.20,20.56,19.85,20.45,97600,20.45
2014-10-24,20.60,20.73,20.23,20.31,92800,20.31
2014-10-23,21.29,21.29,20.47,20.58,142400,20.58
2014-10-22,21.30,21.59,21.14,21.18,69500,21.18
2014-10-21,21.03,21.34,20.98,21.34,61000,21.34
2014-10-20,20.37,21.16,20.16,21.01,85600,21.01
2014-10-17,21.13,21.13,20.13,20.18,172600,20.18
2014-10-16,20.25,21.68,20.23,20.85,220700,20.85
2014-10-15,20.04,20.57,19.70,20.49,149600,20.49
2014-10-14,20.09,20.67,20.04,20.34,103900,20.34
2014-10-13,19.93,20.22,19.73,19.82,102000,19.82
2014-10-10,19.92,20.31,19.89,19.97,129900,19.97
2014-10-09,20.25,20.35,19.80,20.01,94800,20.01
2014-10-08,19.63,20.39,19.27,20.32,141500,20.32
2014-10-07,19.93,20.15,19.64,19.65,61600,19.65
2014-10-06,20.42,20.42,20.03,20.07,52400,20.07
2014-10-03,20.40,20.67,20.32,20.44,87600,20.44
2014-10-02,19.72,20.26,19.57,20.20,78700,20.20
2014-10-01,20.46,20.47,19.71,19.72,139400,19.72
2014-09-30,20.74,20.76,20.32,20.35,213600,20.35
2014-09-29,20.70,20.80,20.56,20.76,96600,20.76
2014-09-26,20.92,21.16,20.65,20.86,88900,20.86
2014-09-25,21.32,21.47,20.84,20.95,108900,20.95
2014-09-24,20.95,21.71,20.86,21.56,108100,21.56
2014-09-23,20.62,21.00,20.62,20.90,67100,20.90
2014-09-22,21.09,21.10,20.49,20.65,83600,20.65
2014-09-19,21.29,21.29,20.70,21.13,185500,21.13
2014-09-18,21.58,21.66,21.23,21.24,81900,21.24
2014-09-17,21.17,21.54,20.91,21.43,159400,21.43
2014-09-16,20.72,21.15,20.59,21.12,99200,21.12
2014-09-15,20.75,20.94,20.33,20.82,55800,20.82
