Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.70,6.81,6.59,6.65,148900,6.65
2014-12-30,6.89,6.90,6.63,6.71,9800,6.71
2014-12-29,6.90,7.00,6.90,6.95,98900,6.95
2014-12-26,6.87,6.98,6.84,6.93,98800,6.93
2014-12-24,6.79,6.88,6.77,6.85,78400,6.85
2014-12-23,6.66,6.83,6.52,6.80,253000,6.80
2014-12-22,6.68,6.89,6.54,6.62,190800,6.62
2014-12-19,6.50,6.77,6.41,6.68,412500,6.68
2014-12-18,6.45,6.58,6.45,6.51,131300,6.51
2014-12-17,6.16,6.48,6.15,6.38,249200,6.38
2014-12-16,6.10,6.30,5.95,6.17,204200,6.17
2014-12-15,6.24,6.32,6.09,6.10,168800,6.10
2014-12-12,6.26,6.34,6.15,6.19,132800,6.19
2014-12-11,6.25,6.38,6.25,6.28,190900,6.28
2014-12-10,6.46,6.46,6.21,6.25,153000,6.25
2014-12-09,6.35,6.49,6.29,6.47,293000,6.47
2014-12-08,6.44,6.65,6.35,6.39,410100,6.39
2014-12-05,6.30,6.52,6.27,6.48,629100,6.48
2014-12-04,6.51,6.59,6.21,6.31,980300,6.31
2014-12-03,6.24,6.60,6.18,6.55,380000,6.55
2014-12-02,6.25,6.32,6.15,6.26,481200,6.26
2014-12-01,6.76,6.76,6.12,6.21,452300,6.21
2014-11-28,6.91,7.02,6.76,6.80,136300,6.80
2014-11-26,7.00,7.10,6.97,6.99,98000,6.99
2014-11-25,7.01,7.13,6.99,7.03,173800,7.03
2014-11-24,6.99,7.04,6.97,7.04,209100,7.04
2014-11-21,7.05,7.05,6.93,6.99,208100,6.99
2014-11-20,6.92,7.06,6.92,7.00,198600,7.00
2014-11-19,6.97,7.01,6.91,6.96,241800,6.96
2014-11-18,6.96,7.03,6.94,7.00,385500,7.00
2014-11-17,6.81,7.01,6.80,6.92,414400,6.92
2014-11-14,6.83,6.90,6.73,6.85,121900,6.85
2014-11-13,6.90,6.95,6.76,6.85,201800,6.85
2014-11-12,6.84,6.97,6.69,6.92,141500,6.92
2014-11-11,6.70,6.87,6.56,6.85,432900,6.85
2014-11-10,6.76,6.94,6.50,6.74,787800,6.74
2014-11-07,6.65,7.24,6.65,7.04,1389400,7.04
2014-11-06,8.57,8.73,8.50,8.65,72900,8.65
2014-11-05,8.64,8.74,8.49,8.54,86300,8.54
2014-11-04,8.59,8.75,8.54,8.59,94100,8.59
2014-11-03,8.67,8.79,8.57,8.62,92900,8.62
2014-10-31,8.82,8.87,8.60,8.63,203800,8.63
2014-10-30,8.54,8.69,8.40,8.63,117600,8.63
2014-10-29,8.59,9.02,8.51,8.59,141500,8.59
2014-10-28,8.11,8.55,8.07,8.53,137700,8.53
2014-10-27,8.31,8.31,8.00,8.07,78700,8.07
2014-10-24,8.23,8.40,8.12,8.33,134500,8.33
2014-10-23,8.24,8.32,8.19,8.20,80400,8.20
2014-10-22,8.31,8.43,8.12,8.13,71300,8.13
2014-10-21,8.11,8.31,8.09,8.29,162500,8.29
2014-10-20,8.00,8.27,7.95,8.09,253400,8.09
2014-10-17,8.12,8.16,7.89,8.02,847200,8.02
2014-10-16,7.90,8.05,7.86,8.00,255700,8.00
2014-10-15,7.76,8.12,7.65,8.02,131800,8.02
2014-10-14,7.81,7.93,7.77,7.86,116600,7.86
2014-10-13,7.75,8.02,7.70,7.73,282100,7.73
2014-10-10,7.75,7.95,7.70,7.72,162600,7.72
2014-10-09,8.08,8.08,7.81,7.82,170000,7.82
2014-10-08,7.98,8.16,7.90,8.08,235800,8.08
2014-10-07,8.01,8.10,8.00,8.00,289300,8.00
2014-10-06,8.10,8.12,8.02,8.04,229200,8.04
2014-10-03,8.28,8.30,7.84,8.09,1626300,8.09
2014-10-02,8.08,8.27,8.05,8.17,106000,8.17
2014-10-01,8.08,8.16,8.03,8.08,138800,8.08
2014-09-30,8.41,8.52,8.04,8.08,735600,8.08
