Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,38.05,38.55,36.66,37.40,75700,37.40
2014-12-30,38.50,38.50,38.50,38.50,100,38.50
2014-12-29,38.55,38.66,38.08,38.57,15900,38.57
2014-12-26,37.90,38.49,37.50,38.43,12000,38.43
2014-12-24,37.95,37.95,37.24,37.67,9600,37.67
2014-12-23,38.00,38.60,37.76,38.02,22500,38.02
2014-12-22,38.00,38.09,37.52,37.97,13000,37.97
2014-12-19,37.97,38.28,36.88,38.16,47400,38.16
2014-12-18,38.75,38.75,37.55,38.08,23200,38.08
2014-12-17,37.33,38.54,36.88,38.10,58300,38.10
2014-12-16,37.33,38.13,37.29,37.44,26400,37.44
2014-12-15,37.62,38.17,36.70,37.43,66700,37.43
2014-12-12,39.44,39.44,36.87,37.26,50400,37.26
2014-12-11,39.55,40.10,39.55,39.99,24600,39.99
2014-12-10,41.55,42.07,39.66,39.78,29100,39.78
2014-12-09,40.81,42.40,40.67,42.06,15100,42.06
2014-12-08,41.35,41.60,40.87,40.98,9900,40.98
2014-12-05,40.96,42.31,40.96,41.87,146100,41.87
2014-12-04,39.87,41.40,39.86,41.09,35300,41.09
2014-12-03,40.56,40.56,39.75,40.17,37600,40.17
2014-12-02,39.74,41.26,39.74,40.45,53800,40.45
2014-12-01,40.81,41.90,40.27,40.30,44800,40.30
2014-11-28,43.04,43.90,41.48,41.51,14900,41.51
2014-11-26,43.16,43.82,43.00,43.34,10900,43.34
2014-11-25,42.99,43.71,42.54,43.31,21700,43.31
2014-11-24,44.17,44.17,42.69,43.39,6900,43.39
2014-11-21,43.66,44.57,43.15,43.44,21000,43.44
2014-11-20,41.78,43.50,41.16,42.88,24300,42.88
2014-11-19,42.65,42.65,41.25,41.79,16000,41.79
2014-11-18,42.68,43.21,42.31,42.74,12000,42.74
2014-11-17,42.50,42.99,42.06,42.48,12800,42.48
2014-11-14,43.41,43.66,42.71,42.95,28200,42.95
2014-11-13,44.36,44.46,43.01,43.43,12600,43.43
2014-11-12,44.64,44.92,44.25,44.84,20100,44.84
2014-11-11,44.55,45.08,44.20,44.72,17900,44.72
2014-11-10,44.11,44.85,43.90,44.85,24100,44.85
2014-11-07,44.99,45.00,44.05,45.00,18800,45.00
2014-11-06,44.56,45.04,44.00,44.93,29200,44.93
2014-11-05,44.50,44.94,43.93,44.61,73100,44.61
2014-11-04,43.52,44.48,43.52,44.04,17500,44.04
2014-11-03,45.44,45.45,43.48,44.02,26400,44.02
2014-10-31,45.61,45.61,43.33,44.74,59200,44.74
2014-10-30,43.71,45.00,43.38,44.52,32400,44.52
2014-10-29,43.07,44.44,42.15,44.07,22400,44.07
2014-10-28,40.42,43.19,40.42,43.19,27500,43.19
2014-10-27,40.44,40.94,40.15,40.33,22900,40.33
2014-10-24,41.65,42.10,40.46,40.81,13900,40.81
2014-10-23,41.10,41.85,40.76,41.50,26400,41.50
2014-10-22,40.89,41.99,40.42,40.67,15500,40.67
2014-10-21,41.06,41.55,40.46,41.47,20900,41.47
2014-10-20,39.69,40.78,38.73,40.67,22600,40.67
2014-10-17,42.10,42.10,39.99,40.01,28000,40.01
2014-10-16,40.65,42.21,40.47,41.89,23900,41.89
2014-10-15,40.55,41.91,39.31,41.32,35900,41.32
2014-10-14,40.35,41.61,39.64,41.00,46600,41.00
2014-10-13,39.26,41.30,38.73,39.97,20700,39.97
2014-10-10,38.44,40.21,38.07,39.07,35800,39.07
2014-10-09,40.23,40.23,38.30,38.77,24800,38.77
2014-10-08,39.19,40.68,38.08,40.35,21600,40.35
2014-10-07,39.27,39.95,39.24,39.24,12300,39.24
2014-10-06,39.56,40.69,39.28,39.36,21800,39.36
2014-10-03,39.81,39.84,38.68,39.59,41600,39.59
2014-10-02,38.77,39.40,37.70,39.20,15800,39.20
2014-10-01,40.45,40.49,37.67,37.87,46500,37.87
2014-09-30,41.52,42.70,40.91,41.15,42400,41.15
2014-09-29,42.42,42.81,41.58,41.99,20000,41.99
2014-09-26,42.46,43.22,42.10,42.96,14400,42.96
2014-09-25,43.58,44.20,42.31,42.47,21400,42.47
2014-09-24,43.90,43.99,42.62,43.84,18000,43.84
2014-09-23,43.55,44.04,43.30,43.39,23100,43.39
2014-09-22,43.66,44.07,43.27,43.64,18600,43.64
2014-09-19,43.82,44.38,43.50,44.11,45800,44.11
