Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.86,19.16,18.77,18.85,74400,18.85
2014-12-30,18.97,19.02,18.74,18.91,6700,18.91
2014-12-29,18.91,19.30,18.69,18.90,54100,18.90
2014-12-26,19.03,19.16,18.87,18.95,38100,18.95
2014-12-24,18.71,19.07,18.71,18.96,35300,18.96
2014-12-23,17.52,18.83,17.51,18.74,72700,18.74
2014-12-22,19.11,19.38,18.47,18.68,91500,18.68
2014-12-19,18.98,19.35,18.76,19.14,362000,19.14
2014-12-18,18.86,19.00,18.49,18.91,98400,18.91
2014-12-17,17.84,18.67,17.61,18.64,114400,18.64
2014-12-16,17.50,18.18,17.50,17.77,208500,17.77
2014-12-15,17.41,17.92,17.30,17.47,129800,17.47
2014-12-12,17.35,17.63,17.16,17.38,167000,17.38
2014-12-11,17.50,17.68,17.47,17.57,122400,17.57
2014-12-10,17.69,17.83,17.45,17.51,166300,17.51
2014-12-09,16.92,17.59,16.83,17.53,83600,17.53
2014-12-08,17.19,17.38,17.03,17.12,131400,17.12
2014-12-05,16.89,17.30,16.84,17.20,97800,17.20
2014-12-04,17.44,17.67,16.90,16.92,132600,16.92
2014-12-03,17.95,18.12,17.38,17.50,115700,17.50
2014-12-02,17.99,18.26,17.89,18.16,130800,18.16
2014-12-01,18.31,18.50,17.83,17.93,147600,17.93
2014-11-28,18.74,18.83,18.32,18.32,64900,18.32
2014-11-26,18.30,18.97,18.25,18.79,89200,18.79
2014-11-25,18.41,18.45,18.20,18.21,110000,18.21
2014-11-24,18.62,18.83,18.32,18.42,107900,18.42
2014-11-21,19.21,19.61,18.58,18.62,116900,18.62
2014-11-20,18.96,19.15,18.85,18.89,106200,18.89
2014-11-19,19.38,19.38,18.96,18.99,49900,18.99
2014-11-18,19.41,19.54,19.23,19.32,69600,19.32
2014-11-17,19.51,19.52,19.36,19.42,60000,19.42
2014-11-14,19.82,19.91,19.50,19.51,66000,19.51
2014-11-13,19.87,20.04,19.67,19.74,105300,19.74
2014-11-12,20.02,20.09,19.65,19.92,85000,19.92
2014-11-11,21.72,21.72,19.81,20.06,239600,20.06
2014-11-10,21.86,21.86,21.59,21.72,57600,21.72
2014-11-07,21.62,21.80,21.50,21.78,56200,21.78
2014-11-06,21.72,21.75,21.53,21.59,47000,21.59
2014-11-05,21.95,22.06,21.66,21.68,78800,21.68
2014-11-04,21.88,22.12,21.81,21.87,41100,21.87
2014-11-03,22.16,22.17,21.90,21.95,43800,21.95
2014-10-31,22.48,22.48,21.89,22.10,76400,22.10
2014-10-30,21.53,22.14,21.40,22.09,74900,22.09
2014-10-29,21.46,21.74,21.36,21.60,59700,21.60
2014-10-28,21.10,21.50,21.10,21.37,105200,21.37
2014-10-27,21.00,21.25,20.86,21.16,26600,21.16
2014-10-24,21.30,21.34,21.00,21.15,27400,21.15
2014-10-23,21.22,21.49,20.90,21.25,30700,21.25
2014-10-22,21.42,21.42,20.91,21.00,34200,21.00
2014-10-21,21.25,21.48,21.22,21.33,52100,21.33
2014-10-20,20.71,21.23,20.71,21.22,33000,21.22
2014-10-17,21.39,21.39,20.80,20.88,63100,20.88
2014-10-16,20.95,21.55,20.71,21.07,60100,21.07
