Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.19,7.34,7.07,7.19,245800,7.19
2014-12-30,7.23,7.25,7.07,7.13,11900,7.13
2014-12-29,7.51,7.59,7.29,7.34,202700,7.34
2014-12-26,7.41,7.52,7.40,7.52,103500,7.52
2014-12-24,7.30,7.47,7.27,7.40,105400,7.40
2014-12-23,7.41,7.50,7.24,7.29,175000,7.29
2014-12-22,7.35,7.47,7.26,7.38,159200,7.38
2014-12-19,7.28,7.40,7.14,7.32,234800,7.32
2014-12-18,7.01,7.36,7.01,7.23,504900,7.23
2014-12-17,6.85,7.09,6.76,6.90,518100,6.90
2014-12-16,6.40,6.97,6.36,6.79,362800,6.79
2014-12-15,6.35,6.64,6.32,6.40,262900,6.40
2014-12-12,6.46,6.66,6.45,6.51,214200,6.51
2014-12-11,6.56,6.85,6.54,6.55,208000,6.55
2014-12-10,6.89,6.90,6.52,6.57,271700,6.57
2014-12-09,6.63,6.97,6.49,6.95,299600,6.95
2014-12-08,6.93,7.00,6.65,6.68,261000,6.68
2014-12-05,6.51,6.97,6.50,6.97,415100,6.97
2014-12-04,6.59,6.62,6.43,6.52,309000,6.52
2014-12-03,6.76,6.82,6.63,6.64,340100,6.64
2014-12-02,6.51,6.79,6.47,6.77,336800,6.77
2014-12-01,6.82,6.83,6.50,6.59,546000,6.59
2014-11-28,7.05,7.11,6.82,6.86,150600,6.86
2014-11-26,7.04,7.12,6.98,7.08,133300,7.08
2014-11-25,6.91,7.04,6.91,7.00,264600,7.00
2014-11-24,6.74,6.93,6.74,6.92,241400,6.92
2014-11-21,6.78,6.79,6.63,6.74,360400,6.74
2014-11-20,6.63,6.76,6.50,6.66,201200,6.66
2014-11-19,6.76,6.82,6.56,6.64,244600,6.64
2014-11-18,6.81,6.91,6.73,6.77,235400,6.77
2014-11-17,7.08,7.12,6.80,6.81,330600,6.81
2014-11-14,7.06,7.20,7.00,7.10,329700,7.10
2014-11-13,6.93,7.12,6.85,7.05,405200,7.05
2014-11-12,6.94,7.07,6.92,6.95,2851700,6.95
2014-11-11,7.24,7.24,6.97,7.00,433000,7.00
2014-11-10,7.19,7.33,7.18,7.25,249100,7.25
2014-11-07,7.10,7.24,7.00,7.19,343300,7.19
2014-11-06,6.87,7.11,6.71,7.10,530700,7.10
2014-11-05,7.28,7.39,7.13,7.22,172400,7.22
