Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.75,13.79,13.49,13.50,772500,13.50
2014-12-30,13.66,13.77,13.57,13.71,84500,13.71
2014-12-29,13.81,13.87,13.69,13.70,416200,13.70
2014-12-26,13.88,13.89,13.68,13.81,345600,13.81
2014-12-24,13.73,13.85,13.71,13.79,232000,13.79
2014-12-23,13.87,13.95,13.75,13.75,416200,13.75
2014-12-22,13.59,13.82,13.59,13.82,393300,13.82
2014-12-19,13.53,13.68,13.48,13.59,1192000,13.59
2014-12-18,13.40,13.69,13.30,13.52,1287100,13.52
2014-12-17,12.94,13.25,12.87,13.24,675000,13.24
2014-12-16,12.90,13.14,12.84,12.92,970200,12.92
2014-12-15,13.01,13.14,12.93,12.95,751700,12.95
2014-12-12,12.83,13.12,12.81,12.93,863500,12.93
2014-12-11,13.06,13.37,13.02,13.05,643300,13.05
2014-12-10,13.30,13.32,12.93,12.98,941100,12.98
2014-12-09,12.89,13.36,12.83,13.33,676900,13.33
2014-12-08,13.15,13.23,12.93,13.01,742000,13.01
2014-12-05,13.05,13.35,13.03,13.21,624400,13.21
2014-12-04,13.40,13.40,13.03,13.07,522600,13.07
2014-12-03,13.12,13.47,13.12,13.40,1126800,13.40
2014-12-02,13.05,13.16,13.03,13.13,538800,13.13
2014-12-01,13.13,13.20,12.98,13.05,1080000,13.05
2014-11-28,13.40,13.40,13.14,13.17,294900,13.17
2014-11-26,13.22,13.37,13.15,13.37,697600,13.37
2014-11-25,13.20,13.23,13.14,13.20,1389500,13.20
2014-11-24,13.21,13.26,13.05,13.16,1594400,13.16
2014-11-21,13.39,13.39,13.15,13.19,675100,13.19
2014-11-20,13.05,13.28,12.98,13.27,781300,13.27
2014-11-19,13.16,13.27,12.99,13.10,734200,13.10
2014-11-18,13.22,13.30,12.99,13.20,1190200,13.20
2014-11-17,13.36,13.50,13.17,13.19,1693800,13.19
2014-11-14,13.13,13.48,13.13,13.38,1291500,13.38
2014-11-13,13.28,13.33,13.09,13.13,1133200,13.13
2014-11-12,13.07,13.36,13.05,13.29,937500,13.29
2014-11-11,13.18,13.28,13.09,13.15,1080000,13.15
2014-11-10,13.13,13.25,12.99,13.20,1862200,13.20
2014-11-07,12.91,13.16,12.86,13.14,2773400,13.14
2014-11-06,12.78,12.99,12.74,12.90,1669900,12.90
2014-11-05,13.03,13.05,12.75,12.79,1007800,12.79
2014-11-04,12.99,13.08,12.86,12.98,936600,12.98
2014-11-03,13.07,13.16,12.92,12.99,1752500,12.99
2014-10-31,12.91,13.16,12.83,13.08,1582000,13.08
2014-10-30,12.73,12.77,12.62,12.74,1477400,12.74
2014-10-29,12.84,12.99,12.68,12.77,1872900,12.77
2014-10-28,12.30,12.93,12.27,12.90,1994500,12.90
2014-10-27,12.32,12.39,12.14,12.27,1648900,12.27
2014-10-24,12.44,12.54,12.33,12.39,1614900,12.39
2014-10-23,12.25,12.54,11.79,12.46,3353000,12.46
2014-10-22,11.65,11.73,11.39,11.42,1636500,11.42
2014-10-21,11.47,11.71,11.44,11.66,976400,11.66
2014-10-20,11.16,11.40,11.06,11.39,1237800,11.39
2014-10-17,11.16,11.33,10.96,11.17,2715500,11.17
2014-10-16,10.60,11.08,10.56,11.00,3844900,11.00
2014-10-15,10.33,10.91,10.33,10.78,4317800,10.78
2014-10-14,10.73,10.96,10.46,10.50,5124000,10.50
2014-10-13,10.88,11.03,10.59,10.62,2616000,10.62
2014-10-10,11.72,11.81,10.83,10.88,4743300,10.88
2014-10-09,11.93,11.98,11.60,11.80,2949100,11.80
2014-10-08,11.85,12.07,11.68,11.97,1984100,11.97
2014-10-07,12.11,12.19,11.83,11.84,1478500,11.84
2014-10-06,12.35,12.36,12.15,12.15,1143000,12.15
2014-10-03,12.58,12.62,12.29,12.30,744100,12.30
2014-10-02,12.35,12.59,12.29,12.48,1507000,12.48
2014-10-01,12.27,12.48,12.22,12.34,2313100,12.34
2014-09-30,12.45,12.45,12.23,12.29,1694400,12.29
2014-09-29,12.25,12.52,12.24,12.47,1005600,12.47
2014-09-26,12.38,12.51,12.15,12.36,2803700,12.36
2014-09-25,12.74,12.74,12.37,12.38,1738100,12.38
2014-09-24,12.59,12.79,12.56,12.73,1250900,12.73
2014-09-23,12.71,12.86,12.57,12.59,1390600,12.59
2014-09-22,12.98,13.01,12.73,12.74,1573200,12.74
2014-09-19,13.29,13.45,13.03,13.03,1630700,13.03
2014-09-18,13.20,13.39,13.20,13.27,1244600,13.27
2014-09-17,13.38,13.43,13.14,13.19,1711900,13.19
2014-09-16,13.20,13.42,13.16,13.40,1065100,13.40
2014-09-15,13.41,13.42,13.22,13.23,636400,13.23
2014-09-12,13.50,13.60,13.37,13.40,1061500,13.40
2014-09-11,13.47,13.60,13.44,13.58,2122900,13.58
2014-09-10,13.32,13.52,13.32,13.52,975200,13.52
2014-09-09,13.48,13.49,13.29,13.31,1009900,13.31
2014-09-08,13.51,13.57,13.45,13.49,1369600,13.49
2014-09-05,13.46,13.63,13.41,13.53,1240200,13.53
2014-09-04,13.52,13.67,13.37,13.49,1581600,13.49
2014-09-03,13.34,13.57,13.34,13.48,1662000,13.48
2014-09-02,13.25,13.38,13.20,13.33,1271500,13.33
