Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.20,9.39,9.16,9.16,960700,9.16
2014-12-30,9.15,9.22,9.13,9.19,56500,9.19
2014-12-29,9.10,9.23,9.05,9.16,585800,9.16
2014-12-26,9.12,9.18,9.11,9.12,316100,9.12
2014-12-24,9.09,9.18,9.04,9.14,230700,9.14
2014-12-23,9.09,9.27,8.97,9.07,1377800,9.07
2014-12-22,8.90,9.01,8.90,9.00,1409000,9.00
2014-12-19,8.97,8.99,8.81,8.90,1840400,8.90
2014-12-18,9.07,9.10,8.95,8.99,1905100,8.99
2014-12-17,8.71,8.99,8.59,8.98,2141100,8.98
2014-12-16,8.70,8.87,8.63,8.68,882500,8.68
2014-12-15,8.78,8.91,8.74,8.74,944400,8.74
2014-12-12,8.71,8.89,8.70,8.71,1170000,8.71
2014-12-11,8.84,8.97,8.70,8.84,1211800,8.84
2014-12-10,8.90,9.01,8.77,8.78,2154500,8.78
2014-12-09,8.57,8.97,8.47,8.96,2627700,8.96
2014-12-08,8.62,8.70,8.48,8.61,1064700,8.61
2014-12-05,8.53,8.74,8.51,8.69,1299500,8.69
2014-12-04,8.51,8.61,8.48,8.52,827800,8.52
2014-12-03,8.32,8.57,8.29,8.50,1353300,8.50
2014-12-02,8.15,8.34,8.12,8.32,1157900,8.32
2014-12-01,8.10,8.25,8.08,8.12,1524900,8.12
2014-11-28,8.26,8.30,8.14,8.15,571800,8.15
2014-11-26,8.01,8.30,8.01,8.29,1237300,8.29
2014-11-25,7.91,8.10,7.91,8.05,2568300,8.05
2014-11-24,7.76,7.97,7.73,7.91,1420000,7.91
2014-11-21,7.78,7.78,7.68,7.76,880600,7.76
2014-11-20,7.53,7.67,7.50,7.65,691300,7.65
2014-11-19,7.71,7.71,7.53,7.59,650200,7.59
2014-11-18,7.54,7.78,7.54,7.74,617900,7.74
2014-11-17,7.68,7.69,7.46,7.52,1601400,7.52
2014-11-14,7.66,7.74,7.56,7.67,1230100,7.67
2014-11-13,7.69,7.76,7.61,7.65,1272500,7.65
2014-11-12,7.74,7.81,7.66,7.69,2928300,7.69
