Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.27,17.46,17.10,17.33,99700,17.33
2014-12-30,17.40,17.40,16.98,17.09,1100,17.09
2014-12-29,17.00,17.20,16.97,17.13,27700,17.13
2014-12-26,16.79,17.13,16.68,17.05,28900,17.05
2014-12-24,16.88,17.00,16.50,16.80,135900,16.80
2014-12-23,17.00,17.07,16.15,16.92,27100,16.92
2014-12-22,17.00,17.09,16.75,17.03,20500,17.03
2014-12-19,17.02,17.14,16.82,17.00,70800,17.00
2014-12-18,16.80,17.23,16.65,17.10,25900,17.10
2014-12-17,16.18,16.78,15.56,16.71,39700,16.71
2014-12-16,15.89,16.39,15.82,16.22,21000,16.22
2014-12-15,16.23,16.23,15.86,15.91,14900,15.91
2014-12-12,16.33,16.56,16.20,16.20,12900,16.20
2014-12-11,16.22,16.66,16.22,16.56,19800,16.56
2014-12-10,16.48,16.56,16.18,16.19,22700,16.19
2014-12-09,16.08,16.59,15.75,16.58,17500,16.58
2014-12-08,16.14,16.43,15.98,16.24,15000,16.24
2014-12-05,15.87,16.15,15.87,16.14,13700,16.14
2014-12-04,15.78,16.25,15.78,15.91,17400,15.91
2014-12-03,15.73,15.96,15.71,15.94,20900,15.94
2014-12-02,15.67,15.94,15.28,15.92,11000,15.92
2014-12-01,15.96,15.96,15.67,15.67,22900,15.67
2014-11-28,16.30,16.39,15.90,15.91,9500,15.91
2014-11-26,16.13,16.29,16.09,16.23,7500,16.23
2014-11-25,16.10,16.33,16.09,16.24,12900,16.24
2014-11-24,16.04,16.25,15.67,16.10,69900,16.10
2014-11-21,16.39,16.39,16.05,16.05,32800,16.05
2014-11-20,16.11,16.30,16.00,16.22,19300,16.22
2014-11-19,16.09,16.39,16.01,16.10,21300,16.10
2014-11-18,16.11,16.19,16.05,16.19,28100,16.19
2014-11-17,16.25,16.25,16.05,16.05,7300,16.05
2014-11-14,16.18,16.46,16.10,16.26,42400,16.26
2014-11-13,16.45,16.45,16.08,16.15,9400,16.15
2014-11-12,16.08,16.33,15.94,16.24,25600,16.24
2014-11-11,16.13,16.16,16.00,16.15,23300,16.15
2014-11-10,15.95,16.27,15.95,16.15,31500,16.15
2014-11-07,16.29,16.29,16.05,16.17,9500,16.17
2014-11-06,16.04,16.31,16.02,16.27,12600,16.27
2014-11-05,15.97,16.20,15.97,16.15,7300,16.15
2014-11-04,16.03,16.24,15.92,16.11,31400,16.11
2014-11-03,16.10,16.24,16.06,16.12,54600,16.12
2014-10-31,16.20,16.27,16.00,16.19,70100,16.19
2014-10-30,15.78,16.10,15.78,16.00,61200,16.00
2014-10-29,15.76,15.93,15.65,15.88,64000,15.88
2014-10-28,15.40,15.74,15.10,15.72,55300,15.72
2014-10-27,15.29,15.40,15.19,15.36,12700,15.36
2014-10-24,15.25,15.39,15.18,15.29,22000,15.29
2014-10-23,15.39,15.59,15.06,15.12,42400,15.12
2014-10-22,14.80,15.40,14.80,15.20,69800,15.20
2014-10-21,14.69,14.75,14.32,14.73,23200,14.73
2014-10-20,14.66,14.71,14.45,14.66,15400,14.66
2014-10-17,14.90,14.90,14.65,14.68,35700,14.68
2014-10-16,14.70,14.93,14.61,14.79,47800,14.79
2014-10-15,14.44,14.74,14.36,14.69,48100,14.69
2014-10-14,14.55,14.82,14.53,14.60,57700,14.60
2014-10-13,14.06,14.48,14.06,14.47,22400,14.47
2014-10-10,14.14,14.35,14.06,14.06,29200,14.06
2014-10-09,14.30,14.34,14.23,14.24,25400,14.24
2014-10-08,14.06,14.33,14.05,14.32,72000,14.32
2014-10-07,14.35,14.39,14.05,14.05,39700,14.05
2014-10-06,14.35,14.50,14.33,14.40,39100,14.40
2014-10-03,14.39,14.49,14.33,14.36,29800,14.36
2014-10-02,14.19,14.41,14.19,14.30,29000,14.30
2014-10-01,14.08,14.24,14.07,14.20,76600,14.20
2014-09-30,14.15,14.26,14.05,14.05,65100,14.05
2014-09-29,14.00,14.22,14.00,14.16,23200,14.16
2014-09-26,14.08,14.17,14.05,14.10,27400,14.10
2014-09-25,14.42,14.42,14.00,14.08,45000,14.08
2014-09-24,14.66,14.66,14.29,14.39,13400,14.39
2014-09-23,14.55,14.69,14.31,14.34,48300,14.34
2014-09-22,14.70,14.78,14.53,14.55,60500,14.55
2014-09-19,14.97,15.14,14.75,14.75,125500,14.75
2014-09-18,14.58,14.96,14.55,14.95,46100,14.95
2014-09-17,14.70,14.79,14.56,14.58,18300,14.58
2014-09-16,14.80,14.81,14.72,14.74,22500,14.74
2014-09-15,15.02,15.02,14.79,14.80,25000,14.80
2014-09-12,15.26,15.30,15.01,15.03,18700,15.03
2014-09-11,15.26,15.26,15.00,15.24,25100,15.24
2014-09-10,15.35,15.59,15.21,15.33,36800,15.33
2014-09-09,15.23,15.39,15.06,15.30,49100,15.30
2014-09-08,14.87,15.37,14.87,15.27,22000,15.27
2014-09-05,14.80,14.95,14.80,14.92,10400,14.92
2014-09-04,14.90,14.99,14.83,14.87,19400,14.87
2014-09-03,14.95,14.99,14.82,14.89,15500,14.89
2014-09-02,14.89,15.00,14.80,14.98,18200,14.98
2014-08-29,14.69,14.89,14.65,14.85,61900,14.85
2014-08-28,14.62,14.79,14.62,14.69,9300,14.69
2014-08-27,14.89,14.89,14.67,14.69,13600,14.69
2014-08-26,14.80,14.90,14.78,14.89,26200,14.89
