Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.35,9.35,9.15,9.34,7500,9.34
2014-12-30,9.12,9.27,9.08,9.18,1100,9.18
2014-12-29,9.32,9.35,9.01,9.28,3000,9.28
2014-12-26,9.12,9.25,9.11,9.14,2900,9.14
2014-12-24,9.00,9.00,9.00,9.00,000,9.00
2014-12-23,9.34,9.34,9.18,9.32,3100,9.32
2014-12-22,9.26,9.33,9.18,9.33,11600,9.33
2014-12-19,9.30,9.35,9.24,9.26,2400,9.26
2014-12-18,9.18,9.35,9.18,9.35,2000,9.35
2014-12-17,9.29,9.30,9.21,9.21,4000,9.21
2014-12-16,9.39,9.39,9.25,9.38,3500,9.38
2014-12-15,9.25,9.25,9.25,9.25,000,9.25
2014-12-12,9.25,9.25,9.25,9.25,000,9.25
2014-12-11,9.16,9.25,9.15,9.25,6800,9.25
2014-12-10,9.19,9.19,9.19,9.19,800,9.19
2014-12-09,9.16,9.27,9.04,9.16,1500,9.16
2014-12-08,9.04,9.31,9.04,9.14,6500,9.14
2014-12-05,9.02,9.12,9.01,9.04,13700,9.04
2014-12-04,9.01,9.20,9.01,9.05,6600,9.05
2014-12-03,9.20,9.43,9.04,9.04,4900,9.04
2014-12-02,9.17,9.32,8.80,9.20,41700,9.20
2014-12-01,9.19,9.20,9.17,9.17,2300,9.17
2014-11-28,9.19,9.25,9.19,9.19,600,9.19
2014-11-26,9.21,9.25,9.19,9.25,6400,9.25
2014-11-25,9.45,9.45,9.20,9.22,3100,9.22
2014-11-24,9.39,9.44,9.26,9.39,6600,9.39
2014-11-21,9.19,9.19,9.19,9.19,000,9.19
2014-11-20,9.08,9.19,8.95,9.19,3700,9.19
2014-11-19,9.17,9.39,9.17,9.39,4000,9.39
2014-11-18,9.01,9.17,9.01,9.17,4000,9.17
2014-11-17,8.80,9.01,8.80,9.01,15700,9.01
2014-11-14,8.50,8.79,8.50,8.77,4900,8.77
2014-11-13,7.80,8.80,7.80,8.20,11800,8.20
2014-11-12,7.69,7.69,7.62,7.65,700,7.65
2014-11-11,7.54,7.54,7.50,7.50,11000,7.50
2014-11-10,7.78,7.78,7.51,7.51,1100,7.51
2014-11-07,8.00,8.00,7.95,7.95,500,7.95
2014-11-06,7.77,8.00,7.76,8.00,2300,8.00
2014-11-05,7.75,7.75,7.75,7.75,000,7.75
2014-11-04,7.76,7.76,7.75,7.75,900,7.75
2014-11-03,7.81,7.81,7.81,7.81,700,7.81
2014-10-31,7.98,7.99,7.94,7.99,1400,7.99
2014-10-30,7.65,7.77,7.60,7.70,6100,7.70
2014-10-29,7.67,7.92,7.51,7.51,2600,7.51
2014-10-28,7.65,8.00,7.65,8.00,4700,8.00
2014-10-27,7.88,7.88,7.88,7.88,000,7.88
2014-10-24,7.88,7.88,7.88,7.88,000,7.88
