Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,54.96,55.18,54.47,54.47,2500,54.47
2014-12-30,55.15,55.18,55.09,55.09,3000,55.09
2014-12-29,55.46,55.46,54.92,55.00,4300,55.00
2014-12-26,54.90,55.16,54.90,55.03,12900,55.03
2014-12-24,55.27,55.27,54.54,54.85,2500,54.85
2014-12-23,55.88,56.10,55.52,55.75,33600,55.05
2014-12-22,55.01,55.51,55.01,55.51,3000,54.82
2014-12-19,54.95,54.95,54.95,54.95,1400,54.26
2014-12-18,54.83,55.20,54.83,55.20,17400,54.29
2014-12-17,53.26,54.02,53.26,54.00,3400,53.11
2014-12-16,52.75,53.70,52.75,53.02,18900,52.14
2014-12-15,53.58,53.58,52.80,52.96,6800,52.08
2014-12-12,53.55,53.97,53.48,53.48,3500,52.59
2014-12-11,53.19,54.56,53.19,54.45,3300,53.55
2014-12-10,53.88,53.88,53.88,53.88,700,52.99
2014-12-09,53.26,54.25,53.26,54.20,7000,53.30
2014-12-08,54.14,54.36,53.69,53.69,2800,52.80
2014-12-05,53.92,53.99,53.73,53.95,3300,53.06
2014-12-04,53.58,53.67,53.58,53.61,1500,52.72
2014-12-03,53.89,54.11,53.89,53.90,2200,53.01
2014-12-02,53.35,53.60,53.20,53.60,3000,52.71
2014-12-01,53.05,53.21,52.94,53.11,3100,52.23
2014-11-28,53.90,53.90,53.67,53.67,9900,52.78
2014-11-26,53.36,53.59,53.34,53.42,14200,52.54
2014-11-25,53.66,53.66,52.90,53.03,2100,52.15
2014-11-24,53.50,53.60,53.50,53.50,2800,52.61
2014-11-21,53.41,53.65,53.32,53.32,9600,52.44
2014-11-20,52.72,53.16,52.72,53.10,7000,52.22
2014-11-19,53.37,53.37,52.76,52.88,13500,52.00
2014-11-18,53.21,53.21,53.13,53.17,2000,52.29
2014-11-17,53.31,53.37,53.03,53.03,9900,52.15
2014-11-14,53.51,53.52,53.24,53.24,19300,52.36
2014-11-13,54.05,54.06,53.64,53.75,3200,52.86
2014-11-12,53.92,54.01,53.81,54.01,1600,53.12
2014-11-11,55.03,55.03,53.56,53.83,54400,52.94
2014-11-10,53.56,53.80,53.55,53.74,10500,52.85
2014-11-07,54.27,54.27,53.27,53.67,8600,52.78
2014-11-06,53.95,54.25,53.90,53.98,6500,53.09
2014-11-05,54.34,54.34,53.94,54.02,5200,53.13
2014-11-04,53.77,53.98,53.72,53.78,5000,52.89
2014-11-03,53.73,53.95,53.57,53.78,13100,52.89
2014-10-31,53.32,53.90,53.28,53.77,5600,52.88
2014-10-30,52.25,52.82,52.21,52.74,6800,51.87
2014-10-29,52.29,52.68,52.14,52.40,48100,51.53
2014-10-28,50.87,52.20,50.87,52.20,9900,51.34
2014-10-27,50.78,50.90,50.46,50.90,15000,50.06
2014-10-24,50.97,50.97,50.65,50.96,3400,50.12
2014-10-23,51.15,51.26,50.90,50.95,33600,50.11
2014-10-22,51.42,51.62,50.90,50.90,7000,50.06
2014-10-21,51.00,51.56,51.00,51.44,24400,50.59
2014-10-20,50.07,50.96,50.07,50.96,66200,50.12
2014-10-17,50.53,50.60,50.01,50.60,33900,49.76
2014-10-16,50.97,50.97,48.81,50.29,44300,49.46
2014-10-15,50.50,50.60,49.52,50.47,40600,49.63
2014-10-14,52.04,52.04,50.78,50.78,62400,49.94
2014-10-13,50.54,51.30,50.25,50.75,72800,49.91
2014-10-10,50.96,51.28,50.96,51.10,1200,50.25
2014-10-09,51.75,51.75,50.77,50.84,5300,50.00
2014-10-08,50.94,50.94,50.54,50.54,1300,49.70
2014-10-07,51.32,51.32,51.00,51.00,1600,50.16
2014-10-06,51.24,51.24,51.24,51.24,000,50.39
2014-10-03,51.02,51.34,51.02,51.24,1100,50.39
2014-10-02,50.62,50.73,50.53,50.73,1100,49.89
2014-10-01,50.47,50.47,50.18,50.31,9000,49.48
2014-09-30,51.17,51.17,50.88,50.89,2200,50.05
2014-09-29,50.66,50.91,50.66,50.91,10700,50.07
2014-09-26,50.41,50.75,50.41,50.75,500,49.91
2014-09-25,50.12,50.36,50.12,50.29,13400,49.46
2014-09-24,50.62,50.97,50.61,50.97,13500,50.13
2014-09-23,50.77,50.77,50.37,50.37,1300,49.54
2014-09-22,51.04,51.04,50.89,51.01,2200,50.17
2014-09-19,51.52,51.52,51.47,51.47,500,50.62
2014-09-18,51.38,51.51,51.30,51.51,1400,50.58
2014-09-17,51.13,51.43,51.13,51.22,3200,50.30
2014-09-16,50.98,51.22,50.98,51.22,1100,50.30
2014-09-15,51.29,51.29,50.80,50.92,9200,50.00
2014-09-12,51.68,51.68,51.36,51.36,5200,50.43
2014-09-11,51.46,51.76,51.46,51.66,1900,50.73
