Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,60.51,60.66,59.76,59.76,3900,59.76
2014-12-30,60.23,60.34,59.96,60.21,7400,60.21
2014-12-29,60.36,60.36,60.02,60.15,2800,60.15
2014-12-26,59.96,60.44,59.96,60.29,6500,60.29
2014-12-24,59.64,59.81,59.23,59.67,6600,59.67
2014-12-23,61.29,61.29,60.39,60.53,8400,59.09
2014-12-22,61.04,61.37,60.82,61.37,15700,59.91
2014-12-19,61.17,61.17,60.72,61.00,6200,59.55
2014-12-18,60.60,60.87,60.36,60.87,4100,59.39
2014-12-17,58.57,59.61,58.40,59.38,72600,57.94
2014-12-16,58.57,59.31,58.55,58.55,11500,57.13
2014-12-15,59.66,59.66,58.64,58.81,9000,57.38
2014-12-12,59.56,59.90,58.66,59.80,7000,58.35
2014-12-11,60.21,60.43,59.90,59.98,11100,58.53
2014-12-10,60.67,60.67,59.62,59.62,3300,58.17
2014-12-09,59.14,60.96,59.14,60.84,6400,59.36
2014-12-08,60.00,60.90,59.81,59.81,7800,58.36
2014-12-05,59.78,60.17,59.76,59.97,8400,58.52
2014-12-04,60.11,60.11,59.44,59.92,8800,58.47
2014-12-03,59.42,60.15,59.42,60.15,3700,58.69
2014-12-02,59.36,59.73,59.27,59.46,3300,58.02
2014-12-01,59.60,59.60,58.97,58.97,5700,57.54
2014-11-28,60.00,60.45,60.00,60.02,4300,58.56
2014-11-26,59.15,59.76,59.15,59.76,17100,58.31
2014-11-25,59.18,59.48,59.12,59.22,26800,57.78
2014-11-24,58.43,59.25,58.43,59.25,8300,57.81
2014-11-21,58.96,58.96,58.09,58.28,7600,56.87
2014-11-20,57.51,58.49,57.48,58.40,6300,56.98
2014-11-19,58.19,58.24,57.65,57.91,3300,56.51
2014-11-18,58.82,58.83,58.35,58.46,5900,57.04
2014-11-17,57.97,58.39,57.97,58.02,9100,56.61
2014-11-14,58.56,58.56,58.13,58.25,12100,56.84
2014-11-13,59.28,59.28,58.65,58.66,5200,57.24
2014-11-12,58.16,58.98,58.11,58.98,15100,57.55
2014-11-11,58.14,58.59,58.14,58.46,20700,57.04
2014-11-10,57.71,58.28,57.70,58.28,13100,56.87
2014-11-07,57.89,57.96,57.50,57.50,4600,56.11
2014-11-06,59.08,59.08,58.33,58.56,21900,57.14
2014-11-05,60.10,60.10,58.84,58.97,8000,57.54
2014-11-04,59.54,59.79,59.12,59.65,4400,58.20
2014-11-03,60.27,60.27,59.49,59.49,8800,58.05
2014-10-31,60.20,60.20,59.84,60.11,9200,58.65
2014-10-30,58.15,59.44,58.15,59.19,18700,57.75
2014-10-29,58.75,59.05,58.16,58.62,51200,57.20
2014-10-28,57.74,58.50,57.52,58.48,6300,57.06
2014-10-27,56.97,57.37,56.91,57.29,10300,55.90
2014-10-24,57.23,57.37,56.93,57.21,4100,55.82
2014-10-23,56.46,57.16,56.46,56.87,10600,55.49
2014-10-22,56.53,57.01,56.18,56.18,38500,54.82
2014-10-21,56.04,56.75,55.99,56.66,9700,55.29
2014-10-20,54.89,55.49,54.89,55.45,7200,54.11
2014-10-17,55.15,55.37,54.61,54.91,11500,53.58
2014-10-16,53.56,55.20,53.56,55.12,10400,53.78
2014-10-15,53.58,54.30,52.84,54.30,19600,52.98
2014-10-14,54.47,55.13,54.28,54.28,11400,52.96
