Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.50,2.60,2.49,2.50,221800,2.50
2014-12-30,2.39,2.49,2.39,2.48,5600,2.48
2014-12-29,2.40,2.41,2.32,2.41,303800,2.41
2014-12-26,2.45,2.47,2.42,2.45,146500,2.45
2014-12-24,2.45,2.54,2.44,2.46,107200,2.46
2014-12-23,2.46,2.50,2.44,2.46,250000,2.46
2014-12-22,2.58,2.58,2.49,2.52,195400,2.52
2014-12-19,2.54,2.54,2.45,2.50,162900,2.50
2014-12-18,2.48,2.54,2.45,2.51,132000,2.51
2014-12-17,2.45,2.55,2.45,2.51,100100,2.51
2014-12-16,2.52,2.54,2.46,2.47,115600,2.47
2014-12-15,2.60,2.60,2.52,2.54,137900,2.54
2014-12-12,2.55,2.61,2.52,2.60,102100,2.60
2014-12-11,2.47,2.62,2.47,2.59,128300,2.59
2014-12-10,2.48,2.52,2.45,2.46,85800,2.46
2014-12-09,2.46,2.49,2.45,2.49,61400,2.49
2014-12-08,2.47,2.50,2.42,2.46,95000,2.46
2014-12-05,2.47,2.52,2.42,2.44,140700,2.44
2014-12-04,2.50,2.52,2.46,2.49,63200,2.49
2014-12-03,2.45,2.53,2.45,2.49,140600,2.49
2014-12-02,2.47,2.52,2.44,2.49,132100,2.49
2014-12-01,2.55,2.58,2.47,2.47,150400,2.47
2014-11-28,2.60,2.60,2.52,2.54,101400,2.54
2014-11-26,2.56,2.64,2.56,2.61,126100,2.61
2014-11-25,2.56,2.62,2.54,2.58,131500,2.58
2014-11-24,2.57,2.58,2.51,2.55,142100,2.55
2014-11-21,2.65,2.68,2.58,2.59,86700,2.59
2014-11-20,2.62,2.64,2.60,2.60,111900,2.60
2014-11-19,2.62,2.69,2.62,2.66,87500,2.66
2014-11-18,2.65,2.68,2.62,2.66,118400,2.66
2014-11-17,2.75,2.75,2.66,2.70,166900,2.70
2014-11-14,2.71,2.81,2.67,2.80,115600,2.80
2014-11-13,2.62,2.72,2.62,2.69,144700,2.69
2014-11-12,2.65,2.68,2.61,2.63,186700,2.63
2014-11-11,2.64,2.66,2.53,2.61,201900,2.61
2014-11-10,2.68,2.68,2.64,2.64,89900,2.64
2014-11-07,2.70,2.74,2.65,2.66,180700,2.66
2014-11-06,2.77,2.78,2.72,2.74,122200,2.74
2014-11-05,2.84,2.84,2.75,2.77,149900,2.77
2014-11-04,2.83,2.87,2.82,2.84,69200,2.84
2014-11-03,2.89,2.90,2.85,2.85,165000,2.85
2014-10-31,2.94,2.99,2.90,2.93,94300,2.93
2014-10-30,2.86,2.95,2.86,2.94,75100,2.94
2014-10-29,2.94,2.95,2.90,2.93,59500,2.93
2014-10-28,2.91,2.96,2.87,2.94,154500,2.94
2014-10-27,2.95,2.95,2.90,2.91,62000,2.91
2014-10-24,2.97,2.97,2.88,2.95,44300,2.95
2014-10-23,2.93,2.96,2.92,2.94,153300,2.94
2014-10-22,2.96,2.96,2.89,2.93,68400,2.93
2014-10-21,2.96,2.98,2.92,2.97,58900,2.97
2014-10-20,2.89,2.96,2.86,2.94,91500,2.94
2014-10-17,3.02,3.08,2.86,2.90,121800,2.90
2014-10-16,2.94,3.12,2.93,3.03,190500,3.03
2014-10-15,2.92,2.98,2.86,2.95,163400,2.95
2014-10-14,3.00,3.00,2.85,2.91,129200,2.91
2014-10-13,2.95,3.04,2.83,2.95,249300,2.95
2014-10-10,3.15,3.16,3.07,3.08,308000,3.08
2014-10-09,3.31,3.31,3.14,3.20,192700,3.20
2014-10-08,3.27,3.37,3.15,3.28,305500,3.28
2014-10-07,3.11,3.37,3.06,3.25,796000,3.25
2014-10-06,3.03,3.05,2.97,3.04,454200,3.04
2014-10-03,2.82,2.90,2.81,2.83,96900,2.83
2014-10-02,2.74,2.80,2.70,2.78,73000,2.78
2014-10-01,2.83,2.85,2.69,2.72,199800,2.72
2014-09-30,2.88,2.92,2.85,2.86,76000,2.86
2014-09-29,2.89,2.93,2.87,2.91,68800,2.91
2014-09-26,2.91,3.04,2.91,2.95,114000,2.95
2014-09-25,3.06,3.11,2.92,2.93,199600,2.93
2014-09-24,2.93,3.06,2.85,3.04,189400,3.04
2014-09-23,2.84,2.93,2.81,2.92,109800,2.92
2014-09-22,2.94,2.96,2.87,2.87,148700,2.87
