Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.69,2.78,2.69,2.78,13500,2.78
2014-12-30,2.63,2.63,2.63,2.63,000,2.63
2014-12-29,2.67,2.67,2.67,2.67,000,2.67
2014-12-26,2.65,2.68,2.63,2.67,10800,2.67
2014-12-24,2.60,2.60,2.60,2.60,000,2.60
2014-12-23,2.60,2.68,2.60,2.67,9300,2.67
2014-12-22,2.62,2.62,2.61,2.61,1900,2.61
2014-12-19,2.65,2.65,2.62,2.62,1000,2.62
2014-12-18,2.63,2.65,2.63,2.65,6700,2.65
2014-12-17,2.62,2.63,2.62,2.62,9400,2.62
2014-12-16,2.70,2.70,2.62,2.63,18100,2.63
2014-12-15,2.83,2.83,2.72,2.76,800,2.76
2014-12-12,2.77,2.82,2.71,2.71,600,2.71
2014-12-11,2.72,2.81,2.69,2.76,3700,2.76
2014-12-10,2.65,2.87,2.65,2.69,2200,2.69
2014-12-09,2.76,2.79,2.76,2.78,3900,2.78
2014-12-08,2.69,2.76,2.69,2.76,5000,2.76
2014-12-05,2.76,2.77,2.74,2.74,4900,2.74
2014-12-04,2.96,2.99,2.74,2.74,3200,2.74
2014-12-03,2.78,2.85,2.78,2.85,3100,2.85
2014-12-02,2.77,2.87,2.77,2.83,7300,2.83
2014-12-01,2.93,2.93,2.88,2.89,7700,2.89
2014-11-28,3.00,3.00,2.90,2.98,12500,2.98
2014-11-26,2.98,2.98,2.98,2.98,1000,2.98
2014-11-25,3.00,3.00,2.91,2.96,2300,2.96
2014-11-24,2.93,2.93,2.93,2.93,000,2.93
2014-11-21,2.93,2.93,2.93,2.93,200,2.93
2014-11-20,2.93,3.00,2.92,3.00,1900,3.00
2014-11-19,3.04,3.04,3.04,3.04,000,3.04
2014-11-18,2.99,3.08,2.94,3.04,26700,3.04
2014-11-17,2.95,2.98,2.92,2.98,23600,2.98
2014-11-14,2.98,2.99,2.91,2.98,2600,2.98
2014-11-13,2.87,3.00,2.75,2.94,23000,2.94
2014-11-12,3.08,3.08,2.69,2.69,161200,2.69
2014-11-11,2.95,3.09,2.95,3.07,9000,3.07
2014-11-10,2.99,3.01,2.96,2.97,1700,2.97
2014-11-07,3.00,3.00,3.00,3.00,500,3.00
2014-11-06,3.10,3.12,3.01,3.01,7200,3.01
2014-11-05,2.99,3.44,2.95,3.09,38400,3.09
2014-11-04,3.00,3.06,2.99,2.99,4600,2.99
2014-11-03,3.00,3.00,2.97,2.97,1300,2.97
2014-10-31,3.08,3.08,3.08,3.08,600,3.08
2014-10-30,3.00,3.00,3.00,3.00,000,3.00
2014-10-29,3.00,3.00,3.00,3.00,000,3.00
2014-10-28,3.00,3.00,3.00,3.00,000,3.00
2014-10-27,2.95,3.00,2.95,3.00,2100,3.00
2014-10-24,3.00,3.01,3.00,3.00,2700,3.00
2014-10-23,3.00,3.04,3.00,3.04,23600,3.04
2014-10-22,2.96,3.08,2.95,3.08,8400,3.08
2014-10-21,2.98,2.99,2.97,2.98,10900,2.98
2014-10-20,2.98,2.98,2.97,2.97,2300,2.97
2014-10-17,2.99,2.99,2.99,2.99,2000,2.99
2014-10-16,2.98,2.98,2.92,2.92,2700,2.92
2014-10-15,2.98,2.98,2.97,2.98,15300,2.98
2014-10-14,2.99,2.99,2.99,2.99,300,2.99
2014-10-13,3.08,3.08,3.08,3.08,100,3.08
2014-10-10,2.91,3.05,2.88,3.04,3300,3.04
2014-10-09,3.05,3.07,3.02,3.05,2300,3.05
2014-10-08,3.00,3.00,3.00,3.00,000,3.00
2014-10-07,3.04,3.04,3.00,3.00,27100,3.00
2014-10-06,3.07,3.07,3.05,3.06,600,3.06
2014-10-03,2.98,3.00,2.98,3.00,1500,3.00
2014-10-02,3.01,3.10,3.01,3.01,18500,3.01
2014-10-01,3.04,3.07,2.94,3.02,31600,3.02
2014-09-30,3.08,3.16,3.08,3.08,9700,3.08
2014-09-29,3.08,3.08,3.08,3.08,000,3.08
2014-09-26,3.08,3.08,3.08,3.08,000,3.08
2014-09-25,3.05,3.14,3.03,3.08,16900,3.08
2014-09-24,3.01,3.15,3.01,3.03,93800,3.03
2014-09-23,3.08,3.12,3.03,3.04,34800,3.04
2014-09-22,3.03,3.12,3.03,3.04,8300,3.04
2014-09-19,3.08,3.11,2.96,2.96,22900,2.96
2014-09-18,3.04,3.10,3.04,3.09,38000,3.09
2014-09-17,3.07,3.08,3.00,3.04,3700,3.04
2014-09-16,3.00,3.06,3.00,3.04,15700,3.04
2014-09-15,3.00,3.05,3.00,3.05,6900,3.05
2014-09-12,3.07,3.07,3.06,3.06,600,3.06
2014-09-11,3.06,3.09,3.00,3.06,6900,3.06
2014-09-10,3.04,3.07,3.00,3.07,10900,3.07
2014-09-09,3.04,3.05,3.02,3.05,8200,3.05
2014-09-08,3.08,3.08,3.07,3.07,700,3.07
2014-09-05,3.04,3.04,3.00,3.00,1400,3.00
2014-09-04,3.03,3.06,3.02,3.05,2400,3.05
2014-09-03,3.04,3.04,3.04,3.04,000,3.04
2014-09-02,3.04,3.04,3.03,3.04,5700,3.04
2014-08-29,3.04,3.09,3.02,3.06,3500,3.06
2014-08-28,3.05,3.10,3.02,3.10,5100,3.10
2014-08-27,3.06,3.16,3.02,3.03,187000,3.03
2014-08-26,3.09,3.10,3.04,3.06,9900,3.06
2014-08-25,3.06,3.07,3.03,3.06,24400,3.06
2014-08-22,3.06,3.06,3.05,3.05,1600,3.05
2014-08-21,3.10,3.11,3.06,3.06,2100,3.06
2014-08-20,3.05,3.05,3.05,3.05,000,3.05
2014-08-19,3.03,3.05,3.03,3.05,2000,3.05
2014-08-18,3.02,3.06,3.02,3.05,3500,3.05
2014-08-15,3.11,3.11,3.11,3.11,000,3.11
2014-08-14,3.11,3.11,3.11,3.11,000,3.11
2014-08-13,3.06,3.12,3.05,3.11,16600,3.11
2014-08-12,3.05,3.15,3.04,3.06,11900,3.06
2014-08-11,3.07,3.08,3.05,3.06,10700,3.06
2014-08-08,3.03,3.10,3.03,3.06,26100,3.06
2014-08-07,3.08,3.08,3.06,3.06,3300,3.06
2014-08-06,3.10,3.10,3.00,3.05,6500,3.05
2014-08-05,3.11,3.11,3.01,3.06,14200,3.06
