Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.23,12.34,12.07,12.33,10900,12.24
2014-12-30,12.16,12.22,11.91,12.11,11100,12.02
2014-12-29,12.11,12.24,12.00,12.15,7200,12.06
2014-12-26,12.20,12.22,12.05,12.05,6400,11.96
2014-12-24,12.12,12.12,11.93,11.99,2100,11.90
2014-12-23,12.11,12.14,12.01,12.02,5500,11.93
2014-12-22,11.97,12.19,11.75,12.19,6100,12.10
2014-12-19,11.80,12.05,11.75,11.75,3800,11.66
2014-12-18,11.84,12.07,11.78,12.07,2800,11.98
2014-12-17,11.85,11.92,11.75,11.84,5300,11.75
2014-12-16,11.86,11.86,11.83,11.83,1000,11.74
2014-12-15,11.91,11.92,11.79,11.86,1700,11.77
2014-12-12,11.85,11.93,11.71,11.92,6900,11.83
2014-12-11,11.81,11.84,11.57,11.79,8000,11.70
2014-12-10,11.63,11.78,11.63,11.75,5300,11.66
2014-12-09,11.72,11.92,11.72,11.82,8900,11.73
2014-12-08,11.73,11.94,11.52,11.72,8600,11.63
2014-12-05,11.81,11.81,11.64,11.64,1500,11.55
2014-12-04,11.75,11.93,11.50,11.63,16300,11.54
2014-12-03,11.59,11.80,11.50,11.59,4800,11.50
2014-12-02,11.51,11.61,11.50,11.58,8400,11.49
2014-12-01,11.74,11.80,11.54,11.56,16000,11.47
2014-11-28,11.80,11.93,11.61,11.74,4400,11.65
2014-11-26,11.94,11.94,11.65,11.65,2500,11.56
2014-11-25,11.66,11.94,11.61,11.83,3100,11.74
2014-11-24,11.98,12.10,11.60,11.62,3900,11.53
2014-11-21,11.74,11.74,11.58,11.58,6400,11.49
2014-11-20,11.83,11.98,11.62,11.62,6000,11.53
2014-11-19,11.87,11.87,11.65,11.76,2500,11.67
2014-11-18,11.60,12.14,11.57,11.96,10500,11.87
2014-11-17,11.61,11.62,11.51,11.59,5900,11.50
2014-11-14,11.82,11.88,11.62,11.63,6200,11.54
2014-11-13,11.64,11.85,11.53,11.71,12100,11.62
2014-11-12,11.54,11.76,11.52,11.68,8400,11.59
2014-11-11,11.58,11.75,11.51,11.59,15200,11.50
2014-11-10,11.90,11.90,11.50,11.51,28100,11.42
2014-11-07,11.79,11.95,11.51,11.66,16000,11.57
2014-11-06,11.79,11.84,11.50,11.50,15500,11.41
2014-11-05,12.19,12.40,11.55,11.57,50100,11.48
2014-11-04,12.00,12.55,12.00,12.12,23400,12.03
2014-11-03,11.79,12.19,11.77,12.18,47700,12.09
2014-10-31,11.51,11.97,11.45,11.97,46300,11.88
2014-10-30,11.40,11.49,11.40,11.42,14700,11.33
2014-10-29,11.38,11.50,11.38,11.45,2400,11.36
