Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,26.74,26.86,26.64,26.66,3500,26.66
2014-12-30,26.91,26.91,26.91,26.91,000,26.91
2014-12-29,26.61,26.93,26.61,26.91,3200,26.91
2014-12-26,26.92,26.94,26.61,26.62,3300,26.62
2014-12-24,26.56,26.56,26.56,26.56,000,26.56
2014-12-23,26.75,26.93,26.62,26.69,3300,26.69
2014-12-22,26.71,26.73,26.70,26.70,1500,26.70
2014-12-19,26.74,26.85,26.66,26.66,2000,26.66
2014-12-18,26.61,26.85,26.61,26.67,1300,26.67
2014-12-17,26.57,26.87,26.56,26.87,4100,26.87
2014-12-16,26.55,26.68,26.55,26.56,2200,26.56
2014-12-15,26.64,26.82,26.59,26.59,2100,26.59
2014-12-12,26.56,26.85,26.56,26.81,2800,26.81
2014-12-11,26.67,26.69,26.61,26.61,600,26.61
2014-12-10,26.50,26.89,26.50,26.62,5600,26.62
2014-12-09,26.52,26.81,26.51,26.81,5700,26.18
2014-12-08,26.65,26.82,26.50,26.50,3600,25.88
2014-12-05,26.82,26.90,26.80,26.81,7500,26.18
2014-12-04,26.85,27.00,26.82,27.00,2900,26.37
2014-12-03,27.00,27.00,26.76,26.81,5800,26.18
2014-12-02,26.75,27.00,26.72,26.76,5400,26.14
2014-12-01,26.71,26.75,26.70,26.75,1900,26.13
2014-11-28,26.75,26.75,26.75,26.75,300,26.13
2014-11-26,26.67,26.75,26.67,26.75,1800,26.13
2014-11-25,26.50,26.50,26.50,26.50,1000,25.88
2014-11-24,26.75,26.75,26.51,26.57,1800,25.95
2014-11-21,26.47,26.75,26.46,26.75,9500,26.13
2014-11-20,26.51,26.63,26.50,26.52,1500,25.90
2014-11-19,26.66,26.73,26.51,26.52,3700,25.90
2014-11-18,26.65,26.65,26.42,26.50,7800,25.88
2014-11-17,26.55,26.75,26.40,26.75,5900,26.13
2014-11-14,26.35,26.35,26.35,26.35,1000,25.74
2014-11-13,26.75,26.75,26.35,26.40,10200,25.78
2014-11-12,26.53,26.70,26.53,26.70,1800,26.08
2014-11-11,26.75,26.75,26.51,26.54,4900,25.92
2014-11-10,26.60,26.69,26.60,26.69,5000,26.07
2014-11-07,26.90,26.90,26.60,26.61,9600,25.99
2014-11-06,26.81,26.99,26.53,26.80,2800,26.18
2014-11-05,26.50,26.65,26.50,26.60,2900,25.98
2014-11-04,26.55,27.00,26.30,26.99,5200,26.36
2014-11-03,27.00,27.00,26.11,26.67,9700,26.05
2014-10-31,26.30,26.54,26.20,26.54,4300,25.92
2014-10-30,26.22,26.60,26.22,26.56,1000,25.94
2014-10-29,26.48,26.73,26.08,26.71,6900,26.09
2014-10-28,26.40,26.71,26.12,26.50,5900,25.88
2014-10-27,26.70,26.71,26.40,26.41,2200,25.79
2014-10-24,26.51,26.77,26.40,26.40,3000,25.78
2014-10-23,26.89,26.89,26.51,26.51,2900,25.89
2014-10-22,26.82,26.82,26.40,26.50,1500,25.88
2014-10-21,26.24,26.94,26.20,26.89,8200,26.26
2014-10-20,26.28,26.35,26.20,26.35,2600,25.74
2014-10-17,26.15,26.34,26.01,26.16,5900,25.55
2014-10-16,26.18,26.71,25.92,26.00,10100,25.39
2014-10-15,26.50,26.50,25.81,26.30,5000,25.69
2014-10-14,26.98,26.98,26.25,26.42,17500,25.80
2014-10-13,26.77,27.00,26.76,26.78,8100,26.16
2014-10-10,26.70,26.97,26.70,26.75,4000,26.13
2014-10-09,26.80,26.97,26.53,26.95,20100,26.32
2014-10-08,26.75,27.10,26.69,26.70,24900,26.08
2014-10-07,26.70,26.70,26.37,26.50,12100,25.88
2014-10-06,26.54,26.69,26.53,26.54,1600,25.92
2014-10-03,26.38,26.70,26.38,26.53,4000,25.91
2014-10-02,26.47,26.60,26.00,26.27,16400,25.66
2014-10-01,26.13,26.66,26.13,26.50,16400,25.88
2014-09-30,26.70,26.70,26.43,26.50,3100,25.88
2014-09-29,26.62,26.74,26.50,26.74,6300,26.12
2014-09-26,26.36,26.70,26.36,26.50,3100,25.88
2014-09-25,26.55,26.94,25.92,26.84,5300,26.21
2014-09-24,26.30,26.99,26.30,26.60,26200,25.98
2014-09-23,26.49,26.50,26.21,26.31,3700,25.70
2014-09-22,26.20,26.66,26.01,26.45,16300,25.83
2014-09-19,26.49,26.57,26.01,26.51,2300,25.89
2014-09-18,26.75,26.75,26.13,26.17,5100,25.56
2014-09-17,25.71,27.12,25.70,26.07,18400,25.46
2014-09-16,25.71,26.00,25.51,25.70,19500,25.10
2014-09-15,25.31,26.07,25.31,26.02,20700,25.41
2014-09-12,25.43,25.48,25.30,25.41,21100,24.82
2014-09-11,25.31,25.49,25.21,25.45,45700,24.86
2014-09-10,25.27,25.64,25.27,25.35,38200,24.76
2014-09-09,26.40,26.40,25.83,25.95,159000,24.73
2014-09-08,28.12,28.12,27.84,27.85,5200,26.55
2014-09-05,27.62,28.05,27.54,27.85,8100,26.55
2014-09-04,27.86,28.12,27.86,28.12,5900,26.80
2014-09-03,27.75,28.53,27.58,27.71,6800,26.41
2014-09-02,27.51,27.89,27.51,27.75,10100,26.45
2014-08-29,27.55,27.75,27.52,27.74,4800,26.44
2014-08-28,27.58,27.65,27.55,27.65,6200,26.35
2014-08-27,27.37,28.12,27.37,27.57,8900,26.28
2014-08-26,27.44,27.44,27.07,27.20,2000,25.93
2014-08-25,27.15,27.41,27.11,27.38,3400,26.10
2014-08-22,27.03,27.25,26.90,26.96,2800,25.70
2014-08-21,26.95,27.31,26.95,27.27,6000,25.99
2014-08-20,26.90,27.31,26.90,27.31,3300,26.03
2014-08-19,27.31,27.31,26.99,27.00,2700,25.74
2014-08-18,27.06,27.18,27.00,27.08,28100,25.81
2014-08-15,26.98,27.29,26.94,26.94,7000,25.68
2014-08-14,26.95,27.18,26.91,26.95,28400,25.69
2014-08-13,26.94,27.19,26.88,26.95,21700,25.69
2014-08-12,26.96,27.22,26.85,26.85,29200,25.59
2014-08-11,26.86,27.32,26.86,26.86,19900,25.60
2014-08-08,27.32,27.32,27.00,27.10,5100,25.83
2014-08-07,27.25,27.25,27.25,27.25,200,25.97
2014-08-06,26.98,27.40,26.81,27.25,13000,25.97
2014-08-05,26.65,26.98,26.52,26.67,5000,25.42
2014-08-04,26.50,26.65,26.50,26.50,13800,25.26
2014-08-01,26.52,26.65,26.52,26.65,800,25.40
2014-07-31,26.50,26.65,26.50,26.65,2300,25.40
2014-07-30,26.65,26.65,26.53,26.53,1400,25.29
2014-07-29,26.57,26.65,26.51,26.65,5500,25.40
2014-07-28,26.50,26.52,26.50,26.50,2800,25.26
2014-07-25,26.60,26.60,26.51,26.51,1400,25.27
2014-07-24,26.58,26.64,26.58,26.58,6400,25.34
2014-07-23,26.60,26.60,26.50,26.57,5600,25.33
2014-07-22,26.53,26.59,26.53,26.53,2600,25.29
2014-07-21,26.64,26.64,26.60,26.60,3700,25.35
2014-07-18,26.57,26.57,26.57,26.57,200,25.33
2014-07-17,26.52,26.58,26.52,26.58,1500,25.34
2014-07-16,26.51,26.56,26.51,26.56,1800,25.32
2014-07-15,26.60,26.60,26.50,26.51,5400,25.27
2014-07-14,26.68,26.70,26.60,26.60,4400,25.35
2014-07-11,26.50,26.60,26.50,26.50,5000,25.26
2014-07-10,26.61,26.61,26.50,26.50,1800,25.26
2014-07-09,26.50,26.54,26.50,26.54,900,25.30
2014-07-08,26.50,26.60,26.50,26.60,3100,25.35
2014-07-07,26.60,26.60,26.51,26.60,4800,25.35
2014-07-03,26.60,26.60,26.56,26.59,3800,25.34
2014-07-02,26.69,26.69,26.52,26.60,7500,25.35
2014-07-01,26.60,26.70,26.51,26.55,8000,25.31
2014-06-30,26.50,26.65,26.50,26.56,7600,25.32
2014-06-27,26.42,26.62,26.42,26.62,1400,25.37
2014-06-26,26.50,26.50,26.50,26.50,600,25.26
2014-06-25,26.31,26.50,26.30,26.50,8200,25.26
2014-06-24,26.25,26.55,26.20,26.25,13500,25.02
2014-06-23,26.74,26.74,26.26,26.27,6100,25.04
2014-06-20,26.30,27.77,26.30,26.30,14200,25.07
2014-06-19,26.29,26.30,26.29,26.30,3800,25.07
2014-06-18,26.40,26.40,26.11,26.11,7500,24.89
2014-06-17,26.56,26.62,26.40,26.40,18000,25.16
2014-06-16,26.75,26.75,26.55,26.60,7300,25.35
2014-06-13,26.71,26.99,26.68,26.68,2300,25.43
2014-06-12,26.77,26.77,26.19,26.75,6700,25.50
2014-06-11,26.81,26.97,26.75,26.75,2000,25.50
2014-06-10,27.03,27.20,27.03,27.18,1600,25.31
2014-06-09,27.08,27.24,27.08,27.08,2200,25.22
2014-06-06,27.01,27.15,27.01,27.05,800,25.19
2014-06-05,27.11,27.15,27.05,27.05,4900,25.19
2014-06-04,27.32,27.32,27.00,27.02,4800,25.16
2014-06-03,27.50,27.51,27.35,27.44,4500,25.55
2014-06-02,27.45,27.45,27.26,27.41,2300,25.53
2014-05-30,27.44,27.44,27.05,27.25,6100,25.38
2014-05-29,27.50,27.50,26.95,27.15,4600,25.28
2014-05-28,27.50,27.50,27.30,27.30,13100,25.42
2014-05-27,27.61,27.61,27.18,27.18,12300,25.31
2014-05-23,27.31,27.95,27.31,27.95,2100,26.03
2014-05-22,27.36,27.50,27.35,27.35,3000,25.47
2014-05-21,27.65,27.65,27.35,27.49,1300,25.60
2014-05-20,27.55,27.55,27.52,27.52,600,25.63
2014-05-19,27.30,27.45,27.30,27.40,3100,25.52
2014-05-16,26.97,27.25,26.90,27.20,8300,25.33
2014-05-15,26.83,26.99,26.77,26.98,4900,25.13
2014-05-14,27.06,27.06,26.79,26.90,3900,25.05
2014-05-13,27.04,27.06,26.80,27.00,6500,25.14
2014-05-12,27.08,27.08,26.85,26.98,8000,25.13
2014-05-09,27.24,27.24,27.04,27.04,700,25.18
2014-05-08,27.00,27.25,27.00,27.25,700,25.38
2014-05-07,26.81,27.17,26.81,27.00,10600,25.14
2014-05-06,26.85,26.91,26.85,26.90,2200,25.05
2014-05-05,26.80,27.02,26.80,26.89,6100,25.04
2014-05-02,26.91,26.91,26.85,26.85,2500,25.00
2014-05-01,26.94,26.95,26.78,26.92,1800,25.07
2014-04-30,27.30,27.30,26.75,26.92,23700,25.07
2014-04-29,27.10,27.14,26.90,27.07,7800,25.21
2014-04-28,26.99,27.20,26.99,27.13,10700,25.26
2014-04-25,26.87,26.87,26.75,26.83,3900,24.99
2014-04-24,26.76,26.90,26.75,26.90,5700,25.05
2014-04-23,26.50,26.90,26.50,26.83,15200,24.99
2014-04-22,26.76,27.00,26.76,26.91,12800,25.06
2014-04-21,26.76,26.89,26.75,26.75,6200,24.91
2014-04-17,26.99,26.99,26.77,26.77,3100,24.93
2014-04-16,26.99,26.99,26.75,26.85,4800,25.00
2014-04-15,26.76,26.76,26.70,26.73,2600,24.89
2014-04-14,26.80,26.81,26.75,26.75,3100,24.91
2014-04-11,26.75,26.89,26.75,26.76,5400,24.92
2014-04-10,26.99,26.99,26.99,26.99,400,25.13
2014-04-09,27.00,27.00,27.00,27.00,500,25.14
2014-04-08,27.00,27.44,26.82,26.82,2900,24.98
2014-04-07,26.76,26.76,26.76,26.76,7100,24.92
2014-04-04,26.99,26.99,26.64,26.87,7900,25.02
2014-04-03,26.65,27.39,26.65,27.15,9800,25.28
2014-04-02,26.80,26.95,26.60,26.95,5000,25.10
2014-04-01,26.89,26.89,26.73,26.89,6300,25.04
2014-03-31,26.81,26.81,26.60,26.60,2400,24.77
2014-03-28,26.65,26.90,26.48,26.60,20900,24.77
2014-03-27,26.30,26.78,26.30,26.65,68500,24.82
2014-03-26,26.29,26.73,26.29,26.60,25300,24.77
2014-03-25,26.61,26.72,26.30,26.55,30900,24.72
2014-03-24,26.61,26.61,26.32,26.61,1100,24.78
2014-03-21,26.61,26.62,26.49,26.62,3500,24.79
2014-03-20,26.37,26.64,26.34,26.63,4600,24.80
2014-03-19,26.65,26.65,26.31,26.38,2200,24.57
2014-03-18,26.50,26.68,26.50,26.51,5000,24.69
2014-03-17,26.28,26.80,26.28,26.70,3700,24.86
2014-03-14,26.35,26.38,26.32,26.38,1900,24.57
2014-03-13,26.20,26.37,26.14,26.37,8000,24.56
2014-03-12,26.47,26.69,26.13,26.37,4600,24.56
2014-03-11,26.78,26.79,26.76,26.79,4900,24.37
2014-03-10,26.78,26.85,26.55,26.80,14600,24.38
2014-03-07,26.80,26.80,26.55,26.59,1300,24.18
2014-03-06,26.61,26.80,26.61,26.80,2800,24.38
2014-03-05,26.87,26.96,26.57,26.58,5000,24.18
2014-03-04,26.75,26.99,26.75,26.98,3800,24.54
2014-03-03,26.73,26.85,26.73,26.75,5400,24.33
2014-02-28,26.70,26.70,26.56,26.58,2500,24.18
2014-02-27,26.47,26.47,26.47,26.47,700,24.08
2014-02-26,26.48,26.48,26.43,26.48,800,24.08
2014-02-25,26.49,26.50,26.49,26.49,3000,24.09
2014-02-24,26.51,26.52,26.40,26.44,4700,24.05
2014-02-21,26.40,26.69,26.40,26.67,4400,24.26
2014-02-20,26.50,26.50,26.40,26.50,7600,24.10
2014-02-19,26.40,26.67,26.40,26.50,16800,24.10
2014-02-18,26.49,26.50,26.40,26.40,7300,24.01
2014-02-14,26.53,26.53,26.40,26.49,4400,24.09
2014-02-13,26.45,26.48,26.40,26.48,4500,24.08
2014-02-12,26.32,26.45,26.30,26.45,2100,24.06
2014-02-11,26.45,26.45,26.33,26.33,3400,23.95
2014-02-10,26.35,26.50,26.25,26.48,3200,24.08
2014-02-07,26.49,26.49,26.12,26.41,1500,24.02
2014-02-06,26.33,26.33,26.33,26.33,2000,23.95
2014-02-05,26.39,26.39,26.11,26.33,5800,23.95
2014-02-04,26.31,26.48,26.31,26.40,1600,24.01
2014-02-03,26.48,26.50,26.18,26.45,3000,24.06
2014-01-31,26.49,26.49,26.13,26.17,4200,23.80
2014-01-30,26.49,26.49,26.12,26.42,1700,24.03
2014-01-29,26.37,26.48,26.10,26.48,8200,24.08
2014-01-28,26.50,26.50,26.10,26.50,2500,24.10
2014-01-27,26.45,26.45,26.00,26.33,18000,23.95
2014-01-24,26.57,26.57,26.40,26.50,2200,24.10
2014-01-23,26.57,26.57,26.40,26.40,6100,24.01
2014-01-22,26.50,26.50,26.50,26.50,1300,24.10
2014-01-21,26.45,26.85,26.08,26.50,11400,24.10
2014-01-17,26.48,26.48,26.40,26.40,500,24.01
2014-01-16,26.24,26.35,26.00,26.10,3900,23.74
2014-01-15,25.82,26.23,25.81,26.23,2000,23.86
2014-01-14,26.25,26.35,25.81,26.01,8300,23.66
2014-01-13,26.50,26.50,26.25,26.49,3400,24.09
2014-01-10,26.35,26.50,26.22,26.34,4500,23.96
2014-01-09,26.40,26.50,26.30,26.49,8400,24.09
2014-01-08,26.84,26.84,26.35,26.35,4100,23.97
2014-01-07,26.50,26.50,26.05,26.25,3400,23.87
2014-01-06,26.03,26.50,26.00,26.48,1500,24.08
2014-01-03,25.95,26.09,25.94,26.09,3800,23.73
2014-01-02,25.80,25.95,25.80,25.84,7300,23.50
2013-12-31,25.90,25.90,25.80,25.80,3600,23.47
2013-12-30,25.95,25.95,25.80,25.80,2200,23.47
2013-12-27,25.82,25.95,25.78,25.94,1300,23.59
2013-12-26,25.95,25.95,25.95,25.95,1400,23.60
2013-12-24,25.90,25.90,25.90,25.90,200,23.56
2013-12-23,26.10,26.12,25.78,26.04,19000,23.68
2013-12-20,26.04,26.49,26.02,26.03,2800,23.67
2013-12-19,26.00,26.25,25.90,26.25,7600,23.87
2013-12-18,26.01,26.15,25.83,26.00,4800,23.65
2013-12-17,26.09,26.15,26.08,26.15,1500,23.78
