Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,75.21,75.41,74.31,74.33,7763500,74.33
2014-12-30,74.75,75.37,74.70,75.02,6131700,75.02
2014-12-29,75.00,75.60,74.83,74.99,5959800,74.99
2014-12-26,75.09,75.72,75.00,75.62,4986700,75.62
2014-12-24,74.69,75.15,74.64,74.66,3791900,74.66
2014-12-23,74.61,75.12,74.48,74.60,6405800,74.60
2014-12-22,73.58,74.66,73.45,74.56,9074200,74.56
2014-12-19,73.29,73.73,73.17,73.43,16332000,73.43
2014-12-18,73.28,73.36,72.61,73.36,8864600,73.36
2014-12-17,70.42,72.37,70.14,72.21,11423400,72.21
2014-12-16,70.21,71.78,70.08,70.31,11499400,70.31
2014-12-15,70.85,71.42,69.59,70.37,11016100,70.37
2014-12-12,71.63,71.81,70.58,70.58,8351600,70.58
2014-12-11,71.73,72.77,71.57,71.99,9487300,71.99
2014-12-10,72.82,73.00,71.21,71.50,9059300,71.50
2014-12-09,71.96,73.21,71.86,73.01,7548400,73.01
2014-12-08,73.22,73.51,72.21,72.61,7201700,72.61
2014-12-05,73.01,73.91,73.01,73.37,6588600,73.37
2014-12-04,74.24,74.34,72.93,73.34,9374000,73.34
2014-12-03,73.63,74.84,73.44,74.37,13143700,74.37
2014-12-02,71.81,73.49,71.35,73.32,17106300,73.32
2014-12-01,72.46,72.66,71.29,71.79,9474300,71.79
2014-11-28,72.51,73.00,72.07,72.90,5817900,72.90
2014-11-26,71.66,72.35,71.62,72.26,6997000,72.26
2014-11-25,71.73,72.28,71.61,72.27,12487200,71.85
2014-11-24,71.70,71.94,71.18,71.69,9413800,71.27
2014-11-21,71.10,71.82,70.69,71.47,15146200,71.05
2014-11-20,70.11,70.84,69.60,70.71,12030100,70.30
2014-11-19,71.59,71.84,70.36,70.47,11113700,70.06
2014-11-18,70.24,72.06,70.24,72.01,10986100,71.59
2014-11-17,70.62,70.84,70.19,70.40,7350500,69.99
2014-11-14,71.01,71.21,70.55,70.85,7454200,70.44
2014-11-13,70.21,70.83,70.19,70.65,9832900,70.24
2014-11-12,69.62,70.45,69.29,70.29,9460500,69.88
2014-11-11,69.71,69.85,69.03,69.64,10042000,69.24
2014-11-10,68.91,70.03,68.49,69.36,14453300,68.96
2014-11-07,70.70,70.70,69.13,69.26,24945900,68.86
2014-11-06,71.03,71.07,67.67,70.58,70919700,70.17
2014-11-05,77.46,77.47,76.42,77.20,13811400,76.75
2014-11-04,77.49,77.72,76.40,77.11,15347400,76.66
2014-11-03,78.31,78.53,77.96,78.24,8732700,77.79
2014-10-31,78.53,78.53,77.69,78.51,10144500,78.05
2014-10-30,76.65,77.59,76.53,77.37,5313700,76.92
2014-10-29,76.50,77.38,76.31,76.89,5389600,76.44
2014-10-28,76.19,76.62,75.99,76.57,6314800,76.13
2014-10-27,75.86,76.03,75.27,75.84,4761500,75.40
2014-10-24,75.42,76.01,74.91,76.00,6238500,75.56
2014-10-23,75.00,75.40,74.74,75.14,9750000,74.70
2014-10-22,75.01,75.10,74.25,74.30,7127900,73.87
2014-10-21,73.93,75.11,73.83,75.00,8733300,74.56
2014-10-20,72.05,73.30,72.00,73.27,6492300,72.84
2014-10-17,72.05,72.88,71.54,72.43,8467100,72.01
2014-10-16,69.84,71.89,69.36,71.14,11997100,70.73
2014-10-15,71.10,72.63,70.27,71.20,14883500,70.79
2014-10-14,71.75,72.70,71.33,71.86,10488400,71.44
2014-10-13,71.18,72.50,70.25,70.71,10742600,70.30
2014-10-10,73.52,73.94,71.20,71.22,17357100,70.81
2014-10-09,75.22,75.30,73.95,74.08,9914600,73.65
2014-10-08,73.44,75.44,73.22,75.19,9851600,74.75
2014-10-07,74.23,74.43,73.48,73.51,8242000,73.08
