Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.31,23.51,23.16,23.46,702800,23.46
2014-12-30,23.50,23.53,23.08,23.43,132100,23.43
2014-12-29,23.49,23.65,23.31,23.48,338300,23.48
2014-12-26,23.40,23.73,23.24,23.61,371500,23.61
2014-12-24,23.03,23.33,23.01,23.20,362800,23.20
2014-12-23,23.76,23.81,23.10,23.11,873500,23.11
2014-12-22,23.69,23.81,23.60,23.66,493600,23.66
2014-12-19,23.50,23.71,23.28,23.57,1546300,23.57
2014-12-18,23.00,23.71,22.94,23.71,1264700,23.71
2014-12-17,22.64,23.04,22.54,23.02,619500,23.02
2014-12-16,22.56,22.77,22.35,22.39,1017600,22.39
2014-12-15,22.96,23.02,22.37,22.47,653100,22.47
2014-12-12,23.32,23.35,22.92,22.95,789100,22.95
2014-12-11,23.43,23.60,23.17,23.24,350500,23.24
2014-12-10,23.57,23.57,23.10,23.14,467500,23.14
2014-12-09,23.79,23.87,23.61,23.72,519200,23.72
2014-12-08,23.99,24.17,23.85,23.97,694400,23.97
2014-12-05,23.91,24.03,23.84,23.94,598300,23.94
2014-12-04,23.97,24.07,23.76,23.80,444900,23.80
2014-12-03,23.92,23.94,23.68,23.82,414500,23.82
2014-12-02,23.75,24.29,23.65,24.08,792800,24.08
2014-12-01,24.05,24.15,23.78,23.82,358100,23.82
2014-11-28,23.89,24.17,23.84,23.93,560400,23.93
2014-11-26,23.91,24.19,23.88,24.18,420000,24.18
2014-11-25,24.01,24.14,23.77,23.96,399600,23.96
2014-11-24,23.74,24.08,23.70,24.07,744800,24.07
2014-11-21,23.60,23.82,23.50,23.53,640300,23.53
2014-11-20,23.59,23.77,23.49,23.73,303300,23.73
2014-11-19,23.89,23.89,23.68,23.69,295800,23.69
2014-11-18,23.64,24.00,23.62,23.97,400700,23.97
2014-11-17,23.35,23.63,23.34,23.49,540600,23.49
2014-11-14,23.61,23.62,23.39,23.56,481300,23.56
2014-11-13,23.80,23.92,23.55,23.61,421900,23.61
2014-11-12,23.65,24.02,23.61,23.94,519700,23.94
2014-11-11,23.77,23.92,23.64,23.80,303500,23.80
2014-11-10,23.54,23.81,23.51,23.79,516900,23.79
2014-11-07,23.53,23.58,23.32,23.48,491600,23.48
2014-11-06,23.40,23.71,23.34,23.68,745900,23.68
2014-11-05,23.76,23.78,23.53,23.53,427900,23.53
2014-11-04,23.79,23.84,23.52,23.70,542800,23.70
2014-11-03,23.42,23.78,23.42,23.70,520700,23.70
2014-10-31,23.65,23.84,23.36,23.46,735200,23.46
2014-10-30,23.30,23.78,23.27,23.69,568900,23.69
2014-10-29,23.45,23.63,23.34,23.52,827800,23.52
2014-10-28,23.24,23.47,23.11,23.45,626900,23.45
2014-10-27,22.84,23.22,22.80,23.11,732200,23.11
2014-10-24,22.86,22.97,22.75,22.84,869200,22.84
2014-10-23,22.79,22.96,22.64,22.91,1227800,22.91
2014-10-22,22.95,22.98,22.43,22.45,864900,22.45
2014-10-21,22.07,22.64,22.06,22.58,647600,22.58
2014-10-20,21.78,22.12,21.78,22.12,565100,22.12
2014-10-17,21.75,22.16,21.65,21.92,1816500,21.92
2014-10-16,20.75,21.48,20.73,21.32,1283500,21.32
2014-10-15,21.37,21.58,20.99,21.47,942700,21.47
2014-10-14,21.41,21.66,21.23,21.38,808900,21.38
2014-10-13,21.76,21.98,21.47,21.49,930100,21.49
2014-10-10,21.75,22.21,21.75,21.80,1108900,21.80
2014-10-09,22.27,22.41,22.00,22.02,1567300,22.02
2014-10-08,22.21,22.51,22.14,22.50,969900,22.50
2014-10-07,22.69,22.69,22.30,22.30,808000,22.30
2014-10-06,22.64,22.79,22.60,22.69,1179700,22.69
2014-10-03,22.58,22.91,22.42,22.75,1760600,22.75
2014-10-02,22.60,22.74,22.42,22.58,818400,22.58
2014-10-01,22.83,22.83,22.52,22.62,1042400,22.62
2014-09-30,22.98,22.99,22.66,22.77,1090400,22.77
2014-09-29,22.98,23.25,22.90,22.99,1043000,22.99
2014-09-26,23.24,23.24,23.02,23.09,962000,23.09
2014-09-25,23.71,23.72,23.20,23.24,1271000,23.24
2014-09-24,23.63,23.91,23.53,23.74,916300,23.74
2014-09-23,23.71,23.80,23.59,23.61,828800,23.61
2014-09-22,24.09,24.09,23.68,23.87,1059300,23.87
2014-09-19,23.80,23.85,23.60,23.64,741700,23.64
2014-09-18,23.71,23.87,23.68,23.84,526600,23.84
2014-09-17,23.69,23.81,23.57,23.60,421300,23.60
2014-09-16,23.28,23.74,23.28,23.70,492100,23.70
2014-09-15,23.71,23.71,23.29,23.41,1270500,23.41
2014-09-12,23.92,23.93,23.68,23.79,423800,23.79
2014-09-11,24.03,24.03,23.76,23.88,607700,23.88
2014-09-10,23.99,24.02,23.90,24.00,741800,24.00
2014-09-09,24.15,24.17,23.92,24.03,853600,24.03
2014-09-08,24.04,24.11,23.89,24.02,742800,24.02
2014-09-05,23.93,23.93,23.66,23.77,802000,23.77
2014-09-04,24.08,24.09,23.64,23.66,686300,23.66
2014-09-03,24.54,24.56,24.21,24.21,628000,24.21
2014-09-02,24.30,24.41,24.08,24.15,667000,24.15
2014-08-29,24.17,24.23,23.98,24.17,305100,24.17
2014-08-28,24.07,24.13,24.03,24.03,679900,24.03
2014-08-27,24.39,24.43,24.08,24.18,591000,24.18
2014-08-26,24.16,24.33,24.16,24.25,480000,24.25
2014-08-25,24.02,24.22,23.92,24.01,391700,24.01
2014-08-22,23.88,24.05,23.81,23.94,342900,23.94
2014-08-21,24.08,24.13,23.87,23.91,403300,23.91
2014-08-20,23.93,24.14,23.87,24.04,252900,24.04
2014-08-19,24.13,24.26,24.08,24.19,607900,24.19
2014-08-18,24.06,24.11,23.97,24.01,372700,24.01
2014-08-15,24.07,24.11,23.77,23.96,555500,23.96
2014-08-14,23.96,24.10,23.96,24.03,563600,24.03
2014-08-13,23.93,24.00,23.84,23.90,510500,23.90
2014-08-12,23.60,23.66,23.50,23.59,518100,23.59
2014-08-11,23.83,23.84,23.63,23.69,528000,23.69
2014-08-08,23.39,23.59,23.34,23.54,462000,23.54
2014-08-07,23.66,23.69,23.41,23.50,437800,23.50
2014-08-06,23.67,23.69,23.27,23.59,1430500,23.59
2014-08-05,24.05,24.22,23.87,24.05,1242700,24.05
2014-08-04,24.30,24.30,23.91,24.10,725100,24.10
2014-08-01,24.18,24.37,24.05,24.22,720300,24.22
2014-07-31,24.75,24.75,24.38,24.43,828900,24.43
2014-07-30,24.98,25.04,24.48,24.79,1330600,24.79
2014-07-29,24.94,25.31,24.88,25.18,1361500,25.18
2014-07-28,24.83,25.02,24.66,24.91,1175700,24.91
2014-07-25,24.81,25.02,24.65,24.99,1086700,24.99
2014-07-24,25.06,25.10,24.61,24.88,1165200,24.88
2014-07-23,24.81,25.04,24.72,25.03,622200,25.03
2014-07-22,25.04,25.15,24.81,24.93,684700,24.93
2014-07-21,24.99,25.10,24.92,24.98,498400,24.98
2014-07-18,24.80,25.32,24.66,25.18,1349400,25.18
2014-07-17,24.79,24.83,24.28,24.43,1281800,24.43
2014-07-16,24.92,25.03,24.70,24.82,832500,24.82
2014-07-15,25.09,25.17,24.71,24.88,936200,24.88
2014-07-14,24.78,25.12,24.77,25.10,1089000,25.10
2014-07-11,24.44,24.82,24.43,24.72,614100,24.72
2014-07-10,24.15,24.51,24.10,24.51,620200,24.51
2014-07-09,24.49,24.68,24.42,24.56,706100,24.56
2014-07-08,24.61,24.66,24.42,24.53,1212400,24.53
2014-07-07,24.58,24.68,24.48,24.65,1022900,24.65
2014-07-03,24.51,24.60,24.40,24.55,253300,24.55
2014-07-02,24.30,24.60,24.26,24.45,606500,24.45
2014-07-01,24.27,24.66,24.24,24.49,802000,24.49
2014-06-30,24.19,24.47,24.19,24.45,690800,24.45
2014-06-27,24.24,24.51,24.22,24.49,1108800,24.49
2014-06-26,24.07,24.41,24.04,24.30,682700,24.30
2014-06-25,23.97,24.25,23.94,24.23,726900,24.23
2014-06-24,24.25,24.40,24.10,24.14,946100,24.14
2014-06-23,24.30,24.56,24.18,24.23,995400,24.23
2014-06-20,24.23,24.83,24.20,24.80,1463900,24.80
2014-06-19,24.31,24.32,24.12,24.25,781000,24.25
2014-06-18,23.68,24.24,23.66,24.20,1357800,24.20
2014-06-17,23.43,23.68,23.32,23.52,700300,23.52
2014-06-16,23.45,23.60,23.35,23.44,723700,23.44
2014-06-13,23.47,23.49,23.34,23.38,996400,23.38
2014-06-12,23.50,23.63,23.34,23.53,1065400,23.53
2014-06-11,23.32,23.50,23.21,23.46,733900,23.46
2014-06-10,23.13,23.21,23.00,23.16,503800,23.16
2014-06-09,22.93,23.28,22.92,23.15,534700,23.15
2014-06-06,23.05,23.16,22.99,23.13,899300,23.13
2014-06-05,22.84,23.11,22.83,23.07,409700,23.07
2014-06-04,22.63,22.95,22.62,22.94,383200,22.94
2014-06-03,22.62,22.77,22.53,22.72,322100,22.72
2014-06-02,22.81,23.09,22.67,22.83,888700,22.83
2014-05-30,22.93,23.00,22.84,22.96,584000,22.96
2014-05-29,23.10,23.15,22.99,23.04,549900,23.04
2014-05-28,23.01,23.11,22.90,23.03,1518400,23.03
2014-05-27,22.94,22.99,22.63,22.98,764600,22.98
