Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.40,1.44,1.38,1.44,106900,1.44
2014-12-30,1.43,1.44,1.42,1.44,900,1.44
2014-12-29,1.46,1.46,1.43,1.44,266000,1.44
2014-12-26,1.47,1.47,1.36,1.44,15500,1.44
2014-12-24,1.43,1.43,1.37,1.42,43800,1.42
2014-12-23,1.40,1.45,1.35,1.41,42800,1.41
2014-12-22,1.37,1.37,1.31,1.35,103500,1.35
2014-12-19,1.39,1.49,1.25,1.30,497500,1.30
2014-12-18,1.45,1.45,1.36,1.40,122000,1.40
2014-12-17,1.38,1.48,1.36,1.45,251800,1.45
2014-12-16,1.37,1.38,1.31,1.36,105200,1.36
2014-12-15,1.28,1.38,1.28,1.36,152200,1.36
2014-12-12,1.28,1.38,1.26,1.29,48900,1.29
2014-12-11,1.33,1.37,1.26,1.31,22500,1.31
2014-12-10,1.28,1.31,1.25,1.31,36400,1.31
2014-12-09,1.30,1.37,1.21,1.29,74700,1.29
2014-12-08,1.32,1.38,1.22,1.30,824700,1.30
2014-12-05,1.33,1.41,1.32,1.33,45200,1.33
2014-12-04,1.40,1.40,1.34,1.34,26400,1.34
2014-12-03,1.40,1.40,1.39,1.39,11500,1.39
2014-12-02,1.39,1.45,1.36,1.39,21400,1.39
2014-12-01,1.40,1.44,1.35,1.35,24300,1.35
2014-11-28,1.40,1.42,1.37,1.38,30200,1.38
2014-11-26,1.41,1.41,1.37,1.41,43500,1.41
2014-11-25,1.48,1.48,1.39,1.41,93900,1.41
2014-11-24,1.44,1.46,1.40,1.44,54500,1.44
2014-11-21,1.49,1.49,1.43,1.44,105100,1.44
2014-11-20,1.47,1.52,1.45,1.49,40100,1.49
2014-11-19,1.55,1.55,1.45,1.46,90500,1.46
2014-11-18,1.51,1.54,1.51,1.53,12500,1.53
2014-11-17,1.52,1.52,1.46,1.49,15100,1.49
2014-11-14,1.53,1.55,1.50,1.51,73900,1.51
2014-11-13,1.45,1.49,1.43,1.46,41500,1.46
2014-11-12,1.48,1.49,1.44,1.49,36700,1.49
2014-11-11,1.59,1.59,1.45,1.50,62400,1.50
2014-11-10,1.48,1.59,1.43,1.58,57600,1.58
2014-11-07,1.49,1.49,1.43,1.46,8700,1.46
2014-11-06,1.46,1.49,1.44,1.48,18400,1.48
2014-11-05,1.48,1.48,1.41,1.47,86300,1.47
2014-11-04,1.50,1.50,1.47,1.47,26300,1.47
2014-11-03,1.53,1.53,1.49,1.51,27900,1.51
2014-10-31,1.60,1.60,1.52,1.56,85300,1.56
2014-10-30,1.51,1.61,1.51,1.57,75300,1.57
2014-10-29,1.50,1.54,1.47,1.50,45100,1.50
2014-10-28,1.50,1.53,1.46,1.50,245600,1.50
2014-10-27,1.45,1.49,1.42,1.47,24800,1.47
