Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,44.11,44.40,43.13,43.88,170400,43.88
2014-12-30,43.80,44.26,43.35,44.05,4600,44.05
2014-12-29,44.04,44.40,43.29,43.60,281300,43.60
2014-12-26,45.46,45.46,43.36,44.06,250200,44.06
2014-12-24,45.80,46.26,43.67,45.17,182200,45.17
2014-12-23,49.17,49.17,45.17,45.73,224500,45.73
2014-12-22,48.67,49.74,47.56,49.27,243600,49.27
2014-12-19,47.60,48.79,45.26,48.38,1298900,48.38
2014-12-18,44.91,47.36,44.36,46.65,409700,46.65
2014-12-17,40.69,44.66,40.69,44.27,247700,44.27
2014-12-16,39.47,41.55,39.46,40.65,258000,40.65
2014-12-15,42.15,42.25,39.13,39.76,277900,39.76
2014-12-12,38.52,41.58,38.51,41.48,241500,41.48
2014-12-11,39.60,40.00,38.01,39.09,254500,39.09
2014-12-10,40.22,42.15,39.50,39.55,293400,39.55
2014-12-09,39.97,42.19,39.97,40.90,323200,40.90
2014-12-08,40.18,42.44,40.00,40.52,290600,40.52
2014-12-05,40.32,42.93,39.50,40.35,455800,40.35
2014-12-04,42.60,43.54,40.14,40.35,288700,40.35
2014-12-03,42.77,43.61,41.53,43.07,125600,43.07
2014-12-02,42.38,43.36,41.58,42.55,126700,42.55
2014-12-01,43.26,43.58,41.07,41.38,204100,41.38
2014-11-28,44.95,45.49,43.37,43.59,95500,43.59
2014-11-26,43.26,45.36,43.26,45.04,171500,45.04
2014-11-25,44.89,45.72,42.77,43.33,279900,43.33
2014-11-24,44.72,45.56,43.90,44.91,229900,44.91
2014-11-21,45.51,45.51,43.85,44.09,124300,44.09
2014-11-20,44.07,44.93,43.32,44.67,113400,44.67
2014-11-19,44.50,44.91,44.00,44.50,159900,44.50
2014-11-18,42.17,44.74,41.80,44.56,179000,44.56
2014-11-17,41.57,42.33,41.04,41.67,161000,41.67
2014-11-14,43.78,43.96,41.20,41.91,243500,41.91
2014-11-13,44.30,44.30,43.29,43.63,235600,43.63
2014-11-12,41.85,44.61,41.37,44.26,160300,44.26
2014-11-11,40.93,42.93,40.62,42.84,243800,42.84
2014-11-10,45.11,46.45,40.58,41.16,388800,41.16
2014-11-07,44.77,45.70,44.14,44.71,244100,44.71
2014-11-06,44.52,45.18,43.19,44.86,245000,44.86
2014-11-05,45.10,45.17,43.45,44.59,192500,44.59
2014-11-04,44.53,44.98,44.00,44.58,149800,44.58
2014-11-03,46.95,47.42,44.67,44.80,213200,44.80
2014-10-31,50.42,51.64,46.23,47.01,264500,47.01
