Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.40,13.54,13.00,13.42,82400,13.42
2014-12-30,13.55,13.74,13.25,13.46,24300,13.46
2014-12-29,13.90,13.96,13.54,13.55,42800,13.55
2014-12-26,14.00,14.03,13.95,13.99,12400,13.99
2014-12-24,14.00,14.08,13.94,14.00,7300,14.00
2014-12-23,14.20,14.23,13.93,14.00,18200,14.00
2014-12-22,14.23,14.36,14.04,14.19,10600,14.19
2014-12-19,14.36,14.44,14.14,14.14,20900,14.14
2014-12-18,14.32,14.40,14.21,14.29,8500,14.29
2014-12-17,14.40,14.40,14.01,14.19,16800,14.19
2014-12-16,14.28,14.50,14.27,14.50,16700,14.50
2014-12-15,14.40,14.47,14.30,14.35,9800,14.35
2014-12-12,14.39,14.50,14.00,14.47,26500,14.47
2014-12-11,14.40,14.50,14.31,14.50,9400,14.50
2014-12-10,14.45,14.62,14.26,14.26,10900,14.26
2014-12-09,14.40,14.68,14.40,14.53,8300,14.53
2014-12-08,14.67,14.69,14.36,14.45,9100,14.45
2014-12-05,14.59,14.70,14.54,14.59,6500,14.59
2014-12-04,14.79,14.79,14.51,14.57,7100,14.57
2014-12-03,14.82,14.82,14.65,14.77,10900,14.77
2014-12-02,14.83,15.00,14.73,14.86,9900,14.86
2014-12-01,15.00,15.00,14.75,14.90,61100,14.90
2014-11-28,15.04,15.10,14.76,15.04,5400,15.04
2014-11-26,14.70,15.15,14.65,15.15,54900,15.15
2014-11-25,14.70,14.70,14.63,14.69,8500,14.69
2014-11-24,14.58,14.74,14.58,14.63,8700,14.63
2014-11-21,14.66,14.70,14.54,14.64,10800,14.54
2014-11-20,14.60,14.75,14.60,14.68,16900,14.58
2014-11-19,14.49,14.66,14.34,14.65,7300,14.55
2014-11-18,14.56,14.68,14.27,14.59,11900,14.49
2014-11-17,14.66,14.68,14.32,14.50,14600,14.40
2014-11-14,14.61,14.69,14.50,14.68,12700,14.58
2014-11-13,14.26,14.60,14.25,14.54,29400,14.44
2014-11-12,14.06,14.35,14.06,14.30,12000,14.20
2014-11-11,13.98,14.28,13.86,14.21,27200,14.11
2014-11-10,13.98,14.10,13.60,13.95,31100,13.85
2014-11-07,13.78,13.98,13.55,13.90,30100,13.81
2014-11-06,13.20,13.75,13.18,13.75,9600,13.66
2014-11-05,13.10,13.37,13.00,13.15,20300,13.06
2014-11-04,13.45,13.45,13.00,13.02,17500,12.93
2014-11-03,13.25,13.49,13.14,13.42,11700,13.33
2014-10-31,12.76,13.25,12.76,13.14,25000,13.05
2014-10-30,12.95,13.05,12.61,12.67,27200,12.58
2014-10-29,13.01,13.29,12.88,12.88,26400,12.79
2014-10-28,13.11,13.18,12.95,12.95,29400,12.86
2014-10-27,13.16,13.41,13.01,13.06,36300,12.97
2014-10-24,13.86,13.86,13.06,13.08,56200,12.99
2014-10-23,14.14,14.14,13.65,13.75,26700,13.66
2014-10-22,14.06,14.36,13.90,14.00,33400,13.90
2014-10-21,14.04,14.14,13.89,13.99,13700,13.89
2014-10-20,13.80,14.13,13.75,13.88,17100,13.79
2014-10-17,14.18,14.33,13.69,13.76,37100,13.67
2014-10-16,14.22,14.31,14.05,14.05,34500,13.95
