Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,21.03,21.67,20.81,21.39,213000,21.39
2014-12-30,21.36,21.60,20.82,20.89,17600,20.89
2014-12-29,20.88,21.60,20.88,21.39,149700,21.39
2014-12-26,20.71,21.10,20.66,20.95,85200,20.95
2014-12-24,20.88,21.06,20.51,20.56,80400,20.56
2014-12-23,20.20,21.36,20.20,20.80,344400,20.80
2014-12-22,19.51,20.17,19.44,20.16,228200,20.16
2014-12-19,19.31,19.64,18.91,19.53,476800,19.53
2014-12-18,19.36,19.72,18.99,19.26,264900,19.26
2014-12-17,18.02,19.17,17.98,19.10,348800,19.10
2014-12-16,17.33,18.29,17.33,17.95,266100,17.95
2014-12-15,17.34,17.73,17.09,17.40,318400,17.40
2014-12-12,17.20,17.78,16.76,17.27,386700,17.27
2014-12-11,17.18,17.44,16.86,17.34,344400,17.34
2014-12-10,17.95,18.33,17.19,17.39,218200,17.39
2014-12-09,17.30,18.10,17.30,18.04,231300,18.04
2014-12-08,17.88,18.11,17.42,17.45,272400,17.45
2014-12-05,17.60,18.07,17.60,17.88,145000,17.88
2014-12-04,17.28,17.74,17.25,17.60,237100,17.60
2014-12-03,17.73,18.14,17.27,17.46,201700,17.46
2014-12-02,17.29,17.68,17.23,17.67,131400,17.67
2014-12-01,17.35,17.53,17.25,17.29,168400,17.29
2014-11-28,17.74,18.09,17.35,17.38,108900,17.38
2014-11-26,18.07,18.40,17.58,17.72,161300,17.72
2014-11-25,18.05,18.39,17.85,18.13,198200,18.13
2014-11-24,17.86,18.24,17.64,17.98,257900,17.98
2014-11-21,17.87,18.08,17.61,17.76,251400,17.76
2014-11-20,17.24,17.68,17.19,17.65,210000,17.65
2014-11-19,17.36,17.55,17.16,17.27,244700,17.27
2014-11-18,17.57,17.75,17.27,17.37,160500,17.37
2014-11-17,17.45,17.72,17.19,17.54,313300,17.54
2014-11-14,17.67,17.72,17.30,17.41,175000,17.41
2014-11-13,18.60,18.83,17.68,17.70,219600,17.70
2014-11-12,18.42,18.84,17.89,18.51,276400,18.51
2014-11-11,18.38,18.74,18.23,18.50,246800,18.50
2014-11-10,18.11,18.37,17.71,18.37,486300,18.37
2014-11-07,17.21,18.24,17.11,18.16,490200,18.16
2014-11-06,17.62,18.17,17.19,17.27,259300,17.27
2014-11-05,17.05,17.52,16.87,17.51,347900,17.51
2014-11-04,17.10,17.74,16.98,17.04,327400,17.04
2014-11-03,16.37,17.29,16.37,17.18,489000,17.18
2014-10-31,16.25,17.12,15.90,16.40,612100,16.40
2014-10-30,14.51,16.50,14.50,16.34,1006900,16.34
2014-10-29,16.14,16.36,15.73,15.80,350900,15.80
2014-10-28,15.83,16.51,15.56,16.21,221900,16.21
2014-10-27,16.19,16.47,15.56,15.81,290100,15.81
2014-10-24,17.08,17.14,15.73,15.76,427600,15.76
2014-10-23,17.03,17.15,16.94,17.03,258400,17.03
2014-10-22,17.33,17.41,16.66,17.00,329100,17.00
2014-10-21,17.26,17.79,17.14,17.22,242200,17.22
2014-10-20,17.22,17.89,17.01,17.27,369900,17.27
2014-10-17,17.40,17.40,16.74,16.95,891600,16.95
2014-10-16,16.26,17.43,16.15,17.26,344000,17.26
2014-10-15,16.01,16.68,15.63,16.45,474300,16.45
2014-10-14,17.06,17.29,15.77,15.79,483800,15.79
2014-10-13,17.00,17.45,16.96,17.00,406300,17.00
2014-10-10,17.00,17.48,16.97,17.02,256900,17.02
2014-10-09,17.53,17.81,16.99,17.01,242900,17.01
2014-10-08,17.25,17.77,17.19,17.64,476400,17.64
2014-10-07,17.00,17.09,16.90,16.98,414900,16.98
2014-10-06,17.40,17.44,16.85,16.99,181200,16.99
2014-10-03,17.00,17.59,16.88,17.43,264200,17.43
2014-10-02,16.80,16.94,16.69,16.75,104100,16.75
2014-10-01,16.77,16.90,16.70,16.84,340900,16.84
2014-09-30,16.84,16.91,16.74,16.74,386100,16.74
2014-09-29,16.64,16.94,16.64,16.92,151700,16.92
2014-09-26,16.91,16.97,16.57,16.76,327400,16.76
2014-09-25,16.67,16.95,16.57,16.87,418900,16.87
2014-09-24,16.92,17.00,16.67,16.70,345300,16.70
2014-09-23,16.82,16.96,16.68,16.93,294700,16.93
2014-09-22,16.72,17.03,16.60,16.88,419700,16.88
2014-09-19,16.77,16.92,16.55,16.78,438600,16.78
2014-09-18,16.82,16.89,16.59,16.71,243600,16.71
2014-09-17,16.44,16.91,16.44,16.75,233100,16.75
2014-09-16,16.67,16.72,16.35,16.47,409500,16.47
2014-09-15,16.99,17.00,16.60,16.79,231100,16.79
2014-09-12,17.05,17.06,16.67,17.00,266600,17.00
2014-09-11,16.85,17.12,16.80,16.96,268100,16.96
2014-09-10,16.91,17.25,16.87,17.04,898600,17.04
2014-09-09,16.72,17.15,16.63,16.92,412600,16.92
2014-09-08,16.87,17.18,16.72,16.84,322800,16.84
2014-09-05,16.65,17.04,16.65,16.95,309000,16.95
2014-09-04,16.81,17.08,16.64,16.71,326200,16.71
2014-09-03,17.07,17.15,16.77,16.82,412100,16.82
2014-09-02,17.13,17.24,16.90,17.05,275800,17.05
2014-08-29,17.20,17.20,16.86,17.10,399600,17.10
2014-08-28,17.67,17.88,16.95,17.11,925400,17.11
2014-08-27,17.31,18.60,17.15,17.79,1268400,17.79
2014-08-26,16.89,17.37,16.84,17.28,574500,17.28
2014-08-25,17.00,17.19,16.84,16.92,769800,16.92
2014-08-22,17.16,17.46,16.86,16.92,1298500,16.92
2014-08-21,16.72,17.60,16.18,17.26,2084100,17.26
2014-08-20,15.26,16.80,14.95,16.72,3721100,16.72
2014-08-19,14.90,15.45,14.65,15.05,8863000,15.05
2014-08-18,20.23,20.74,19.40,19.61,579300,19.61
2014-08-15,20.63,20.64,20.06,20.18,462300,20.18
2014-08-14,20.51,20.74,20.13,20.35,309400,20.35
2014-08-13,20.97,20.97,20.36,20.56,145900,20.56
2014-08-12,20.79,21.10,20.72,20.85,272000,20.85
2014-08-11,20.38,20.94,20.38,20.77,287000,20.77
2014-08-08,20.08,20.57,20.08,20.33,195100,20.33
2014-08-07,20.80,20.80,19.88,20.13,314000,20.13
2014-08-06,20.79,21.38,20.71,20.75,306900,20.75
2014-08-05,20.22,21.17,20.15,20.97,315600,20.97
2014-08-04,20.49,20.49,20.19,20.35,223400,20.35
2014-08-01,20.57,20.92,20.32,20.45,255700,20.45
2014-07-31,20.87,21.07,20.61,20.63,199600,20.63
