Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.06,10.06,9.90,10.00,40400,9.94
2014-12-30,10.08,10.10,9.99,10.03,4800,9.97
2014-12-29,10.06,10.10,10.00,10.08,29600,10.01
2014-12-26,10.00,10.14,9.99,10.10,61300,10.03
2014-12-24,9.94,10.08,9.94,10.08,6000,10.01
2014-12-23,10.00,10.03,9.90,9.98,16000,9.92
2014-12-22,9.97,10.00,9.97,9.99,16500,9.93
2014-12-19,10.05,10.05,9.93,10.00,15200,9.94
2014-12-18,9.91,10.10,9.91,10.10,16200,10.03
2014-12-17,10.10,10.12,10.00,10.04,13600,9.98
2014-12-16,10.03,10.08,10.01,10.05,15000,9.99
2014-12-15,9.97,10.07,9.97,9.99,11700,9.93
2014-12-12,10.02,10.08,9.95,9.95,6100,9.89
2014-12-11,10.12,10.12,10.03,10.06,5700,9.99
2014-12-10,10.10,10.12,10.05,10.05,3000,9.99
2014-12-09,10.08,10.12,10.01,10.09,17300,10.02
2014-12-08,10.15,10.20,10.12,10.15,13600,10.08
2014-12-05,10.08,10.16,10.06,10.15,16600,10.08
2014-12-04,10.12,10.14,10.08,10.09,3300,10.02
2014-12-03,10.06,10.14,10.06,10.09,10300,10.02
2014-12-02,10.01,10.09,10.01,10.08,7000,10.01
2014-12-01,10.10,10.10,10.03,10.03,9000,9.97
2014-11-28,10.10,10.12,10.05,10.12,1200,10.05
2014-11-26,9.99,10.10,9.99,10.10,19100,10.03
2014-11-25,9.92,10.05,9.92,9.94,20100,9.88
2014-11-24,9.92,10.05,9.83,9.94,17500,9.88
2014-11-21,10.19,10.19,9.93,10.02,17800,9.96
2014-11-20,10.05,10.16,10.05,10.14,15700,10.07
2014-11-19,9.91,10.18,9.83,10.03,10800,9.97
2014-11-18,10.06,10.09,9.91,9.91,2600,9.85
2014-11-17,9.97,10.09,9.94,9.96,4000,9.90
2014-11-14,9.98,10.04,9.91,9.91,13700,9.85
2014-11-13,9.97,10.03,9.96,9.96,6300,9.90
2014-11-12,9.97,10.01,9.93,9.94,5400,9.88
2014-11-11,9.92,10.00,9.90,9.91,15200,9.85
2014-11-10,9.99,10.05,9.93,9.93,7600,9.87
2014-11-07,9.91,10.02,9.91,9.95,12300,9.89
2014-11-06,10.04,10.04,9.91,9.93,8200,9.87
2014-11-05,10.00,10.09,9.99,10.09,16700,10.02
2014-11-04,10.04,10.14,10.00,10.02,4000,9.90
2014-11-03,10.01,10.09,10.00,10.09,21900,9.96
2014-10-31,10.11,10.12,9.95,10.01,32800,9.89
2014-10-30,10.08,10.10,9.98,10.10,9000,9.97
2014-10-29,10.09,10.10,10.01,10.09,4900,9.96
2014-10-28,10.04,10.10,10.04,10.09,12800,9.96
2014-10-27,9.98,10.05,9.98,10.02,11500,9.90
2014-10-24,9.97,10.05,9.97,10.02,6400,9.90
2014-10-23,10.04,10.05,9.96,9.99,32100,9.87
2014-10-22,10.02,10.05,9.99,10.00,9000,9.88
2014-10-21,10.10,10.10,10.00,10.09,28700,9.96
2014-10-20,10.00,10.10,9.99,10.05,27100,9.93
2014-10-17,10.04,10.07,9.99,10.01,35100,9.89
2014-10-16,9.80,10.09,9.80,10.04,31400,9.92
2014-10-15,9.84,9.99,9.84,9.94,28900,9.82
2014-10-14,9.73,9.96,9.71,9.96,51000,9.84
2014-10-13,9.79,9.80,9.70,9.74,22400,9.62
2014-10-10,9.75,9.89,9.71,9.71,35400,9.59
2014-10-09,9.73,10.00,9.69,9.75,26600,9.63
2014-10-08,9.86,9.87,9.65,9.82,43800,9.70
2014-10-07,9.83,9.95,9.69,9.81,41200,9.69
2014-10-06,10.06,10.06,9.86,9.89,48300,9.77
2014-10-03,9.94,10.01,9.89,9.93,38000,9.81
2014-10-02,9.91,9.98,9.85,9.90,41900,9.78
2014-10-01,9.99,10.02,9.84,9.89,60600,9.77
2014-09-30,10.01,10.10,9.98,9.99,18400,9.87
2014-09-29,10.01,10.09,10.01,10.01,21700,9.89
2014-09-26,10.01,10.04,10.00,10.01,20500,9.89
2014-09-25,10.08,10.08,9.99,10.01,14700,9.89
2014-09-24,10.03,10.20,9.98,10.13,34300,10.00
2014-09-23,10.00,10.04,9.95,9.95,238100,9.83
2014-09-22,9.95,10.05,9.95,9.99,33900,9.87
2014-09-19,9.97,10.06,9.95,10.06,44900,9.94
2014-09-18,9.99,10.03,9.98,9.98,11400,9.86
2014-09-17,10.00,10.05,9.97,10.01,66700,9.89
2014-09-16,10.07,10.07,9.99,10.03,64200,9.91
2014-09-15,10.02,10.08,10.02,10.05,21300,9.93
2014-09-12,10.00,10.08,10.00,10.02,22500,9.90
2014-09-11,10.02,10.08,10.00,10.02,21700,9.90
2014-09-10,10.00,10.09,10.00,10.04,22500,9.92
2014-09-09,10.02,10.06,10.01,10.02,34800,9.90
2014-09-08,10.00,10.07,10.00,10.02,19800,9.90
2014-09-05,10.09,10.09,10.02,10.04,15100,9.92
2014-09-04,10.06,10.15,10.02,10.09,12800,9.96
2014-09-03,10.12,10.12,10.08,10.10,14200,9.97
2014-09-02,10.23,10.31,10.11,10.13,71400,10.00
2014-08-29,10.05,10.25,10.04,10.19,20700,10.06
2014-08-28,10.09,10.09,10.00,10.03,20400,9.91
2014-08-27,10.07,10.10,10.00,10.08,14800,9.95
2014-08-26,10.02,10.08,10.02,10.03,13900,9.91
2014-08-25,10.13,10.15,10.00,10.01,25100,9.89
2014-08-22,10.09,10.12,10.01,10.04,12500,9.92
2014-08-21,10.05,10.13,10.00,10.04,12800,9.92
2014-08-20,10.04,10.15,10.00,10.09,11500,9.96
2014-08-19,10.03,10.18,10.03,10.07,24600,9.94
2014-08-18,10.15,10.21,10.11,10.12,12200,9.99
2014-08-15,10.19,10.24,10.04,10.13,16900,10.00
2014-08-14,10.21,10.25,10.01,10.16,19500,10.03
2014-08-13,10.04,10.19,10.04,10.19,13000,10.06
2014-08-12,10.11,10.29,10.02,10.08,22200,9.95
2014-08-11,10.15,10.27,10.09,10.19,12500,10.06
2014-08-08,10.02,10.28,10.00,10.16,28500,10.03
2014-08-07,10.10,10.18,10.00,10.01,23100,9.89
2014-08-06,9.97,10.25,9.97,10.11,14400,9.98
2014-08-05,9.95,10.03,9.95,10.01,82600,9.83
2014-08-04,9.97,10.06,9.96,10.03,56900,9.85
2014-08-01,10.06,10.06,9.93,10.03,64100,9.85
2014-07-31,10.12,10.26,9.97,9.97,53500,9.79
2014-07-30,10.21,10.38,10.09,10.20,49600,10.01
2014-07-29,10.59,10.59,10.13,10.17,68100,9.98
2014-07-28,10.51,10.71,10.43,10.53,50800,10.34
2014-07-25,10.22,10.62,10.18,10.55,58100,10.36
2014-07-24,9.99,10.38,9.99,10.32,73200,10.13
2014-07-23,10.32,10.32,10.01,10.02,58800,9.84
2014-07-22,10.40,10.40,10.24,10.35,28100,10.16
2014-07-21,10.31,10.39,10.25,10.39,12300,10.20
2014-07-18,10.35,10.40,10.17,10.32,32200,10.13
2014-07-17,10.30,10.41,10.20,10.31,27200,10.12
2014-07-16,10.30,10.50,10.29,10.31,17500,10.12
2014-07-15,10.33,10.40,10.28,10.30,24400,10.11
2014-07-14,10.40,10.40,10.31,10.38,29200,10.19
2014-07-11,10.36,10.43,10.25,10.33,35400,10.14
2014-07-10,10.21,10.48,10.15,10.34,43500,10.15
2014-07-09,10.13,10.40,10.12,10.30,36000,10.11
2014-07-08,10.40,10.40,10.22,10.27,61500,10.08
2014-07-07,10.65,10.66,10.45,10.47,44700,10.28
