Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,73.00,74.58,72.10,72.82,131300,72.82
2014-12-30,74.09,75.48,72.78,72.92,7500,72.92
2014-12-29,77.25,77.25,73.55,74.76,134400,74.76
2014-12-26,76.56,77.25,73.46,77.03,181100,77.03
2014-12-24,76.79,77.77,75.85,75.98,84800,75.98
2014-12-23,74.03,77.81,71.97,76.73,178600,76.73
2014-12-22,74.50,74.85,72.97,73.69,126000,73.69
2014-12-19,73.94,74.91,72.65,74.50,290500,74.50
2014-12-18,71.19,74.12,70.25,74.06,210500,74.06
2014-12-17,69.60,70.86,69.02,70.22,159100,70.22
2014-12-16,70.85,71.96,69.33,69.72,178500,69.72
2014-12-15,73.67,73.67,69.86,70.99,230700,70.99
2014-12-12,72.91,75.84,72.64,73.45,127400,73.45
2014-12-11,71.55,75.47,70.58,73.85,212600,73.85
2014-12-10,75.41,77.27,72.61,73.08,247500,73.08
2014-12-09,70.01,76.72,69.45,76.40,276100,76.40
2014-12-08,76.80,77.40,71.66,72.05,265400,72.05
2014-12-05,81.64,81.67,76.50,77.07,254300,77.07
2014-12-04,81.77,82.51,80.34,81.43,185300,81.43
2014-12-03,83.02,83.29,81.47,81.79,138400,81.79
2014-12-02,82.25,84.06,81.99,82.78,155400,82.78
2014-12-01,83.96,85.00,82.89,83.05,118300,83.05
2014-11-28,86.11,87.40,84.05,84.10,65600,84.10
2014-11-26,84.58,86.56,84.14,85.69,174000,85.69
2014-11-25,84.44,85.20,83.38,84.81,231100,84.81
2014-11-24,80.50,84.07,80.50,83.96,132600,83.96
2014-11-21,82.99,82.99,80.13,80.43,198100,80.43
2014-11-20,78.73,81.89,78.10,81.61,231000,81.61
2014-11-19,81.94,82.12,74.90,78.91,344600,78.91
2014-11-18,82.55,84.31,80.70,81.94,186600,81.94
2014-11-17,83.29,85.58,81.52,82.39,276900,82.39
2014-11-14,80.04,85.38,79.75,83.57,239900,83.57
2014-11-13,78.82,81.21,78.57,80.05,212700,80.05
2014-11-12,76.95,79.34,75.25,78.85,172700,78.85
2014-11-11,80.00,81.39,77.25,77.42,216600,77.42
2014-11-10,79.98,81.59,79.32,80.93,262300,80.93
2014-11-07,76.14,83.47,75.55,79.68,447500,79.68
2014-11-06,75.05,75.45,73.21,74.65,165600,74.65
2014-11-05,75.39,75.86,73.70,75.08,221400,75.08
2014-11-04,76.76,77.44,74.15,74.27,171000,74.27
2014-11-03,76.58,79.40,74.17,76.94,285100,76.94
2014-10-31,81.15,81.30,76.64,76.87,195000,76.87
2014-10-30,78.62,81.32,77.74,79.90,141800,79.90
2014-10-29,78.50,81.50,77.05,78.70,302000,78.70
2014-10-28,76.31,78.60,75.91,78.40,215300,78.40
2014-10-27,77.38,77.77,75.30,75.86,117900,75.86
2014-10-24,76.07,78.55,75.03,77.60,238500,77.60
2014-10-23,74.92,76.38,73.65,75.86,202600,75.86
2014-10-22,76.00,76.50,74.00,74.01,113200,74.01
2014-10-21,73.46,76.50,72.65,75.50,141300,75.50
2014-10-20,73.27,74.25,71.24,73.12,154200,73.12
2014-10-17,74.00,74.25,71.55,73.97,202600,73.97
2014-10-16,72.29,74.49,72.21,72.90,151200,72.90
2014-10-15,69.43,74.99,69.19,73.90,295300,73.90
2014-10-14,70.64,72.29,68.80,70.21,299900,70.21
2014-10-13,72.13,72.51,69.57,69.79,227500,69.79
2014-10-10,71.45,73.41,70.93,71.84,235500,71.84
2014-10-09,66.97,75.39,66.50,72.07,674200,72.07
2014-10-08,63.96,65.15,61.19,64.51,221700,64.51
2014-10-07,66.23,66.62,63.66,63.89,270800,63.89
2014-10-06,66.92,67.44,65.81,66.75,303700,66.75
2014-10-03,61.09,66.14,60.57,65.49,458800,65.49
2014-10-02,58.92,60.57,57.94,60.21,107800,60.21
2014-10-01,61.00,61.75,57.90,59.08,152900,59.08
2014-09-30,60.66,62.69,59.84,60.94,230600,60.94
2014-09-29,59.99,61.95,59.59,61.06,119400,61.06
2014-09-26,61.61,62.76,60.35,60.87,178500,60.87
2014-09-25,56.77,62.29,56.59,61.84,372800,61.84
2014-09-24,54.35,56.88,53.83,56.80,83200,56.80
2014-09-23,53.37,54.71,53.02,54.08,172000,54.08
2014-09-22,54.15,54.15,52.71,53.54,84900,53.54
2014-09-19,55.07,56.07,54.47,54.76,147400,54.76
2014-09-18,53.00,56.86,52.57,54.91,220400,54.91
2014-09-17,50.37,52.95,50.37,52.01,80200,52.01
2014-09-16,52.18,52.18,49.06,51.87,75800,51.87
2014-09-15,55.85,55.85,52.15,52.53,104400,52.53
2014-09-12,54.50,56.14,53.74,55.90,142300,55.90
2014-09-11,52.20,54.51,52.16,54.50,108400,54.50
2014-09-10,51.90,52.73,50.73,52.40,83100,52.40
2014-09-09,50.30,52.05,49.99,51.68,100700,51.68
2014-09-08,49.00,51.62,49.00,50.23,166200,50.23
2014-09-05,49.30,49.30,47.52,48.29,105900,48.29
2014-09-04,50.23,50.25,47.87,49.49,52500,49.49
2014-09-03,52.18,52.21,50.00,50.15,47300,50.15
2014-09-02,51.25,51.87,50.45,51.65,40300,51.65
2014-08-29,51.28,51.61,50.64,51.06,58100,51.06
2014-08-28,52.96,53.18,50.96,51.04,86300,51.04
2014-08-27,51.28,53.43,50.50,53.30,134600,53.30
2014-08-26,49.46,51.42,49.19,51.30,109800,51.30
2014-08-25,49.90,50.24,49.34,49.47,39300,49.47
2014-08-22,48.60,49.83,47.81,49.79,61500,49.79
2014-08-21,49.21,49.76,47.75,48.50,69900,48.50
2014-08-20,47.32,49.53,47.26,49.24,91600,49.24
2014-08-19,49.85,50.11,47.42,47.61,87500,47.61
2014-08-18,49.21,50.83,49.16,49.71,84200,49.71
2014-08-15,48.65,49.04,48.20,48.66,151600,48.66
2014-08-14,47.08,48.24,46.60,48.18,172600,48.18
2014-08-13,47.64,48.00,46.83,46.92,93700,46.92
2014-08-12,48.96,49.32,47.18,47.27,122800,47.27
2014-08-11,49.47,50.49,48.92,48.98,114600,48.98
2014-08-08,47.81,51.65,47.79,49.39,283100,49.39
2014-08-07,50.25,51.06,47.47,47.71,234800,47.71
2014-08-06,51.21,52.00,49.94,50.08,129300,50.08
2014-08-05,51.40,52.19,50.99,51.68,51000,51.68
2014-08-04,50.18,52.05,49.93,51.67,130000,51.67
2014-08-01,49.53,50.17,49.33,49.96,85900,49.96
2014-07-31,50.67,51.22,49.33,49.64,119200,49.64
2014-07-30,51.01,51.50,50.51,51.44,34800,51.44
2014-07-29,50.91,51.27,50.19,50.50,41700,50.50
2014-07-28,50.54,51.03,49.20,50.55,86200,50.55
2014-07-25,51.30,51.45,50.13,50.35,72200,50.35
2014-07-24,53.60,53.82,51.50,51.63,77100,51.63
2014-07-23,53.82,53.88,52.92,53.41,47500,53.41
2014-07-22,52.79,53.73,52.39,53.58,96500,53.58
2014-07-21,53.60,54.09,52.28,52.51,81900,52.51
2014-07-18,53.73,54.34,53.08,53.82,86600,53.82
2014-07-17,54.46,55.31,53.28,53.73,99800,53.73
2014-07-16,54.13,55.22,53.48,55.16,116200,55.16
2014-07-15,54.03,54.26,52.91,53.51,112700,53.51
2014-07-14,53.26,54.69,53.26,54.21,62200,54.21
