Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.79,2.87,2.78,2.86,8300,2.86
2014-12-30,2.84,2.84,2.84,2.84,000,2.84
2014-12-29,2.94,2.94,2.84,2.90,9500,2.90
2014-12-26,2.90,2.96,2.83,2.96,19600,2.96
2014-12-24,2.80,2.89,2.79,2.85,8100,2.85
2014-12-23,2.90,3.00,2.73,2.85,19000,2.85
2014-12-22,2.74,2.85,2.74,2.84,8100,2.84
2014-12-19,2.75,2.79,2.55,2.71,12200,2.71
2014-12-18,2.46,2.76,2.43,2.74,61400,2.74
2014-12-17,2.84,2.84,2.39,2.47,21500,2.47
2014-12-16,2.36,2.78,2.36,2.78,27200,2.78
2014-12-15,2.45,2.54,2.39,2.47,234500,2.47
2014-12-12,2.55,2.57,2.53,2.56,53000,2.56
2014-12-11,2.62,2.73,2.57,2.60,42000,2.60
2014-12-10,2.66,2.82,2.60,2.60,46800,2.60
2014-12-09,2.91,2.91,2.58,2.66,38000,2.66
2014-12-08,2.82,3.00,2.82,2.90,45700,2.90
2014-12-05,2.75,2.96,2.64,2.84,65500,2.84
2014-12-04,2.53,2.75,2.53,2.70,22000,2.70
2014-12-03,2.55,2.59,2.54,2.55,26700,2.55
2014-12-02,2.65,2.65,2.50,2.60,360200,2.60
2014-12-01,2.69,2.87,2.64,2.65,3100,2.65
2014-11-28,2.75,2.77,2.61,2.77,22400,2.77
2014-11-26,2.71,2.74,2.68,2.70,3100,2.70
2014-11-25,2.67,2.73,2.67,2.70,11000,2.70
2014-11-24,2.68,2.68,2.55,2.67,16200,2.67
2014-11-21,2.71,2.71,2.68,2.68,2800,2.68
2014-11-20,2.72,2.72,2.67,2.72,28000,2.72
2014-11-19,2.64,2.74,2.64,2.72,17500,2.72
2014-11-18,2.78,2.78,2.63,2.69,20700,2.69
2014-11-17,2.75,2.78,2.72,2.73,47700,2.73
2014-11-14,2.78,2.78,2.78,2.78,000,2.78
2014-11-13,2.76,2.92,2.76,2.78,5800,2.78
2014-11-12,2.95,3.00,2.75,2.86,15800,2.86
2014-11-11,2.96,3.02,2.89,2.93,10600,2.93
2014-11-10,2.85,3.02,2.85,3.00,51100,3.00
2014-11-07,2.85,2.95,2.76,2.82,13600,2.82
