Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.07,10.10,9.99,10.02,10800,10.02
2014-12-30,9.99,10.07,9.99,10.07,900,10.07
2014-12-29,10.00,10.10,9.90,9.97,37300,9.97
2014-12-26,10.07,10.22,10.00,10.00,62000,10.00
2014-12-24,9.80,10.05,9.75,10.04,33200,10.04
2014-12-23,9.75,9.95,9.60,9.83,44300,9.83
2014-12-22,9.67,9.87,9.63,9.78,62300,9.78
2014-12-19,9.66,9.79,9.51,9.77,71800,9.77
2014-12-18,9.60,9.87,9.45,9.68,115000,9.68
2014-12-17,9.53,9.64,9.29,9.60,99300,9.60
2014-12-16,9.50,9.82,9.13,9.53,130600,9.53
2014-12-15,9.58,9.58,9.41,9.48,94200,9.48
2014-12-12,9.55,9.61,9.50,9.58,36300,9.58
2014-12-11,9.60,9.65,9.60,9.60,22200,9.60
2014-12-10,9.71,9.75,9.55,9.55,35700,9.55
2014-12-09,9.61,9.75,9.58,9.71,42000,9.71
2014-12-08,9.90,9.97,9.60,9.64,37900,9.64
2014-12-05,9.90,10.02,9.86,9.86,26400,9.86
2014-12-04,9.89,9.95,9.79,9.89,27400,9.89
2014-12-03,9.75,9.99,9.75,9.85,58000,9.85
2014-12-02,9.77,9.95,9.74,9.77,46900,9.77
2014-12-01,9.69,9.93,9.69,9.70,79400,9.70
2014-11-28,10.23,10.26,9.61,9.68,178200,9.68
2014-11-26,10.01,10.21,10.01,10.12,41100,10.12
2014-11-25,9.94,10.72,9.90,9.96,136300,9.96
2014-11-24,9.89,10.17,9.80,9.87,120200,9.87
2014-11-21,10.03,10.09,9.66,9.70,137800,9.70
2014-11-20,10.26,10.30,10.04,10.10,67300,10.10
2014-11-19,10.00,10.29,10.00,10.24,135700,10.24
2014-11-18,10.11,10.34,10.00,10.08,153800,10.08
2014-11-17,10.78,10.85,10.00,10.18,228400,10.18
2014-11-14,11.33,11.34,10.63,10.78,95900,10.78
2014-11-13,11.33,11.40,11.26,11.28,7900,11.28
2014-11-12,11.29,11.38,11.25,11.33,21400,11.33
2014-11-11,11.32,11.39,11.15,11.38,24600,11.38
2014-11-10,11.27,11.39,11.24,11.25,20300,11.25
2014-11-07,11.38,11.40,11.27,11.34,17300,11.34
2014-11-06,11.42,11.49,11.15,11.39,36300,11.39
2014-11-05,11.61,11.99,11.36,11.40,68300,11.40
2014-11-04,11.64,11.72,11.36,11.63,39200,11.63
2014-11-03,11.85,11.92,11.60,11.68,27000,11.68
2014-10-31,12.01,12.03,11.68,11.90,21900,11.90
2014-10-30,11.87,11.98,11.77,11.87,12300,11.87
2014-10-29,12.12,12.25,11.80,11.84,37800,11.84
2014-10-28,11.99,12.17,11.85,12.14,45100,12.14
2014-10-27,11.85,12.08,11.79,11.89,63600,11.89
2014-10-24,11.76,11.86,11.63,11.76,25200,11.76
2014-10-23,12.03,12.03,11.75,11.75,52200,11.75
2014-10-22,12.15,12.15,11.91,11.93,56800,11.93
2014-10-21,11.98,12.00,11.59,11.91,96500,11.91
2014-10-20,11.75,11.97,11.49,11.80,119100,11.80
2014-10-17,11.05,11.23,10.88,11.11,34700,11.11
2014-10-16,10.67,10.95,10.55,10.95,100900,10.95
2014-10-15,10.25,10.94,10.25,10.82,57100,10.82
2014-10-14,10.60,10.95,10.51,10.61,18800,10.61
2014-10-13,10.77,10.97,10.51,10.51,14600,10.51
2014-10-10,10.91,10.91,10.70,10.73,18400,10.73
2014-10-09,10.83,11.15,10.72,10.82,37900,10.82
2014-10-08,10.66,10.95,10.61,10.85,42000,10.85
2014-10-07,10.90,10.93,10.50,10.67,48400,10.67
