Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,21.17,21.17,21.10,21.16,1600,21.16
2014-12-30,21.18,21.18,21.15,21.18,1000,21.18
2014-12-29,21.10,21.11,21.10,21.11,800,20.88
2014-12-26,21.50,21.50,21.50,21.50,200,21.27
2014-12-24,21.15,21.15,21.15,21.15,000,20.92
2014-12-23,21.16,21.16,21.15,21.15,700,20.92
2014-12-22,21.30,21.30,21.30,21.30,100,21.07
2014-12-19,21.37,21.55,21.15,21.15,900,20.92
2014-12-18,21.32,21.55,21.32,21.35,2300,21.12
2014-12-17,21.10,21.37,21.10,21.25,2300,21.02
2014-12-16,21.04,21.04,21.04,21.04,000,20.81
2014-12-15,21.04,21.04,21.04,21.04,000,20.81
2014-12-12,21.04,21.04,21.04,21.04,200,20.81
2014-12-11,21.30,21.30,21.05,21.05,2200,20.82
2014-12-10,21.44,21.44,21.16,21.17,2900,20.94
2014-12-09,21.31,21.31,21.31,21.31,000,21.08
2014-12-08,21.21,21.45,21.21,21.31,2500,21.08
2014-12-05,21.11,21.11,21.11,21.11,000,20.88
2014-12-04,21.11,21.11,21.11,21.11,000,20.88
2014-12-03,21.11,21.11,21.11,21.11,000,20.88
2014-12-02,21.11,21.11,21.11,21.11,000,20.88
2014-12-01,21.11,21.11,21.11,21.11,100,20.88
2014-11-28,21.11,21.11,21.11,21.11,200,20.88
2014-11-26,21.06,21.06,21.06,21.06,000,20.83
2014-11-25,21.08,21.08,21.06,21.06,400,20.83
2014-11-24,21.26,21.26,21.06,21.07,1000,20.84
2014-11-21,21.25,21.28,20.90,20.90,4700,20.67
2014-11-20,21.55,21.55,21.35,21.46,1900,21.23
2014-11-19,21.43,21.43,21.43,21.43,000,21.20
2014-11-18,21.43,21.43,21.43,21.43,200,21.20
2014-11-17,21.50,21.50,21.50,21.50,000,21.27
2014-11-14,21.50,21.50,21.50,21.50,500,21.27
2014-11-13,21.44,21.48,21.41,21.48,2700,21.25
2014-11-12,21.00,21.00,21.00,21.00,000,20.77
2014-11-11,21.01,21.01,21.00,21.00,600,20.77
