Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.07,7.17,7.02,7.04,68700,7.04
2014-12-30,7.24,7.24,7.05,7.09,2600,7.09
2014-12-29,7.41,7.43,7.12,7.21,69100,7.21
2014-12-26,7.24,7.45,7.19,7.45,52300,7.45
2014-12-24,6.98,7.21,6.96,7.20,599200,7.20
2014-12-23,6.95,7.04,6.91,6.98,443400,6.98
2014-12-22,6.97,7.03,6.92,6.96,82500,6.96
2014-12-19,6.92,7.05,6.91,7.00,464400,7.00
2014-12-18,7.07,7.07,6.93,6.96,83300,6.96
2014-12-17,6.83,6.98,6.75,6.98,98500,6.98
2014-12-16,6.84,6.89,6.75,6.85,135300,6.85
2014-12-15,6.91,7.00,6.79,6.85,92500,6.85
2014-12-12,6.82,6.92,6.82,6.90,66900,6.90
2014-12-11,6.95,7.01,6.88,6.88,88300,6.88
2014-12-10,7.02,7.04,6.86,6.90,236800,6.90
2014-12-09,6.85,7.07,6.85,7.07,51900,7.07
2014-12-08,6.96,7.00,6.85,6.87,98000,6.87
2014-12-05,7.00,7.16,6.98,7.00,107500,7.00
2014-12-04,7.00,7.01,6.99,7.00,51800,7.00
2014-12-03,6.98,7.04,6.92,7.00,294600,7.00
2014-12-02,7.04,7.12,6.91,7.00,473200,7.00
2014-12-01,7.01,7.11,6.98,7.01,63000,7.01
2014-11-28,7.03,7.07,6.97,7.01,72300,7.01
2014-11-26,6.96,7.07,6.82,7.03,81600,7.03
2014-11-25,7.00,7.02,6.92,6.98,152800,6.98
2014-11-24,6.98,7.01,6.90,7.00,60300,7.00
2014-11-21,6.85,6.97,6.75,6.93,82200,6.93
2014-11-20,6.64,6.79,6.64,6.73,44000,6.73
2014-11-19,6.83,6.83,6.56,6.70,88000,6.70
2014-11-18,7.05,7.09,6.86,6.87,48900,6.87
2014-11-17,7.03,7.10,6.93,7.05,51100,7.05
2014-11-14,7.02,7.08,6.97,7.07,56500,7.07
2014-11-13,6.95,7.02,6.95,6.99,147700,6.99
2014-11-12,6.87,6.96,6.83,6.96,170300,6.96
2014-11-11,6.85,6.91,6.81,6.89,58500,6.89
2014-11-10,6.72,6.85,6.69,6.85,62100,6.85
2014-11-07,6.76,6.77,6.66,6.76,105800,6.76
2014-11-06,6.72,6.85,6.72,6.79,234000,6.79
2014-11-05,6.90,6.90,6.80,6.85,178700,6.85
2014-11-04,6.78,6.84,6.56,6.84,257700,6.84
2014-11-03,6.88,7.01,6.77,6.78,123400,6.78
2014-10-31,7.14,7.16,6.90,6.90,121900,6.90
2014-10-30,6.92,7.01,6.90,6.98,77700,6.98
2014-10-29,7.03,7.06,6.91,6.94,71000,6.94
2014-10-28,6.90,7.04,6.84,7.04,105800,7.04
2014-10-27,6.95,7.00,6.85,6.85,51000,6.85
2014-10-24,7.17,7.20,6.84,6.96,101200,6.96
2014-10-23,6.32,6.95,6.19,6.95,193400,6.95
2014-10-22,6.12,6.30,6.11,6.28,86700,6.28
2014-10-21,6.38,6.56,6.10,6.13,1296900,6.13
2014-10-20,6.25,6.34,6.18,6.23,42600,6.23
2014-10-17,6.48,6.48,6.24,6.26,60700,6.26
2014-10-16,6.13,6.40,6.13,6.38,84200,6.38
2014-10-15,6.08,6.31,6.00,6.23,81600,6.23
2014-10-14,6.38,6.47,6.13,6.13,245800,6.13
2014-10-13,6.26,6.36,6.16,6.17,158200,6.17
2014-10-10,6.42,6.54,6.20,6.30,126500,6.30
2014-10-09,6.62,6.62,6.42,6.45,95700,6.45
2014-10-08,6.67,6.68,6.58,6.65,111600,6.65
2014-10-07,6.75,6.78,6.56,6.65,91300,6.65
2014-10-06,6.82,6.84,6.75,6.75,52500,6.75
2014-10-03,6.96,6.96,6.83,6.84,36200,6.84
2014-10-02,6.65,6.92,6.52,6.87,92400,6.87
2014-10-01,6.92,6.95,6.62,6.67,134000,6.67
2014-09-30,7.01,7.04,6.95,6.95,107000,6.95
2014-09-29,7.00,7.08,6.98,7.04,61800,7.04
2014-09-26,7.00,7.09,6.98,7.05,59900,7.05
2014-09-25,7.11,7.15,7.00,7.00,92700,7.00
2014-09-24,7.13,7.31,7.11,7.11,58100,7.11
2014-09-23,7.23,7.28,7.13,7.14,85500,7.14
2014-09-22,7.32,7.48,7.23,7.23,61200,7.23
2014-09-19,7.46,7.48,7.21,7.37,237900,7.37
2014-09-18,7.37,7.48,7.32,7.46,57200,7.46
2014-09-17,7.30,7.40,6.91,7.33,803200,7.33
2014-09-16,7.40,7.43,7.30,7.33,94000,7.33
2014-09-15,7.58,7.58,7.40,7.40,152500,7.40
2014-09-12,7.72,7.72,7.55,7.62,64700,7.62
2014-09-11,7.64,7.73,7.62,7.69,65000,7.69
2014-09-10,7.65,7.76,7.65,7.70,49400,7.70
2014-09-09,7.69,7.74,7.64,7.65,55800,7.65
2014-09-08,7.50,7.70,7.50,7.69,71900,7.69
2014-09-05,7.60,7.73,7.57,7.59,66000,7.59
2014-09-04,7.61,7.83,7.60,7.67,50800,7.67
2014-09-03,7.75,7.90,7.60,7.61,55200,7.61
2014-09-02,7.70,7.78,7.67,7.76,88700,7.76
2014-08-29,7.70,7.72,7.66,7.70,41600,7.70
2014-08-28,7.73,7.75,7.65,7.68,54100,7.68
2014-08-27,7.86,7.86,7.72,7.73,44500,7.73
2014-08-26,7.75,7.86,7.75,7.82,70800,7.82
2014-08-25,7.81,7.89,7.77,7.81,67500,7.81
2014-08-22,7.79,7.84,7.70,7.81,62800,7.81
2014-08-21,7.69,7.80,7.69,7.76,78600,7.76
2014-08-20,7.73,7.86,7.63,7.73,51000,7.73
2014-08-19,7.77,7.82,7.70,7.78,75600,7.78
2014-08-18,7.70,7.74,7.59,7.73,111800,7.73
2014-08-15,7.89,7.89,7.58,7.60,201200,7.60
2014-08-14,7.84,7.87,7.77,7.80,272900,7.80
2014-08-13,7.80,7.84,7.77,7.80,72200,7.80
2014-08-12,7.78,7.94,7.72,7.81,206700,7.81
2014-08-11,7.74,7.85,7.74,7.83,79100,7.83
2014-08-08,7.71,7.78,7.70,7.74,95000,7.74
2014-08-07,7.61,7.80,7.61,7.72,80100,7.72
2014-08-06,7.80,7.91,7.73,7.75,107700,7.75
2014-08-05,7.72,7.85,7.68,7.81,122100,7.81
2014-08-04,7.76,7.85,7.67,7.71,154200,7.71
2014-08-01,7.55,7.68,7.50,7.65,130900,7.65
2014-07-31,7.75,7.79,7.52,7.52,203100,7.52
2014-07-30,7.88,7.90,7.82,7.84,70200,7.84
2014-07-29,7.81,7.92,7.76,7.80,95400,7.80
2014-07-28,7.81,7.92,7.75,7.79,151800,7.79
2014-07-25,7.80,7.85,7.75,7.76,77600,7.76
2014-07-24,7.90,7.91,7.80,7.82,126500,7.82
2014-07-23,7.94,7.94,7.88,7.88,107000,7.88
2014-07-22,7.98,8.00,7.87,7.90,115500,7.90
2014-07-21,8.01,8.01,7.87,7.91,232400,7.91
2014-07-18,7.89,8.01,7.79,7.97,256000,7.97
2014-07-17,8.26,8.38,7.78,7.84,800300,7.84
2014-07-16,7.33,7.33,7.27,7.29,46900,7.29
2014-07-15,7.37,7.38,7.31,7.32,66100,7.32
2014-07-14,7.41,7.48,7.37,7.38,48300,7.38
2014-07-11,7.43,7.47,7.36,7.38,46900,7.38
2014-07-10,7.50,7.57,7.43,7.45,45100,7.45
2014-07-09,7.56,7.56,7.52,7.53,14400,7.53
2014-07-08,7.55,7.67,7.50,7.56,71600,7.56
2014-07-07,7.72,7.86,7.58,7.59,59500,7.59
2014-07-03,7.82,7.88,7.76,7.80,25900,7.80
2014-07-02,7.68,7.88,7.68,7.81,47800,7.81
2014-07-01,7.61,7.76,7.54,7.73,74300,7.73
2014-06-30,7.61,7.71,7.58,7.63,24900,7.63
2014-06-27,7.51,7.68,7.51,7.65,92600,7.65
2014-06-26,7.57,7.65,7.55,7.56,24800,7.56
2014-06-25,7.55,7.63,7.55,7.60,23400,7.60
2014-06-24,7.66,7.84,7.57,7.58,44200,7.58
2014-06-23,7.68,7.73,7.63,7.69,28300,7.69
2014-06-20,7.80,7.80,7.55,7.67,371800,7.67
2014-06-19,7.77,7.86,7.68,7.76,80300,7.76
2014-06-18,7.69,7.79,7.65,7.75,31800,7.75
2014-06-17,7.70,7.86,7.69,7.73,29200,7.73
2014-06-16,7.89,7.89,7.67,7.73,55700,7.73
2014-06-13,7.92,8.00,7.82,7.84,22900,7.84
2014-06-12,7.79,8.09,7.70,7.87,77600,7.87
2014-06-11,7.70,7.90,7.70,7.83,53800,7.83
2014-06-10,7.64,7.80,7.64,7.73,31300,7.73
2014-06-09,7.50,7.77,7.50,7.75,47900,7.75
2014-06-06,7.45,7.63,7.45,7.50,37200,7.50
2014-06-05,7.31,7.47,7.25,7.45,50000,7.45
2014-06-04,7.30,7.32,7.25,7.28,39500,7.28
2014-06-03,7.32,7.44,7.30,7.31,73800,7.31
2014-06-02,7.71,7.76,7.31,7.35,81700,7.35
2014-05-30,7.72,7.83,7.67,7.69,33000,7.69
2014-05-29,7.69,7.79,7.67,7.69,33700,7.69
2014-05-28,7.75,7.78,7.64,7.65,26500,7.65
2014-05-27,7.63,7.75,7.55,7.75,39200,7.75
2014-05-23,7.55,7.60,7.51,7.60,56200,7.60
2014-05-22,7.45,7.67,7.32,7.56,77600,7.56
2014-05-21,7.47,7.49,7.31,7.44,49600,7.44
2014-05-20,7.44,7.65,7.32,7.41,109300,7.41
2014-05-19,7.26,7.45,7.25,7.42,91200,7.42
2014-05-16,7.07,7.41,7.05,7.25,155100,7.25
2014-05-15,7.09,7.14,7.05,7.09,52400,7.09
2014-05-14,7.25,7.28,7.15,7.15,58700,7.15
2014-05-13,7.42,7.42,7.26,7.28,44400,7.28
2014-05-12,7.21,7.46,7.20,7.42,91200,7.42
2014-05-09,7.03,7.24,7.03,7.20,52300,7.20
2014-05-08,7.27,7.29,7.09,7.09,103500,7.09
2014-05-07,7.37,7.54,7.33,7.37,76900,7.37
2014-05-06,7.47,7.51,7.39,7.39,62300,7.39
2014-05-05,7.44,7.50,7.44,7.47,71000,7.47
2014-05-02,7.57,7.62,7.49,7.52,40900,7.52
2014-05-01,7.52,7.55,7.45,7.52,79400,7.52
2014-04-30,7.53,7.62,7.52,7.54,72600,7.54
2014-04-29,7.63,7.65,7.55,7.57,31900,7.57
2014-04-28,7.66,7.75,7.55,7.57,50500,7.57
2014-04-25,7.67,7.79,7.60,7.63,46400,7.63
2014-04-24,7.72,7.78,7.70,7.71,22200,7.71
2014-04-23,7.81,7.85,7.71,7.71,32700,7.71
2014-04-22,7.77,7.93,7.76,7.85,50700,7.85
2014-04-21,7.63,7.74,7.60,7.74,29600,7.74
2014-04-17,7.61,7.67,7.56,7.66,29100,7.66
2014-04-16,7.61,7.70,7.55,7.61,36400,7.61
2014-04-15,7.56,7.64,7.52,7.59,58200,7.59
2014-04-14,7.63,7.70,7.55,7.56,91500,7.56
2014-04-11,7.52,7.65,7.52,7.54,60500,7.54
2014-04-10,7.63,7.72,7.55,7.55,51600,7.55
2014-04-09,7.60,7.69,7.58,7.67,80600,7.67
2014-04-08,7.45,7.64,7.45,7.60,73700,7.60
2014-04-07,7.47,7.53,7.42,7.46,112700,7.46
2014-04-04,7.68,7.68,7.48,7.50,197100,7.50
2014-04-03,7.61,7.75,7.56,7.61,56200,7.61
2014-04-02,7.59,7.74,7.56,7.64,97700,7.64
2014-04-01,7.61,7.84,7.54,7.59,69500,7.59
2014-03-31,7.63,7.74,7.56,7.58,104500,7.58
2014-03-28,7.58,7.62,7.52,7.61,58300,7.61
2014-03-27,7.63,7.65,7.50,7.61,58100,7.61
2014-03-26,7.89,7.89,7.64,7.66,58400,7.66
2014-03-25,7.80,7.87,7.72,7.81,47700,7.81
2014-03-24,7.90,7.90,7.76,7.79,63400,7.79
2014-03-21,7.96,7.96,7.80,7.90,82200,7.90
2014-03-20,7.82,8.00,7.75,7.90,38400,7.90
2014-03-19,7.81,7.89,7.66,7.80,56800,7.80
2014-03-18,7.71,7.87,7.62,7.84,62300,7.84
2014-03-17,7.73,7.90,7.67,7.73,101100,7.73
2014-03-14,7.64,7.75,7.62,7.67,17300,7.67
2014-03-13,7.63,7.74,7.57,7.68,110500,7.68
2014-03-12,7.54,7.70,7.50,7.58,54500,7.58
2014-03-11,7.79,7.79,7.50,7.57,48600,7.57
2014-03-10,7.60,7.84,7.50,7.81,114900,7.81
2014-03-07,7.52,7.58,7.40,7.50,84100,7.50
2014-03-06,7.53,7.55,7.35,7.46,83100,7.46
2014-03-05,7.51,7.53,7.43,7.48,68600,7.48
2014-03-04,7.44,7.62,7.44,7.54,91700,7.54
2014-03-03,7.46,7.52,7.33,7.35,42900,7.35
