Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.66,1.71,1.63,1.67,79200,1.67
2014-12-30,1.70,1.70,1.60,1.64,3600,1.64
2014-12-29,1.73,1.75,1.65,1.71,65000,1.71
2014-12-26,1.70,1.74,1.64,1.72,47300,1.72
2014-12-24,1.71,1.71,1.62,1.66,12300,1.66
2014-12-23,1.72,1.72,1.64,1.69,21300,1.69
2014-12-22,1.69,1.73,1.65,1.69,37000,1.69
2014-12-19,1.65,1.83,1.49,1.70,84200,1.70
2014-12-18,1.60,1.68,1.60,1.66,61000,1.66
2014-12-17,1.48,1.58,1.47,1.57,151700,1.57
2014-12-16,1.48,1.53,1.47,1.50,211400,1.50
2014-12-15,1.45,1.53,1.45,1.47,123500,1.47
2014-12-12,1.41,1.49,1.41,1.45,76600,1.45
2014-12-11,1.40,1.46,1.38,1.45,143600,1.45
2014-12-10,1.40,1.44,1.35,1.40,417400,1.40
2014-12-09,1.51,1.57,1.35,1.38,483000,1.38
2014-12-08,1.58,1.77,1.50,1.50,252900,1.50
2014-12-05,1.51,1.60,1.46,1.57,201800,1.57
2014-12-04,1.58,1.67,1.50,1.51,175900,1.51
2014-12-03,1.70,1.70,1.58,1.59,66100,1.59
2014-12-02,1.70,1.70,1.57,1.60,61000,1.60
2014-12-01,1.69,1.69,1.57,1.57,242800,1.57
2014-11-28,1.70,1.72,1.65,1.69,57800,1.69
2014-11-26,1.71,1.72,1.64,1.71,103600,1.71
2014-11-25,1.69,1.72,1.65,1.72,28600,1.72
2014-11-24,1.85,1.86,1.63,1.69,254600,1.69
2014-11-21,1.85,1.93,1.76,1.85,125900,1.85
2014-11-20,1.79,1.84,1.65,1.81,198800,1.81
2014-11-19,1.78,1.87,1.78,1.80,59600,1.80
2014-11-18,1.91,1.97,1.75,1.78,197000,1.78
2014-11-17,2.01,2.06,1.89,1.91,188100,1.91
2014-11-14,1.91,2.06,1.91,2.01,86700,2.01
2014-11-13,1.85,1.99,1.80,1.90,124100,1.90
2014-11-12,2.16,2.16,1.50,1.87,577800,1.87
2014-11-11,2.31,2.31,2.06,2.20,209500,2.20
2014-11-10,2.42,2.51,2.28,2.32,82700,2.32
2014-11-07,2.28,2.42,2.23,2.41,88500,2.41
2014-11-06,2.30,2.33,2.23,2.30,30700,2.30
2014-11-05,2.56,2.56,2.27,2.31,59400,2.31
2014-11-04,2.52,2.60,2.30,2.38,84700,2.38
2014-11-03,2.46,2.64,2.44,2.51,67700,2.51
2014-10-31,2.47,2.50,2.38,2.49,102100,2.49
2014-10-30,2.29,2.49,2.27,2.39,70800,2.39
2014-10-29,2.37,2.39,2.20,2.31,115000,2.31
2014-10-28,2.33,2.41,2.25,2.37,115800,2.37
2014-10-27,2.53,2.53,2.26,2.31,215800,2.31
2014-10-24,2.63,2.63,2.54,2.56,22000,2.56
2014-10-23,2.50,2.64,2.42,2.62,50600,2.62
2014-10-22,2.74,2.74,2.46,2.47,68500,2.47
2014-10-21,2.63,2.84,2.63,2.75,100600,2.75
2014-10-20,2.57,2.64,2.46,2.62,218600,2.62
2014-10-17,2.69,2.70,2.58,2.60,71200,2.60
2014-10-16,2.47,2.71,2.28,2.64,126400,2.64
2014-10-15,2.44,2.54,2.17,2.53,141200,2.53
2014-10-14,2.16,2.43,2.16,2.33,148300,2.33
2014-10-13,2.22,2.31,2.15,2.16,198700,2.16
2014-10-10,2.26,2.41,2.17,2.24,371100,2.24
2014-10-09,2.53,2.56,2.15,2.28,866400,2.28
2014-10-08,2.73,2.73,2.53,2.55,398100,2.55
2014-10-07,2.71,2.78,2.71,2.75,143000,2.75
2014-10-06,2.80,2.80,2.68,2.75,71900,2.75
2014-10-03,2.81,2.89,2.67,2.75,163200,2.75
2014-10-02,2.76,2.83,2.67,2.76,121700,2.76
2014-10-01,3.15,3.15,2.70,2.75,247800,2.75
2014-09-30,3.01,3.18,2.90,3.18,578400,3.18
2014-09-29,2.95,3.01,2.95,3.01,43700,3.01
2014-09-26,2.93,3.00,2.90,3.00,46700,3.00
2014-09-25,3.09,3.15,2.85,2.93,144200,2.93
2014-09-24,3.07,3.15,3.03,3.11,229100,3.11
2014-09-23,3.06,3.08,2.97,3.05,78500,3.05
2014-09-22,3.12,3.12,2.97,3.08,70700,3.08
2014-09-19,3.17,3.20,3.09,3.15,178300,3.15
2014-09-18,3.16,3.21,3.08,3.17,50100,3.17
2014-09-17,3.10,3.17,3.09,3.14,36100,3.14
2014-09-16,3.08,3.11,3.04,3.10,62100,3.10
2014-09-15,3.15,3.15,3.04,3.10,174100,3.10
2014-09-12,3.16,3.17,3.08,3.12,82900,3.12
2014-09-11,3.15,3.18,3.10,3.18,105600,3.18
2014-09-10,3.12,3.18,3.10,3.18,40500,3.18
2014-09-09,3.25,3.25,3.06,3.13,94900,3.13
2014-09-08,3.16,3.26,3.16,3.24,67300,3.24
2014-09-05,3.14,3.29,3.06,3.16,55900,3.16
2014-09-04,3.21,3.26,3.11,3.16,109200,3.16
2014-09-03,3.21,3.41,3.02,3.21,414200,3.21
2014-09-02,3.01,3.29,2.98,3.24,108800,3.24
2014-08-29,2.97,3.03,2.90,3.01,51400,3.01
2014-08-28,3.04,3.04,2.95,2.95,39600,2.95
2014-08-27,2.97,3.10,2.95,3.05,104400,3.05
2014-08-26,2.93,2.99,2.84,2.96,44300,2.96
2014-08-25,2.95,2.96,2.83,2.90,39000,2.90
2014-08-22,3.02,3.02,2.92,2.92,43600,2.92
2014-08-21,2.94,3.06,2.90,3.02,52100,3.02
2014-08-20,3.02,3.02,2.92,2.95,37200,2.95
2014-08-19,3.07,3.07,2.93,3.02,50300,3.02
2014-08-18,3.10,3.12,2.98,3.03,91300,3.03
2014-08-15,2.96,3.09,2.90,3.06,327500,3.06
2014-08-14,3.00,3.00,2.88,2.92,200700,2.92
2014-08-13,2.90,3.02,2.87,3.00,155600,3.00
2014-08-12,3.20,3.20,2.88,2.91,293100,2.91
2014-08-11,3.24,3.43,3.16,3.23,199700,3.23
2014-08-08,3.00,3.16,2.76,3.13,325800,3.13
2014-08-07,3.34,3.38,2.94,3.07,365700,3.07
2014-08-06,3.40,3.56,3.25,3.32,424700,3.32
2014-08-05,4.18,4.18,3.23,3.41,606900,3.41
2014-08-04,4.22,4.30,4.15,4.24,102300,4.24
2014-08-01,4.39,4.42,4.10,4.27,125200,4.27
2014-07-31,4.46,4.61,4.34,4.37,89800,4.37
2014-07-30,4.47,4.59,4.42,4.53,101400,4.53
2014-07-29,4.55,4.57,4.37,4.46,96200,4.46
2014-07-28,4.70,4.76,4.51,4.56,70100,4.56
2014-07-25,4.72,4.77,4.65,4.69,68000,4.69
2014-07-24,4.90,4.95,4.75,4.78,106300,4.78
2014-07-23,4.88,4.89,4.76,4.87,98000,4.87
2014-07-22,4.88,4.97,4.82,4.86,47600,4.86
2014-07-21,4.88,4.92,4.80,4.87,77000,4.87
2014-07-18,4.82,4.90,4.77,4.88,58800,4.88
2014-07-17,4.83,5.03,4.79,4.83,200600,4.83
2014-07-16,4.94,5.04,4.83,4.87,109200,4.87
2014-07-15,4.95,4.96,4.81,4.87,79500,4.87
2014-07-14,4.88,5.07,4.75,4.91,556700,4.91
2014-07-11,4.75,4.88,4.68,4.85,72000,4.85
2014-07-10,4.65,4.76,4.53,4.75,156100,4.75
2014-07-09,4.68,4.78,4.59,4.75,142600,4.75
2014-07-08,4.81,4.88,4.54,4.67,146800,4.67
2014-07-07,4.78,4.91,4.65,4.82,190600,4.82
2014-07-03,4.74,4.89,4.74,4.79,51100,4.79
2014-07-02,4.93,5.03,4.67,4.74,166500,4.74
