Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.13,12.48,11.91,12.24,266900,12.24
2014-12-30,12.93,13.00,12.08,12.10,13000,12.10
2014-12-29,13.01,13.29,12.82,13.00,176500,13.00
2014-12-26,13.04,13.39,12.78,12.98,136900,12.98
2014-12-24,12.75,12.98,12.53,12.92,197700,12.92
2014-12-23,13.87,14.00,12.50,12.73,468900,12.73
2014-12-22,13.75,14.36,13.50,13.83,595400,13.83
2014-12-19,13.12,13.90,12.88,13.81,1679700,13.81
2014-12-18,12.75,13.20,12.28,13.10,426000,13.10
2014-12-17,11.22,12.78,11.02,12.58,727700,12.58
2014-12-16,10.51,11.20,9.96,11.12,384400,11.12
2014-12-15,10.20,10.62,10.11,10.56,437000,10.56
2014-12-12,9.88,10.35,9.75,10.12,396400,10.12
2014-12-11,9.78,10.00,9.61,9.88,334400,9.88
2014-12-10,9.75,9.87,9.46,9.76,400200,9.76
2014-12-09,9.28,9.85,9.13,9.81,227300,9.81
2014-12-08,9.74,10.01,9.34,9.44,231000,9.44
2014-12-05,9.95,10.14,9.46,9.73,389200,9.73
2014-12-04,10.21,10.27,9.45,9.88,313800,9.88
2014-12-03,10.46,10.46,10.01,10.20,307700,10.20
2014-12-02,10.13,10.57,9.96,10.40,559800,10.40
2014-12-01,9.86,10.15,9.60,10.06,393900,10.06
2014-11-28,9.71,10.33,9.67,10.10,446600,10.10
2014-11-26,8.95,9.88,8.81,9.71,934300,9.71
2014-11-25,8.67,9.00,8.33,8.98,903500,8.98
2014-11-24,8.61,8.95,8.16,8.67,692400,8.67
2014-11-21,8.85,9.13,8.14,8.24,654900,8.24
2014-11-20,8.10,8.85,8.00,8.74,827200,8.74
2014-11-19,9.09,9.19,7.99,8.09,863700,8.09
2014-11-18,9.47,10.07,8.95,9.03,671400,9.03
2014-11-17,9.68,9.80,9.03,9.45,605300,9.45
2014-11-14,10.13,11.45,9.69,9.90,1134000,9.90
2014-11-13,11.57,11.95,11.41,11.62,454200,11.62
2014-11-12,11.30,11.64,11.14,11.56,176700,11.56
2014-11-11,10.72,11.39,10.56,11.36,287500,11.36
2014-11-10,10.38,10.79,10.04,10.74,211500,10.74
2014-11-07,10.02,10.45,9.97,10.38,159300,10.38
2014-11-06,9.86,10.18,9.64,10.09,122300,10.09
