Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.70,6.85,6.58,6.85,25500,6.85
2014-12-30,6.70,6.77,6.60,6.60,2000,6.60
2014-12-29,7.00,7.09,6.60,6.74,158200,6.74
2014-12-26,6.71,6.83,6.49,6.54,12400,6.54
2014-12-24,6.80,6.80,6.68,6.70,800,6.70
2014-12-23,6.53,6.80,6.34,6.69,35500,6.69
2014-12-22,6.95,6.95,6.95,6.95,400,6.95
2014-12-19,6.40,6.78,6.40,6.78,11400,6.78
2014-12-18,6.62,6.96,6.39,6.53,19900,6.53
2014-12-17,6.52,6.73,6.50,6.56,7100,6.56
2014-12-16,6.61,6.76,6.36,6.62,11300,6.62
2014-12-15,6.72,6.80,6.28,6.28,30200,6.28
2014-12-12,6.75,6.93,6.53,6.75,18100,6.75
2014-12-11,6.75,6.97,6.75,6.93,27200,6.93
2014-12-10,6.80,6.84,6.59,6.84,7100,6.84
2014-12-09,6.77,6.79,6.50,6.65,7600,6.65
2014-12-08,6.82,6.97,6.69,6.69,8800,6.69
2014-12-05,6.77,6.90,6.64,6.76,8700,6.76
2014-12-04,6.75,6.91,6.33,6.80,8500,6.80
2014-12-03,6.55,6.90,6.30,6.76,14000,6.76
2014-12-02,6.99,6.99,6.75,6.75,9900,6.75
2014-12-01,6.69,7.07,6.69,6.97,48100,6.97
2014-11-28,6.87,6.89,6.56,6.74,18200,6.74
2014-11-26,6.99,6.99,6.55,6.67,36400,6.67
2014-11-25,6.54,6.95,6.54,6.95,3800,6.95
2014-11-24,6.43,6.70,6.43,6.50,13300,6.50
2014-11-21,6.44,6.50,6.40,6.48,7800,6.48
2014-11-20,6.33,6.55,6.25,6.28,12200,6.28
2014-11-19,6.74,6.74,6.26,6.50,10700,6.50
2014-11-18,6.61,6.95,6.55,6.60,12800,6.60
2014-11-17,6.69,6.78,6.56,6.58,5700,6.58
2014-11-14,6.70,6.88,6.58,6.63,11600,6.63
2014-11-13,6.76,6.85,6.55,6.76,20900,6.76
2014-11-12,6.70,6.80,6.53,6.72,22300,6.72
2014-11-11,6.65,6.83,6.58,6.80,20100,6.80
2014-11-10,6.62,7.10,6.56,6.69,20200,6.69
2014-11-07,6.71,6.95,6.52,6.65,23300,6.65
2014-11-06,6.72,6.74,6.57,6.60,15500,6.60
2014-11-05,6.70,6.78,6.51,6.52,48200,6.52
2014-11-04,6.79,6.98,6.55,6.74,43400,6.74
2014-11-03,6.95,6.95,6.79,6.79,1700,6.79
2014-10-31,6.92,7.17,6.76,6.92,40600,6.92
2014-10-30,6.75,6.85,6.73,6.85,1200,6.85
2014-10-29,6.92,6.98,6.82,6.84,1800,6.84
2014-10-28,7.09,7.16,6.72,7.01,13100,7.01
2014-10-27,7.17,7.20,7.02,7.02,2300,7.02
2014-10-24,6.94,7.15,6.73,7.12,8700,7.12
2014-10-23,6.87,7.20,6.70,6.70,21500,6.70
2014-10-22,6.91,6.98,6.60,6.98,33300,6.98
2014-10-21,7.49,7.49,6.66,6.97,29800,6.97
2014-10-20,6.75,7.74,6.51,6.96,18300,6.96
2014-10-17,6.82,7.07,6.52,6.76,15200,6.76
2014-10-16,6.57,7.12,6.51,6.75,33500,6.75
2014-10-15,7.00,7.02,6.54,6.55,10300,6.55
2014-10-14,6.88,7.00,6.54,6.74,33000,6.74
2014-10-13,7.07,7.12,6.95,7.00,8000,7.00
2014-10-10,6.51,7.24,6.51,6.94,13100,6.94
2014-10-09,6.95,7.26,6.94,7.05,18200,7.05
2014-10-08,7.00,7.40,7.00,7.29,21800,7.29
2014-10-07,7.28,7.64,6.85,7.45,16400,7.45
2014-10-06,7.56,7.80,7.15,7.33,31400,7.33
2014-10-03,7.05,7.64,6.95,7.35,14700,7.35
2014-10-02,7.42,7.75,6.84,7.00,43400,7.00
2014-10-01,8.20,8.20,7.16,7.37,31200,7.37
2014-09-30,7.95,8.06,7.38,8.06,29000,8.06
2014-09-29,7.56,7.83,7.01,7.83,93700,7.83
2014-09-26,7.20,7.66,7.12,7.54,33000,7.54
2014-09-25,7.46,7.59,7.20,7.34,15900,7.34
2014-09-24,7.01,7.56,6.92,7.51,20400,7.51
2014-09-23,7.01,7.01,6.80,6.99,26900,6.99
2014-09-22,7.14,7.35,6.80,7.12,46500,7.12
2014-09-19,7.94,8.21,7.02,7.09,185000,7.09
