Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,127.66,127.66,125.85,125.96,264200,125.96
2014-12-30,126.32,127.93,126.32,126.81,6600,126.81
2014-12-29,125.88,128.38,125.88,126.85,182600,126.85
2014-12-26,126.29,127.51,125.34,126.48,131900,126.48
2014-12-24,127.22,127.22,125.58,126.18,87300,126.18
2014-12-23,125.15,126.91,125.10,126.73,192000,126.73
2014-12-22,124.32,125.41,123.67,124.64,222500,124.64
2014-12-19,123.60,124.64,122.78,123.66,444700,123.66
2014-12-18,122.91,124.12,121.37,123.59,329500,123.59
2014-12-17,119.45,121.86,119.45,121.15,415300,121.15
2014-12-16,117.60,120.57,117.07,119.59,535900,119.59
2014-12-15,119.53,120.97,117.71,118.25,376400,118.25
2014-12-12,120.23,121.05,118.62,118.89,320900,118.89
2014-12-11,122.05,123.07,120.33,120.71,286000,120.71
2014-12-10,124.40,125.15,120.93,121.04,371000,121.04
2014-12-09,124.01,125.56,122.44,125.28,298700,125.28
2014-12-08,126.25,126.82,124.29,125.56,274800,125.56
2014-12-05,122.90,126.62,122.90,126.00,423700,126.00
2014-12-04,123.01,123.01,121.60,122.21,315300,122.21
2014-12-03,121.80,123.86,121.76,123.36,374700,123.36
2014-12-02,120.00,122.22,119.59,121.99,431400,121.99
2014-12-01,120.40,120.73,119.12,119.75,522700,119.75
2014-11-28,123.60,123.61,120.93,121.27,103100,121.27
2014-11-26,124.21,124.21,122.91,123.39,142800,123.39
2014-11-25,123.68,124.48,122.21,123.94,332000,123.94
2014-11-24,120.85,123.60,120.33,123.45,347200,123.45
2014-11-21,123.55,123.98,119.84,120.31,271100,120.31
2014-11-20,120.89,122.58,120.84,122.46,264800,122.46
2014-11-19,121.89,121.89,120.10,121.70,225800,121.70
2014-11-18,121.66,122.61,121.35,121.50,256700,121.50
2014-11-17,122.22,122.22,120.82,121.71,354300,121.71
2014-11-14,123.20,124.60,121.75,122.32,219400,122.32
2014-11-13,125.95,126.05,122.73,123.51,314500,123.51
2014-11-12,123.33,125.48,122.88,125.36,156600,125.36
2014-11-11,124.56,125.16,124.04,124.18,202600,124.18
2014-11-10,123.99,124.84,121.55,124.53,309900,124.53
2014-11-07,123.22,123.71,122.27,123.69,276500,123.69
2014-11-06,122.63,123.44,122.03,123.20,247300,123.20
2014-11-05,122.60,123.56,119.02,122.43,194700,122.43
2014-11-04,121.61,122.28,120.62,122.09,273400,122.09
2014-11-03,121.83,123.99,121.55,122.02,420600,122.02
2014-10-31,121.28,122.10,119.89,121.13,249800,121.13
2014-10-30,119.86,120.50,118.51,119.90,203200,119.90
2014-10-29,120.09,120.82,118.50,120.58,286200,120.58
2014-10-28,117.50,119.83,116.87,119.68,272700,119.68
2014-10-27,116.38,117.36,115.02,117.24,328300,117.24
2014-10-24,116.46,118.01,115.98,116.50,221400,116.50
2014-10-23,118.40,118.61,116.54,116.75,305700,116.75
2014-10-22,117.60,119.20,115.72,116.79,433500,116.79
2014-10-21,109.22,117.25,108.00,116.73,997700,116.73
2014-10-20,106.93,107.28,106.22,107.00,482900,107.00
2014-10-17,107.08,108.17,106.48,107.00,338100,107.00
2014-10-16,101.87,106.44,101.87,106.16,696900,106.16
2014-10-15,105.52,106.15,103.12,103.70,732700,103.70
2014-10-14,107.92,108.69,106.56,106.73,401600,106.73
2014-10-13,107.68,108.58,106.96,107.28,385800,107.28
2014-10-10,108.96,109.99,107.70,107.75,318800,107.75
2014-10-09,112.16,112.16,108.61,108.77,390600,108.77
2014-10-08,110.09,112.36,109.94,112.22,349200,112.22
2014-10-07,111.54,112.21,110.01,110.04,293100,110.04
