Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.47,2.96,2.29,2.90,12000,2.90
2014-12-30,2.37,2.37,2.37,2.37,000,2.37
2014-12-29,2.55,2.68,2.36,2.37,16600,2.37
2014-12-26,2.38,2.88,2.20,2.49,9900,2.49
2014-12-24,2.05,2.18,1.99,2.10,17500,2.10
2014-12-23,2.45,2.89,2.18,2.18,17300,2.18
2014-12-22,2.50,2.55,2.33,2.46,7700,2.46
2014-12-19,2.64,2.75,2.62,2.62,4800,2.62
2014-12-18,2.99,2.99,2.84,2.86,3700,2.86
2014-12-17,2.60,3.08,2.38,2.74,12000,2.74
2014-12-16,2.55,2.56,2.38,2.40,8500,2.40
2014-12-15,2.75,2.75,2.50,2.64,5000,2.64
2014-12-12,2.75,2.78,2.65,2.70,11000,2.70
2014-12-11,2.65,2.76,2.65,2.74,7600,2.74
2014-12-10,2.71,2.90,2.71,2.72,3700,2.72
2014-12-09,2.71,2.99,2.66,2.70,12700,2.70
2014-12-08,2.90,2.91,2.63,2.75,12200,2.75
2014-12-05,3.02,3.04,2.81,2.81,19800,2.81
2014-12-04,3.08,3.08,3.04,3.04,1000,3.04
2014-12-03,3.14,3.14,3.05,3.09,3700,3.09
2014-12-02,3.31,3.31,3.07,3.07,22600,3.07
2014-12-01,3.39,3.41,3.35,3.35,1300,3.35
2014-11-28,3.31,3.31,3.31,3.31,300,3.31
2014-11-26,3.31,3.47,3.31,3.44,2000,3.44
2014-11-25,3.33,3.33,3.33,3.33,200,3.33
2014-11-24,3.31,3.55,3.31,3.35,17400,3.35
2014-11-21,3.45,3.45,3.29,3.31,5200,3.31
2014-11-20,3.54,3.54,3.45,3.45,3000,3.45
2014-11-19,3.40,3.52,3.25,3.25,7900,3.25
2014-11-18,3.59,3.59,3.34,3.37,9200,3.37
2014-11-17,3.73,3.88,3.50,3.59,14400,3.59
2014-11-14,3.39,3.50,3.38,3.50,500,3.50
2014-11-13,3.52,3.59,3.45,3.59,2900,3.59
2014-11-12,3.60,3.60,3.47,3.47,9100,3.47
2014-11-11,3.60,3.65,3.60,3.60,4200,3.60
2014-11-10,3.81,3.82,3.63,3.65,2500,3.65
2014-11-07,3.72,4.04,3.58,3.65,22800,3.65
2014-11-06,3.64,4.05,3.64,3.69,12600,3.69
2014-11-05,3.64,3.64,3.64,3.64,2100,3.64
2014-11-04,3.76,3.76,3.58,3.58,4900,3.58
2014-11-03,4.03,4.03,3.78,3.78,1200,3.78
2014-10-31,3.71,4.27,3.62,4.03,6200,4.03
2014-10-30,3.84,3.94,3.62,3.71,1600,3.71
2014-10-29,3.67,4.37,3.60,3.84,12500,3.84
2014-10-28,3.61,3.67,3.59,3.67,2000,3.67
2014-10-27,3.63,3.74,3.63,3.73,600,3.73
2014-10-24,3.52,3.78,3.52,3.71,1500,3.71
2014-10-23,3.97,3.97,3.63,3.73,5900,3.73
2014-10-22,4.12,4.12,3.87,3.92,2000,3.92
2014-10-21,3.84,4.30,3.84,4.12,19400,4.12
2014-10-20,3.65,4.37,3.54,3.54,26500,3.54
2014-10-17,3.65,4.13,3.50,3.50,16000,3.50
2014-10-16,3.42,4.03,3.16,3.67,31600,3.67
2014-10-15,3.23,3.53,3.12,3.52,7400,3.52
2014-10-14,3.20,3.36,3.14,3.17,8400,3.17
2014-10-13,3.45,3.58,3.07,3.07,7400,3.07
2014-10-10,3.74,3.74,3.49,3.56,4700,3.56
2014-10-09,3.79,3.89,3.62,3.63,5500,3.63
2014-10-08,3.72,3.92,3.62,3.92,4200,3.92
2014-10-07,3.60,3.73,3.55,3.69,4900,3.69
2014-10-06,3.61,3.88,3.61,3.74,3000,3.74
2014-10-03,3.80,3.96,3.59,3.95,11900,3.95
2014-10-02,4.02,4.02,3.36,3.85,34100,3.85
2014-10-01,4.27,4.28,3.93,3.93,12600,3.93
2014-09-30,4.34,4.36,4.17,4.30,2300,4.30
2014-09-29,4.11,4.36,4.11,4.36,800,4.36
2014-09-26,4.25,4.25,4.25,4.25,000,4.25
2014-09-25,4.29,4.42,4.25,4.25,3200,4.25
2014-09-24,4.18,4.41,4.18,4.39,4600,4.39
2014-09-23,4.27,4.27,4.04,4.20,7000,4.20
2014-09-22,4.30,4.30,4.08,4.22,10900,4.22
2014-09-19,4.44,4.58,4.25,4.25,27400,4.25
2014-09-18,4.62,4.65,4.47,4.47,1900,4.47
2014-09-17,4.47,4.68,4.47,4.61,5100,4.61
2014-09-16,4.55,4.66,4.33,4.62,4600,4.62
2014-09-15,4.56,4.72,4.55,4.56,10800,4.56
2014-09-12,4.78,4.78,4.55,4.60,5000,4.60
2014-09-11,4.65,4.75,4.61,4.74,11400,4.74
2014-09-10,4.56,4.75,4.55,4.65,3600,4.65
2014-09-09,4.64,4.69,4.55,4.67,7800,4.67
2014-09-08,4.62,4.83,4.55,4.70,9800,4.70
2014-09-05,4.62,4.85,4.55,4.72,6900,4.72
2014-09-04,4.65,4.79,4.65,4.78,7900,4.78
2014-09-03,4.85,4.85,4.66,4.66,5500,4.66
2014-09-02,4.76,4.89,4.76,4.80,1900,4.80
2014-08-29,4.85,4.87,4.80,4.87,1200,4.87
2014-08-28,4.93,5.09,4.70,4.78,7900,4.78
2014-08-27,4.94,5.09,4.70,5.00,6500,5.00
2014-08-26,4.65,4.92,4.65,4.80,3900,4.80
2014-08-25,4.65,4.79,4.56,4.71,8100,4.71
2014-08-22,4.63,4.82,4.59,4.69,8600,4.69
2014-08-21,4.63,4.72,4.61,4.72,500,4.72
2014-08-20,4.89,4.90,4.63,4.63,1100,4.63
2014-08-19,4.63,4.87,4.58,4.62,3200,4.62
2014-08-18,4.70,5.22,4.70,4.73,3400,4.73
2014-08-15,4.94,4.97,4.84,4.87,2500,4.87
2014-08-14,5.06,5.23,4.71,4.83,14100,4.83
2014-08-13,4.75,5.40,4.75,5.07,2100,5.07
2014-08-12,5.31,5.31,4.74,4.74,10900,4.74
2014-08-11,5.08,5.40,4.83,5.40,8100,5.40
2014-08-08,4.95,5.07,4.95,5.05,1000,5.05
2014-08-07,5.35,5.35,5.01,5.01,5600,5.01
2014-08-06,4.69,5.06,4.69,5.06,12400,5.06
2014-08-05,5.21,5.21,4.64,4.68,9900,4.68
2014-08-04,5.26,5.47,5.19,5.43,3300,5.43
2014-08-01,5.35,5.39,5.31,5.31,1700,5.31
2014-07-31,5.51,5.58,5.37,5.45,9500,5.45
2014-07-30,5.38,5.63,5.38,5.63,10700,5.63
2014-07-29,5.35,5.50,5.27,5.48,4800,5.48
2014-07-28,5.52,5.52,5.36,5.41,4400,5.41
2014-07-25,5.72,5.79,5.42,5.54,25400,5.54
2014-07-24,5.42,5.73,5.42,5.70,4600,5.70
2014-07-23,5.57,5.76,5.28,5.73,10400,5.73
2014-07-22,5.80,5.80,5.36,5.41,9200,5.41
2014-07-21,5.66,5.74,5.36,5.60,10400,5.60
2014-07-18,5.64,5.66,5.21,5.33,7600,5.33
2014-07-17,5.65,5.68,5.27,5.48,8700,5.48
2014-07-16,5.60,5.65,5.45,5.60,6700,5.60
2014-07-15,5.49,5.71,5.23,5.68,8400,5.68
2014-07-14,5.41,5.75,5.35,5.36,17800,5.36
2014-07-11,5.45,5.65,5.21,5.65,3800,5.65
2014-07-10,5.40,5.45,5.19,5.41,4300,5.41
2014-07-09,5.55,5.55,5.04,5.49,4400,5.49
