Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,29.54,29.87,28.63,28.91,86600,28.91
2014-12-30,29.88,30.42,29.25,29.37,92100,29.37
2014-12-29,29.68,30.20,29.68,29.88,84800,29.88
2014-12-26,29.70,29.85,29.33,29.58,35300,29.58
2014-12-24,29.67,29.67,29.32,29.48,61900,29.48
2014-12-23,29.74,30.10,29.31,29.56,114900,29.56
2014-12-22,30.05,30.05,29.20,29.55,61700,29.55
2014-12-19,30.30,30.30,29.55,29.85,255600,29.85
2014-12-18,29.73,30.87,29.73,30.37,77100,30.37
2014-12-17,28.83,29.76,28.38,29.39,127300,29.39
2014-12-16,29.60,30.95,28.81,28.88,229400,28.88
2014-12-15,30.11,30.78,29.54,29.62,76900,29.62
2014-12-12,30.09,30.26,29.71,29.89,164200,29.89
2014-12-11,30.28,30.90,30.17,30.48,64300,30.48
2014-12-10,31.64,31.89,30.25,30.35,107400,30.35
2014-12-09,30.88,31.95,30.69,31.85,60600,31.85
2014-12-08,31.95,32.45,31.05,31.30,50100,31.30
2014-12-05,31.52,32.48,31.52,31.95,54000,31.95
2014-12-04,31.95,31.95,31.35,31.50,47600,31.50
2014-12-03,31.42,31.98,31.26,31.78,69100,31.78
2014-12-02,31.45,31.85,31.39,31.48,59500,31.48
2014-12-01,32.48,32.68,31.40,31.46,57400,31.46
2014-11-28,32.72,32.89,32.30,32.33,29000,32.33
2014-11-26,32.87,32.99,32.56,32.78,40500,32.78
2014-11-25,32.80,33.15,32.46,32.96,45500,32.96
2014-11-24,32.26,32.84,32.26,32.65,48100,32.65
2014-11-21,33.12,33.18,32.18,32.20,50800,32.20
2014-11-20,32.41,32.80,32.41,32.73,20100,32.73
2014-11-19,33.34,33.34,32.46,32.53,53100,32.53
2014-11-18,33.94,33.94,33.20,33.24,32000,33.24
2014-11-17,34.36,34.45,33.86,33.95,37300,33.63
2014-11-14,34.01,34.94,33.98,34.30,70000,33.98
2014-11-13,34.42,34.44,33.86,33.87,60700,33.55
2014-11-12,33.37,34.31,33.37,34.29,42000,33.97
2014-11-11,33.54,33.79,33.38,33.49,48100,33.17
2014-11-10,33.65,33.65,33.00,33.58,69500,33.26
2014-11-07,33.85,33.94,33.34,33.52,53300,33.20
2014-11-06,33.71,33.84,33.19,33.74,60900,33.42
2014-11-05,33.95,33.95,33.31,33.58,51100,33.26
2014-11-04,33.21,33.97,32.94,33.61,82600,33.29
2014-11-03,33.63,33.85,32.81,33.41,104200,33.10
2014-10-31,33.98,33.98,33.51,33.58,86800,33.26
2014-10-30,32.35,33.58,32.27,33.44,71700,33.12
2014-10-29,32.45,32.94,31.93,32.52,72500,32.21
2014-10-28,31.38,32.42,31.38,32.21,106500,31.91
2014-10-27,32.14,32.97,31.07,31.17,105700,30.88
2014-10-24,33.16,33.28,32.64,33.03,36000,32.72
