Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.00,23.05,22.49,22.56,245900,22.31
2014-12-30,22.88,23.41,22.75,22.91,284300,22.66
2014-12-29,22.71,23.09,22.51,22.89,166700,22.64
2014-12-26,22.68,22.97,22.45,22.70,89100,22.45
2014-12-24,22.42,22.65,22.20,22.55,62400,22.30
2014-12-23,22.26,22.64,22.00,22.42,183000,22.17
2014-12-22,22.86,23.00,21.92,22.06,231500,21.82
2014-12-19,22.37,23.09,22.25,22.96,364800,22.71
2014-12-18,22.59,22.87,21.83,22.37,206700,22.12
2014-12-17,21.89,22.60,21.89,22.35,367600,22.10
2014-12-16,22.02,22.73,21.90,22.04,293900,21.80
2014-12-15,22.32,22.43,21.76,21.98,270600,21.74
2014-12-12,22.92,22.92,22.12,22.25,306600,22.00
2014-12-11,23.43,23.76,23.03,23.28,286900,23.02
2014-12-10,23.47,24.04,23.19,23.40,399600,23.14
2014-12-09,22.55,23.99,22.41,23.67,296100,23.41
2014-12-08,22.63,23.01,22.48,22.92,272200,22.67
2014-12-05,22.54,23.30,22.51,22.78,255000,22.53
2014-12-04,23.00,23.00,22.34,22.56,236500,22.31
2014-12-03,22.42,23.22,22.06,22.76,284000,22.51
2014-12-02,22.11,22.58,21.91,22.30,267400,22.05
2014-12-01,22.71,22.71,22.11,22.24,326000,21.99
2014-11-28,23.23,23.28,22.62,22.80,152600,22.55
2014-11-26,24.07,24.17,23.33,23.36,186400,23.10
2014-11-25,23.61,24.12,23.39,24.02,168500,23.75
2014-11-24,23.75,23.93,23.37,23.64,248500,23.38
2014-11-21,23.79,24.14,23.52,23.67,177600,23.41
2014-11-20,22.76,23.47,22.71,23.35,133000,23.09
2014-11-19,24.08,24.10,22.85,22.99,344800,22.74
2014-11-18,24.00,24.58,23.94,24.25,232500,23.98
2014-11-17,24.44,24.44,23.75,24.01,191500,23.74
2014-11-14,23.92,24.70,23.78,24.46,197900,24.19
2014-11-13,24.26,24.44,23.79,23.89,211300,23.63
2014-11-12,23.42,24.16,23.42,24.16,209100,23.89
2014-11-11,23.57,23.74,23.27,23.63,329900,23.37
2014-11-10,24.50,24.74,23.58,23.68,339600,23.42
2014-11-07,23.74,24.58,23.74,24.46,300800,24.19
2014-11-06,23.53,23.81,23.41,23.65,177500,23.39
2014-11-05,23.58,24.11,23.25,23.83,219300,23.38
2014-11-04,23.63,23.77,23.25,23.50,253100,23.06
2014-11-03,23.48,24.14,23.28,23.77,248400,23.32
2014-10-31,23.46,23.67,23.03,23.55,388900,23.11
2014-10-30,22.80,23.48,22.80,23.33,392700,22.89
2014-10-29,23.21,23.58,22.56,22.99,469600,22.56
2014-10-28,22.56,23.45,21.77,23.07,717300,22.63
2014-10-27,22.35,22.56,22.13,22.36,459500,21.94
2014-10-24,22.71,23.04,22.44,22.59,276400,22.16
2014-10-23,22.79,23.01,22.44,22.61,277400,22.18
2014-10-22,22.84,23.20,22.33,22.46,280600,22.04
2014-10-21,22.80,23.46,22.61,22.84,322600,22.41
2014-10-20,22.30,22.87,22.23,22.75,179400,22.32
2014-10-17,22.78,22.99,22.26,22.34,195800,21.92
2014-10-16,21.86,23.11,21.86,22.52,324900,22.09
2014-10-15,22.04,23.10,21.61,22.27,361300,21.85
2014-10-14,22.11,22.95,22.11,22.33,388500,21.91
2014-10-13,21.93,22.37,21.77,21.92,570200,21.51
2014-10-10,21.53,22.26,21.50,21.84,308300,21.43
2014-10-09,22.41,22.41,21.41,21.63,307000,21.22
2014-10-08,22.27,22.59,21.49,22.49,604600,22.07
2014-10-07,22.85,23.00,22.23,22.31,417100,21.89
2014-10-06,23.60,24.12,23.04,23.06,384700,22.62
2014-10-03,23.74,24.07,23.25,23.40,442900,22.96
2014-10-02,24.00,24.15,23.25,23.67,504600,23.22
2014-10-01,24.11,24.22,23.85,23.94,465100,23.49
2014-09-30,24.00,24.41,23.50,24.05,890900,23.60
2014-09-29,23.24,23.45,22.72,22.78,383200,22.35
2014-09-26,23.50,23.78,23.14,23.54,424800,23.10
2014-09-25,24.08,24.25,23.51,23.58,287800,23.13
2014-09-24,24.89,25.15,24.04,24.25,223100,23.79
2014-09-23,24.95,25.33,24.77,24.77,197200,24.30
2014-09-22,25.02,25.08,24.70,24.95,225900,24.48
2014-09-19,25.77,25.80,25.05,25.23,223300,24.75
2014-09-18,25.97,26.06,25.58,25.72,142000,25.23
2014-09-17,25.61,26.00,25.56,25.76,197900,25.27
2014-09-16,25.24,25.37,25.01,25.20,275400,24.72
2014-09-15,25.70,25.87,25.36,25.38,211100,24.90
2014-09-12,26.16,26.17,25.65,25.72,105900,25.23
2014-09-11,26.07,26.26,25.82,26.20,219200,25.71
2014-09-10,26.55,26.62,26.05,26.30,138700,25.80
