Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,46.91,47.60,46.28,46.43,234800,46.43
2014-12-30,47.10,47.17,46.70,46.89,5500,46.89
2014-12-29,47.43,47.64,46.63,46.99,119000,46.99
2014-12-26,47.67,48.16,47.28,47.47,88700,47.47
2014-12-24,47.15,47.99,47.04,47.60,75400,47.60
2014-12-23,47.27,47.60,46.51,47.04,123500,47.04
2014-12-22,47.11,47.11,46.27,46.98,216900,46.98
2014-12-19,46.17,47.35,45.67,47.14,466100,47.14
2014-12-18,45.53,46.35,45.06,46.28,268200,46.28
2014-12-17,43.42,44.98,43.23,44.96,348400,44.96
2014-12-16,44.07,44.46,43.37,43.50,175900,43.50
2014-12-15,44.25,45.10,43.90,44.18,243900,44.18
2014-12-12,43.82,45.02,43.80,44.13,175400,44.13
2014-12-11,44.24,45.05,44.13,44.46,175600,44.46
2014-12-10,44.50,44.89,43.62,44.00,329400,44.00
2014-12-09,43.05,44.79,42.96,44.74,270800,44.74
2014-12-08,43.42,44.38,43.29,43.63,388000,43.63
2014-12-05,44.60,45.08,43.37,43.70,305200,43.70
2014-12-04,44.70,45.00,44.08,44.51,252600,44.51
2014-12-03,44.90,45.25,44.72,44.93,168100,44.93
2014-12-02,43.88,45.49,43.88,45.15,713800,45.15
2014-12-01,44.04,44.74,43.01,43.17,178700,43.17
2014-11-28,44.37,44.67,43.84,43.97,87800,43.97
2014-11-26,43.58,44.47,43.58,44.41,156500,44.41
2014-11-25,43.56,43.74,42.59,43.55,176500,43.55
2014-11-24,42.39,43.52,42.38,43.40,174300,43.40
2014-11-21,43.73,43.91,42.38,42.49,153100,42.49
2014-11-20,42.79,43.51,42.64,43.14,157300,43.14
2014-11-19,43.91,44.17,42.80,42.97,322500,42.97
2014-11-18,43.71,44.59,43.56,44.16,283400,44.16
2014-11-17,43.11,43.84,43.05,43.55,246900,43.55
2014-11-14,43.04,43.55,42.74,43.10,161000,43.10
2014-11-13,43.44,43.59,42.62,42.92,203900,42.92
2014-11-12,42.95,43.73,42.92,43.46,181200,43.46
2014-11-11,43.34,43.66,43.07,43.23,129900,43.23
2014-11-10,43.00,43.43,42.84,43.27,267400,43.27
2014-11-07,42.98,42.98,42.36,42.92,157700,42.92
2014-11-06,42.99,43.18,42.40,42.98,123800,42.98
2014-11-05,42.30,43.53,42.30,42.84,340500,42.84
2014-11-04,41.29,42.30,41.10,42.10,163700,42.10
2014-11-03,42.25,42.34,41.62,41.75,180200,41.75
2014-10-31,42.76,43.16,41.64,42.14,329100,42.14
2014-10-30,40.14,41.97,40.14,41.75,332500,41.75
2014-10-29,38.75,40.71,38.16,40.44,599100,40.44
2014-10-28,39.41,40.21,37.55,38.75,635500,38.75
2014-10-27,38.40,39.58,37.97,39.38,429900,39.38
2014-10-24,37.95,38.34,37.51,38.22,109300,38.22
2014-10-23,37.60,38.57,37.45,37.84,211400,37.84
2014-10-22,38.08,38.17,37.04,37.08,202900,37.08
2014-10-21,37.77,38.50,37.45,38.10,193100,38.10
2014-10-20,36.81,37.75,36.81,37.65,144500,37.65
2014-10-17,37.51,37.52,36.65,36.97,139800,36.97
2014-10-16,36.92,37.27,36.35,36.96,172500,36.96
2014-10-15,36.50,37.57,36.05,37.48,263200,37.48
2014-10-14,36.47,37.45,36.29,36.99,361200,36.99
2014-10-13,35.92,37.13,35.67,35.97,341800,35.97
2014-10-10,35.72,36.43,35.03,36.00,267400,36.00
2014-10-09,36.99,37.45,35.83,35.86,210400,35.86
2014-10-08,35.68,37.23,35.65,37.12,227700,37.12
2014-10-07,36.31,36.55,35.64,35.66,98400,35.66
2014-10-06,36.66,37.08,36.23,36.56,120800,36.56
2014-10-03,36.79,37.50,36.58,36.60,98300,36.60
2014-10-02,35.68,36.94,35.45,36.52,204900,36.52
2014-10-01,36.47,36.81,35.28,35.73,221400,35.73
2014-09-30,37.21,37.32,36.34,36.41,268100,36.41
2014-09-29,36.83,37.64,36.83,37.21,137500,37.21
2014-09-26,37.37,37.92,37.19,37.46,86500,37.46
2014-09-25,37.78,37.78,36.51,37.13,224400,37.13
2014-09-24,37.14,37.90,36.76,37.76,145500,37.76
2014-09-23,37.43,37.88,37.01,37.24,220200,37.24
2014-09-22,38.09,38.16,37.49,37.70,114900,37.70
2014-09-19,38.96,38.96,37.65,38.37,477300,38.37
2014-09-18,38.77,39.06,38.47,38.92,86500,38.92
2014-09-17,38.79,38.95,38.39,38.61,117000,38.61
2014-09-16,38.35,38.85,38.08,38.71,156500,38.71
2014-09-15,39.22,39.36,38.27,38.48,151500,38.48
2014-09-12,38.87,39.44,38.55,39.34,214400,39.34
2014-09-11,38.05,38.93,38.05,38.78,158600,38.78
2014-09-10,38.43,38.83,37.96,38.33,182000,38.33
2014-09-09,38.93,38.93,38.43,38.60,136300,38.60
2014-09-08,38.61,39.08,38.42,38.93,101200,38.93
2014-09-05,38.59,38.91,38.21,38.57,115200,38.57
2014-09-04,39.12,39.32,38.55,38.71,182800,38.71
2014-09-03,39.40,39.50,38.87,39.21,174800,39.21
2014-09-02,38.28,39.49,38.01,39.31,165800,39.31
2014-08-29,38.26,38.54,37.91,38.31,111900,38.31
2014-08-28,38.49,38.58,38.15,38.26,85400,38.26
2014-08-27,38.61,39.00,38.26,38.66,93300,38.66
2014-08-26,38.35,38.89,38.11,38.57,129600,38.57
2014-08-25,38.96,38.97,38.15,38.35,91500,38.35
2014-08-22,38.36,39.25,38.04,38.72,137600,38.72
2014-08-21,38.49,38.69,37.81,38.50,95500,38.50
2014-08-20,39.25,39.25,38.23,38.41,155900,38.41
2014-08-19,39.32,39.70,39.18,39.43,207200,39.43
2014-08-18,39.41,39.64,39.11,39.43,204600,39.43
2014-08-15,39.06,39.32,38.67,39.19,347900,39.19
2014-08-14,37.78,38.85,37.77,38.67,262200,38.67
2014-08-13,36.63,37.74,36.33,37.74,168800,37.74
2014-08-12,37.11,37.17,36.09,36.59,332800,36.59
2014-08-11,36.85,37.51,36.51,37.20,260900,37.20
2014-08-08,36.82,37.05,36.01,36.79,387300,36.79
2014-08-07,37.17,37.17,36.31,36.80,270500,36.80
2014-08-06,37.36,37.74,36.56,37.12,346500,37.12
2014-08-05,38.26,39.78,36.91,37.72,341700,37.72
2014-08-04,36.46,37.45,36.22,37.24,302900,37.24
2014-08-01,36.21,36.40,35.38,36.21,235100,36.21
2014-07-31,37.17,37.29,36.14,36.19,222500,36.19
2014-07-30,37.28,37.52,36.88,37.41,151900,37.41
2014-07-29,37.00,37.37,36.70,37.04,175500,37.04
2014-07-28,37.00,37.19,36.68,36.86,185400,36.86
2014-07-25,36.71,37.18,36.67,36.93,188200,36.93
2014-07-24,36.93,37.73,36.59,37.08,206500,37.08
2014-07-23,37.21,37.21,36.65,36.77,144000,36.77
