Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27.34,27.45,27.02,27.03,416400,27.03
2014-12-30,27.35,27.42,27.18,27.22,39800,27.22
2014-12-29,27.09,27.47,27.06,27.27,520400,27.27
2014-12-26,27.18,27.43,27.02,27.07,266200,27.07
2014-12-24,27.37,27.40,27.18,27.19,417200,27.19
2014-12-23,27.35,27.51,27.17,27.27,547900,27.27
2014-12-22,26.80,27.40,26.76,27.33,557000,27.33
2014-12-19,27.40,27.49,26.62,26.84,1212200,26.84
2014-12-18,27.60,27.60,27.28,27.35,872600,27.35
2014-12-17,26.82,27.29,26.64,27.27,1338800,27.27
2014-12-16,26.20,26.97,24.47,26.71,1112600,26.71
2014-12-15,26.78,27.03,26.55,26.77,2741500,26.77
2014-12-12,25.36,26.13,25.36,25.96,642700,25.96
2014-12-11,25.65,26.32,25.54,25.71,655700,25.71
2014-12-10,25.98,26.16,25.50,25.50,548500,25.50
2014-12-09,25.60,26.10,25.35,26.01,726100,26.01
2014-12-08,25.93,26.15,25.74,25.84,1422400,25.84
2014-12-05,26.05,26.29,25.72,25.86,657000,25.86
2014-12-04,26.05,26.20,25.81,26.04,494700,26.04
2014-12-03,25.74,26.30,25.61,26.05,338900,26.05
2014-12-02,25.87,26.42,25.62,25.68,580900,25.68
2014-12-01,26.24,26.30,25.69,25.76,547700,25.76
2014-11-28,26.45,26.90,26.28,26.34,287000,26.34
2014-11-26,26.59,26.59,26.27,26.32,412000,26.32
2014-11-25,26.77,27.04,26.34,26.52,412900,26.52
2014-11-24,26.22,26.95,26.20,26.72,448600,26.72
2014-11-21,26.88,26.97,26.14,26.19,479500,26.19
2014-11-20,26.01,26.68,25.97,26.56,595700,26.56
2014-11-19,25.94,26.44,25.61,26.09,555500,26.09
2014-11-18,26.23,26.74,25.83,25.88,450400,25.88
2014-11-17,26.48,26.80,26.21,26.23,384300,26.23
2014-11-14,26.73,26.89,26.47,26.53,465600,26.53
2014-11-13,27.06,27.06,26.53,26.66,389600,26.66
2014-11-12,26.46,27.09,26.25,26.99,464600,26.99
2014-11-11,26.43,26.85,26.14,26.57,543000,26.57
2014-11-10,26.10,26.49,25.95,26.39,640800,26.39
