Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.44,6.60,6.30,6.38,146100,6.38
2014-12-30,6.55,6.57,6.44,6.45,13200,6.45
2014-12-29,6.59,6.60,6.48,6.52,237000,6.52
2014-12-26,6.63,6.64,6.53,6.58,77100,6.58
2014-12-24,6.59,6.62,6.52,6.60,65600,6.60
2014-12-23,6.60,6.73,6.46,6.56,262700,6.56
2014-12-22,6.63,6.75,6.53,6.59,238100,6.59
2014-12-19,6.59,6.66,6.49,6.65,607200,6.65
2014-12-18,6.51,6.74,6.48,6.61,371400,6.61
2014-12-17,6.37,6.47,6.28,6.45,280300,6.45
2014-12-16,6.25,6.38,6.05,6.35,526000,6.35
2014-12-15,6.00,6.31,5.92,6.24,867400,6.24
2014-12-12,5.44,6.01,5.42,6.01,721500,6.01
2014-12-11,5.45,5.61,5.32,5.50,339800,5.50
2014-12-10,5.40,5.53,5.30,5.43,440100,5.43
2014-12-09,5.63,5.71,5.39,5.43,515100,5.43
2014-12-08,5.83,5.90,5.65,5.69,456100,5.69
2014-12-05,6.10,6.10,5.99,6.00,507200,6.00
2014-12-04,6.40,6.44,5.90,6.10,893200,6.10
2014-12-03,6.87,7.02,6.72,7.01,283100,7.01
2014-12-02,6.74,6.97,6.67,6.85,153400,6.85
2014-12-01,6.70,6.80,6.64,6.73,96600,6.73
2014-11-28,6.68,6.83,6.64,6.71,87800,6.71
2014-11-26,6.64,6.73,6.58,6.69,107700,6.69
2014-11-25,6.69,6.73,6.61,6.64,120700,6.64
2014-11-24,6.59,6.69,6.58,6.68,66300,6.68
2014-11-21,6.81,6.81,6.57,6.60,86600,6.60
2014-11-20,6.69,6.81,6.68,6.72,66500,6.72
2014-11-19,6.56,6.74,6.50,6.73,227200,6.73
2014-11-18,6.62,6.68,6.43,6.56,124200,6.56
2014-11-17,6.81,6.96,6.55,6.61,179100,6.61
2014-11-14,6.76,6.94,6.67,6.82,176400,6.82
2014-11-13,6.70,6.80,6.64,6.75,220100,6.75
2014-11-12,6.45,6.73,6.45,6.68,157300,6.68
2014-11-11,6.46,6.54,6.45,6.49,102000,6.49
2014-11-10,6.54,6.58,6.38,6.45,102700,6.45
2014-11-07,6.53,6.61,6.39,6.54,120000,6.54
2014-11-06,6.53,6.60,6.48,6.53,92400,6.53
2014-11-05,6.68,6.68,6.46,6.54,311300,6.54
2014-11-04,6.79,6.85,6.62,6.63,150600,6.63
2014-11-03,6.74,6.90,6.70,6.82,97000,6.82
2014-10-31,6.77,6.88,6.63,6.76,286600,6.76
2014-10-30,6.60,6.68,6.50,6.66,194000,6.66
2014-10-29,6.60,6.70,6.52,6.61,169100,6.61
2014-10-28,6.52,6.68,6.42,6.61,497200,6.61
2014-10-27,6.46,6.54,6.40,6.48,107700,6.48
2014-10-24,6.57,6.66,6.42,6.50,194100,6.50
2014-10-23,6.70,6.71,6.51,6.54,223900,6.54
2014-10-22,7.11,7.11,6.64,6.65,209300,6.65
2014-10-21,7.29,7.33,6.93,6.96,171900,6.96
2014-10-20,7.20,7.28,7.16,7.23,145300,7.23
2014-10-17,7.45,7.45,7.20,7.27,184300,7.27
2014-10-16,7.05,7.39,7.05,7.33,172400,7.33
2014-10-15,6.98,7.18,6.80,7.16,143800,7.16
2014-10-14,7.15,7.27,7.02,7.08,171200,7.08
2014-10-13,6.82,7.10,6.68,7.07,187800,7.07
2014-10-10,6.96,7.05,6.74,6.81,211500,6.81
2014-10-09,7.07,7.18,6.88,7.01,224100,7.01
2014-10-08,6.95,7.12,6.78,7.09,141900,7.09
2014-10-07,6.98,7.23,6.87,6.97,209500,6.97
2014-10-06,7.10,7.12,6.86,7.00,131000,7.00
2014-10-03,7.13,7.16,6.96,7.04,103600,7.04
