Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,33.14,33.98,33.00,33.98,900600,33.98
2014-12-30,32.75,33.34,32.71,33.23,55300,33.23
2014-12-29,32.66,33.06,32.65,32.96,1044200,32.96
2014-12-26,32.73,32.87,32.49,32.73,631200,32.73
2014-12-24,32.93,32.93,32.52,32.70,491700,32.70
2014-12-23,32.43,32.94,32.40,32.68,1329400,32.68
2014-12-22,32.10,32.42,32.02,32.41,780300,32.41
2014-12-19,32.07,32.26,31.59,32.08,1170000,32.08
2014-12-18,32.10,32.45,31.88,31.95,1044000,31.95
2014-12-17,31.00,31.99,30.75,31.93,954900,31.93
2014-12-16,30.60,31.45,30.47,31.01,1137900,31.01
2014-12-15,30.20,31.34,30.20,30.67,746400,30.67
2014-12-12,29.95,30.86,29.95,30.68,790200,30.68
2014-12-11,30.15,30.75,30.08,30.21,648500,30.21
2014-12-10,30.24,30.35,29.81,30.01,524400,30.01
2014-12-09,29.95,30.29,29.44,30.22,883700,30.22
2014-12-08,30.23,30.43,29.80,30.13,878700,30.13
2014-12-05,30.90,31.09,29.63,30.41,1367000,30.41
2014-12-04,31.16,31.42,31.02,31.19,754600,31.19
2014-12-03,31.88,31.88,30.95,31.08,667900,31.08
2014-12-02,31.91,32.23,31.50,31.79,663900,31.79
2014-12-01,32.01,32.30,31.36,32.00,800400,32.00
2014-11-28,31.89,32.36,31.62,31.79,377400,31.79
2014-11-26,31.95,32.09,31.65,31.74,276500,31.74
2014-11-25,31.96,32.06,31.44,32.01,654800,32.01
2014-11-24,32.32,32.32,31.63,31.91,597800,31.91
2014-11-21,31.74,32.21,31.50,32.05,1727700,32.05
2014-11-20,31.37,31.72,31.32,31.40,571000,31.40
2014-11-19,31.26,31.62,31.02,31.43,586300,31.43
2014-11-18,31.04,31.64,30.89,31.41,889900,31.41
2014-11-17,30.73,31.07,30.40,30.91,979000,30.91
2014-11-14,30.13,30.83,30.07,30.75,1430600,30.75
2014-11-13,30.31,30.46,30.01,30.23,1297400,30.23
2014-11-12,29.92,30.19,29.51,30.08,1860100,30.08
2014-11-11,29.68,29.99,29.50,29.79,7188500,29.79
2014-11-10,31.00,31.79,30.71,31.47,1460300,31.47
2014-11-07,30.75,32.12,29.25,31.70,3142500,31.70
2014-11-06,31.10,31.65,30.89,31.28,1855500,31.28
2014-11-05,30.89,31.29,30.58,30.69,1349300,30.69
2014-11-04,29.55,30.75,29.26,30.57,1471800,30.57
2014-11-03,29.24,29.99,29.21,29.59,911400,29.59
2014-10-31,28.90,29.91,28.88,29.11,1325500,29.11
2014-10-30,28.72,28.94,28.44,28.76,934700,28.76
2014-10-29,29.04,29.28,28.52,28.81,544500,28.81
2014-10-28,28.75,29.32,28.65,29.15,1099800,29.15
2014-10-27,28.75,28.90,28.29,28.67,458200,28.67
2014-10-24,29.55,29.64,28.68,28.95,440800,28.95
2014-10-23,28.95,29.02,28.35,28.95,705700,28.95
2014-10-22,29.78,29.89,28.78,28.81,1014500,28.81
2014-10-21,29.48,30.00,29.10,29.83,671800,29.83
2014-10-20,28.83,29.49,28.76,29.25,807100,29.25
2014-10-17,29.44,29.44,28.70,28.81,599900,28.81
2014-10-16,29.02,29.50,28.65,29.40,983700,29.40
2014-10-15,27.89,29.52,27.89,29.50,1305900,29.50
2014-10-14,27.66,28.75,27.32,28.29,1167900,28.29
2014-10-13,28.30,28.55,27.17,27.40,2594200,27.40
2014-10-10,29.00,29.00,27.47,27.67,1504700,27.67
2014-10-09,29.54,29.60,28.87,28.93,622300,28.93
2014-10-08,29.04,29.66,28.78,29.58,589600,29.58
2014-10-07,29.29,29.50,28.85,28.98,705900,28.98
2014-10-06,29.60,29.88,29.37,29.52,490800,29.52
2014-10-03,29.81,30.04,29.47,29.49,356600,29.49
2014-10-02,28.87,29.76,28.69,29.58,1056100,29.58
2014-10-01,29.04,29.14,28.67,28.75,1292300,28.75
2014-09-30,29.33,29.50,29.06,29.07,450300,29.07
2014-09-29,29.46,29.51,29.01,29.30,535500,29.30
2014-09-26,29.78,30.02,29.50,29.57,368500,29.57
2014-09-25,30.14,30.26,29.47,29.70,859400,29.70
2014-09-24,30.16,30.33,29.99,30.14,458800,30.14
2014-09-23,30.12,30.47,30.00,30.09,824000,30.09
2014-09-22,31.32,31.32,30.19,30.22,816800,30.22
2014-09-19,31.89,31.96,30.80,31.46,1317000,31.46
2014-09-18,30.45,31.32,30.10,31.29,572900,31.29
2014-09-17,30.28,30.79,30.17,30.50,925400,30.50
2014-09-16,29.97,30.36,29.84,30.20,1426600,30.20
2014-09-15,30.75,30.75,29.98,30.05,1672500,30.05
2014-09-12,30.66,30.90,30.38,30.77,1745500,30.77
2014-09-11,30.20,30.71,30.12,30.62,791200,30.62
2014-09-10,30.80,30.93,30.21,30.25,835200,30.25
2014-09-09,31.50,31.70,30.64,30.69,614400,30.69
2014-09-08,31.34,31.68,31.06,31.48,554600,31.48
2014-09-05,30.79,31.41,30.47,31.31,768300,31.31
2014-09-04,30.47,31.20,30.19,30.82,724000,30.82
2014-09-03,30.95,31.21,30.21,30.34,1186600,30.34
2014-09-02,30.97,31.35,30.85,30.87,859000,30.87
2014-08-29,31.01,31.12,30.47,30.94,606000,30.94
2014-08-28,30.91,31.11,30.60,31.01,613900,31.01
2014-08-27,30.79,30.92,30.50,30.90,791900,30.90
2014-08-26,30.60,30.80,30.47,30.68,785200,30.68
2014-08-25,30.48,30.60,30.17,30.59,829400,30.59
2014-08-22,29.61,30.55,29.61,30.34,1782000,30.34
2014-08-21,29.66,29.94,29.59,29.60,713400,29.60
2014-08-20,29.68,29.80,29.34,29.73,999600,29.73
2014-08-19,29.59,29.99,29.46,29.80,846700,29.80
2014-08-18,29.74,29.80,29.10,29.55,1574800,29.55
2014-08-15,30.18,30.23,29.44,29.50,1350500,29.50
2014-08-14,30.00,30.18,29.80,30.07,2270700,30.07
2014-08-13,29.89,30.27,29.80,30.00,8863100,30.00
2014-08-12,31.17,31.36,30.07,30.31,2587500,30.31
2014-08-11,31.95,32.69,31.76,32.56,1066000,32.56
2014-08-08,31.97,32.91,30.79,31.67,3303500,31.67
2014-08-07,31.67,31.99,30.18,30.55,2384500,30.55
2014-08-06,30.57,31.80,30.57,31.75,1478100,31.75
2014-08-05,30.73,30.99,30.42,30.74,1124000,30.74
2014-08-04,30.13,31.23,29.72,30.80,1123000,30.80
2014-08-01,30.60,30.65,29.11,29.94,2121200,29.94
2014-07-31,31.14,31.14,30.30,30.51,1636800,30.51
2014-07-30,31.54,31.78,31.25,31.39,706700,31.39
2014-07-29,30.91,31.82,30.80,31.49,1315400,31.49
2014-07-28,31.39,31.52,30.73,30.88,1036000,30.88
2014-07-25,31.77,31.81,31.20,31.24,571400,31.24
2014-07-24,31.59,32.24,31.48,31.90,880600,31.90
2014-07-23,32.08,32.25,31.33,31.53,1073900,31.53
2014-07-22,32.04,32.53,32.03,32.20,697700,32.20
2014-07-21,31.62,32.51,31.62,32.04,813100,32.04
2014-07-18,31.25,31.96,31.09,31.77,1042800,31.77
2014-07-17,31.07,31.31,30.90,31.19,1025900,31.19
2014-07-16,31.42,31.55,30.97,31.10,601800,31.10
2014-07-15,31.61,31.86,30.82,31.21,679900,31.21
2014-07-14,31.60,31.65,30.95,31.23,597200,31.23
2014-07-11,31.19,31.59,30.78,31.39,858500,31.39
2014-07-10,31.68,31.96,31.25,31.35,770500,31.35
2014-07-09,31.91,32.49,31.80,32.03,525200,32.03
2014-07-08,32.31,32.38,31.67,31.77,1136800,31.77
2014-07-07,32.86,33.00,32.45,32.58,780800,32.58
2014-07-03,32.80,33.15,32.64,32.93,430700,32.93
2014-07-02,32.77,33.18,32.54,32.61,816800,32.61
2014-07-01,32.75,32.86,32.40,32.80,1520700,32.80
2014-06-30,32.55,32.75,32.05,32.72,1411100,32.72
2014-06-27,32.76,32.90,32.42,32.54,6955800,32.54
2014-06-26,32.77,32.93,32.20,32.83,1192900,32.83
2014-06-25,31.58,32.73,31.55,32.68,1639500,32.68
2014-06-24,31.51,31.56,31.06,31.29,1177500,31.29
2014-06-23,31.09,31.63,30.94,31.55,1289300,31.55
2014-06-20,31.08,31.28,30.43,31.16,2272100,31.16
2014-06-19,30.06,31.33,30.06,31.01,1022800,31.01
2014-06-18,30.96,31.25,30.69,31.18,850300,31.18
2014-06-17,31.12,31.30,30.83,31.05,1011200,31.05
2014-06-16,30.35,31.29,30.11,31.17,1548900,31.17
2014-06-13,30.21,30.53,29.59,30.33,1532400,30.33
2014-06-12,30.15,30.74,29.85,30.00,1990600,30.00
2014-06-11,29.17,29.31,28.72,29.12,764600,29.12
2014-06-10,29.00,29.38,28.75,29.08,696400,29.08
2014-06-09,29.00,29.30,28.56,29.05,886600,29.05
2014-06-06,28.42,29.07,28.28,28.96,798200,28.96
2014-06-05,27.57,28.54,27.32,28.28,982900,28.28
2014-06-04,27.15,28.00,26.86,27.61,686100,27.61
2014-06-03,26.80,27.41,26.69,27.21,696200,27.21
2014-06-02,27.13,27.40,26.60,26.80,801800,26.80
2014-05-30,27.10,27.28,26.93,27.10,1825300,27.10
2014-05-29,27.33,27.51,27.00,27.04,1061900,27.04
2014-05-28,27.53,27.59,27.25,27.35,772000,27.35
2014-05-27,27.38,27.63,26.99,27.50,1602000,27.50
2014-05-23,27.33,27.60,26.87,27.12,1111300,27.12
2014-05-22,27.28,27.51,27.01,27.20,1266500,27.20
2014-05-21,27.98,28.08,27.15,27.38,1292200,27.38
2014-05-20,28.41,28.45,27.50,27.77,2672600,27.77
2014-05-19,28.75,29.01,28.41,28.50,2347400,28.50
2014-05-16,28.71,29.02,28.55,28.86,929100,28.86
2014-05-15,28.54,28.71,28.25,28.64,1652600,28.64
2014-05-14,28.41,28.72,28.15,28.46,1533500,28.46
