Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.80,0.85,0.80,0.83,5600,0.83
2014-12-30,0.85,0.85,0.85,0.85,000,0.85
2014-12-29,0.92,0.92,0.85,0.85,7900,0.85
2014-12-26,0.97,0.97,0.90,0.90,13500,0.90
2014-12-24,0.99,0.99,0.89,0.89,17300,0.89
2014-12-23,0.95,1.00,0.93,1.00,7500,1.00
2014-12-22,0.95,0.97,0.93,0.97,8700,0.97
2014-12-19,0.93,1.00,0.93,0.97,6900,0.97
2014-12-18,0.93,0.94,0.93,0.93,4600,0.93
2014-12-17,0.98,1.01,0.92,0.96,8600,0.96
2014-12-16,0.98,0.98,0.98,0.98,100,0.98
2014-12-15,0.96,1.00,0.92,0.97,1900,0.97
2014-12-12,1.05,1.05,0.92,0.99,5300,0.99
2014-12-11,1.00,1.04,1.00,1.03,7200,1.03
2014-12-10,1.00,1.10,0.92,1.00,42000,1.00
2014-12-09,1.16,1.16,0.83,0.83,47300,0.83
2014-12-08,1.16,1.24,1.16,1.17,11100,1.17
2014-12-05,1.24,1.24,1.22,1.22,4400,1.22
2014-12-04,1.25,1.25,1.20,1.24,1500,1.24
2014-12-03,1.24,1.24,1.24,1.24,000,1.24
2014-12-02,1.20,1.25,1.19,1.24,10100,1.24
2014-12-01,1.25,1.25,1.16,1.22,5700,1.22
2014-11-28,1.31,1.31,1.15,1.15,19000,1.15
2014-11-26,1.34,1.35,1.29,1.30,3100,1.30
2014-11-25,1.29,1.35,1.17,1.35,75700,1.35
2014-11-24,1.28,1.34,1.28,1.32,3400,1.32
2014-11-21,1.30,1.31,1.28,1.30,2400,1.30
2014-11-20,1.30,1.40,1.30,1.31,700,1.31
2014-11-19,1.40,1.40,1.40,1.40,100,1.40
2014-11-18,1.40,1.40,1.40,1.40,100,1.40
2014-11-17,1.43,1.43,1.43,1.43,100,1.43
2014-11-14,1.38,1.43,1.35,1.36,7900,1.36
2014-11-13,1.30,1.41,1.28,1.33,6900,1.33
2014-11-12,1.36,1.43,1.31,1.31,12200,1.31
2014-11-11,1.43,1.43,1.40,1.40,1300,1.40
2014-11-10,1.40,1.45,1.40,1.40,11300,1.40
2014-11-07,1.40,1.50,1.40,1.40,10500,1.40
2014-11-06,1.39,1.44,1.36,1.42,24000,1.42
2014-11-05,1.31,1.40,1.31,1.37,3000,1.37
2014-11-04,1.31,1.40,1.31,1.35,34700,1.35
2014-11-03,1.34,1.39,1.32,1.39,900,1.39
