Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.23,20.80,20.23,20.72,42200,20.72
2014-12-30,15.56,15.56,15.56,15.56,000,15.56
2014-12-29,15.36,15.36,15.36,15.36,000,15.36
2014-12-26,15.82,15.82,15.36,15.36,2200,15.36
2014-12-24,15.82,15.93,15.82,15.93,600,15.93
2014-12-23,16.00,16.00,16.00,16.00,000,16.00
2014-12-22,16.00,16.03,16.00,16.00,2900,16.00
2014-12-19,16.00,16.00,16.00,16.00,000,16.00
2014-12-18,16.00,16.00,16.00,16.00,400,16.00
2014-12-17,16.00,16.00,16.00,16.00,000,16.00
2014-12-16,16.00,16.00,16.00,16.00,000,16.00
2014-12-15,16.00,16.00,16.00,16.00,000,16.00
2014-12-12,16.00,16.00,16.00,16.00,000,16.00
2014-12-11,15.88,16.18,15.88,16.00,1000,16.00
2014-12-10,16.00,16.00,16.00,16.00,400,16.00
2014-12-09,16.17,16.25,16.00,16.25,2500,16.25
2014-12-08,16.10,16.10,16.10,16.10,400,16.10
2014-12-05,15.94,15.94,15.94,15.94,000,15.94
2014-12-04,15.94,15.94,15.94,15.94,000,15.94
2014-12-03,16.09,16.09,15.94,15.94,1500,15.94
2014-12-02,15.92,15.92,15.92,15.92,000,15.92
2014-12-01,15.92,15.92,15.92,15.92,100,15.92
2014-11-28,16.36,16.36,16.36,16.36,000,16.36
2014-11-26,16.36,16.36,16.36,16.36,400,16.36
2014-11-25,16.16,16.16,16.16,16.16,000,16.16
2014-11-24,16.20,16.20,15.90,16.16,1400,16.16
2014-11-21,16.68,16.75,16.68,16.75,200,16.75
2014-11-20,16.73,16.73,16.73,16.73,200,16.73
2014-11-19,16.70,16.70,16.70,16.70,000,16.70
2014-11-18,16.70,16.70,16.70,16.70,000,16.70
2014-11-17,16.70,16.70,16.70,16.70,000,16.70
2014-11-14,16.70,16.70,16.70,16.70,000,16.70
2014-11-13,16.70,16.70,16.70,16.70,000,16.70
2014-11-12,16.70,16.70,16.70,16.70,000,16.70
2014-11-11,16.70,16.70,16.70,16.70,000,16.70
2014-11-10,16.70,16.70,16.70,16.70,000,16.70
2014-11-07,16.70,16.70,16.70,16.70,000,16.70
2014-11-06,16.70,16.70,16.70,16.70,000,16.70
2014-11-05,16.70,16.70,16.70,16.70,000,16.70
2014-11-04,16.70,16.70,16.70,16.70,000,16.70
2014-11-03,16.70,16.70,16.70,16.70,000,16.70
2014-10-31,16.35,16.70,16.35,16.70,200,16.70
2014-10-30,16.10,16.10,16.10,16.10,200,16.10
2014-10-29,16.47,16.47,16.19,16.19,2800,16.19
2014-10-28,16.47,16.47,16.00,16.25,4100,16.25
2014-10-27,15.12,16.34,15.12,16.33,8200,16.33
2014-10-24,16.00,16.10,15.29,16.10,4700,16.10
2014-10-23,15.84,16.41,15.68,15.68,2600,15.68
2014-10-22,16.14,16.30,16.14,16.19,3700,16.19
2014-10-21,16.00,16.00,16.00,16.00,000,16.00
2014-10-20,16.00,16.00,16.00,16.00,000,16.00
2014-10-17,16.00,16.00,16.00,16.00,000,16.00
2014-10-16,16.00,16.32,16.00,16.00,11100,16.00
2014-10-15,16.00,16.00,16.00,16.00,000,16.00
2014-10-14,16.00,16.00,16.00,16.00,2200,16.00
2014-10-13,16.44,16.44,16.44,16.44,000,16.44
2014-10-10,16.25,16.50,16.25,16.44,10100,16.44
2014-10-09,16.72,16.72,16.72,16.72,000,16.72
2014-10-08,15.90,16.72,15.65,16.72,4700,16.72
2014-10-07,16.00,16.10,15.90,15.90,1700,15.90
2014-10-06,16.07,16.07,16.07,16.07,000,16.07
2014-10-03,16.07,16.07,16.07,16.07,000,16.07
2014-10-02,16.10,16.10,16.00,16.07,3400,16.07
2014-10-01,16.05,16.05,16.00,16.00,500,16.00
2014-09-30,16.00,16.00,16.00,16.00,000,16.00
2014-09-29,16.00,16.00,16.00,16.00,3000,16.00
2014-09-26,16.24,16.24,16.24,16.24,000,16.24
2014-09-25,16.24,16.24,16.24,16.24,000,16.24
2014-09-24,16.24,16.24,16.24,16.24,000,16.24
2014-09-23,16.07,16.38,16.00,16.24,2400,16.24
2014-09-22,16.79,16.79,16.79,16.79,000,16.79
2014-09-19,16.40,16.79,16.00,16.79,1200,16.79
2014-09-18,16.74,16.80,16.74,16.80,1600,16.80
2014-09-17,16.76,16.76,16.26,16.40,11100,16.40
2014-09-16,16.10,16.55,16.10,16.38,5600,16.38
2014-09-15,16.08,16.45,16.08,16.10,2400,16.10
2014-09-12,16.48,16.48,16.00,16.17,6800,16.17
2014-09-11,16.08,16.08,16.08,16.08,000,16.08
2014-09-10,16.08,16.08,16.08,16.08,000,16.08
2014-09-09,16.08,16.08,16.08,16.08,200,16.08
2014-09-08,16.00,16.00,16.00,16.00,000,16.00
2014-09-05,16.00,16.00,16.00,16.00,000,16.00
2014-09-04,16.00,16.05,16.00,16.00,7100,16.00
2014-09-03,16.02,16.15,16.00,16.00,1100,16.00
2014-09-02,16.00,16.05,16.00,16.00,16400,16.00
2014-08-29,16.68,16.68,16.00,16.00,1200,16.00
2014-08-28,16.80,16.80,16.80,16.80,000,16.80
2014-08-27,16.80,16.80,16.80,16.80,600,16.80
2014-08-26,16.30,16.30,16.30,16.30,000,16.30
2014-08-25,16.30,16.30,16.30,16.30,000,16.30
2014-08-22,16.43,16.80,16.30,16.30,3000,16.30
2014-08-21,16.04,16.50,16.01,16.49,6300,16.49
2014-08-20,16.00,16.15,15.95,16.06,2600,16.06
2014-08-19,15.98,16.28,15.90,15.90,4600,15.90
2014-08-18,16.25,16.25,16.25,16.25,000,16.25
2014-08-15,16.25,16.25,16.25,16.25,000,16.25
2014-08-14,16.55,16.55,16.25,16.25,500,16.25
2014-08-13,15.90,15.99,15.90,15.98,800,15.98
2014-08-12,15.50,15.50,15.50,15.50,000,15.50
2014-08-11,16.00,16.00,15.50,15.50,700,15.50
2014-08-08,16.10,16.12,16.01,16.01,500,16.01
2014-08-07,16.05,16.50,16.05,16.10,600,16.10
2014-08-06,16.03,16.15,16.03,16.15,200,16.15
2014-08-05,16.01,16.20,16.00,16.01,1200,16.01
2014-08-04,16.12,16.12,16.12,16.12,000,16.12
2014-08-01,16.12,16.12,16.12,16.12,000,16.12
2014-07-31,16.12,16.12,16.12,16.12,000,16.12
2014-07-30,16.12,16.12,16.12,16.12,000,16.12
2014-07-29,16.12,16.12,16.12,16.12,000,16.12
2014-07-28,16.16,16.26,16.12,16.12,800,16.12
2014-07-25,16.30,16.30,16.30,16.30,000,16.30
2014-07-24,16.55,16.55,16.30,16.30,600,16.30
2014-07-23,16.10,16.33,16.10,16.33,1300,16.33
2014-07-22,16.10,16.33,16.10,16.33,400,16.33
2014-07-21,16.10,16.52,16.10,16.22,800,16.22
2014-07-18,16.12,16.36,16.12,16.33,400,16.33
2014-07-17,16.10,16.15,16.10,16.15,700,16.15
2014-07-16,16.10,16.10,16.10,16.10,100,16.10
2014-07-15,16.20,16.20,16.20,16.20,000,16.20
2014-07-14,16.04,16.20,16.04,16.20,700,16.20
2014-07-11,16.10,16.10,16.10,16.10,300,16.10
2014-07-10,16.15,16.15,16.15,16.15,000,16.15
2014-07-09,16.08,16.15,16.05,16.15,600,16.15
2014-07-08,16.18,16.18,16.18,16.18,000,16.18
2014-07-07,16.10,16.80,16.06,16.18,900,16.18
2014-07-03,16.10,16.10,16.10,16.10,000,16.10
2014-07-02,16.20,16.24,16.10,16.10,400,16.10
2014-07-01,16.00,16.40,16.00,16.20,1000,16.20
2014-06-30,16.80,16.80,16.80,16.80,000,16.80
2014-06-27,16.80,16.80,16.80,16.80,400,16.80
2014-06-26,16.20,16.20,16.20,16.20,000,16.20
2014-06-25,16.20,16.20,16.20,16.20,000,16.20
2014-06-24,16.20,16.20,16.20,16.20,000,16.20
2014-06-23,16.20,16.20,16.20,16.20,000,16.20
2014-06-20,16.20,16.20,16.20,16.20,100,16.20
2014-06-19,16.03,16.03,16.03,16.03,000,16.03
2014-06-18,16.03,16.03,15.95,16.03,900,16.03
2014-06-17,16.00,16.03,16.00,16.03,200,16.03
2014-06-16,16.00,16.00,16.00,16.00,000,16.00
2014-06-13,16.00,16.00,16.00,16.00,000,16.00
2014-06-12,16.00,16.05,16.00,16.00,8900,16.00
2014-06-11,16.00,16.00,16.00,16.00,1500,16.00
2014-06-10,15.99,16.02,15.99,16.02,1200,16.02
2014-06-09,16.00,16.03,16.00,16.03,300,16.03
2014-06-06,16.00,16.00,16.00,16.00,000,16.00
2014-06-05,16.00,16.00,16.00,16.00,1500,16.00
2014-06-04,15.87,15.87,15.87,15.87,000,15.87
2014-06-03,15.61,15.87,15.61,15.87,8900,15.87
2014-06-02,15.83,15.85,15.55,15.85,1000,15.85
