Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.47,5.63,5.43,5.52,737100,5.52
2014-12-30,5.42,5.48,5.29,5.44,31000,5.44
2014-12-29,5.39,5.43,5.32,5.38,593000,5.38
2014-12-26,5.29,5.41,5.26,5.38,504500,5.38
2014-12-24,5.37,5.44,5.31,5.31,387500,5.31
2014-12-23,5.28,5.42,5.19,5.38,1007500,5.38
2014-12-22,5.27,5.43,5.13,5.25,1188100,5.25
2014-12-19,4.91,5.24,4.83,5.19,2351900,5.19
2014-12-18,5.01,5.34,4.77,4.90,5481500,4.90
2014-12-17,6.63,6.75,6.57,6.74,506600,6.74
2014-12-16,6.75,6.85,6.60,6.63,846900,6.63
2014-12-15,6.80,6.92,6.67,6.74,694800,6.74
2014-12-12,6.73,6.91,6.70,6.76,530600,6.76
2014-12-11,7.04,7.08,6.82,6.86,810700,6.86
2014-12-10,7.25,7.26,6.92,6.96,1172400,6.96
2014-12-09,6.70,7.33,6.62,7.32,1530400,7.32
2014-12-08,6.68,6.97,6.67,6.79,905200,6.79
2014-12-05,6.49,6.97,6.49,6.90,2571800,6.90
2014-12-04,5.95,6.10,5.89,5.99,677300,5.99
2014-12-03,5.72,6.01,5.72,5.97,437000,5.97
2014-12-02,5.66,5.85,5.66,5.73,581700,5.73
2014-12-01,5.49,5.71,5.40,5.68,517100,5.68
2014-11-28,5.58,5.70,5.52,5.53,464600,5.53
2014-11-26,5.59,5.65,5.53,5.60,383000,5.60
2014-11-25,5.60,5.67,5.57,5.59,408200,5.59
2014-11-24,5.60,5.66,5.55,5.61,365100,5.61
2014-11-21,5.56,5.69,5.40,5.60,725800,5.60
2014-11-20,5.33,5.51,5.32,5.49,457400,5.49
2014-11-19,5.46,5.47,5.35,5.37,377500,5.37
2014-11-18,5.40,5.50,5.32,5.45,387500,5.45
2014-11-17,5.45,5.48,5.34,5.40,393600,5.40
2014-11-14,5.43,5.53,5.36,5.48,644500,5.48
2014-11-13,5.49,5.59,5.41,5.42,489700,5.42
2014-11-12,5.42,5.64,5.41,5.51,448100,5.51
2014-11-11,5.40,5.52,5.39,5.44,668500,5.44
2014-11-10,5.35,5.61,5.31,5.60,908000,5.60
2014-11-07,5.37,5.45,5.30,5.34,424000,5.34
2014-11-06,5.28,5.36,5.20,5.34,492800,5.34
2014-11-05,5.30,5.31,5.18,5.29,568600,5.29
2014-11-04,5.19,5.32,5.19,5.27,354400,5.27
2014-11-03,5.37,5.48,5.18,5.22,735500,5.22
2014-10-31,5.10,5.48,4.90,5.36,1649100,5.36
2014-10-30,4.70,4.72,4.46,4.59,734700,4.59
2014-10-29,4.74,4.82,4.68,4.69,419700,4.69
2014-10-28,4.69,4.80,4.65,4.75,498500,4.75
2014-10-27,4.59,4.71,4.53,4.65,341900,4.65
2014-10-24,4.62,4.65,4.51,4.60,436900,4.60
2014-10-23,4.51,4.67,4.50,4.60,303900,4.60
2014-10-22,4.58,4.64,4.45,4.46,364500,4.46
2014-10-21,4.56,4.60,4.49,4.55,278100,4.55
2014-10-20,4.45,4.56,4.44,4.53,430900,4.53
2014-10-17,4.61,4.62,4.41,4.46,479100,4.46
2014-10-16,4.35,4.66,4.35,4.52,788600,4.52
2014-10-15,4.35,4.48,4.26,4.42,1684900,4.42
2014-10-14,4.59,4.63,4.42,4.45,1235700,4.45
2014-10-13,4.25,4.64,4.21,4.52,1728300,4.52
2014-10-10,4.50,4.50,4.10,4.22,2206400,4.22
2014-10-09,4.76,4.77,4.53,4.54,844500,4.54
2014-10-08,4.68,4.80,4.59,4.78,695000,4.78
2014-10-07,4.85,4.92,4.69,4.70,876500,4.70
2014-10-06,5.05,5.07,4.88,4.90,726800,4.90
2014-10-03,5.17,5.17,5.05,5.06,351100,5.06
2014-10-02,5.03,5.17,5.01,5.10,631600,5.10
2014-10-01,5.05,5.09,5.00,5.03,634900,5.03
2014-09-30,5.10,5.14,5.04,5.04,704100,5.04
2014-09-29,5.02,5.18,5.02,5.10,429800,5.10
2014-09-26,5.06,5.12,4.96,5.09,461900,5.09
2014-09-25,5.05,5.10,5.01,5.06,518800,5.06
2014-09-24,5.01,5.17,5.01,5.08,1087300,5.08
2014-09-23,5.08,5.09,4.90,4.97,675600,4.97
2014-09-22,5.14,5.16,5.03,5.08,609200,5.08
2014-09-19,5.26,5.38,5.15,5.19,1010100,5.19
2014-09-18,5.06,5.44,5.06,5.25,1326900,5.25
2014-09-17,4.97,5.11,4.97,5.06,1063900,5.06
2014-09-16,4.98,5.04,4.94,4.96,746800,4.96
2014-09-15,5.00,5.03,4.93,4.98,698800,4.98
2014-09-12,5.03,5.08,4.98,5.01,600500,5.01
2014-09-11,4.96,5.11,4.96,5.02,820000,5.02
2014-09-10,5.00,5.03,4.92,5.00,486300,5.00
2014-09-09,5.16,5.16,4.96,4.98,579600,4.98
2014-09-08,4.96,5.18,4.96,5.16,479900,5.16
2014-09-05,5.07,5.17,4.96,5.15,599300,5.15
2014-09-04,5.03,5.14,5.03,5.07,387800,5.07
2014-09-03,5.07,5.11,5.00,5.01,341700,5.01
2014-09-02,5.09,5.09,5.01,5.06,451100,5.06
2014-08-29,5.02,5.07,4.99,5.06,342200,5.06
2014-08-28,4.95,5.01,4.92,4.98,205700,4.98
2014-08-27,5.10,5.10,4.98,5.00,236000,5.00
2014-08-26,5.10,5.16,5.08,5.10,541700,5.10
2014-08-25,5.00,5.08,4.94,5.07,723200,5.07
2014-08-22,4.90,5.00,4.85,4.99,510200,4.99
2014-08-21,4.80,4.89,4.79,4.89,461000,4.89
2014-08-20,4.86,4.91,4.74,4.83,879900,4.83
2014-08-19,4.95,5.02,4.88,4.90,535400,4.90
2014-08-18,4.91,4.96,4.87,4.96,352000,4.96
2014-08-15,4.97,5.03,4.82,4.90,359700,4.90
2014-08-14,4.90,4.96,4.89,4.91,240800,4.91
2014-08-13,4.95,5.00,4.90,4.92,250100,4.92
2014-08-12,4.99,5.00,4.87,4.91,341000,4.91
2014-08-11,4.89,5.05,4.89,4.97,370800,4.97
2014-08-08,4.88,4.91,4.86,4.87,321000,4.87
2014-08-07,5.04,5.09,4.86,4.87,471700,4.87
2014-08-06,4.88,5.05,4.85,5.00,464200,5.00
2014-08-05,4.88,4.98,4.86,4.93,381800,4.93
2014-08-04,4.94,5.00,4.89,4.94,540400,4.94
2014-08-01,5.01,5.10,4.94,4.94,644100,4.94
2014-07-31,4.89,5.10,4.80,4.99,1986800,4.99
2014-07-30,4.76,4.93,4.74,4.84,716700,4.84
2014-07-29,4.67,4.79,4.67,4.75,472900,4.75
2014-07-28,4.70,4.73,4.62,4.68,310800,4.68
2014-07-25,4.75,4.77,4.62,4.68,575100,4.68
2014-07-24,4.84,4.85,4.77,4.82,469700,4.82
2014-07-23,4.91,4.91,4.74,4.85,678200,4.85
2014-07-22,4.90,4.96,4.83,4.92,347200,4.92
2014-07-21,4.91,4.94,4.87,4.89,204300,4.89
2014-07-18,4.85,5.00,4.84,4.93,506700,4.93
2014-07-17,4.94,5.01,4.84,4.87,541500,4.87
2014-07-16,4.92,4.99,4.91,4.96,469800,4.96
2014-07-15,4.94,4.99,4.85,4.91,431300,4.91
2014-07-14,5.00,5.02,4.95,4.95,798700,4.95
2014-07-11,4.92,5.01,4.92,4.98,464200,4.98
2014-07-10,4.91,5.01,4.85,4.95,1029700,4.95
2014-07-09,4.55,5.05,4.52,4.98,2450800,4.98
2014-07-08,5.14,5.24,4.98,4.99,694600,4.99
2014-07-07,5.33,5.35,5.13,5.13,488600,5.13
2014-07-03,5.19,5.35,5.15,5.32,481400,5.32
2014-07-02,5.15,5.20,5.12,5.18,445400,5.18
2014-07-01,5.07,5.18,5.07,5.15,757200,5.15
2014-06-30,5.05,5.08,5.01,5.04,677600,5.04
2014-06-27,5.02,5.07,5.00,5.06,1647700,5.06
2014-06-26,5.09,5.11,4.97,5.01,418200,5.01
2014-06-25,5.00,5.13,4.89,5.10,727700,5.10
2014-06-24,5.16,5.26,5.07,5.08,505100,5.08
2014-06-23,5.22,5.26,5.10,5.18,610700,5.18
2014-06-20,5.12,5.27,5.04,5.24,1019000,5.24
2014-06-19,5.12,5.15,5.02,5.09,794900,5.09
2014-06-18,5.23,5.24,4.92,5.10,657700,5.10
2014-06-17,5.25,5.30,5.19,5.25,573400,5.25
2014-06-16,5.26,5.55,5.26,5.28,470500,5.28
2014-06-13,5.30,5.30,5.17,5.21,346400,5.21
2014-06-12,5.33,5.39,5.19,5.26,288000,5.26
2014-06-11,5.37,5.47,5.26,5.31,383100,5.31
2014-06-10,5.36,5.42,5.33,5.38,243200,5.38
2014-06-09,5.31,5.45,5.26,5.39,263100,5.39
2014-06-06,5.29,5.36,5.23,5.32,301700,5.32
2014-06-05,5.17,5.27,5.12,5.25,400800,5.25
2014-06-04,5.14,5.25,5.14,5.17,463600,5.17
2014-06-03,5.14,5.20,5.10,5.15,407900,5.15
2014-06-02,5.26,5.26,5.10,5.17,334800,5.17
2014-05-30,5.33,5.35,5.18,5.23,380100,5.23
2014-05-29,5.29,5.39,5.27,5.33,248600,5.33
2014-05-28,5.36,5.40,5.26,5.29,343400,5.29
2014-05-27,5.40,5.47,5.36,5.40,475600,5.40
2014-05-23,5.30,5.42,5.25,5.39,307600,5.39
2014-05-22,5.23,5.33,5.18,5.29,267500,5.29
2014-05-21,5.27,5.31,5.13,5.24,327700,5.24
2014-05-20,5.30,5.30,5.18,5.22,565600,5.22
2014-05-19,5.16,5.39,5.16,5.35,334000,5.35
2014-05-16,5.15,5.19,5.10,5.15,511800,5.15
2014-05-15,5.21,5.27,5.10,5.19,565800,5.19
2014-05-14,5.48,5.49,5.25,5.25,856700,5.25
2014-05-13,5.47,5.52,5.45,5.47,560000,5.47
2014-05-12,5.35,5.53,5.30,5.50,592400,5.50
2014-05-09,5.25,5.34,5.17,5.30,485500,5.30
2014-05-08,5.35,5.47,5.26,5.29,569400,5.29
2014-05-07,5.50,5.55,5.34,5.39,508200,5.39
2014-05-06,5.59,5.68,5.43,5.46,766200,5.46
2014-05-05,5.63,5.74,5.55,5.61,615300,5.61
2014-05-02,5.55,5.70,5.52,5.64,1090400,5.64
2014-05-01,5.57,5.61,5.45,5.56,1089500,5.56
2014-04-30,5.81,5.95,5.43,5.61,2032000,5.61
2014-04-29,6.13,6.20,6.00,6.05,494300,6.05
2014-04-28,6.18,6.21,5.95,6.09,525900,6.09
2014-04-25,6.36,6.43,6.08,6.14,425600,6.14
2014-04-24,6.44,6.48,6.32,6.41,283100,6.41
2014-04-23,6.46,6.51,6.40,6.42,280200,6.42
2014-04-22,6.45,6.55,6.38,6.49,460000,6.49
2014-04-21,6.33,6.47,6.23,6.42,461900,6.42
2014-04-17,6.27,6.38,6.22,6.33,264100,6.33
2014-04-16,6.41,6.41,6.21,6.27,232200,6.27
2014-04-15,6.28,6.44,6.22,6.36,556400,6.36
2014-04-14,6.25,6.39,6.18,6.26,527000,6.26
2014-04-11,6.33,6.44,6.13,6.22,550900,6.22
2014-04-10,6.67,6.67,6.39,6.40,517100,6.40
2014-04-09,6.66,6.70,6.53,6.67,372300,6.67
2014-04-08,6.52,6.68,6.43,6.64,505300,6.64
2014-04-07,6.40,6.51,6.33,6.49,757900,6.49
2014-04-04,6.72,6.72,6.31,6.39,622000,6.39
2014-04-03,6.62,6.70,6.52,6.66,813100,6.66
2014-04-02,6.80,6.91,6.47,6.59,1330200,6.59
2014-04-01,6.94,7.00,6.86,6.96,390000,6.96
2014-03-31,6.84,6.95,6.78,6.90,605400,6.90
2014-03-28,6.67,6.87,6.67,6.77,468000,6.77
2014-03-27,6.76,6.86,6.61,6.68,355400,6.68
2014-03-26,6.83,6.90,6.74,6.76,549600,6.76
2014-03-25,6.78,6.88,6.66,6.77,344500,6.77
2014-03-24,6.68,6.82,6.60,6.75,823500,6.75
2014-03-21,7.10,7.12,6.69,6.71,1556100,6.71
2014-03-20,7.06,7.15,7.03,7.08,454600,7.08
2014-03-19,7.10,7.16,6.93,7.06,682100,7.06
2014-03-18,6.96,7.15,6.86,7.14,595700,7.14
2014-03-17,6.94,7.16,6.86,6.88,1200300,6.88
2014-03-14,6.74,6.94,6.71,6.87,374000,6.87
2014-03-13,6.86,6.95,6.73,6.76,547800,6.76
2014-03-12,6.74,6.92,6.74,6.86,927000,6.86
2014-03-11,6.98,7.00,6.68,6.76,874800,6.76
2014-03-10,6.77,6.95,6.70,6.94,947300,6.94
2014-03-07,6.60,6.69,6.55,6.60,644300,6.60
2014-03-06,6.62,6.83,6.42,6.58,929900,6.58
2014-03-05,6.13,6.74,6.12,6.59,2401000,6.59
2014-03-04,6.04,6.19,6.03,6.15,660000,6.15
2014-03-03,5.97,6.02,5.91,5.97,289600,5.97
2014-02-28,6.05,6.18,6.01,6.05,707200,6.05
