Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.84,13.50,11.50,12.72,60100,12.72
2014-12-30,12.00,12.66,11.55,12.61,424400,12.61
2014-12-29,12.30,12.32,11.28,11.49,175000,11.49
2014-12-26,11.15,12.48,11.07,11.99,140900,11.99
2014-12-24,11.10,11.49,10.25,11.05,8300,11.05
2014-12-23,12.00,12.00,10.02,12.00,33100,12.00
2014-12-22,8.20,14.00,8.01,12.34,126300,12.34
2014-12-19,7.50,8.19,7.35,7.68,14400,7.68
2014-12-18,6.10,6.81,6.00,6.80,2000,6.80
2014-12-17,7.00,7.45,6.90,6.95,2900,6.95
2014-12-16,7.00,7.00,6.57,6.97,3700,6.97
2014-12-15,7.00,7.49,7.00,7.49,3500,7.49
2014-12-12,6.95,7.00,6.42,6.44,13400,6.44
2014-12-11,7.49,7.49,7.10,7.14,2300,7.14
2014-12-10,7.42,7.50,7.10,7.50,3500,7.50
2014-12-09,7.20,7.68,6.95,7.33,18800,7.33
2014-12-08,8.12,8.30,6.95,7.20,31200,7.20
2014-12-05,8.29,8.77,8.08,8.31,28500,8.31
2014-12-04,9.40,9.68,8.04,8.50,20200,8.50
2014-12-03,9.12,9.40,9.10,9.39,10200,9.39
2014-12-02,9.48,9.75,9.09,9.30,18000,9.30
2014-12-01,8.81,10.00,8.81,9.25,40200,9.25
2014-11-28,10.05,10.49,8.88,9.14,21400,9.14
2014-11-26,10.20,10.73,10.05,10.05,12500,10.05
2014-11-25,10.62,10.78,10.11,10.44,15900,10.44
2014-11-24,11.20,11.20,10.09,11.20,128800,11.20
2014-11-21,10.30,11.50,10.30,10.90,82500,10.90
2014-11-20,9.70,10.25,9.38,10.25,100600,10.25
2014-11-19,9.40,10.25,9.22,9.30,25900,9.30
2014-11-18,9.59,10.25,9.08,9.65,60500,9.65
2014-11-17,11.00,11.50,9.08,9.35,89000,9.35
2014-11-14,9.08,13.32,9.08,10.40,267400,10.40
2014-11-13,8.26,9.82,8.00,9.15,370100,9.15
