Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,67.50,67.50,67.05,67.05,600,67.05
2014-12-30,67.05,68.45,67.05,68.45,300,68.45
2014-12-29,68.50,68.50,68.50,68.50,100,68.50
2014-12-26,68.50,68.50,68.50,68.50,000,68.50
2014-12-24,66.26,68.50,66.00,68.50,81900,68.50
2014-12-23,66.25,66.25,66.25,66.25,100,66.25
2014-12-22,66.17,66.17,66.17,66.17,200,66.17
2014-12-19,67.00,67.98,66.01,67.00,2700,67.00
2014-12-18,68.20,68.20,67.99,68.00,2400,68.00
2014-12-17,67.00,67.95,67.00,67.95,900,67.95
2014-12-16,68.45,68.50,66.00,67.00,3700,67.00
2014-12-15,67.00,68.45,67.00,68.45,1300,68.45
2014-12-12,66.50,67.50,66.50,67.00,13600,67.00
2014-12-11,68.00,68.00,68.00,68.00,000,68.00
2014-12-10,68.00,68.00,68.00,68.00,200,68.00
2014-12-09,68.00,68.00,68.00,68.00,000,68.00
2014-12-08,68.50,68.50,68.00,68.00,2400,68.00
2014-12-05,68.00,69.00,66.21,69.00,1400,69.00
2014-12-04,68.76,68.76,68.61,68.61,900,68.61
2014-12-03,68.83,68.83,68.75,68.75,2100,68.75
2014-12-02,69.50,70.00,69.50,70.00,300,69.51
2014-12-01,69.50,69.50,69.50,69.50,300,69.01
2014-11-28,70.00,70.00,70.00,70.00,000,69.51
2014-11-26,70.00,70.00,70.00,70.00,000,69.51
2014-11-25,70.90,70.90,70.00,70.00,600,69.51
2014-11-24,69.50,70.00,69.50,70.00,800,69.51
2014-11-21,70.00,70.00,69.75,69.75,300,69.26
2014-11-20,70.50,70.50,69.55,69.55,1200,69.06
2014-11-19,71.00,71.00,69.51,69.51,1300,69.02
2014-11-18,70.11,72.69,69.00,70.20,26400,69.71
2014-11-17,71.00,73.00,70.04,73.00,3200,72.49
2014-11-14,70.50,70.50,70.00,70.00,1000,69.51
2014-11-13,71.00,71.00,71.00,71.00,1100,70.50
2014-11-12,69.55,70.00,69.55,70.00,300,69.51
2014-11-11,70.23,70.23,69.50,69.50,1000,69.01
2014-11-10,71.95,71.95,71.95,71.95,000,71.45
2014-11-07,70.17,71.95,70.17,71.95,500,71.45
2014-11-06,70.17,70.54,70.17,70.54,600,70.05
2014-11-05,71.20,72.20,71.20,72.20,1200,71.70
2014-11-04,71.50,71.50,71.50,71.50,000,71.00
2014-11-03,71.50,71.50,71.50,71.50,000,71.00
2014-10-31,71.50,71.50,71.50,71.50,32400,71.00
2014-10-30,72.15,72.15,72.15,72.15,100,71.65
2014-10-29,70.50,72.35,70.17,72.35,1800,71.84
2014-10-28,70.75,70.75,70.56,70.56,300,70.07
2014-10-27,71.00,71.00,71.00,71.00,1400,70.50
2014-10-24,71.00,71.00,71.00,71.00,000,70.50
2014-10-23,71.00,71.00,71.00,71.00,100,70.50
2014-10-22,70.94,70.94,70.94,70.94,10200,70.44
2014-10-21,70.55,70.55,70.05,70.05,500,69.56
2014-10-20,71.00,71.00,71.00,71.00,000,70.50
2014-10-17,71.00,71.00,71.00,71.00,000,70.50
2014-10-16,71.00,71.00,70.97,71.00,1900,70.50
2014-10-15,70.86,70.86,70.86,70.86,000,70.36
2014-10-14,70.86,70.86,70.86,70.86,000,70.36
2014-10-13,70.85,71.00,70.85,70.86,600,70.36
2014-10-10,70.18,70.49,70.18,70.49,1000,70.00
2014-10-09,71.80,71.80,71.80,71.80,000,71.30
2014-10-08,71.80,71.80,71.80,71.80,000,71.30
2014-10-07,71.80,71.80,71.80,71.80,100,71.30
2014-10-06,70.65,70.86,70.65,70.86,300,70.36
2014-10-03,70.70,71.15,70.70,71.15,3100,70.65
2014-10-02,70.80,71.30,70.00,70.18,4600,69.69
2014-10-01,70.43,70.43,70.40,70.40,200,69.91
2014-09-30,70.80,71.50,70.64,71.50,13300,71.00
2014-09-29,70.93,71.40,70.20,70.70,5000,70.21
2014-09-26,72.23,72.47,69.31,70.50,28500,70.01
2014-09-25,72.26,72.47,72.13,72.36,6900,71.85
2014-09-24,72.35,72.35,72.08,72.11,13600,71.61
2014-09-23,72.40,72.70,72.12,72.12,12400,71.62
2014-09-22,73.02,74.50,72.03,72.89,13300,72.38
2014-09-19,72.54,72.54,72.00,72.00,900,71.50
2014-09-18,73.03,73.03,73.03,73.03,000,72.52
2014-09-17,73.25,73.25,73.03,73.03,100200,72.52
2014-09-16,72.50,73.00,72.25,73.00,63600,72.49
2014-09-15,72.50,72.50,72.50,72.50,4100,71.99
2014-09-12,74.00,74.00,74.00,74.00,000,73.48
2014-09-11,73.55,74.50,73.00,74.00,22100,73.48
2014-09-10,74.98,74.98,72.61,73.65,3500,73.14
2014-09-09,76.22,76.22,76.22,76.22,000,75.69
2014-09-08,79.97,79.97,73.75,76.22,2700,75.69
2014-09-05,74.50,74.50,72.11,74.00,11700,73.48
2014-09-04,75.50,78.00,74.50,74.88,1900,74.36
2014-09-03,75.00,75.00,74.47,75.00,5000,74.48
2014-09-02,77.98,77.98,75.40,75.40,9400,74.39
2014-08-29,73.36,77.98,73.36,77.98,3300,76.93
2014-08-28,73.75,75.00,73.28,75.00,2700,73.99
2014-08-27,74.00,74.50,73.28,73.28,5200,72.30
2014-08-26,73.95,73.95,73.12,73.12,101900,72.14
2014-08-25,74.00,74.50,73.11,73.95,2200,72.96
2014-08-22,73.40,74.50,73.31,73.99,22000,73.00
2014-08-21,74.86,74.86,74.86,74.86,000,73.86
2014-08-20,74.86,74.86,74.86,74.86,000,73.86
2014-08-19,74.00,75.00,74.00,74.86,2600,73.86
2014-08-18,75.00,75.00,74.09,74.09,300,73.10
2014-08-15,76.05,76.05,76.05,76.05,000,75.03
2014-08-14,75.20,76.92,75.00,76.05,4300,75.03
2014-08-13,72.70,75.21,72.51,75.21,3900,74.20
2014-08-12,74.04,74.04,74.01,74.01,800,73.02
2014-08-11,72.99,74.89,72.99,74.51,9800,73.51
2014-08-08,74.39,74.43,70.44,71.55,8500,70.59
2014-08-07,74.51,74.51,73.23,74.29,1100,73.29
2014-08-06,73.30,74.75,73.00,74.53,1900,73.53
2014-08-05,77.96,77.96,74.99,74.99,300,73.98
2014-08-04,73.06,75.00,73.06,75.00,7100,73.99
2014-08-01,72.96,75.25,72.96,74.55,4700,73.55
2014-07-31,74.50,74.70,74.31,74.67,800,73.67
2014-07-30,76.39,76.97,76.30,76.30,300,75.28
2014-07-29,75.50,75.50,75.50,75.50,000,74.49
2014-07-28,75.00,75.87,75.00,75.50,3900,74.49
2014-07-25,75.09,75.09,74.44,74.50,2800,73.50
2014-07-24,76.14,76.14,75.51,75.51,300,74.50
2014-07-23,75.51,75.51,75.51,75.51,100,74.50
2014-07-22,75.01,75.01,75.01,75.01,000,74.00
2014-07-21,75.01,75.01,75.01,75.01,000,74.00
2014-07-18,75.01,75.97,72.59,75.01,2300,74.00
2014-07-17,75.50,75.50,75.00,75.00,400,73.99
2014-07-16,77.97,77.99,75.05,75.05,500,74.04
2014-07-15,74.38,74.38,74.38,74.38,000,73.38
2014-07-14,74.38,74.38,74.38,74.38,000,73.38
2014-07-11,73.13,74.38,73.13,74.38,55000,73.38
2014-07-10,75.00,76.41,75.00,75.00,1600,73.99
2014-07-09,77.02,77.02,73.12,75.18,6000,74.17
2014-07-08,74.75,77.97,74.50,76.25,131300,75.23
2014-07-07,76.61,76.75,76.00,76.00,1100,74.98
2014-07-03,77.50,77.50,76.00,76.00,1800,74.98
2014-07-02,75.28,76.50,75.25,76.50,800,75.47
2014-07-01,75.98,77.25,74.50,75.36,102200,74.35
2014-06-30,76.00,78.18,75.75,77.00,3200,75.97
2014-06-27,74.47,75.45,74.00,75.45,22500,74.44
2014-06-26,73.35,73.50,73.20,73.20,1600,72.22
2014-06-25,72.64,73.50,72.64,73.02,5500,72.04
