Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.95,2.95,2.95,2.95,000,2.95
2014-12-30,2.89,2.89,2.89,2.89,000,2.89
2014-12-29,3.00,3.00,2.90,2.90,8400,2.90
2014-12-26,2.99,2.99,2.90,2.97,2600,2.97
2014-12-24,2.78,2.78,2.78,2.78,000,2.78
2014-12-23,2.89,2.89,2.79,2.80,900,2.80
2014-12-22,2.91,2.91,2.91,2.91,900,2.91
2014-12-19,2.77,2.95,2.76,2.95,2000,2.95
2014-12-18,2.84,2.84,2.76,2.78,7700,2.78
2014-12-17,2.85,2.94,2.75,2.90,9900,2.90
2014-12-16,2.80,2.87,2.80,2.87,1900,2.87
2014-12-15,2.88,2.88,2.80,2.87,2100,2.87
2014-12-12,2.83,2.83,2.83,2.83,000,2.83
2014-12-11,2.87,2.94,2.80,2.83,10500,2.83
2014-12-10,2.80,2.99,2.80,2.97,400,2.97
2014-12-09,2.95,2.95,2.95,2.95,000,2.95
2014-12-08,2.95,2.95,2.95,2.95,000,2.95
2014-12-05,2.95,2.95,2.94,2.95,5400,2.95
2014-12-04,2.90,2.96,2.84,2.96,1800,2.96
2014-12-03,2.90,2.92,2.73,2.92,5600,2.92
2014-12-02,2.90,2.90,2.90,2.90,600,2.90
2014-12-01,2.95,2.95,2.89,2.89,1700,2.89
2014-11-28,2.99,3.00,2.99,3.00,2000,3.00
2014-11-26,2.90,2.90,2.90,2.90,200,2.90
2014-11-25,2.94,2.94,2.94,2.94,1500,2.94
2014-11-24,3.02,3.02,3.00,3.00,3900,3.00
2014-11-21,2.96,3.10,2.96,3.04,4600,3.04
2014-11-20,2.94,2.99,2.94,2.99,1400,2.99
2014-11-19,2.93,2.93,2.93,2.93,000,2.93
2014-11-18,2.93,2.93,2.93,2.93,1100,2.93
2014-11-17,2.90,2.90,2.90,2.90,200,2.90
2014-11-14,2.93,2.99,2.93,2.94,17000,2.94
2014-11-13,2.93,2.93,2.93,2.93,000,2.93
2014-11-12,2.93,2.94,2.93,2.93,1300,2.93
2014-11-11,2.93,2.98,2.93,2.97,2100,2.97
2014-11-10,2.94,2.94,2.94,2.94,200,2.94
2014-11-07,2.91,2.97,2.91,2.97,1200,2.97
2014-11-06,2.90,3.00,2.90,3.00,10300,3.00
2014-11-05,2.90,2.90,2.90,2.90,200,2.90
2014-11-04,2.92,2.98,2.90,2.97,13300,2.97
2014-11-03,2.93,3.02,2.90,2.90,13900,2.90
2014-10-31,2.90,2.94,2.90,2.94,5000,2.94
2014-10-30,2.83,2.92,2.83,2.86,7600,2.86
2014-10-29,2.99,3.07,2.84,2.84,2200,2.84
