Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,16.98,17.16,16.98,17.15,48900,17.15
2014-12-30,16.99,17.07,16.97,16.98,16300,16.98
2014-12-29,16.99,17.05,16.90,17.00,22200,17.00
2014-12-26,16.99,16.99,16.89,16.97,5900,16.97
2014-12-24,16.98,16.99,16.90,16.95,3700,16.95
2014-12-23,16.99,16.99,16.81,16.92,9000,16.92
2014-12-22,16.90,17.00,16.82,16.96,15200,16.96
2014-12-19,16.72,17.06,16.69,17.06,12000,17.06
2014-12-18,17.00,17.00,16.75,16.78,9300,16.78
2014-12-17,16.77,16.92,16.70,16.79,13100,16.79
2014-12-16,16.04,16.37,16.03,16.18,5200,16.18
2014-12-15,16.30,16.30,16.03,16.03,1600,16.03
2014-12-12,16.22,16.92,16.03,16.14,8700,16.14
2014-12-11,16.08,16.37,16.05,16.22,7800,16.22
2014-12-10,16.43,16.46,16.15,16.18,7200,16.18
2014-12-09,16.18,16.49,16.13,16.49,19400,16.49
2014-12-08,16.17,16.66,15.97,16.06,43800,16.06
2014-12-05,16.24,16.45,16.06,16.06,3000,16.06
2014-12-04,16.03,16.24,16.00,16.24,41700,16.24
2014-12-03,16.19,16.24,16.09,16.09,2800,16.09
2014-12-02,16.41,16.41,15.96,16.08,11900,16.08
2014-12-01,16.67,16.73,15.91,16.03,19300,16.03
2014-11-28,16.70,16.99,16.38,16.59,4500,16.59
2014-11-26,16.92,17.00,16.41,16.62,9400,16.62
2014-11-25,16.45,17.02,16.43,16.89,10100,16.89
2014-11-24,16.45,16.45,16.40,16.44,86600,16.44
2014-11-21,16.69,16.69,16.23,16.45,278300,16.45
2014-11-20,16.15,16.75,16.10,16.23,30800,16.23
2014-11-19,16.40,16.40,16.09,16.10,4700,16.10
2014-11-18,16.30,16.50,16.15,16.34,10900,16.34
2014-11-17,16.45,16.75,16.31,16.32,7300,16.32
2014-11-14,16.66,16.66,16.32,16.58,94800,16.58
2014-11-13,16.75,16.75,16.37,16.53,8400,16.53
2014-11-12,16.55,16.99,16.55,16.65,143500,16.65
2014-11-11,16.61,16.75,16.56,16.60,56400,16.60
2014-11-10,16.57,16.75,16.56,16.75,5700,16.75
2014-11-07,16.72,16.77,16.48,16.72,67000,16.72
2014-11-06,16.82,16.95,16.60,16.75,5100,16.75
2014-11-05,16.92,17.00,16.72,16.99,57800,16.90
2014-11-04,16.77,16.99,16.66,16.99,2200,16.90
2014-11-03,16.66,16.97,16.66,16.97,2400,16.88
2014-10-31,17.00,17.00,16.57,16.57,8500,16.48
2014-10-30,16.99,16.99,16.83,16.83,3300,16.74
2014-10-29,16.71,16.83,16.61,16.83,8700,16.74
2014-10-28,16.80,16.81,16.62,16.62,6000,16.53
2014-10-27,16.72,16.81,16.66,16.68,4900,16.59
2014-10-24,16.96,17.08,16.50,16.82,18900,16.73
2014-10-23,16.83,17.24,16.76,17.02,21400,16.93
2014-10-22,16.68,16.89,16.68,16.89,12300,16.80
2014-10-21,16.51,16.93,16.51,16.77,12600,16.68
2014-10-20,16.19,16.63,16.19,16.63,20800,16.54
2014-10-17,16.23,16.44,16.07,16.14,45000,16.05
2014-10-16,16.04,16.24,15.61,16.22,34100,16.13
2014-10-15,16.18,16.25,15.77,16.22,9300,16.13
2014-10-14,16.18,16.30,15.96,16.20,6200,16.11
2014-10-13,16.18,16.33,16.02,16.21,9900,16.12
2014-10-10,16.29,16.30,16.10,16.23,4200,16.14
2014-10-09,16.33,16.52,16.21,16.38,2700,16.29
2014-10-08,16.36,16.60,16.26,16.31,11500,16.22
2014-10-07,16.53,16.65,16.36,16.37,199700,16.28
2014-10-06,16.70,16.70,16.43,16.65,7400,16.56
2014-10-03,16.65,16.91,16.26,16.60,174900,16.51
2014-10-02,16.56,16.75,16.41,16.69,91200,16.60
2014-10-01,16.70,16.75,16.49,16.64,68600,16.55
2014-09-30,17.31,17.35,16.72,16.80,318400,16.71
