Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.20,18.26,18.02,18.02,63500,18.02
2014-12-30,18.20,18.25,18.09,18.18,67300,18.18
2014-12-29,18.34,18.43,18.24,18.27,76000,18.27
2014-12-26,18.40,18.63,18.40,18.52,52900,18.51
2014-12-24,18.42,18.42,18.30,18.33,45800,18.32
2014-12-23,18.61,18.65,18.44,18.49,60600,18.48
2014-12-22,18.52,18.63,18.50,18.59,90400,18.58
2014-12-19,18.29,18.65,18.25,18.59,137500,18.58
2014-12-18,17.98,18.30,17.98,18.28,158400,18.27
2014-12-17,17.35,17.75,17.23,17.73,126900,17.72
2014-12-16,17.54,17.75,17.40,17.40,147900,17.39
2014-12-15,18.23,18.23,17.78,17.78,92000,17.77
2014-12-12,17.87,18.18,17.87,18.01,146200,18.00
2014-12-11,17.90,18.15,17.90,17.98,115200,17.97
2014-12-10,18.15,18.18,17.88,17.90,70600,17.89
2014-12-09,17.59,18.14,17.55,18.14,214800,18.13
2014-12-08,18.28,18.28,17.85,17.95,169000,17.94
2014-12-05,18.37,18.44,18.32,18.35,127700,18.34
2014-12-04,18.50,18.56,18.35,18.39,104600,18.38
2014-12-03,18.47,18.60,18.42,18.52,69000,18.51
2014-12-02,18.66,18.66,18.49,18.56,87200,18.55
2014-12-01,19.05,19.06,18.54,18.57,116400,18.56
2014-11-28,19.25,19.25,19.08,19.12,20800,19.11
2014-11-26,19.12,19.32,19.12,19.27,78400,19.26
2014-11-25,19.21,19.21,19.08,19.14,91800,19.13
2014-11-24,19.17,19.17,19.01,19.14,102200,19.13
2014-11-21,19.20,19.38,19.06,19.10,134000,19.09
2014-11-20,18.75,19.02,18.70,18.93,149000,18.92
2014-11-19,19.13,19.13,18.83,18.86,150000,18.85
2014-11-18,19.26,19.32,19.06,19.09,76200,19.08
2014-11-17,19.60,19.60,19.26,19.31,77600,19.30
2014-11-14,19.47,19.81,19.45,19.81,70800,19.80
2014-11-13,19.69,19.80,19.39,19.43,45500,19.42
2014-11-12,19.45,19.71,19.45,19.66,112100,19.65
2014-11-11,19.45,19.53,19.30,19.51,61000,19.50
2014-11-10,19.26,19.41,19.26,19.40,81000,19.39
2014-11-07,19.17,19.22,19.03,19.14,64300,19.13
2014-11-06,19.15,19.22,19.10,19.13,54900,19.12
2014-11-05,19.51,19.52,19.09,19.11,63400,19.10
2014-11-04,19.31,19.43,19.22,19.40,67800,19.39
2014-11-03,19.32,19.84,19.19,19.84,173300,19.83
2014-10-31,19.05,19.38,19.05,19.31,157400,19.30
2014-10-30,18.50,18.63,18.35,18.63,112900,18.62
2014-10-29,18.80,18.81,18.50,18.55,87000,18.54
2014-10-28,18.69,19.01,18.64,18.98,142600,18.97
2014-10-27,18.80,18.82,18.64,18.68,97000,18.67
2014-10-24,18.94,18.97,18.76,18.94,55600,18.93
2014-10-23,19.00,19.14,18.95,19.01,147100,19.00
2014-10-22,19.15,19.25,18.77,18.77,103200,18.76
2014-10-21,18.87,19.16,18.87,19.14,143300,19.13
2014-10-20,18.64,18.84,18.58,18.83,78000,18.82
2014-10-17,18.79,18.80,18.49,18.56,180400,18.55
2014-10-16,17.96,18.52,17.90,18.37,98900,18.36
2014-10-15,17.90,18.44,17.88,18.38,301400,18.37
2014-10-14,18.09,18.33,17.92,18.14,83900,18.13
2014-10-13,18.21,18.38,17.88,17.97,168800,17.96
2014-10-10,18.75,18.80,18.17,18.22,166900,18.21
2014-10-09,19.18,19.20,18.78,18.80,104300,18.79
2014-10-08,19.02,19.31,18.70,19.30,89200,19.29
2014-10-07,19.08,19.31,18.92,18.92,226000,18.91
2014-10-06,19.42,19.56,19.20,19.20,124200,19.19
2014-10-03,19.00,19.33,18.98,19.22,99100,19.21
2014-10-02,18.80,18.97,18.50,18.88,136700,18.87
2014-10-01,19.12,19.12,18.64,18.73,311100,18.72
2014-09-30,19.44,19.44,19.19,19.25,93700,19.24
2014-09-29,19.47,19.56,19.40,19.44,84200,19.43
2014-09-26,19.50,19.69,19.48,19.63,95700,19.62
2014-09-25,19.81,19.81,19.40,19.43,107500,19.42
2014-09-24,19.63,19.87,19.60,19.86,61300,19.85
2014-09-23,19.60,19.81,19.60,19.65,44100,19.64
2014-09-22,20.05,20.10,19.60,19.72,183600,19.71
2014-09-19,20.24,20.30,20.04,20.18,270900,20.17
2014-09-18,20.25,20.30,20.18,20.26,445000,20.25
