Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,52.00,53.31,51.09,53.18,328400,53.18
2014-12-30,51.87,51.87,50.63,51.73,15700,51.73
2014-12-29,52.39,52.39,51.44,51.94,194800,51.94
2014-12-26,51.97,52.57,51.75,52.39,219600,52.39
2014-12-24,52.21,52.77,51.70,51.80,94200,51.80
2014-12-23,53.24,53.24,51.87,52.02,213000,52.02
2014-12-22,52.77,53.23,52.38,53.07,202400,53.07
2014-12-19,52.03,53.25,51.59,52.77,391000,52.77
2014-12-18,50.00,52.52,49.85,52.15,690800,52.15
2014-12-17,48.88,50.00,48.65,49.97,255800,49.97
2014-12-16,48.36,49.67,48.22,48.81,205000,48.81
2014-12-15,49.92,49.95,48.53,48.76,391300,48.76
2014-12-12,47.11,48.90,46.85,47.82,324300,47.82
2014-12-11,46.40,48.23,46.40,47.45,215700,47.45
2014-12-10,47.33,48.00,46.28,46.34,142000,46.34
2014-12-09,45.52,47.93,45.21,47.64,269500,47.64
2014-12-08,47.23,47.63,45.26,46.17,315500,46.17
2014-12-05,47.25,48.41,46.68,47.77,198400,47.77
2014-12-04,48.55,48.56,47.17,47.30,226900,47.30
2014-12-03,47.52,48.84,46.73,48.42,270500,48.42
2014-12-02,48.00,48.53,47.49,47.78,229500,47.78
2014-12-01,50.30,50.30,48.11,48.11,269200,48.11
2014-11-28,50.50,50.80,50.08,50.61,132800,50.61
2014-11-26,49.39,51.04,49.00,50.61,234900,50.61
2014-11-25,49.50,49.73,48.89,49.30,112600,49.30
2014-11-24,49.40,49.84,49.04,49.59,178700,49.59
2014-11-21,48.80,49.50,48.50,49.02,175100,49.02
2014-11-20,47.51,48.80,47.31,48.26,259900,48.26
2014-11-19,48.57,49.06,47.77,47.91,308100,47.91
2014-11-18,49.22,49.97,48.73,48.99,338500,48.99
2014-11-17,50.85,50.85,48.92,49.23,279800,49.23
2014-11-14,49.85,51.24,49.37,50.96,250300,50.96
2014-11-13,51.51,51.66,49.75,50.15,266400,50.15
2014-11-12,50.69,51.65,50.31,51.26,142000,51.26
2014-11-11,51.26,51.46,50.62,51.13,157300,51.13
2014-11-10,50.60,51.66,50.41,51.49,282100,51.49
2014-11-07,48.95,50.40,48.44,50.34,352400,50.34
2014-11-06,49.64,49.83,49.12,49.19,241800,49.19
2014-11-05,49.71,50.33,49.02,49.51,623100,49.51
2014-11-04,50.02,50.82,49.52,49.64,462600,49.64
2014-11-03,46.78,51.50,46.67,50.30,1157800,50.30
2014-10-31,46.50,49.31,46.37,48.59,1047700,48.59
2014-10-30,43.51,46.23,43.35,45.80,551100,45.80
2014-10-29,44.40,44.78,43.49,43.66,257900,43.66
