Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.05,10.38,10.03,10.21,83400,10.21
2014-12-30,10.32,10.32,10.09,10.21,2800,10.21
2014-12-29,10.34,10.49,10.12,10.34,90400,10.34
2014-12-26,10.01,10.37,10.01,10.16,79500,10.16
2014-12-24,10.26,10.26,9.90,10.01,124900,10.01
2014-12-23,9.56,10.40,9.56,10.07,161700,10.07
2014-12-22,10.00,10.19,9.42,9.59,583900,9.59
2014-12-19,10.50,10.77,10.04,10.08,155700,10.08
2014-12-18,10.91,11.16,10.51,10.57,95000,10.57
2014-12-17,10.81,11.02,10.50,10.88,139300,10.88
2014-12-16,11.22,11.29,10.60,11.05,194300,11.05
2014-12-15,11.46,11.82,11.00,11.41,68100,11.41
2014-12-12,11.68,11.75,11.25,11.44,50200,11.44
2014-12-11,12.05,12.19,11.55,11.68,93600,11.68
2014-12-10,11.92,12.06,11.82,12.05,86400,12.05
2014-12-09,11.68,11.99,11.10,11.91,58300,11.91
2014-12-08,12.70,12.70,11.70,11.83,135100,11.83
2014-12-05,12.58,12.59,12.23,12.55,106700,12.55
2014-12-04,10.87,12.34,10.87,12.32,257600,12.32
2014-12-03,11.25,11.26,10.79,10.88,101200,10.88
2014-12-02,11.24,11.28,10.65,11.20,98400,11.20
2014-12-01,11.83,11.84,11.06,11.28,54100,11.28
2014-11-28,11.90,11.96,11.75,11.90,13500,11.90
2014-11-26,11.76,12.10,11.75,11.80,74400,11.80
2014-11-25,11.66,12.09,11.55,11.79,119300,11.79
2014-11-24,11.36,11.75,10.95,11.75,126900,11.75
2014-11-21,11.43,11.45,11.21,11.25,154600,11.25
2014-11-20,11.14,11.39,10.60,11.34,153000,11.34
2014-11-19,11.15,11.33,10.81,11.32,137700,11.32
2014-11-18,11.27,11.45,10.89,11.04,148500,11.04
2014-11-17,11.49,11.70,11.00,11.16,127100,11.16
2014-11-14,11.84,11.91,11.52,11.55,74700,11.55
2014-11-13,11.55,11.91,11.55,11.89,104300,11.89
2014-11-12,11.25,11.63,11.25,11.60,123000,11.60
